date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,150.09,152.49,149.36,152.34,152.34,7.3273384E7,7.3273384E7,2.25,1.499,151.39667,"October 25, 22",0.01499
2022-10-24,147.185,150.23,146.0,149.45,149.45,7.5989034E7,7.5989034E7,2.265,1.539,148.56,"October 24, 22",0.01539
2022-10-21,142.87,147.8473,142.649,147.27,147.27,8.655078E7,8.655078E7,4.4,3.08,145.9221,"October 21, 22",0.0308
2022-10-20,143.02,145.89,142.65,143.39,143.39,6.4410997E7,6.4410997E7,0.37,0.259,143.97667,"October 20, 22",0.00259
2022-10-19,141.69,144.95,141.5,143.86,143.86,6.1656384E7,6.1656384E7,2.17,1.532,143.43667,"October 19, 22",0.01532
2022-10-18,145.49,146.7,140.61,143.75,143.75,9.8965483E7,9.8965483E7,-1.74,-1.196,143.68667,"October 18, 22",-0.01196
2022-10-17,141.07,142.9,140.27,142.41,142.41,8.5078302E7,8.5078302E7,1.34,0.95,141.86,"October 17, 22",0.0095
2022-10-14,144.31,144.52,138.19,138.38,138.38,8.8516458E7,8.8516458E7,-5.93,-4.109,140.36333,"October 14, 22",-0.04109
2022-10-13,139.13,143.59,134.372,142.99,142.99,1.13231854E8,1.13231854E8,3.86,2.774,140.31733,"October 13, 22",0.02774
2022-10-12,139.13,140.36,138.16,138.34,138.34,7.0379703E7,7.0379703E7,-0.79,-0.568,138.95333,"October 12, 22",-0.00568
2022-10-11,139.9,141.35,138.22,138.98,138.98,7.6972284E7,7.6972284E7,-0.92,-0.658,139.51667,"October 11, 22",-0.00658
2022-10-10,140.42,141.89,138.57,140.42,140.42,7.4834635E7,7.4834635E7,0.0,0.0,140.29333,"October 10, 22",0.0
2022-10-07,142.54,143.1,139.45,140.09,140.09,8.5866495E7,8.5866495E7,-2.45,-1.719,140.88,"October 07, 22",-0.01719
2022-10-06,145.81,147.54,145.22,145.43,145.43,6.8288107E7,6.8288107E7,-0.38,-0.261,146.06333,"October 06, 22",-0.00261
2022-10-05,144.07,147.38,143.01,146.4,146.4,7.9328678E7,7.9328678E7,2.33,1.617,145.59667,"October 05, 22",0.01617
2022-10-04,145.03,146.22,144.26,146.1,146.1,8.7701372E7,8.7701372E7,1.07,0.738,145.52667,"October 04, 22",0.00738
2022-10-03,138.21,143.07,137.69,142.45,142.45,1.14171728E8,1.14171728E8,4.24,3.068,141.07,"October 03, 22",0.03068
2022-09-30,141.28,143.1,138.0,138.2,138.2,1.24933345E8,1.24933345E8,-3.08,-2.18,139.76667,"September 30, 22",-0.0218
2022-09-29,146.1000061,146.7200012,140.6799927,142.4799957,142.4799957,1.281382E8,1.281382E8,-3.62001,-2.478,143.29333,"September 29, 22",-0.02478
2022-09-28,147.6399994,150.6399994,144.8399963,149.8399963,149.8399963,1.466914E8,1.466914E8,2.2,1.49,148.44,"September 28, 22",0.0149
2022-09-27,152.7400055,154.7200012,149.9499969,151.7599945,151.7599945,8.44427E7,8.44427E7,-0.98001,-0.642,152.14333,"September 27, 22",-0.00642
2022-09-26,149.6600037,153.7700043,149.6399994,150.7700043,150.7700043,9.33394E7,9.33394E7,1.11,0.742,151.39334,"September 26, 22",0.00742
2022-09-23,151.1900024,151.4700012,148.5599976,150.4299927,150.4299927,9.59392E7,9.59392E7,-0.76001,-0.503,150.15333,"September 23, 22",-0.00503
2022-09-22,152.3800049,154.4700012,150.9100037,152.7400055,152.7400055,8.66525E7,8.66525E7,0.36,0.236,152.70667,"September 22, 22",0.00236
2022-09-21,157.3399963,158.7400055,153.6000061,153.7200012,153.7200012,1.016968E8,1.016968E8,-3.62,-2.301,155.35334,"September 21, 22",-0.02301
2022-09-20,153.3999939,158.0800018,153.0800018,156.8999939,156.8999939,1.076898E8,1.076898E8,3.5,2.282,156.02,"September 20, 22",0.02282
2022-09-19,149.3099976,154.5599976,149.1000061,154.4799957,154.4799957,8.14742E7,8.14742E7,5.17,3.463,152.71333,"September 19, 22",0.03463
2022-09-16,151.2100067,151.3500061,148.3699951,150.6999969,150.6999969,1.62157E8,1.62157E8,-0.51001,-0.337,150.14,"September 16, 22",-0.00337
2022-09-15,154.6499939,155.2400055,151.3800049,152.3699951,152.3699951,9.04811E7,9.04811E7,-2.28,-1.474,152.99667,"September 15, 22",-0.01474
2022-09-14,154.7899933,157.1000061,153.6100006,155.3099976,155.3099976,8.79654E7,8.79654E7,0.52,0.336,155.34,"September 14, 22",0.00336
2022-09-13,159.8999939,160.5399933,153.3699951,153.8399963,153.8399963,1.226566E8,1.226566E8,-6.06,-3.79,155.91666,"September 13, 22",-0.0379
2022-09-12,159.5899963,164.2599945,159.3000031,163.4299927,163.4299927,1.04956E8,1.04956E8,3.84,2.406,162.33,"September 12, 22",0.02406
2022-09-09,155.4700012,157.8200073,154.75,157.3699951,157.3699951,6.80288E7,6.80288E7,1.89999,1.222,156.64667,"September 09, 22",0.01222
2022-09-08,154.6399994,156.3600006,152.6799927,154.4600067,154.4600067,8.49238E7,8.49238E7,-0.17999,-0.116,154.5,"September 08, 22",-0.00116
2022-09-07,154.8200073,156.6699982,153.6100006,155.9600067,155.9600067,8.74496E7,8.74496E7,1.14,0.736,155.41334,"September 07, 22",0.00736
2022-09-06,156.4700012,157.0899963,153.6900024,154.5299988,154.5299988,7.37148E7,7.37148E7,-1.94,-1.24,155.10333,"September 06, 22",-0.0124
2022-09-02,159.75,160.3600006,154.9700012,155.8099976,155.8099976,7.69052E7,7.69052E7,-3.94,-2.466,157.04667,"September 02, 22",-0.02466
2022-09-01,156.6399994,158.4199982,154.6699982,157.9600067,157.9600067,7.42299E7,7.42299E7,1.32001,0.843,157.01667,"September 01, 22",0.00843
2022-08-31,160.3099976,160.5800018,157.1399994,157.2200012,157.2200012,8.79911E7,8.79911E7,-3.09,-1.928,158.31333,"August 31, 22",-0.01928
2022-08-30,162.1300049,162.5599976,157.7200012,158.9100037,158.9100037,7.79062E7,7.79062E7,-3.22,-1.986,159.73,"August 30, 22",-0.01986
2022-08-29,161.1499939,162.8999939,159.8200073,161.3800049,161.3800049,7.3314E7,7.3314E7,0.23001,0.143,161.36667,"August 29, 22",0.00143
2022-08-26,170.5700073,171.0500031,163.5599976,163.6199951,163.6199951,7.8961E7,7.8961E7,-6.95001,-4.075,166.07667,"August 26, 22",-0.04075
2022-08-25,168.7799988,170.1399994,168.3500061,170.0299988,170.0299988,5.12182E7,5.12182E7,1.25,0.741,169.50667,"August 25, 22",0.00741
2022-08-24,167.3200073,168.1100006,166.25,167.5299988,167.5299988,5.38415E7,5.38415E7,0.20999,0.126,167.29667,"August 24, 22",0.00126
2022-08-23,167.0800018,168.7100067,166.6499939,167.2299957,167.2299957,5.41471E7,5.41471E7,0.14999,0.09,167.53,"August 23, 22",9.0E-4
2022-08-22,169.6900024,169.8600006,167.1399994,167.5700073,167.5700073,6.90268E7,6.90268E7,-2.12,-1.249,168.19,"August 22, 22",-0.01249
2022-08-19,173.0299988,173.7400055,171.3099976,171.5200043,171.5200043,7.03463E7,7.03463E7,-1.50999,-0.873,172.19,"August 19, 22",-0.00873
2022-08-18,173.75,174.8999939,173.1199951,174.1499939,174.1499939,6.22901E7,6.22901E7,0.39999,0.23,174.05666,"August 18, 22",0.0023
