date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,148.03,150.57,147.285,149.82,149.82,5225146.0,5225146.0,1.79,1.209,149.225,"October 25, 22",0.01209
2022-10-24,148.71,151.53,148.7,150.89,150.89,4942795.0,4942795.0,2.18,1.466,150.37333,"October 24, 22",0.01466
2022-10-21,143.34,147.755,142.45,147.06,147.06,5419609.0,5419609.0,3.72,2.595,145.755,"October 21, 22",0.02595
2022-10-20,143.16,144.0367,142.474,142.93,142.93,3880253.0,3880253.0,-0.23,-0.161,143.1469,"October 20, 22",-0.00161
2022-10-19,144.8,145.45,142.326,143.13,143.13,3333794.0,3333794.0,-1.67,-1.153,143.63533,"October 19, 22",-0.01153
2022-10-18,145.23,145.8694,143.53,144.6,144.6,3391474.0,3391474.0,-0.63,-0.434,144.66647,"October 18, 22",-0.00434
2022-10-17,142.65,144.905,142.1,144.41,144.41,4016510.0,4016510.0,1.76,1.234,143.805,"October 17, 22",0.01234
2022-10-14,142.6,144.48,142.21,142.94,142.94,5290771.0,5290771.0,0.34,0.238,143.21,"October 14, 22",0.00238
2022-10-13,136.7,143.18,136.27,142.92,142.92,5066652.0,5066652.0,6.22,4.55,140.79,"October 13, 22",0.0455
2022-10-12,141.6399994,143.0599976,139.9299927,139.9799957,138.5699921,4528000.0,4528000.0,-3.07001,-2.167,140.51999,"October 12, 22",-0.02167
2022-10-11,138.0200043,143.6799927,138.0200043,141.5099945,140.0845795,5675100.0,5675100.0,2.06458,1.496,140.59486,"October 11, 22",0.01496
2022-10-10,139.0299988,139.5899963,136.8699951,138.3099976,136.9168091,3830800.0,3830800.0,-2.11319,-1.52,137.79227,"October 10, 22",-0.0152
2022-10-07,139.0099945,140.0500031,137.5500031,138.7599945,137.3622742,4648100.0,4648100.0,-1.64772,-1.185,138.32076,"October 07, 22",-0.01185
2022-10-06,142.7899933,142.9900055,139.8999939,140.2899933,138.8768616,5124800.0,5124800.0,-3.91313,-2.74,140.58895,"October 06, 22",-0.0274
2022-10-05,141.4700012,144.4700012,141.1100006,143.3300018,141.886261,4777900.0,4777900.0,0.41626,0.294,142.48875,"October 05, 22",0.00294
2022-10-04,139.2100067,142.7200012,137.7599945,141.9900055,140.5597534,6612300.0,6612300.0,1.34975,0.97,140.34658,"October 04, 22",0.0097
2022-10-03,135.8800049,138.8000031,135.3099976,138.3200073,136.9267273,7437500.0,7437500.0,1.04672,0.77,137.01224,"October 03, 22",0.0077
2022-09-30,142.1999969,142.3200073,134.0899963,134.2100067,132.8581238,1.53488E7,1.53488E7,-9.34187,-6.57,136.42271,"September 30, 22",-0.0657
2022-09-29,144.8500061,145.25,141.8300018,142.7200012,141.2823944,5509400.0,5509400.0,-3.56761,-2.463,142.78747,"September 29, 22",-0.02463
2022-09-28,144.2200012,145.3200073,142.6199951,144.6000061,143.1434631,5226700.0,5226700.0,-1.07654,-0.746,143.69449,"September 28, 22",-0.00746
2022-09-27,142.5899963,145.5399933,141.2899933,141.7200012,140.2924652,5598000.0,5598000.0,-2.29753,-1.611,142.37415,"September 27, 22",-0.01611
2022-09-26,142.0800018,142.8000031,140.1100006,141.2100067,139.7876129,5697800.0,5697800.0,-2.29239,-1.613,140.89921,"September 26, 22",-0.01613
2022-09-23,142.0700073,143.4199982,140.9499969,143.0599976,141.6189728,5750300.0,5750300.0,-0.45103,-0.317,141.99632,"September 23, 22",-0.00317
2022-09-22,140.2100067,144.4600067,140.0,143.0099945,141.5694733,6161000.0,6161000.0,1.35947,0.97,142.00983,"September 22, 22",0.0097
2022-09-21,142.1499939,143.6300049,140.2899933,140.3099976,138.8966675,5076100.0,5076100.0,-3.25333,-2.289,140.93889,"September 21, 22",-0.02289
2022-09-20,141.8200073,142.4900055,140.3699951,141.7700043,140.3419647,4532900.0,4532900.0,-1.47804,-1.042,141.06732,"September 20, 22",-0.01042
2022-09-19,143.6399994,143.8600006,141.4299927,142.6600037,141.2230072,5042500.0,5042500.0,-2.41699,-1.683,142.171,"September 19, 22",-0.01683
2022-09-16,143.3999939,144.8500061,141.3600006,144.0599976,142.608902,1.3887E7,1.3887E7,-0.79109,-0.552,142.93964,"September 16, 22",-0.00552
2022-09-15,139.9900055,143.8999939,139.3899994,142.5099945,141.0745087,6416900.0,6416900.0,1.0845,0.775,141.45483,"September 15, 22",0.00775
2022-09-14,139.1699982,140.4400024,138.2700043,139.5500031,138.1443329,4673600.0,4673600.0,-1.02567,-0.737,138.95145,"September 14, 22",-0.00737
2022-09-13,140.5500031,141.9299927,137.4900055,138.5299988,137.1345978,6195900.0,6195900.0,-3.41541,-2.43,138.85153,"September 13, 22",-0.0243
2022-09-12,141.0099945,142.8699951,140.3200073,142.2400055,140.8072357,4938400.0,4938400.0,-0.20276,-0.144,141.33241,"September 12, 22",-0.00144
2022-09-09,140.3999939,142.1699982,140.1000061,141.4199982,139.9954834,4427000.0,4427000.0,-0.40451,-0.288,140.75516,"September 09, 22",-0.00288
2022-09-08,139.6399994,140.5700073,138.6499939,140.5200043,139.1045685,3988300.0,3988300.0,-0.53543,-0.383,139.44152,"September 08, 22",-0.00383
2022-09-07,137.5500031,139.0399933,135.3399963,138.7100067,137.3127899,4141700.0,4141700.0,-0.23721,-0.172,137.23093,"September 07, 22",-0.00172
2022-09-06,137.3000031,139.3500061,136.2400055,137.5899963,136.204071,4810600.0,4810600.0,-1.09593,-0.798,137.26469,"September 06, 22",-0.00798
2022-09-02,138.6600037,139.3999939,135.8099976,136.2799988,134.9072723,3598800.0,3598800.0,-3.75273,-2.706,136.70575,"September 02, 22",-0.02706
2022-09-01,134.6399994,138.5899963,134.1000061,138.4499969,137.0554047,4521000.0,4521000.0,2.41541,1.794,136.5818,"September 01, 22",0.01794
2022-08-31,135.6900024,136.0399933,134.1699982,134.4600067,133.1056061,5789600.0,5789600.0,-2.5844,-1.905,134.43853,"August 31, 22",-0.01905
2022-08-30,135.1399994,136.4900055,134.8899994,135.5500031,134.1846161,4337100.0,4337100.0,-0.95538,-0.707,135.18821,"August 30, 22",-0.00707
2022-08-29,136.1999969,136.7200012,134.7599945,135.7100067,134.3430176,3835800.0,3835800.0,-1.85698,-1.363,135.27434,"August 29, 22",-0.01363
