date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,98.07,98.9,97.66,97.95,97.95,7113366.0,7113366.0,-0.12,-0.122,98.17,"October 25, 22",-0.00122
2022-10-24,96.05,98.48,95.9,98.29,98.29,8118420.0,8118420.0,2.24,2.332,97.55667,"October 24, 22",0.02332
2022-10-21,94.35,95.51,93.265,95.06,95.06,9856870.0,9856870.0,0.71,0.753,94.61167,"October 21, 22",0.00753
2022-10-20,96.52,97.74,95.01,95.21,95.21,1.2646712E7,1.2646712E7,-1.31,-1.357,95.98667,"October 20, 22",-0.01357
2022-10-19,101.0,101.26,96.32,98.11,98.11,1.6772163E7,1.6772163E7,-2.89,-2.861,98.56333,"October 19, 22",-0.02861
2022-10-18,105.81,106.665,104.66,104.98,104.98,8748031.0,8748031.0,-0.83,-0.784,105.435,"October 18, 22",-0.00784
2022-10-17,102.12,103.95,101.87,103.52,103.52,7049857.0,7049857.0,1.4,1.371,103.11333,"October 17, 22",0.01371
2022-10-14,103.18,103.92,100.79,100.91,100.91,6087377.0,6087377.0,-2.27,-2.2,101.87333,"October 14, 22",-0.022
2022-10-13,97.93,103.08,97.68,102.47,102.47,6251345.0,6251345.0,4.54,4.636,101.07667,"October 13, 22",0.04636
2022-10-12,101.25,101.9100037,100.0599976,100.0800018,99.6100006,4106200.0,4106200.0,-1.64,-1.62,100.52667,"October 12, 22",-0.0162
2022-10-11,100.8499985,102.75,100.0899963,101.75,101.2721558,5304800.0,5304800.0,0.42216,0.419,101.37072,"October 11, 22",0.00419
2022-10-10,102.1200027,102.3199997,100.3199997,101.1299973,100.6550674,4044600.0,4044600.0,-1.46494,-1.435,101.09836,"October 10, 22",-0.01435
2022-10-07,102.5,105.0899963,101.0400009,101.7900009,101.3119659,8485900.0,8485900.0,-1.18803,-1.159,102.48065,"October 07, 22",-0.01159
2022-10-06,102.8600006,103.2099991,101.8799973,102.4499969,101.9688644,6348100.0,6348100.0,-0.89114,-0.866,102.35295,"October 06, 22",-0.00866
2022-10-05,102.1699982,103.9599991,101.9199982,103.3799973,102.8945007,3803400.0,3803400.0,0.7245,0.709,102.92483,"October 05, 22",0.00709
2022-10-04,100.7399979,103.2099991,100.5400009,103.0800018,102.5959091,5710800.0,5710800.0,1.85591,1.842,102.1153,"October 04, 22",0.01842
2022-10-03,97.8000031,100.1900024,97.4000015,99.5199966,99.0526276,4817600.0,4817600.0,1.25262,1.281,98.88088,"October 03, 22",0.01281
2022-09-30,98.7099991,99.5,96.6699982,96.7600021,96.3055954,6728400.0,6728400.0,-2.4044,-2.436,97.49186,"September 30, 22",-0.02436
2022-09-29,98.8499985,99.1800003,97.5500031,98.2900009,97.8284073,6698800.0,6698800.0,-1.02159,-1.033,98.18614,"September 29, 22",-0.01033
2022-09-28,98.0699997,99.2699966,97.5699997,98.7200012,98.2563858,7206900.0,7206900.0,0.18639,0.19,98.36546,"September 28, 22",0.0019
2022-09-27,100.25,100.7300034,97.9100037,98.3300018,97.8682175,6377800.0,6377800.0,-2.38178,-2.376,98.83607,"September 27, 22",-0.02376
2022-09-26,100.1800003,100.6500015,99.2600021,99.8399963,99.3711243,6037800.0,6037800.0,-0.80888,-0.807,99.76038,"September 26, 22",-0.00807
2022-09-23,100.3899994,100.8899994,98.8099976,100.6800003,100.2071838,6214200.0,6214200.0,-0.18282,-0.182,99.96906,"September 23, 22",-0.00182
2022-09-22,100.0500031,101.8300018,99.8499985,101.0699997,100.5953522,5567500.0,5567500.0,0.54535,0.545,100.75845,"September 22, 22",0.00545
2022-09-21,102.8700027,103.9199982,100.6200027,100.6500015,100.1773224,4720500.0,4720500.0,-2.69268,-2.618,101.57244,"September 21, 22",-0.02618
2022-09-20,102.7900009,103.0299988,101.2300034,102.3099976,101.8295212,4617100.0,4617100.0,-0.96048,-0.934,102.02984,"September 20, 22",-0.00934
2022-09-19,103.25,104.1100006,102.25,104.0899963,103.6011658,3816000.0,3816000.0,0.35117,0.34,103.32039,"September 19, 22",0.0034
2022-09-16,104.7900009,105.0,103.4100037,104.0,103.5115891,8897800.0,8897800.0,-1.27841,-1.22,103.97386,"September 16, 22",-0.0122
2022-09-15,106.0599976,107.0800018,104.8600006,105.0599976,104.5666122,4237000.0,4237000.0,-1.49339,-1.408,105.5022,"September 15, 22",-0.01408
2022-09-14,105.9300003,106.7900009,105.0100021,105.7799988,105.283226,3264200.0,3264200.0,-0.64677,-0.611,105.69441,"September 14, 22",-0.00611
2022-09-13,107.2200012,107.5800018,105.5800018,105.8399963,105.3429489,5300800.0,5300800.0,-1.87705,-1.751,106.16765,"September 13, 22",-0.01751
2022-09-12,108.7799988,109.6699982,108.5100021,109.2900009,108.7767487,4358100.0,4358100.0,-0.00325,-0.003,108.98558,"September 12, 22",-3.0E-5
2022-09-09,107.1299973,109.0699997,107.0299988,108.4800034,107.9705505,5781200.0,5781200.0,0.84055,0.785,108.02352,"September 09, 22",0.00785
2022-09-08,103.6299973,107.5699997,103.5899963,106.9899979,106.4875488,8700700.0,8700700.0,2.85755,2.757,105.88251,"September 08, 22",0.02757
2022-09-07,102.8799973,104.9700012,102.7399979,104.6999969,104.2082977,5100800.0,5100800.0,1.3283,1.291,103.97277,"September 07, 22",0.01291
2022-09-06,102.5,103.9300003,102.2399979,102.7099991,102.2276459,4670400.0,4670400.0,-0.27235,-0.266,102.79921,"September 06, 22",-0.00266
2022-09-02,105.4499969,105.6500015,101.9800034,102.5,102.018631,4103200.0,4103200.0,-3.43137,-3.254,103.21621,"September 02, 22",-0.03254
2022-09-01,102.3600006,104.9000015,102.0299988,104.8399963,104.347641,4397900.0,4397900.0,1.98764,1.942,103.75921,"September 01, 22",0.01942
2022-08-31,102.9700012,104.0500031,102.5999985,102.6500015,102.1679306,7600700.0,7600700.0,-0.80207,-0.779,102.93931,"August 31, 22",-0.00779
2022-08-30,102.4300003,102.7200012,101.8399963,102.1999969,101.7200394,4629700.0,4629700.0,-0.70996,-0.693,102.09335,"August 30, 22",-0.00693
2022-08-29,101.5,102.6100006,101.2099991,101.8399963,101.3617325,4229900.0,4229900.0,-0.13827,-0.136,101.72724,"August 29, 22",-0.00136
2022-08-26,105.9400024,106.3000031,101.6299973,101.9000015,101.4214554,5440700.0,5440700.0,-4.51855,-4.265,103.11715,"August 26, 22",-0.04265
2022-08-25,105.2399979,105.9599991,104.5500031,105.8899994,105.3927155,5249200.0,5249200.0,0.15272,0.145,105.30091,"August 25, 22",0.00145
2022-08-24,105.9000015,106.1699982,105.1200027,105.4400024,104.9448318,4278200.0,4278200.0,-0.95517,-0.902,105.41161,"August 24, 22",-0.00902
2022-08-23,106.8199997,106.8700027,105.5199966,106.0100021,105.5121536,4203000.0,4203000.0,-1.30785,-1.224,105.96738,"August 23, 22",-0.01224
2022-08-22,108.9700012,109.3099976,106.8899994,107.4499969,106.9453812,3496800.0,3496800.0,-2.02462,-1.858,107.71513,"August 22, 22",-0.01858
2022-08-19,110.4800034,110.8000031,109.4000015,110.0599976,109.543129,5092700.0,5092700.0,-0.93687,-0.848,109.91438,"August 19, 22",-0.00848
2022-08-18,110.9300003,110.9300003,108.7900009,109.9599991,109.4435959,4143600.0,4143600.0,-1.4864,-1.34,109.7212,"August 18, 22",-0.0134
2022-08-17,111.6299973,112.1299973,110.3700027,110.5500031,110.0308304,3053500.0,3053500.0,-1.59917,-1.433,110.84361,"August 17, 22",-0.01433
2022-08-16,111.4599991,112.5299988,111.4300003,112.0299988,111.5038757,2897400.0,2897400.0,0.04388,0.039,111.82129,"August 16, 22",3.9E-4
2022-08-15,111.3099976,112.3099976,111.0199966,111.9000015,111.3744888,2949500.0,2949500.0,0.06449,0.058,111.56816,"August 15, 22",5.8E-4
2022-08-12,110.8600006,111.5299988,110.4400024,111.4800034,110.9564667,2813300.0,2813300.0,0.09647,0.087,110.97549,"August 12, 22",8.7E-4
2022-08-11,110.8399963,112.1299973,110.3899994,110.4899979,109.9711075,3281400.0,3281400.0,-0.86889,-0.784,110.83037,"August 11, 22",-0.00784
2022-08-10,109.7600021,110.3799973,109.1999969,110.2699966,109.7521439,3960900.0,3960900.0,-0.00786,-0.007,109.77738,"August 10, 22",-7.0E-5
