date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,53.72,54.62,53.47,54.29,54.29,3808758.0,3808758.0,0.57,1.061,54.12667,"October 25, 22",0.01061
2022-10-24,53.56,54.56,53.51,54.35,54.35,3088325.0,3088325.0,0.79,1.475,54.14,"October 24, 22",0.01475
2022-10-21,51.77,53.3,51.66,53.25,53.25,4076006.0,4076006.0,1.48,2.859,52.73667,"October 21, 22",0.02859
2022-10-20,52.15,52.97,51.55,51.85,51.85,4474106.0,4474106.0,-0.3,-0.575,52.12333,"October 20, 22",-0.00575
2022-10-19,52.34,53.43,52.32,52.75,52.75,3486226.0,3486226.0,0.41,0.783,52.83333,"October 19, 22",0.00783
2022-10-18,52.99,53.32,52.005,52.6,52.6,5110477.0,5110477.0,-0.39,-0.736,52.64167,"October 18, 22",-0.00736
2022-10-17,51.93,52.47,51.6,51.73,51.73,4148210.0,4148210.0,-0.2,-0.385,51.93333,"October 17, 22",-0.00385
2022-10-14,51.16,52.07,50.4285,50.71,50.71,5619523.0,5619523.0,-0.45,-0.88,51.0695,"October 14, 22",-0.0088
2022-10-13,48.3,51.51,48.03,50.94,50.94,5084402.0,5084402.0,2.64,5.466,50.16,"October 13, 22",0.05466
2022-10-12,49.0,49.76,48.55,48.96,48.96,3866273.0,3866273.0,-0.04,-0.082,49.09,"October 12, 22",-8.2E-4
2022-10-11,48.24,49.21,47.88,48.05,48.05,4725811.0,4725811.0,-0.19,-0.394,48.38,"October 11, 22",-0.00394
2022-10-10,49.81,50.07,48.22,48.44,48.44,7099457.0,7099457.0,-1.37,-2.75,48.91,"October 10, 22",-0.0275
2022-10-07,50.24,50.58,49.42,49.71,49.71,4097111.0,4097111.0,-0.53,-1.055,49.90333,"October 07, 22",-0.01055
2022-10-06,50.86,51.3,50.59,50.76,50.76,3121829.0,3121829.0,-0.1,-0.197,50.88333,"October 06, 22",-0.00197
2022-10-05,50.8,51.65,50.75,51.3,51.3,4041187.0,4041187.0,0.5,0.984,51.23333,"October 05, 22",0.00984
2022-10-04,50.01,51.74,49.99,51.71,51.71,4002236.0,4002236.0,1.7,3.399,51.14667,"October 04, 22",0.03399
2022-10-03,48.21,49.39,47.3,49.18,49.18,4998016.0,4998016.0,0.97,2.012,48.62333,"October 03, 22",0.02012
2022-09-30,47.5699997,48.6500015,47.3100014,47.4799995,47.4799995,5209200.0,5209200.0,-0.09,-0.189,47.81333,"September 30, 22",-0.00189
2022-09-29,48.1199989,48.4300003,47.0499992,47.6599998,47.6599998,7362200.0,7362200.0,-0.46,-0.956,47.71333,"September 29, 22",-0.00956
2022-09-28,48.4099998,49.25,48.2999992,48.7700005,48.7700005,9837700.0,9837700.0,0.36,0.744,48.77333,"September 28, 22",0.00744
2022-09-27,48.8400002,49.0900002,48.0999985,48.5600014,48.5600014,5674000.0,5674000.0,-0.28,-0.573,48.58333,"September 27, 22",-0.00573
2022-09-26,49.2400017,50.0200005,48.0900002,48.4099998,48.4099998,5906300.0,5906300.0,-0.83,-1.686,48.84,"September 26, 22",-0.01686
2022-09-23,50.5800018,50.9599991,49.0999985,49.7700005,49.7700005,5500600.0,5500600.0,-0.81,-1.601,49.94333,"September 23, 22",-0.01601
2022-09-22,52.5900002,52.6500015,51.0999985,51.2099991,51.2099991,4988700.0,4988700.0,-1.38,-2.624,51.65333,"September 22, 22",-0.02624
2022-09-21,53.7799988,54.25,52.2799988,52.2900009,52.2900009,4928100.0,4928100.0,-1.49,-2.771,52.94,"September 21, 22",-0.02771
2022-09-20,54.0,54.3400002,52.4599991,53.4099998,53.4099998,6373400.0,6373400.0,-0.59,-1.093,53.40333,"September 20, 22",-0.01093
2022-09-19,52.9000015,54.6899986,52.7799988,54.5900002,54.5900002,3212800.0,3212800.0,1.69,3.195,54.02,"September 19, 22",0.03195
2022-09-16,53.9900017,53.9900017,52.7200012,53.6500015,53.6500015,1.15434E7,1.15434E7,-0.34,-0.63,53.45333,"September 16, 22",-0.0063
2022-09-15,53.9500008,54.9199982,53.4500008,54.1800003,54.1800003,5775000.0,5775000.0,0.23,0.426,54.18333,"September 15, 22",0.00426
2022-09-14,54.4399986,55.0400009,53.5600014,54.2000008,53.8800011,4425400.0,4425400.0,-0.56,-1.029,54.16,"September 14, 22",-0.01029
2022-09-13,55.2200012,55.9399986,54.1500015,54.3400002,54.0191727,5155200.0,5155200.0,-1.20083,-2.175,54.70306,"September 13, 22",-0.02175
2022-09-12,55.9000015,56.6399994,55.5,56.5299988,56.1962395,3484600.0,3484600.0,0.29624,0.53,56.11208,"September 12, 22",0.0053
2022-09-09,54.75,55.3100014,54.75,55.0400009,54.7150421,4631300.0,4631300.0,-0.03496,-0.064,54.92501,"September 09, 22",-6.4E-4
2022-09-08,53.5600014,54.5600014,53.2000008,54.3300018,54.0092316,3655900.0,3655900.0,0.44923,0.839,53.92308,"September 08, 22",0.00839
2022-09-07,51.8699989,53.9099998,51.8699989,53.7000008,53.3829536,4000400.0,4000400.0,1.51295,2.917,53.05432,"September 07, 22",0.02917
2022-09-06,52.8100014,53.3699989,51.6399994,52.3600006,52.0508614,4142700.0,4142700.0,-0.75914,-1.437,52.35362,"September 06, 22",-0.01437
2022-09-02,53.0800018,53.7400017,52.0299988,52.4099998,52.1005669,3702000.0,3702000.0,-0.97943,-1.845,52.62352,"September 02, 22",-0.01845
2022-09-01,51.5499992,52.4000015,51.1100006,52.3400002,52.0309792,3998600.0,3998600.0,0.48098,0.933,51.84699,"September 01, 22",0.00933
2022-08-31,52.6399994,52.8600006,51.7000008,51.75,51.4444656,5946400.0,5946400.0,-1.19553,-2.271,52.00149,"August 31, 22",-0.02271
2022-08-30,52.9900017,53.0200005,52.0400009,52.3899994,52.0806847,2787000.0,2787000.0,-0.90932,-1.716,52.38023,"August 30, 22",-0.01716
2022-08-29,52.6100006,53.3100014,52.1599998,52.7999992,52.4882622,3082500.0,3082500.0,-0.12174,-0.231,52.65275,"August 29, 22",-0.00231
2022-08-26,55.5,55.6199989,52.9500008,53.0,52.6870842,5647800.0,5647800.0,-2.81292,-5.068,53.75236,"August 26, 22",-0.05068
2022-08-25,54.5,55.2900009,54.2099991,55.2599983,54.9337387,2507700.0,2507700.0,0.43374,0.796,54.81125,"August 25, 22",0.00796
2022-08-24,54.0099983,54.5,53.7200012,54.3199997,53.9992905,2055900.0,2055900.0,-0.01071,-0.02,54.0731,"August 24, 22",-2.0E-4
2022-08-23,54.0900002,54.6399994,54.0499992,54.2700005,53.949585,3682100.0,3682100.0,-0.14042,-0.26,54.21319,"August 23, 22",-0.0026
2022-08-22,55.2700005,55.3100014,54.0099983,54.0400009,53.7209435,3735000.0,3735000.0,-1.54906,-2.803,54.34698,"August 22, 22",-0.02803
2022-08-19,56.9700012,57.0999985,55.9399986,56.0999985,55.7687798,3783000.0,3783000.0,-1.20122,-2.109,56.26959,"August 19, 22",-0.02109
2022-08-18,56.8499985,57.5099983,56.75,57.3300018,56.9915199,2064700.0,2064700.0,0.14152,0.249,57.08384,"August 18, 22",0.00249
2022-08-17,56.5,57.0499992,56.1800003,56.6899986,56.3552971,3090100.0,3090100.0,-0.1447,-0.256,56.52843,"August 17, 22",-0.00256
