date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,58.69,61.975,58.69,61.47,61.47,8.479214E7,8.479214E7,2.78,4.737,60.71167,"October 25, 22",0.04737
2022-10-24,58.57,59.0,56.66,58.7,58.7,7.6293013E7,7.6293013E7,0.13,0.222,58.12,"October 24, 22",0.00222
2022-10-21,57.215,58.91,55.71,58.82,58.82,9.533883E7,9.533883E7,1.605,2.805,57.81333,"October 21, 22",0.02805
2022-10-20,57.47,60.2,57.4,57.77,57.77,7.9306131E7,7.9306131E7,0.3,0.522,58.45667,"October 20, 22",0.00522
2022-10-19,57.325,59.0376,56.57,57.23,57.23,7.5661769E7,7.5661769E7,-0.095,-0.166,57.61253,"October 19, 22",-0.00166
2022-10-18,59.91,60.49,56.4,57.92,57.92,1.0302764E8,1.0302764E8,-1.99,-3.322,58.27,"October 18, 22",-0.03322
2022-10-17,57.35,58.51,57.1,57.96,57.96,7.6929414E7,7.6929414E7,0.61,1.064,57.85667,"October 17, 22",0.01064
2022-10-14,59.6,59.94,55.835,55.94,55.94,9.6938281E7,9.6938281E7,-3.66,-6.141,57.23833,"October 14, 22",-0.06141
2022-10-13,55.52,60.14,54.57,58.94,58.94,1.30913429E8,1.30913429E8,3.42,6.16,57.88333,"October 13, 22",0.0616
2022-10-12,57.45,58.32,56.32,57.85,57.85,8.9246952E7,8.9246952E7,0.4,0.696,57.49667,"October 12, 22",0.00696
2022-10-11,57.21,58.915,56.05,57.63,57.63,1.14026162E8,1.14026162E8,0.42,0.734,57.53167,"October 11, 22",0.00734
2022-10-10,57.31,58.79,56.3,57.81,57.81,1.12221338E8,1.12221338E8,0.5,0.872,57.63333,"October 10, 22",0.00872
2022-10-07,64.0101,64.03,58.22,58.44,58.44,1.62805756E8,1.62805756E8,-5.5701,-8.702,60.23,"October 07, 22",-0.08702
2022-10-06,67.82,70.29,67.661,67.85,67.85,9.5373642E7,9.5373642E7,0.03,0.044,68.60033,"October 06, 22",4.4E-4
2022-10-05,66.59,68.69,64.515,67.94,67.94,8.7053646E7,8.7053646E7,1.35,2.027,67.04833,"October 05, 22",0.02027
2022-10-04,68.27,69.18,67.33,67.9,67.9,7.7146981E7,7.7146981E7,-0.37,-0.542,68.13667,"October 04, 22",-0.00542
2022-10-03,64.46,66.91,63.39,66.11,66.11,8.1399733E7,8.1399733E7,1.65,2.56,65.47,"October 03, 22",0.0256
