date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,43.78,45.395,43.37,45.2,45.2,8071888.0,8071888.0,1.42,3.243,44.655,"October 25, 22",0.03243
2022-10-24,43.298,44.42,42.96,43.76,43.76,7898874.0,7898874.0,0.462,1.067,43.71333,"October 24, 22",0.01067
2022-10-21,41.91,43.2,41.51,43.19,43.19,8482127.0,8482127.0,1.28,3.054,42.63333,"October 21, 22",0.03054
2022-10-20,42.2000008,43.1300011,41.2900009,41.5099983,41.5099983,7123100.0,7123100.0,-0.69,-1.635,41.97667,"October 20, 22",-0.01635
2022-10-19,39.9500008,41.9399986,39.8199997,41.9099998,41.6599998,7881900.0,7881900.0,1.71,4.28,41.14,"October 19, 22",0.0428
2022-10-18,40.3499985,40.9500008,38.9700012,39.8199997,39.5824661,7240600.0,7240600.0,-0.76753,-1.902,39.83416,"October 18, 22",-0.01902
2022-10-17,40.3600006,41.7799988,39.7400017,40.0999985,39.8607941,7270300.0,7270300.0,-0.49921,-1.237,40.46026,"October 17, 22",-0.01237
2022-10-14,41.2999992,42.1800003,39.6699982,39.9300003,39.6918106,7625000.0,7625000.0,-1.60819,-3.894,40.51394,"October 14, 22",-0.03894
2022-10-13,39.7999992,42.25,39.7200012,41.8600006,41.6102982,1.03942E7,1.03942E7,1.8103,4.548,41.19343,"October 13, 22",0.04548
2022-10-12,40.0999985,41.2799988,39.0600014,40.75,40.5069199,7373700.0,7373700.0,0.40692,1.015,40.28231,"October 12, 22",0.01015
2022-10-11,40.0999985,41.5400009,39.8600006,40.4799995,40.2385292,7325300.0,7325300.0,0.13853,0.345,40.54618,"October 11, 22",0.00345
2022-10-10,42.2599983,43.2599983,41.0299988,41.1699982,40.9244118,1.00507E7,1.00507E7,-1.33559,-3.16,41.73814,"October 10, 22",-0.0316
2022-10-07,42.1599998,43.7099991,41.9300003,42.5200005,42.2663612,1.09162E7,1.09162E7,0.10636,0.252,42.63545,"October 07, 22",0.00252
2022-10-06,40.1899986,42.3600006,40.0900002,42.2000008,41.9482689,8897800.0,8897800.0,1.75827,4.375,41.46609,"October 06, 22",0.04375
2022-10-05,39.0999985,40.9300003,38.5900002,40.5200005,40.2782898,1.19254E7,1.19254E7,1.17829,3.014,39.93276,"October 05, 22",0.03014
2022-10-04,38.6300011,39.4599991,37.9399986,39.1599998,38.926403,1.02802E7,1.02802E7,0.2964,0.767,38.77547,"October 04, 22",0.00767
2022-10-03,35.9500008,37.3899994,35.8100014,37.2999992,37.0774994,1.28972E7,1.28972E7,1.1275,3.136,36.75917,"October 03, 22",0.03136
2022-09-30,34.1399994,35.0699997,33.7700005,34.1899986,33.9860497,7703800.0,7703800.0,-0.15395,-0.451,34.27535,"September 30, 22",-0.00451
2022-09-29,34.2799988,35.0400009,33.25,34.9500008,34.7415161,9094300.0,9094300.0,0.46152,1.346,34.34384,"September 29, 22",0.01346
2022-09-28,32.9399986,34.8400002,32.8800011,34.6699982,34.4631844,1.04227E7,1.04227E7,1.52319,4.624,34.06106,"September 28, 22",0.04624
2022-09-27,32.8300018,33.4099998,31.9799995,32.6800003,32.4850578,1.05167E7,1.05167E7,-0.34494,-1.051,32.62502,"September 27, 22",-0.01051
2022-09-26,32.9900017,33.75,31.8299999,31.8400002,31.6500683,1.0152E7,1.0152E7,-1.33993,-4.062,32.41002,"September 26, 22",-0.04062
2022-09-23,35.0299988,35.1800003,32.1300011,32.8699989,32.6739235,1.7285E7,1.7285E7,-2.35608,-6.726,33.32797,"September 23, 22",-0.06726
2022-09-22,39.0299988,39.5299988,37.0999985,37.1100006,36.8886337,7355900.0,7355900.0,-2.14137,-5.486,37.83954,"September 22, 22",-0.05486
2022-09-21,40.2400017,40.6699982,38.4000015,38.4300003,38.2007599,5803800.0,5803800.0,-2.03924,-5.068,39.09025,"September 21, 22",-0.05068
2022-09-20,40.2599983,40.2900009,38.8899994,39.5999985,39.3637772,6625400.0,6625400.0,-0.89622,-2.226,39.51459,"September 20, 22",-0.02226
2022-09-19,39.0900002,40.9099998,39.0099983,40.4500008,40.2087097,6049600.0,6049600.0,1.11871,2.862,40.0429,"September 19, 22",0.02862
2022-09-16,41.3499985,41.3800011,39.0800018,40.4599991,40.218647,1.21925E7,1.21925E7,-1.13135,-2.736,40.22622,"September 16, 22",-0.02736
2022-09-15,41.3800011,42.5800018,41.0900002,41.4900017,41.2425079,9221600.0,9221600.0,-0.13749,-0.332,41.6375,"September 15, 22",-0.00332
2022-09-14,39.6800003,42.2200012,39.5999985,41.7400017,41.4910164,8571900.0,8571900.0,1.81102,4.564,41.10367,"September 14, 22",0.04564
2022-09-13,39.6599998,40.7599983,38.6800003,39.1100006,38.8767014,7741400.0,7741400.0,-0.7833,-1.975,39.4389,"September 13, 22",-0.01975
2022-09-12,39.7400017,40.7700005,39.0099983,40.0,39.7613945,9459100.0,9459100.0,0.02139,0.054,39.84713,"September 12, 22",5.4E-4
2022-09-09,38.1599998,38.2900009,37.2999992,38.0900002,37.8627853,6043600.0,6043600.0,-0.29721,-0.779,37.8176,"September 09, 22",-0.00779
2022-09-08,36.8499985,37.5900002,36.6800003,36.9300003,36.7097054,7890200.0,7890200.0,-0.14029,-0.381,36.99324,"September 08, 22",-0.00381
2022-09-07,36.5900002,36.9700012,36.0200005,36.6699982,36.4512558,6496000.0,6496000.0,-0.13874,-0.379,36.48042,"September 07, 22",-0.00379
2022-09-06,38.9399986,39.3899994,37.6500015,37.8199997,37.5943985,6038700.0,6038700.0,-1.3456,-3.456,38.21147,"September 06, 22",-0.03456
2022-09-02,39.5299988,39.9799995,38.4500008,38.7999992,38.5685501,7528900.0,7528900.0,-0.96145,-2.432,38.99952,"September 02, 22",-0.02432
2022-09-01,38.4099998,38.4399986,36.8100014,37.9199982,37.6937981,7941600.0,7941600.0,-0.7162,-1.865,37.64793,"September 01, 22",-0.01865
2022-08-31,38.1699982,40.25,37.8300018,39.1100006,38.8767014,8810800.0,8810800.0,0.7067,1.851,38.98557,"August 31, 22",0.01851
2022-08-30,40.2400017,40.6500015,38.7799988,39.3199997,39.0854492,1.0661E7,1.0661E7,-1.15455,-2.869,39.50515,"August 30, 22",-0.02869
2022-08-29,39.9300003,42.6399994,39.7599983,41.3600006,41.1132812,9132000.0,9132000.0,1.18328,2.963,41.17109,"August 29, 22",0.02963
2022-08-26,40.4599991,41.3100014,39.7400017,40.1800003,39.9403191,6616500.0,6616500.0,-0.51968,-1.284,40.33011,"August 26, 22",-0.01284
2022-08-25,40.4900017,40.9399986,39.4700012,40.4000015,40.159008,6662300.0,6662300.0,-0.33099,-0.817,40.18967,"August 25, 22",-0.00817
2022-08-24,39.0499992,40.6899986,38.7999992,40.3100014,40.0695457,1.03054E7,1.03054E7,1.01955,2.611,39.85318,"August 24, 22",0.02611
2022-08-23,37.8699989,39.9300003,37.6399994,38.7900009,38.5586128,9826800.0,9826800.0,0.68861,1.818,38.70954,"August 23, 22",0.01818
2022-08-22,35.5800018,36.8600006,34.4799995,36.7900009,36.5705414,8267100.0,8267100.0,0.99054,2.784,35.97018,"August 22, 22",0.02784
2022-08-19,35.9599991,36.9799995,35.6599998,36.1500015,35.9343605,9014900.0,9014900.0,-0.02564,-0.071,36.19145,"August 19, 22",-7.1E-4
2022-08-18,34.2999992,36.5800018,34.2999992,36.5,36.2822723,8864800.0,8864800.0,1.98227,5.779,35.72076,"August 18, 22",0.05779
2022-08-17,33.0400009,33.9500008,32.7999992,33.6300011,33.4293938,6803000.0,6803000.0,0.38939,1.179,33.39313,"August 17, 22",0.01179
2022-08-16,34.1500015,34.5900002,33.0,33.2200012,33.0218391,6611300.0,6611300.0,-1.12816,-3.304,33.53728,"August 16, 22",-0.03304
2022-08-15,32.9099998,33.9799995,32.3699989,33.5699997,33.3697472,5921600.0,5921600.0,0.45975,1.397,33.23992,"August 15, 22",0.01397
2022-08-12,34.5,35.0900002,33.9900017,34.7000008,34.4930077,6904700.0,6904700.0,-0.00699,-0.02,34.52434,"August 12, 22",-2.0E-4
2022-08-11,34.0,34.9900017,33.9500008,34.8400002,34.6321716,7353500.0,7353500.0,0.63217,1.859,34.52406,"August 11, 22",0.01859
2022-08-10,33.0200005,33.6800003,31.8799992,33.2200012,33.0218391,5988100.0,5988100.0,0.00184,0.006,32.86061,"August 10, 22",6.0E-5
2022-08-09,32.9000015,33.7900009,32.4799995,32.6800003,32.4850578,6347400.0,6347400.0,-0.41494,-1.261,32.91835,"August 09, 22",-0.01261
2022-08-08,31.5400009,32.7099991,31.4200001,32.2099991,32.0178604,7015100.0,7015100.0,0.47786,1.515,32.04929,"August 08, 22",0.01515
2022-08-05,30.2900009,32.6599998,30.1499996,31.75,31.560606,8250100.0,8250100.0,1.27061,4.195,31.45687,"August 05, 22",0.04195
