date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,72.73,72.985,72.445,72.5,72.5,6576715.0,6576715.0,-0.23,-0.316,72.64333,"October 25, 22",-0.00316
2022-10-24,72.83,72.83,71.89,72.51,72.51,4495276.0,4495276.0,-0.32,-0.439,72.41,"October 24, 22",-0.00439
2022-10-21,72.93,73.17,72.43,72.71,72.71,4370958.0,4370958.0,-0.22,-0.302,72.77,"October 21, 22",-0.00302
2022-10-20,72.24,73.83,72.24,73.31,73.31,5178713.0,5178713.0,1.07,1.481,73.12667,"October 20, 22",0.01481
2022-10-19,72.01,72.471,71.79,72.21,72.21,4602737.0,4602737.0,0.2,0.278,72.157,"October 19, 22",0.00278
2022-10-18,72.23,72.5,72.03,72.26,72.26,5305736.0,5305736.0,0.03,0.042,72.26333,"October 18, 22",4.2E-4
2022-10-17,72.8,72.93,71.71,71.76,71.76,1.4494788E7,1.4494788E7,-1.04,-1.429,72.13333,"October 17, 22",-0.01429
2022-10-14,73.44,73.66,72.0811,72.13,72.13,5141785.0,5141785.0,-1.31,-1.784,72.6237,"October 14, 22",-0.01784
2022-10-13,72.92,73.89,72.43,73.12,73.12,6040986.0,6040986.0,0.2,0.274,73.14667,"October 13, 22",0.00274
2022-10-12,73.54,73.65,73.17,73.5,73.5,4096749.0,4096749.0,-0.04,-0.054,73.44,"October 12, 22",-5.4E-4
2022-10-11,73.6,74.02,73.245,73.55,73.55,5380196.0,5380196.0,-0.05,-0.068,73.605,"October 11, 22",-6.8E-4
2022-10-10,73.35,74.11,73.28,73.75,73.75,4282505.0,4282505.0,0.4,0.545,73.71333,"October 10, 22",0.00545
2022-10-07,73.59,73.73,73.04,73.35,73.35,4207406.0,4207406.0,-0.24,-0.326,73.37333,"October 07, 22",-0.00326
2022-10-06,74.09,74.39,73.65,73.83,73.83,5820769.0,5820769.0,-0.26,-0.351,73.95667,"October 06, 22",-0.00351
2022-10-05,74.84,75.0,73.83,74.11,74.11,7540810.0,7540810.0,-0.73,-0.975,74.31333,"October 05, 22",-0.00975
2022-10-04,74.71,75.38,74.56,75.0,75.0,9470200.0,9470200.0,0.29,0.388,74.98,"October 04, 22",0.00388
2022-10-03,74.41,74.8,74.11,74.36,74.36,4560634.0,4560634.0,-0.05,-0.067,74.42333,"October 03, 22",-6.7E-4
2022-09-30,74.9,75.3,74.28,74.34,74.34,9498848.0,9498848.0,-0.56,-0.748,74.64,"September 30, 22",-0.00748
2022-09-29,75.19,75.255,74.33,74.87,74.87,5953948.0,5953948.0,-0.32,-0.426,74.81833,"September 29, 22",-0.00426
2022-09-28,74.86,75.72,74.42,75.39,75.39,4959698.0,4959698.0,0.53,0.708,75.17667,"September 28, 22",0.00708
2022-09-27,74.7,75.33,74.47,74.86,74.86,6324458.0,6324458.0,0.16,0.214,74.88667,"September 27, 22",0.00214
2022-09-26,74.84,75.32,74.25,74.33,74.33,5572170.0,5572170.0,-0.51,-0.681,74.63333,"September 26, 22",-0.00681
2022-09-23,76.59,76.65,74.82,74.95,74.95,8177074.0,8177074.0,-1.64,-2.141,75.47333,"September 23, 22",-0.02141
2022-09-22,75.305,77.23,75.18,77.03,77.03,8426762.0,8426762.0,1.725,2.291,76.48,"September 22, 22",0.02291
2022-09-21,75.18,76.14,74.835,75.32,75.32,5320030.0,5320030.0,0.14,0.186,75.43167,"September 21, 22",0.00186
2022-09-20,76.0,76.15,75.0,75.04,75.04,4835805.0,4835805.0,-0.96,-1.263,75.39667,"September 20, 22",-0.01263
2022-09-19,75.85,76.28,75.52,75.94,75.94,5836907.0,5836907.0,0.09,0.119,75.91333,"September 19, 22",0.00119
2022-09-16,76.71,77.07,75.78,76.02,76.02,1.8971162E7,1.8971162E7,-0.69,-0.899,76.29,"September 16, 22",-0.00899
2022-09-15,76.5,77.22,76.31,76.83,76.83,5472819.0,5472819.0,0.33,0.431,76.78667,"September 15, 22",0.00431
2022-09-14,77.0,77.14,76.04,76.6,76.6,6792975.0,6792975.0,-0.4,-0.519,76.59333,"September 14, 22",-0.00519
2022-09-13,77.49,78.04,76.635,76.76,76.76,5873541.0,5873541.0,-0.73,-0.942,77.145,"September 13, 22",-0.00942
2022-09-12,78.75,78.91,77.95,78.13,78.13,4798786.0,4798786.0,-0.62,-0.787,78.33,"September 12, 22",-0.00787
2022-09-09,77.57,78.57,77.39,78.51,78.51,5830249.0,5830249.0,0.94,1.212,78.15667,"September 09, 22",0.01212
2022-09-08,77.62,77.69,77.0,77.39,77.39,5949999.0,5949999.0,-0.23,-0.296,77.36,"September 08, 22",-0.00296
