date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,4.51,4.63,4.505,4.55,4.55,1.550514E7,1.550514E7,0.04,0.887,4.56167,"October 25, 22",0.00887
2022-10-24,4.54,4.55,4.41,4.48,4.48,1.5916084E7,1.5916084E7,-0.06,-1.322,4.48,"October 24, 22",-0.01322
2022-10-21,4.37,4.6,4.37,4.58,4.58,2.1473364E7,2.1473364E7,0.21,4.805,4.51667,"October 21, 22",0.04805
2022-10-20,4.3,4.45,4.3,4.39,4.39,1.3847137E7,1.3847137E7,0.09,2.093,4.38,"October 20, 22",0.02093
2022-10-19,4.39,4.415,4.255,4.31,4.31,1.6828988E7,1.6828988E7,-0.08,-1.822,4.32667,"October 19, 22",-0.01822
2022-10-18,4.54,4.55,4.43,4.48,4.48,1.1573027E7,1.1573027E7,-0.06,-1.322,4.48667,"October 18, 22",-0.01322
2022-10-17,4.48,4.55,4.47,4.48,4.48,1.0447901E7,1.0447901E7,0.0,0.0,4.5,"October 17, 22",0.0
2022-10-14,4.57,4.575,4.33,4.36,4.36,1.2744281E7,1.2744281E7,-0.21,-4.595,4.42167,"October 14, 22",-0.04595
2022-10-13,4.54,4.6907,4.4325,4.63,4.63,1.5151786E7,1.5151786E7,0.09,1.982,4.5844,"October 13, 22",0.01982
2022-10-12,4.72,4.78,4.65,4.7,4.7,1.2881092E7,1.2881092E7,-0.02,-0.424,4.71,"October 12, 22",-0.00424
2022-10-11,4.72,4.88,4.6808,4.73,4.73,1.4724004E7,1.4724004E7,0.01,0.212,4.7636,"October 11, 22",0.00212
2022-10-10,4.77,4.82,4.68,4.71,4.71,1.3970217E7,1.3970217E7,-0.06,-1.258,4.73667,"October 10, 22",-0.01258
2022-10-07,4.9099998,5.0300002,4.8299999,4.8400002,4.8400002,1.82328E7,1.82328E7,-0.07,-1.426,4.9,"October 07, 22",-0.01426
2022-10-06,4.8800001,5.0,4.8600001,4.98,4.98,1.79401E7,1.79401E7,0.1,2.049,4.94667,"October 06, 22",0.02049
2022-10-05,4.8499999,4.9200001,4.79,4.9200001,4.9200001,2.3823E7,2.3823E7,0.07,1.443,4.87667,"October 05, 22",0.01443
2022-10-04,4.9299998,5.0799999,4.8899999,4.98,4.98,2.11806E7,2.11806E7,0.05,1.014,4.98333,"October 04, 22",0.01014
2022-10-03,4.6100001,4.8200002,4.5799999,4.8099999,4.8099999,1.88628E7,1.88628E7,0.2,4.338,4.73667,"October 03, 22",0.04338
2022-09-30,4.5,4.6399999,4.4699998,4.5300002,4.5300002,1.77288E7,1.77288E7,0.03,0.667,4.54667,"September 30, 22",0.00667
2022-09-29,4.4099998,4.5500002,4.3499999,4.52,4.52,1.76488E7,1.76488E7,0.11,2.494,4.47333,"September 29, 22",0.02494
