date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,65.08,66.1788,61.26,63.22,63.22,6.886104E7,6.886104E7,-1.86,-2.858,63.55293,"October 25, 22",-0.02858
2022-10-24,63.39,64.1,58.01,63.15,63.15,1.00660851E8,1.00660851E8,-0.24,-0.379,61.75333,"October 24, 22",-0.00379
2022-10-21,71.2,72.79,69.4652,72.18,72.18,1.9319899E7,1.9319899E7,0.98,1.376,71.4784,"October 21, 22",0.01376
2022-10-20,71.6,74.94,71.55,72.02,72.02,1.9070358E7,1.9070358E7,0.42,0.587,72.83667,"October 20, 22",0.00587
2022-10-19,73.28,74.33,70.52,71.27,71.27,2.2882838E7,2.2882838E7,-2.01,-2.743,72.04,"October 19, 22",-0.02743
2022-10-18,78.01,78.64,75.06,76.34,76.34,1.4945793E7,1.4945793E7,-1.67,-2.141,76.68,"October 18, 22",-0.02141
2022-10-17,75.15,77.87,75.11,76.77,76.77,1.4373912E7,1.4373912E7,1.62,2.156,76.58333,"October 17, 22",0.02156
2022-10-14,76.05,76.14,72.78,73.02,73.02,1.367567E7,1.367567E7,-3.03,-3.984,73.98,"October 14, 22",-0.03984
2022-10-13,72.24,75.78,71.4,75.01,75.01,1.7072767E7,1.7072767E7,2.77,3.834,74.06333,"October 13, 22",0.03834
2022-10-12,74.9,76.678,74.03,75.73,75.73,1.2946699E7,1.2946699E7,0.83,1.108,75.47933,"October 12, 22",0.01108
2022-10-11,77.38,77.84,74.14,75.37,75.37,1.8226679E7,1.8226679E7,-2.01,-2.598,75.78333,"October 11, 22",-0.02598
2022-10-10,79.77,79.79,77.7,79.24,79.24,1.3055887E7,1.3055887E7,-0.53,-0.664,78.91,"October 10, 22",-0.00664
2022-10-07,82.35,83.71,80.755,81.24,81.24,1.1528053E7,1.1528053E7,-1.11,-1.348,81.90167,"October 07, 22",-0.01348
2022-10-06,84.07,85.25,83.52,84.32,84.32,1.1576449E7,1.1576449E7,0.25,0.297,84.36333,"October 06, 22",0.00297
2022-10-05,84.1,86.29,83.25,84.39,84.39,1.3019563E7,1.3019563E7,0.29,0.345,84.64333,"October 05, 22",0.00345
2022-10-04,83.0,85.0326,82.34,84.11,84.11,1.7582928E7,1.7582928E7,1.11,1.337,83.82753,"October 04, 22",0.01337
2022-10-03,79.76,80.925,78.05,80.45,80.45,1.3250484E7,1.3250484E7,0.69,0.865,79.80833,"October 03, 22",0.00865
2022-09-30,78.74,81.78,78.65,79.99,79.99,1.7068734E7,1.7068734E7,1.25,1.588,80.14,"September 30, 22",0.01588
2022-09-29,78.05,79.19,76.74,79.06,79.06,1.7900108E7,1.7900108E7,1.01,1.294,78.33,"September 29, 22",0.01294
2022-09-28,76.485,81.48,76.28,80.99,80.99,2.0707988E7,2.0707988E7,4.505,5.89,79.58333,"September 28, 22",0.0589
2022-09-27,79.43,80.41,77.1,77.87,77.87,1.6650111E7,1.6650111E7,-1.56,-1.964,78.46,"September 27, 22",-0.01964
2022-09-26,79.94,80.9855,78.78,78.91,78.91,1.7718738E7,1.7718738E7,-1.03,-1.288,79.5585,"September 26, 22",-0.01288
2022-09-23,79.26,79.77,77.6,78.8,78.8,2.0476512E7,2.0476512E7,-0.46,-0.58,78.72333,"September 23, 22",-0.0058
2022-09-22,82.63,83.28,80.17,80.71,80.71,1.8957945E7,1.8957945E7,-1.92,-2.324,81.38667,"September 22, 22",-0.02324
2022-09-21,85.12,85.16,81.5,81.6,81.6,2.3551514E7,2.3551514E7,-3.52,-4.135,82.75333,"September 21, 22",-0.04135
2022-09-20,87.95,88.73,85.01,85.8,85.8,1.9130153E7,1.9130153E7,-2.15,-2.445,86.51333,"September 20, 22",-0.02445
2022-09-19,85.1,87.765,85.0,87.66,87.66,1.2591482E7,1.2591482E7,2.56,3.008,86.80833,"September 19, 22",0.03008
2022-09-16,87.7,88.25,85.42,86.43,86.43,1.932279E7,1.932279E7,-1.27,-1.448,86.7,"September 16, 22",-0.01448
2022-09-15,88.63,91.095,88.2,88.83,88.83,1.2164032E7,1.2164032E7,0.2,0.226,89.375,"September 15, 22",0.00226
2022-09-14,89.46,89.78,88.17,88.92,88.92,1.0732856E7,1.0732856E7,-0.54,-0.604,88.95667,"September 14, 22",-0.00604
2022-09-13,90.76,92.18,89.23,89.47,89.47,1.9213413E7,1.9213413E7,-1.29,-1.421,90.29333,"September 13, 22",-0.01421
2022-09-12,92.42,94.84,91.81,94.69,94.69,1.5505952E7,1.5505952E7,2.27,2.456,93.78,"September 12, 22",0.02456
2022-09-09,91.05,92.9,90.72,92.14,92.14,1.0553153E7,1.0553153E7,1.09,1.197,91.92,"September 09, 22",0.01197
2022-09-08,88.56,90.1799,88.28,89.52,89.52,1.2123993E7,1.2123993E7,0.96,1.084,89.32663,"September 08, 22",0.01084
2022-09-07,88.52,90.86,87.7564,90.6,90.6,1.1553853E7,1.1553853E7,2.08,2.35,89.7388,"September 07, 22",0.0235
2022-09-06,89.32,89.47,87.8,88.45,88.45,1.5551861E7,1.5551861E7,-0.87,-0.974,88.57333,"September 06, 22",-0.00974
2022-09-02,91.77,93.668,90.77,91.8,91.8,1.2154529E7,1.2154529E7,0.03,0.033,92.07933,"September 02, 22",3.3E-4
2022-09-01,92.75,94.52,91.67,93.71,93.71,1.1901228E7,1.1901228E7,0.96,1.035,93.3,"September 01, 22",0.01035
2022-08-31,96.66,98.62,94.92,95.41,95.41,1.6097554E7,1.6097554E7,-1.25,-1.293,96.31667,"August 31, 22",-0.01293
