date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,34.74,35.58,34.53,35.39,35.39,3.6656598E7,3.6656598E7,0.65,1.871,35.16667,"October 25, 22",0.01871
2022-10-24,35.11,35.26,34.705,35.07,35.07,3.3767499E7,3.3767499E7,-0.04,-0.114,35.01167,"October 24, 22",-0.00114
2022-10-21,33.56,35.04,33.56,34.95,34.95,5.4871191E7,5.4871191E7,1.39,4.142,34.51667,"October 21, 22",0.04142
2022-10-20,33.98,34.63,33.59,33.7,33.7,3.9525221E7,3.9525221E7,-0.28,-0.824,33.97333,"October 20, 22",-0.00824
2022-10-19,34.58,34.83,33.77,33.92,33.92,4.3143094E7,4.3143094E7,-0.66,-1.909,34.17333,"October 19, 22",-0.01909
2022-10-18,34.98,35.36,34.28,34.88,34.88,8.1892459E7,8.1892459E7,-0.1,-0.286,34.84,"October 18, 22",-0.00286
2022-10-17,33.36,33.87,32.87,33.62,33.62,8.8900177E7,8.8900177E7,0.26,0.779,33.45333,"October 17, 22",0.00779
2022-10-14,31.81,32.63,31.57,31.7,31.7,5.8173001E7,5.8173001E7,-0.11,-0.346,31.96667,"October 14, 22",-0.00346
2022-10-13,29.41,31.77,29.31,31.69,31.69,6.7677696E7,6.7677696E7,2.28,7.752,30.92333,"October 13, 22",0.07752
2022-10-12,29.64,30.3099,29.48,29.86,29.86,3.6141454E7,3.6141454E7,0.22,0.742,29.8833,"October 12, 22",0.00742
2022-10-11,30.37,30.47,29.57,29.77,29.77,5.812924E7,5.812924E7,-0.6,-1.976,29.93667,"October 11, 22",-0.01976
2022-10-10,30.9,31.045,30.35,30.66,30.66,3.7672523E7,3.7672523E7,-0.24,-0.777,30.685,"October 10, 22",-0.00777
2022-10-07,31.17,31.24,30.525,30.75,30.75,5.2309662E7,5.2309662E7,-0.42,-1.347,30.83833,"October 07, 22",-0.01347
2022-10-06,31.6,31.88,31.3619,31.46,31.46,4.0893398E7,4.0893398E7,-0.14,-0.443,31.5673,"October 06, 22",-0.00443
2022-10-05,31.54,32.03,31.45,31.92,31.92,3.5793607E7,3.5793607E7,0.38,1.205,31.8,"October 05, 22",0.01205
2022-10-04,31.72,32.52,31.66,32.38,32.38,3.9760816E7,3.9760816E7,0.66,2.081,32.18667,"October 04, 22",0.02081
2022-10-03,30.59,31.28,30.2,31.09,31.09,3.459255E7,3.459255E7,0.5,1.635,30.85667,"October 03, 22",0.01635
2022-09-30,30.76,31.19,30.165,30.2,30.2,4.229824E7,4.229824E7,-0.56,-1.821,30.51833,"September 30, 22",-0.01821
2022-09-29,30.69,30.8984,30.21,30.66,30.66,3.5223715E7,3.5223715E7,-0.03,-0.098,30.58947,"September 29, 22",-9.8E-4
2022-09-28,30.53,31.31,30.39,31.07,31.07,3.8374612E7,3.8374612E7,0.54,1.769,30.92333,"September 28, 22",0.01769
2022-09-27,31.27,31.3679,30.295,30.57,30.57,4.3396831E7,4.3396831E7,-0.7,-2.239,30.7443,"September 27, 22",-0.02239
2022-09-26,31.3199997,31.8199997,30.6800003,31.0300007,31.0300007,4.03602E7,4.03602E7,-0.29,-0.926,31.17667,"September 26, 22",-0.00926
2022-09-23,31.9300003,32.0900002,31.2099991,31.7299995,31.7299995,5.52997E7,5.52997E7,-0.2,-0.626,31.67667,"September 23, 22",-0.00626
2022-09-22,33.3100014,33.4199982,32.3899994,32.5,32.5,4.75275E7,4.75275E7,-0.81,-2.432,32.77,"September 22, 22",-0.02432
2022-09-21,34.3100014,34.4000015,33.1199989,33.1500015,33.1500015,5.16678E7,5.16678E7,-1.16,-3.381,33.55667,"September 21, 22",-0.03381
2022-09-20,34.5,34.7799988,33.8800011,34.1699982,34.1699982,3.35911E7,3.35911E7,-0.33,-0.957,34.27667,"September 20, 22",-0.00957
2022-09-19,33.7200012,34.8699989,33.6300011,34.6899986,34.6899986,2.9782E7,2.9782E7,0.97,2.877,34.39667,"September 19, 22",0.02877
2022-09-16,34.1899986,34.2299995,33.6599998,34.1199989,34.1199989,5.42352E7,5.42352E7,-0.07,-0.205,34.00333,"September 16, 22",-0.00205
2022-09-15,33.7900009,34.9000015,33.7000008,34.5099983,34.5099983,4.48633E7,4.48633E7,0.72,2.131,34.37,"September 15, 22",0.02131
2022-09-14,34.2000008,34.4199982,33.5400009,33.8699989,33.8699989,3.20044E7,3.20044E7,-0.33,-0.965,33.94333,"September 14, 22",-0.00965
2022-09-13,34.5800018,34.7200012,33.8100014,34.0,34.0,4.09596E7,4.09596E7,-0.58,-1.677,34.17667,"September 13, 22",-0.01677
2022-09-12,35.2000008,35.6300011,35.0299988,35.2700005,35.2700005,3.0534E7,3.0534E7,0.07,0.199,35.31,"September 12, 22",0.00199
2022-09-09,34.9799995,35.25,34.8400002,34.9399986,34.9399986,3.72951E7,3.72951E7,-0.04,-0.114,35.01,"September 09, 22",-0.00114
2022-09-08,33.4599991,34.7299995,33.2700005,34.6500015,34.6500015,4.43618E7,4.43618E7,1.19,3.556,34.21667,"September 08, 22",0.03556
2022-09-07,32.8100014,33.6699982,32.6300011,33.5699997,33.5699997,4.07426E7,4.07426E7,0.76,2.316,33.29,"September 07, 22",0.02316
2022-09-06,33.6399994,33.7299995,32.6100006,33.0600014,33.0600014,4.07624E7,4.07624E7,-0.58,-1.724,33.13333,"September 06, 22",-0.01724
2022-09-02,33.9300003,34.4799995,33.2700005,33.4300003,33.4300003,4.39874E7,4.39874E7,-0.5,-1.474,33.72667,"September 02, 22",-0.01474
2022-09-01,33.3400002,33.4900017,32.6599998,33.4700012,33.4700012,3.28489E7,3.28489E7,0.13,0.39,33.20667,"September 01, 22",0.0039
2022-08-31,34.1399994,34.3699989,33.5999985,33.6100006,33.3899994,4.49176E7,4.49176E7,-0.75,-2.197,33.78667,"August 31, 22",-0.02197
2022-08-30,34.1800003,34.2799988,33.5400009,34.0900002,33.8668594,4.81949E7,4.81949E7,-0.31314,-0.916,33.89562,"August 30, 22",-0.00916
2022-08-29,33.8600006,34.1500015,33.6100006,33.9000015,33.6781044,3.4931E7,3.4931E7,-0.1819,-0.537,33.8127,"August 29, 22",-0.00537
2022-08-26,35.4399986,35.4799995,34.0200005,34.0299988,33.807251,3.61526E7,3.61526E7,-1.63275,-4.607,34.43575,"August 26, 22",-0.04607
2022-08-25,34.5999985,35.2799988,34.4500008,35.1399994,34.9099846,4.05767E7,4.05767E7,0.30999,0.896,34.87999,"August 25, 22",0.00896
2022-08-24,34.25,34.7999992,34.0499992,34.5200005,34.2940445,3.13894E7,3.13894E7,0.04404,0.129,34.38135,"August 24, 22",0.00129
2022-08-23,34.6699982,34.9700012,34.3600006,34.4099998,34.1847649,2.6588E7,2.6588E7,-0.48523,-1.4,34.50492,"August 23, 22",-0.014
2022-08-22,34.75,34.8199997,34.4500008,34.7200012,34.4927368,3.12103E7,3.12103E7,-0.25726,-0.74,34.58758,"August 22, 22",-0.0074
2022-08-19,35.9599991,36.0299988,35.3100014,35.4799995,35.2477608,3.64854E7,3.64854E7,-0.71224,-1.981,35.52925,"August 19, 22",-0.01981
2022-08-18,36.25,36.4000015,36.0,36.2799988,36.0425224,2.31383E7,2.31383E7,-0.20748,-0.572,36.14751,"August 18, 22",-0.00572
2022-08-17,36.2000008,36.5900002,36.0800018,36.4099998,36.1716728,2.71256E7,2.71256E7,-0.02833,-0.078,36.28056,"August 17, 22",-7.8E-4
2022-08-16,36.1899986,36.9399986,36.0999985,36.6399994,36.4001656,3.18702E7,3.18702E7,0.21017,0.581,36.48005,"August 16, 22",0.00581
2022-08-15,35.8400002,36.2999992,35.6699982,36.25,36.0127182,2.4908E7,2.4908E7,0.17272,0.482,35.99424,"August 15, 22",0.00482
2022-08-12,36.1599998,36.3100014,35.6899986,36.2999992,36.0623932,3.18217E7,3.18217E7,-0.09761,-0.27,36.0208,"August 12, 22",-0.0027
2022-08-11,35.7700005,36.0600014,35.6500015,35.9099998,35.6749458,5.04208E7,5.04208E7,-0.09505,-0.266,35.79498,"August 11, 22",-0.00266
2022-08-10,34.5,35.4300003,34.4500008,35.0699997,34.8404427,6.14158E7,6.14158E7,0.34044,0.987,34.90681,"August 10, 22",0.00987
2022-08-09,33.6500015,33.9599991,33.4099998,33.9199982,33.6979675,4.01969E7,4.01969E7,0.04797,0.143,33.68932,"August 09, 22",0.00143
2022-08-08,34.1699982,34.2900009,33.4500008,33.4900017,33.2707863,3.34543E7,3.34543E7,-0.89921,-2.632,33.67026,"August 08, 22",-0.02632
2022-08-05,33.2799988,34.3300018,33.2400017,33.9599991,33.737709,3.58745E7,3.58745E7,0.45771,1.375,33.76924,"August 05, 22",0.01375
2022-08-04,33.5200005,33.6699982,33.1699982,33.4000015,33.1813774,2.84045E7,2.84045E7,-0.33862,-1.01,33.34046,"August 04, 22",-0.0101
2022-08-03,33.4199982,33.75,33.1699982,33.6399994,33.4198036,3.00658E7,3.00658E7,-1.9E-4,-0.001,33.4466,"August 03, 22",-1.0E-5
2022-08-02,33.5999985,33.7200012,33.0,33.0400009,32.8237305,3.78841E7,3.78841E7,-0.77627,-2.31,33.18124,"August 02, 22",-0.0231
2022-08-01,33.6199989,33.8899994,33.2200012,33.7099991,33.4893456,3.23367E7,3.23367E7,-0.13065,-0.389,33.53312,"August 01, 22",-0.00389
2022-07-29,33.4700012,33.9399986,33.3499985,33.8100014,33.5886917,4.81525E7,4.81525E7,0.11869,0.355,33.62623,"July 29, 22",0.00355
2022-07-28,33.5,33.75,32.9000015,33.3199997,33.1018982,4.01765E7,4.01765E7,-0.3981,-1.188,33.25063,"July 28, 22",-0.01188
2022-07-27,33.2400017,33.7700005,32.9500008,33.5900002,33.3701324,3.03448E7,3.03448E7,0.13013,0.391,33.36338,"July 27, 22",0.00391
2022-07-26,33.4099998,33.7799988,32.9599991,33.0499992,32.8336639,3.06457E7,3.06457E7,-0.57634,-1.725,33.19122,"July 26, 22",-0.01725
2022-07-25,33.7799988,33.9799995,33.4399986,33.7299995,33.5092125,3.0381E7,3.0381E7,-0.27079,-0.802,33.64307,"July 25, 22",-0.00802
2022-07-22,33.5999985,33.9399986,33.0900002,33.4300003,33.2111778,2.71154E7,2.71154E7,-0.38882,-1.157,33.41373,"July 22, 22",-0.01157
2022-07-21,33.0900002,33.6699982,32.9500008,33.6500015,33.4297409,3.1244E7,3.1244E7,0.33974,1.027,33.34991,"July 21, 22",0.01027
2022-07-20,33.1800003,33.4500008,32.9500008,33.3600006,33.1416359,3.55149E7,3.55149E7,-0.03836,-0.116,33.18055,"July 20, 22",-0.00116
2022-07-19,32.9000015,33.6199989,32.6800003,33.3499985,33.1317024,4.68749E7,4.68749E7,0.2317,0.704,33.1439,"July 19, 22",0.00704
2022-07-18,33.0800018,33.3800011,32.0999985,32.2599983,32.0488358,5.63829E7,5.63829E7,-1.03117,-3.117,32.50961,"July 18, 22",-0.03117
2022-07-15,30.6499996,32.6300011,30.6100006,32.25,32.0389023,7.78017E7,7.78017E7,1.3889,4.531,31.75963,"July 15, 22",0.04531
2022-07-14,30.0900002,30.2199993,29.6700001,30.1299992,29.9327774,5.17078E7,5.17078E7,-0.15722,-0.522,29.94093,"July 14, 22",-0.00522
2022-07-13,31.0699997,31.1499996,30.3999996,30.8400002,30.6381321,4.41537E7,4.41537E7,-0.43187,-1.39,30.72938,"July 13, 22",-0.0139
2022-07-12,31.0200005,32.0299988,30.9799995,31.3600006,31.1547279,3.9527E7,3.9527E7,0.13473,0.434,31.38824,"July 12, 22",0.00434
2022-07-11,31.5499992,31.7900009,31.2900009,31.4599991,31.2540722,2.93119E7,2.93119E7,-0.29593,-0.938,31.44469,"July 11, 22",-0.00938
2022-07-08,32.0099983,32.25,31.5599995,31.7900009,31.5819149,3.11538E7,3.11538E7,-0.42808,-1.337,31.7973,"July 08, 22",-0.01337
2022-07-07,31.5,32.0099983,31.4699993,31.8600006,31.6514549,4.01379E7,4.01379E7,0.15145,0.481,31.71048,"July 07, 22",0.00481
2022-07-06,31.0100002,31.25,30.6399994,30.9799995,30.7772141,3.59337E7,3.59337E7,-0.23279,-0.751,30.88907,"July 06, 22",-0.00751
2022-07-05,30.7999992,31.2399998,30.4500008,31.2399998,31.0355129,4.74118E7,4.74118E7,0.23551,0.765,30.9085,"July 05, 22",0.00765
2022-07-01,30.9799995,31.6700001,30.6299992,31.5599995,31.3534184,4.02361E7,4.02361E7,0.37342,1.205,31.21781,"July 01, 22",0.01205
2022-06-30,31.1700001,31.5499992,30.6399994,31.1299992,30.9262333,4.63123E7,4.63123E7,-0.24377,-0.782,31.03874,"June 30, 22",-0.00782
2022-06-29,32.2299995,32.4399986,31.6599998,31.8600006,31.6514549,3.51497E7,3.51497E7,-0.57854,-1.795,31.91715,"June 29, 22",-0.01795
2022-06-28,32.8300018,33.5,32.1899986,32.2599983,32.0488358,4.98638E7,4.98638E7,-0.78117,-2.379,32.57961,"June 28, 22",-0.02379
2022-06-27,32.4199982,32.5999985,31.9099998,32.3499985,32.1382446,4.79003E7,4.79003E7,-0.28175,-0.869,32.21608,"June 27, 22",-0.00869
2022-06-24,31.25,32.7700005,31.2299995,32.3100014,32.0985107,7.95047E7,7.95047E7,0.84851,2.715,32.03284,"June 24, 22",0.02715
2022-06-23,32.3800011,32.4099998,31.2600002,32.0800018,31.8700161,4.40915E7,4.40915E7,-0.50998,-1.575,31.84667,"June 23, 22",-0.01575
2022-06-22,32.3899994,32.9399986,32.3199997,32.5999985,32.3866081,3.83056E7,3.83056E7,-0.00339,-0.01,32.54887,"June 22, 22",-1.0E-4
2022-06-21,32.8899994,33.2900009,32.6199989,32.8499985,32.6349716,5.35372E7,5.35372E7,-0.25503,-0.775,32.84832,"June 21, 22",-0.00775
2022-06-17,32.0299988,32.5800018,31.6399994,31.9200001,31.7110634,8.04703E7,8.04703E7,-0.31894,-0.996,31.97702,"June 17, 22",-0.00996
2022-06-16,31.5,32.0,30.8600006,31.8500004,31.6415215,6.13634E7,6.13634E7,0.14152,0.449,31.50051,"June 16, 22",0.00449
2022-06-15,31.9799995,32.4900017,31.4200001,32.0499992,31.84021,5.15401E7,5.15401E7,-0.13979,-0.437,31.91674,"June 15, 22",-0.00437
2022-06-14,31.9200001,32.5999985,31.2299995,31.4599991,31.2540722,4.93498E7,4.93498E7,-0.66593,-2.086,31.69469,"June 14, 22",-0.02086
2022-06-13,32.3899994,32.7700005,31.7399998,32.0200005,31.8104076,6.12166E7,6.12166E7,-0.57959,-1.789,32.1068,"June 13, 22",-0.01789
2022-06-10,33.6800003,34.0400009,33.0200005,33.1699982,32.952877,4.93182E7,4.93182E7,-0.72712,-2.159,33.33763,"June 10, 22",-0.02159
2022-06-09,35.7400017,35.8400002,34.5,34.5099983,34.2841072,4.9419E7,4.9419E7,-1.45589,-4.074,34.8747,"June 09, 22",-0.04074
2022-06-08,35.9199982,36.1100006,35.5200005,35.8899994,35.6550751,3.35906E7,3.35906E7,-0.26492,-0.738,35.76169,"June 08, 22",-0.00738
2022-06-07,35.9000015,36.4099998,35.7400017,36.3499985,36.1120644,2.91522E7,2.91522E7,0.21206,0.591,36.08736,"June 07, 22",0.00591
2022-06-06,36.7000008,37.2099991,36.0999985,36.1500015,35.9133759,4.0394E7,4.0394E7,-0.78662,-2.143,36.40779,"June 06, 22",-0.02143
2022-06-03,36.4799995,36.6800003,36.1300011,36.1899986,35.9531097,2.52352E7,2.52352E7,-0.52689,-1.444,36.25437,"June 03, 22",-0.01444
2022-06-02,36.4099998,36.7099991,36.0699997,36.7000008,36.459774,3.53419E7,3.53419E7,0.04977,0.137,36.41326,"June 02, 22",0.00137
2022-06-01,37.4599991,37.4700012,36.1699982,36.6699982,36.221344,3.52379E7,3.52379E7,-1.23866,-3.307,36.62045,"June 01, 22",-0.03307
2022-05-31,36.8199997,37.5299988,36.6100006,37.2000008,36.7448616,7.16092E7,7.16092E7,-0.07514,-0.204,36.96162,"May 31, 22",-0.00204
2022-05-27,36.8899994,37.0499992,36.5800018,37.0200005,36.5670624,4.33656E7,4.33656E7,-0.32294,-0.875,36.73235,"May 27, 22",-0.00875
2022-05-26,36.5,36.8400002,36.3400002,36.6699982,36.221344,6.02012E7,6.02012E7,-0.27866,-0.763,36.46711,"May 26, 22",-0.00763
2022-05-25,35.5,36.2700005,35.2900009,35.8400002,35.4015007,4.93434E7,4.93434E7,-0.0985,-0.277,35.65383,"May 25, 22",-0.00277
2022-05-24,35.4700012,35.9599991,34.9599991,35.6500015,35.2138252,4.61467E7,4.61467E7,-0.25618,-0.722,35.37794,"May 24, 22",-0.00722
2022-05-23,34.7599983,36.2599983,34.6599998,35.8699989,35.4311333,6.90819E7,6.90819E7,0.67113,1.931,35.45038,"May 23, 22",0.01931
2022-05-20,34.7999992,34.9799995,32.9599991,33.8600006,33.4457245,6.24065E7,6.24065E7,-1.35427,-3.892,33.79524,"May 20, 22",-0.03892
2022-05-19,34.2900009,34.8400002,34.25,34.4500008,34.0285072,4.70027E7,4.70027E7,-0.26149,-0.763,34.37284,"May 19, 22",-0.00763
2022-05-18,35.6199989,35.6899986,34.5999985,34.8800011,34.4532471,4.73969E7,4.73969E7,-1.16675,-3.276,34.91441,"May 18, 22",-0.03276
2022-05-17,35.6199989,36.2200012,35.4300003,35.9900017,35.5496674,4.26356E7,4.26356E7,-0.07033,-0.197,35.73322,"May 17, 22",-0.00197
