date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,3.7,3.77,3.675,3.68,3.68,2.6971453E7,2.6971453E7,-0.02,-0.541,3.70833,"October 25, 22",-0.00541
2022-10-24,3.87,3.885,3.7,3.74,3.74,6.1347132E7,6.1347132E7,-0.13,-3.359,3.775,"October 24, 22",-0.03359
2022-10-21,3.86,4.04,3.86,3.99,3.99,5.8346308E7,5.8346308E7,0.13,3.368,3.96333,"October 21, 22",0.03368
2022-10-20,3.86,3.9,3.84,3.86,3.86,2.740424E7,2.740424E7,0.0,0.0,3.86667,"October 20, 22",0.0
2022-10-19,3.76,3.815,3.7549,3.79,3.79,2.4860441E7,2.4860441E7,0.03,0.798,3.78663,"October 19, 22",0.00798
2022-10-18,3.82,3.83,3.74,3.8,3.8,2.9627653E7,2.9627653E7,-0.02,-0.524,3.79,"October 18, 22",-0.00524
2022-10-17,3.78,3.8,3.73,3.75,3.75,1.776995E7,1.776995E7,-0.03,-0.794,3.76,"October 17, 22",-0.00794
2022-10-14,3.79,3.82,3.68,3.71,3.71,3.0982097E7,3.0982097E7,-0.08,-2.111,3.73667,"October 14, 22",-0.02111
2022-10-13,3.82,3.825,3.695,3.78,3.78,4.5926483E7,4.5926483E7,-0.04,-1.047,3.76667,"October 13, 22",-0.01047
2022-10-12,3.82,3.83,3.68,3.71,3.71,3.8764442E7,3.8764442E7,-0.11,-2.88,3.74,"October 12, 22",-0.0288
2022-10-11,3.85,3.8898,3.78,3.84,3.84,3.9120084E7,3.9120084E7,-0.01,-0.26,3.8366,"October 11, 22",-0.0026
2022-10-10,3.86,3.94,3.84,3.88,3.88,3.9809876E7,3.9809876E7,0.02,0.518,3.88667,"October 10, 22",0.00518
2022-10-07,3.92,3.95,3.84,3.95,3.95,4.6618787E7,4.6618787E7,0.03,0.765,3.91333,"October 07, 22",0.00765
2022-10-06,4.09,4.15,4.01,4.04,4.04,4.7547307E7,4.7547307E7,-0.05,-1.222,4.06667,"October 06, 22",-0.01222
2022-10-05,4.07,4.16,4.04,4.12,4.12,2.6015024E7,2.6015024E7,0.05,1.229,4.10667,"October 05, 22",0.01229
2022-10-04,4.1199999,4.1399999,4.0500002,4.0900002,4.0900002,3.70066E7,3.70066E7,-0.03,-0.728,4.09333,"October 04, 22",-0.00728
2022-10-03,3.8499999,4.1100001,3.8199999,4.0599999,4.0560002,5.26045E7,5.26045E7,0.206,5.351,3.99533,"October 03, 22",0.05351
2022-09-30,3.6600001,3.72,3.6300001,3.6800001,3.6763744,2.38807E7,2.38807E7,0.01637,0.447,3.67546,"September 30, 22",0.00447
2022-09-29,3.6300001,3.7,3.5699999,3.7,3.6963549,3.77612E7,3.77612E7,0.06635,1.828,3.65545,"September 29, 22",0.01828
2022-09-28,3.6400001,3.75,3.6400001,3.6700001,3.6663845,3.33646E7,3.33646E7,0.02638,0.725,3.68546,"September 28, 22",0.00725
2022-09-27,3.6700001,3.73,3.6300001,3.6800001,3.6763744,4.53694E7,4.53694E7,0.00637,0.174,3.67879,"September 27, 22",0.00174
2022-09-26,3.7,3.75,3.6199999,3.6800001,3.6763744,3.52579E7,3.52579E7,-0.02363,-0.639,3.68212,"September 26, 22",-0.00639
2022-09-23,3.8599999,3.8800001,3.74,3.8199999,3.8162365,3.85338E7,3.85338E7,-0.04376,-1.134,3.81208,"September 23, 22",-0.01134
2022-09-22,3.9000001,4.0,3.8399999,3.96,3.9560986,2.97022E7,2.97022E7,0.0561,1.438,3.93203,"September 22, 22",0.01438
2022-09-21,3.9000001,3.9400001,3.8199999,3.8299999,3.8262265,2.86563E7,2.86563E7,-0.07377,-1.892,3.86208,"September 21, 22",-0.01892
2022-09-20,3.8,3.9100001,3.79,3.8900001,3.8861678,3.12497E7,3.12497E7,0.08617,2.268,3.86206,"September 20, 22",0.02268
2022-09-19,3.5699999,3.78,3.5699999,3.77,3.7662857,2.73481E7,2.73481E7,0.19629,5.498,3.70543,"September 19, 22",0.05498
2022-09-16,3.5899999,3.6199999,3.53,3.5799999,3.576473,3.24168E7,3.24168E7,-0.01353,-0.377,3.57549,"September 16, 22",-0.00377
2022-09-15,3.6700001,3.73,3.6300001,3.6600001,3.6563942,1.65175E7,1.65175E7,-0.01361,-0.371,3.67213,"September 15, 22",-0.00371
2022-09-14,3.7,3.75,3.7,3.72,3.7163351,1.48457E7,1.48457E7,0.01634,0.442,3.72211,"September 14, 22",0.00442
2022-09-13,3.74,3.79,3.7,3.71,3.7063448,2.00963E7,2.00963E7,-0.03366,-0.9,3.73211,"September 13, 22",-0.009
2022-09-12,3.8099999,3.8699999,3.8,3.8,3.7962561,1.84278E7,1.84278E7,-0.01374,-0.361,3.82209,"September 12, 22",-0.00361
2022-09-09,3.72,3.78,3.71,3.74,3.7363153,1.26065E7,1.26065E7,0.01632,0.439,3.74211,"September 09, 22",0.00439
2022-09-08,3.6500001,3.6900001,3.6099999,3.6600001,3.6563942,1.92704E7,1.92704E7,0.00639,0.175,3.65213,"September 08, 22",0.00175
2022-09-07,3.6400001,3.7,3.5599999,3.6600001,3.6563942,1.53643E7,1.53643E7,0.01639,0.45,3.6388,"September 07, 22",0.0045
2022-09-06,3.71,3.71,3.6199999,3.6600001,3.6563942,1.61686E7,1.61686E7,-0.05361,-1.445,3.66213,"September 06, 22",-0.01445
2022-09-02,3.7,3.78,3.6600001,3.6800001,3.6763744,2.43544E7,2.43544E7,-0.02363,-0.639,3.70546,"September 02, 22",-0.00639
