date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,6.83,7.045,6.81,7.01,7.01,1.2358994E7,1.2358994E7,0.18,2.635,6.955,"October 25, 22",0.02635
2022-10-24,6.84,6.91,6.8,6.82,6.82,9564659.0,9564659.0,-0.02,-0.292,6.84333,"October 24, 22",-0.00292
2022-10-21,6.63,6.68,6.411,6.66,6.66,1.1044252E7,1.1044252E7,0.03,0.452,6.58367,"October 21, 22",0.00452
2022-10-20,6.63,6.74,6.52,6.57,6.57,9218907.0,9218907.0,-0.06,-0.905,6.61,"October 20, 22",-0.00905
2022-10-19,6.6,6.64,6.485,6.55,6.55,8230296.0,8230296.0,-0.05,-0.758,6.55833,"October 19, 22",-0.00758
2022-10-18,6.82,6.85,6.71,6.77,6.77,1.1479216E7,1.1479216E7,-0.05,-0.733,6.77667,"October 18, 22",-0.00733
2022-10-17,6.72,6.775,6.66,6.66,6.66,1.0243358E7,1.0243358E7,-0.06,-0.893,6.69833,"October 17, 22",-0.00893
2022-10-14,6.61,6.67,6.42,6.43,6.43,1.5220257E7,1.5220257E7,-0.18,-2.723,6.50667,"October 14, 22",-0.02723
2022-10-13,6.29,6.64,6.215,6.56,6.56,1.8102568E7,1.8102568E7,0.27,4.293,6.47167,"October 13, 22",0.04293
2022-10-12,5.91,6.12,5.89,6.05,6.05,1.4352196E7,1.4352196E7,0.14,2.369,6.02,"October 12, 22",0.02369
2022-10-11,6.28,6.33,6.103,6.12,6.12,1.5661639E7,1.5661639E7,-0.16,-2.548,6.18433,"October 11, 22",-0.02548
2022-10-10,6.46,6.49,6.31,6.35,6.35,1.2669236E7,1.2669236E7,-0.11,-1.703,6.38333,"October 10, 22",-0.01703
2022-10-07,6.49,6.51,6.4,6.43,6.43,9565727.0,9565727.0,-0.06,-0.924,6.44667,"October 07, 22",-0.00924
2022-10-06,6.61,6.64,6.5,6.52,6.52,8870803.0,8870803.0,-0.09,-1.362,6.55333,"October 06, 22",-0.01362
2022-10-05,6.74,6.82,6.67,6.78,6.78,9705217.0,9705217.0,0.04,0.593,6.75667,"October 05, 22",0.00593
2022-10-04,6.86,7.02,6.84,6.96,6.96,1.0105826E7,1.0105826E7,0.1,1.458,6.94,"October 04, 22",0.01458
2022-10-03,6.57,6.68,6.49,6.61,6.61,1.0682421E7,1.0682421E7,0.04,0.609,6.59333,"October 03, 22",0.00609
2022-09-30,6.39,6.52,6.36,6.4,6.4,1.1154927E7,1.1154927E7,0.01,0.156,6.42667,"September 30, 22",0.00156
2022-09-29,6.39,6.49,6.32,6.48,6.48,1.6091337E7,1.6091337E7,0.09,1.408,6.43,"September 29, 22",0.01408
2022-09-28,6.38,6.68,6.36,6.66,6.66,1.7131657E7,1.7131657E7,0.28,4.389,6.56667,"September 28, 22",0.04389
2022-09-27,6.9,6.92,6.6707,6.72,6.72,1.6664561E7,1.6664561E7,-0.18,-2.609,6.77023,"September 27, 22",-0.02609
2022-09-26,7.0,7.11,6.84,6.9,6.9,1.5974986E7,1.5974986E7,-0.1,-1.429,6.95,"September 26, 22",-0.01429
2022-09-23,7.31,7.31,7.01,7.08,7.08,1.9018264E7,1.9018264E7,-0.23,-3.146,7.13333,"September 23, 22",-0.03146
2022-09-22,7.7,7.72,7.5,7.53,7.53,8331515.0,8331515.0,-0.17,-2.208,7.58333,"September 22, 22",-0.02208
2022-09-21,7.74,7.75,7.52,7.53,7.53,8739858.0,8739858.0,-0.21,-2.713,7.6,"September 21, 22",-0.02713
2022-09-20,7.92,7.96,7.78,7.83,7.83,5956940.0,5956940.0,-0.09,-1.136,7.85667,"September 20, 22",-0.01136
2022-09-19,7.8,7.97,7.7604,7.96,7.96,5628132.0,5628132.0,0.16,2.051,7.8968,"September 19, 22",0.02051
2022-09-16,7.96,7.99,7.85,7.92,7.92,7387963.0,7387963.0,-0.04,-0.503,7.92,"September 16, 22",-0.00503
2022-09-15,7.94,8.13,7.94,8.02,8.02,1.4563669E7,1.4563669E7,0.08,1.008,8.03,"September 15, 22",0.01008
2022-09-14,7.98,8.037,7.9,7.94,7.94,8831907.0,8831907.0,-0.04,-0.501,7.959,"September 14, 22",-0.00501
2022-09-13,8.1,8.205,7.96,7.97,7.97,6008521.0,6008521.0,-0.13,-1.605,8.045,"September 13, 22",-0.01605
2022-09-12,8.21,8.35,8.2,8.25,8.25,5621328.0,5621328.0,0.04,0.487,8.26667,"September 12, 22",0.00487
2022-09-09,7.97,8.028,7.95,8.01,8.01,5225418.0,5225418.0,0.04,0.502,7.996,"September 09, 22",0.00502
2022-09-08,7.62,7.84,7.595,7.84,7.84,5364016.0,5364016.0,0.22,2.887,7.75833,"September 08, 22",0.02887
2022-09-07,7.61,7.73,7.6,7.71,7.71,5433624.0,5433624.0,0.1,1.314,7.68,"September 07, 22",0.01314
2022-09-06,7.96,7.98,7.79,7.83,7.83,7083709.0,7083709.0,-0.13,-1.633,7.86667,"September 06, 22",-0.01633
2022-09-02,7.82,7.985,7.7043,7.72,7.72,9448680.0,9448680.0,-0.1,-1.279,7.8031,"September 02, 22",-0.01279
2022-09-01,7.63,7.65,7.51,7.61,7.61,5004913.0,5004913.0,-0.02,-0.262,7.59,"September 01, 22",-0.00262
2022-08-31,7.8,7.86,7.78,7.79,7.79,4851576.0,4851576.0,-0.01,-0.128,7.81,"August 31, 22",-0.00128
2022-08-30,7.9,7.92,7.75,7.8,7.8,4736614.0,4736614.0,-0.1,-1.266,7.82333,"August 30, 22",-0.01266
2022-08-29,7.63,7.75,7.63,7.7,7.7,4211230.0,4211230.0,0.07,0.917,7.69333,"August 29, 22",0.00917
2022-08-26,7.98,8.0,7.7,7.7,7.7,5726970.0,5726970.0,-0.28,-3.509,7.8,"August 26, 22",-0.03509
2022-08-25,7.85,7.97,7.84,7.97,7.97,5195716.0,5195716.0,0.12,1.529,7.92667,"August 25, 22",0.01529
2022-08-24,7.73,7.87,7.71,7.81,7.81,5456388.0,5456388.0,0.08,1.035,7.79667,"August 24, 22",0.01035
2022-08-23,7.88,7.94,7.86,7.86,7.86,5462667.0,5462667.0,-0.02,-0.254,7.88667,"August 23, 22",-0.00254
2022-08-22,7.8,7.83,7.75,7.79,7.79,6749668.0,6749668.0,-0.01,-0.128,7.79,"August 22, 22",-0.00128
2022-08-19,8.06,8.06,7.91,7.94,7.94,6520359.0,6520359.0,-0.12,-1.489,7.97,"August 19, 22",-0.01489
2022-08-18,8.26,8.26,8.17,8.21,8.21,4622755.0,4622755.0,-0.05,-0.605,8.21333,"August 18, 22",-0.00605
2022-08-17,8.3,8.35,8.24,8.29,8.29,6582064.0,6582064.0,-0.01,-0.12,8.29333,"August 17, 22",-0.0012
2022-08-16,8.37,8.45,8.36,8.44,8.44,5479298.0,5479298.0,0.07,0.836,8.41667,"August 16, 22",0.00836
2022-08-15,8.48,8.54,8.4,8.52,8.52,4771366.0,4771366.0,0.04,0.472,8.48667,"August 15, 22",0.00472
2022-08-12,8.47,8.57,8.45,8.57,8.57,5782442.0,5782442.0,0.1,1.181,8.53,"August 12, 22",0.01181
2022-08-11,8.43,8.49,8.39,8.45,8.45,7588126.0,7588126.0,0.02,0.237,8.44333,"August 11, 22",0.00237
2022-08-10,8.33,8.52,8.33,8.47,8.47,7184557.0,7184557.0,0.14,1.681,8.44,"August 10, 22",0.01681
2022-08-09,8.2,8.24,8.12,8.16,8.16,3788670.0,3788670.0,-0.04,-0.488,8.17333,"August 09, 22",-0.00488
2022-08-08,8.17,8.22,8.12,8.13,8.13,3692341.0,3692341.0,-0.04,-0.49,8.15667,"August 08, 22",-0.0049
2022-08-05,7.95,8.12,7.94,8.09,8.09,6809044.0,6809044.0,0.14,1.761,8.05,"August 05, 22",0.01761
2022-08-04,7.97,8.02,7.95,8.0,8.0,4623549.0,4623549.0,0.03,0.376,7.99,"August 04, 22",0.00376
2022-08-03,8.0,8.12,7.98,8.07,8.07,4784337.0,4784337.0,0.07,0.875,8.05667,"August 03, 22",0.00875
2022-08-02,8.0,8.02,7.86,7.86,7.86,5815753.0,5815753.0,-0.14,-1.75,7.91333,"August 02, 22",-0.0175
2022-08-01,7.94,8.02,7.87,8.0,8.0,8475602.0,8475602.0,0.06,0.756,7.96333,"August 01, 22",0.00756
2022-07-29,7.6,7.8,7.58,7.79,7.6904,8261930.0,8261930.0,0.0904,1.189,7.69013,"July 29, 22",0.01189
2022-07-28,7.44,7.52,7.315,7.48,7.48,7170486.0,7170486.0,0.04,0.538,7.43833,"July 28, 22",0.00538
2022-07-27,7.72,7.89,7.69,7.89,7.89,6083601.0,6083601.0,0.17,2.202,7.82333,"July 27, 22",0.02202
2022-07-26,7.66,7.71,7.59,7.61,7.61,5533380.0,5533380.0,-0.05,-0.653,7.63667,"July 26, 22",-0.00653
2022-07-25,7.78,7.9,7.77,7.87,7.87,4390916.0,4390916.0,0.09,1.157,7.84667,"July 25, 22",0.01157
2022-07-22,7.69,7.75,7.59,7.62,7.62,4184979.0,4184979.0,-0.07,-0.91,7.65333,"July 22, 22",-0.0091
