date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,40.7,41.74,40.46,41.6,41.6,5946338.0,5946338.0,0.9,2.211,41.26667,"October 25, 22",0.02211
2022-10-24,40.43,41.07,40.23,40.84,40.84,6798880.0,6798880.0,0.41,1.014,40.71333,"October 24, 22",0.01014
2022-10-21,38.47,40.405,38.11,40.23,40.23,8313323.0,8313323.0,1.76,4.575,39.58167,"October 21, 22",0.04575
2022-10-20,38.97,39.63,38.37,38.42,38.42,6931835.0,6931835.0,-0.55,-1.411,38.80667,"October 20, 22",-0.01411
2022-10-19,39.5800018,40.1699982,38.6899986,39.0200005,39.0200005,8774400.0,8774400.0,-0.56,-1.415,39.29333,"October 19, 22",-0.01415
2022-10-18,41.0499992,41.5200005,39.3699989,39.9599991,39.9599991,9040600.0,9040600.0,-1.09,-2.655,40.28333,"October 18, 22",-0.02655
2022-10-17,39.4799995,40.9599991,39.4799995,40.3600006,40.3600006,7340300.0,7340300.0,0.88,2.229,40.26667,"October 17, 22",0.02229
2022-10-14,39.3699989,39.8800011,38.2999992,38.4099998,38.4099998,6435700.0,6435700.0,-0.96,-2.438,38.86333,"October 14, 22",-0.02438
2022-10-13,36.8199997,39.3800011,36.2200012,39.2099991,39.2099991,7088000.0,7088000.0,2.39,6.491,38.27,"October 13, 22",0.06491
2022-10-12,38.25,38.5499992,37.2700005,37.2900009,37.2900009,8082400.0,8082400.0,-0.96,-2.51,37.70333,"October 12, 22",-0.0251
2022-10-11,38.9099998,39.1699982,38.2700005,38.4799995,38.4799995,4983100.0,4983100.0,-0.43,-1.105,38.64,"October 11, 22",-0.01105
2022-10-10,39.7900009,39.9300003,39.1699982,39.2099991,39.2099991,4829500.0,4829500.0,-0.58,-1.458,39.43667,"October 10, 22",-0.01458
2022-10-07,40.25,40.4099998,39.1800003,39.4799995,39.4799995,3944100.0,3944100.0,-0.77,-1.913,39.69,"October 07, 22",-0.01913
2022-10-06,41.0999985,41.4199982,40.5900002,40.6800003,40.6800003,3103200.0,3103200.0,-0.42,-1.022,40.89667,"October 06, 22",-0.01022
2022-10-05,40.9500008,41.5699997,40.7200012,41.3600006,41.3600006,4036300.0,4036300.0,0.41,1.001,41.21667,"October 05, 22",0.01001
2022-10-04,40.5200005,41.4300003,40.5,41.3699989,41.3699989,6319500.0,6319500.0,0.85,2.098,41.1,"October 04, 22",0.02098
2022-10-03,38.8899994,39.9199982,38.4300003,39.6599998,39.6599998,7427600.0,7427600.0,0.77,1.98,39.33667,"October 03, 22",0.0198
2022-09-30,38.9900017,39.5099983,38.4700012,38.5200005,38.5200005,4490100.0,4490100.0,-0.47,-1.205,38.83333,"September 30, 22",-0.01205
2022-09-29,39.0600014,39.25,38.4900017,38.8800011,38.8800011,4732200.0,4732200.0,-0.18,-0.461,38.87333,"September 29, 22",-0.00461
2022-09-28,39.0600014,39.8199997,38.75,39.5900002,39.5900002,5979400.0,5979400.0,0.53,1.357,39.38667,"September 28, 22",0.01357
2022-09-27,39.7599983,39.8899994,38.2999992,38.9399986,38.9399986,5489400.0,5489400.0,-0.82,-2.062,39.04333,"September 27, 22",-0.02062
2022-09-26,39.8199997,40.2799988,39.2400017,39.4700012,39.4700012,6757400.0,6757400.0,-0.35,-0.879,39.66333,"September 26, 22",-0.00879
2022-09-23,40.4900017,40.6300011,39.3300018,40.1699982,40.1699982,5753200.0,5753200.0,-0.32,-0.79,40.04333,"September 23, 22",-0.0079
2022-09-22,42.4700012,42.5600014,40.9099998,40.9300003,40.9300003,5509900.0,5509900.0,-1.54,-3.626,41.46667,"September 22, 22",-0.03626
2022-09-21,43.5600014,43.6199989,42.2900009,42.2999992,42.2999992,3273300.0,3273300.0,-1.26,-2.893,42.73667,"September 21, 22",-0.02893
2022-09-20,43.8400002,43.9099998,42.9000015,43.2700005,43.2700005,2953200.0,2953200.0,-0.57,-1.3,43.36,"September 20, 22",-0.013
2022-09-19,43.4599991,44.5200005,43.4099998,44.2099991,44.2099991,3068300.0,3068300.0,0.75,1.726,44.04667,"September 19, 22",0.01726
2022-09-16,44.0900002,44.3100014,43.4700012,43.8899994,43.8899994,6152700.0,6152700.0,-0.2,-0.454,43.89,"September 16, 22",-0.00454
2022-09-15,43.8499985,45.0099983,43.7000008,44.4399986,44.4399986,4175500.0,4175500.0,0.59,1.345,44.38333,"September 15, 22",0.01345
2022-09-14,44.2000008,44.5800018,43.2799988,43.7200012,43.7200012,4941800.0,4941800.0,-0.48,-1.086,43.86,"September 14, 22",-0.01086
2022-09-13,43.8499985,44.8600006,43.7700005,44.1100006,44.1100006,5766300.0,5766300.0,0.26,0.593,44.24667,"September 13, 22",0.00593
2022-09-12,44.5,44.8100014,43.9399986,44.2799988,44.2799988,4347100.0,4347100.0,-0.22,-0.494,44.34333,"September 12, 22",-0.00494
2022-09-09,44.1199989,44.3100014,43.7999992,44.1399994,44.1399994,4303100.0,4303100.0,0.02,0.045,44.08333,"September 09, 22",4.5E-4
2022-09-08,42.0999985,43.8400002,42.0200005,43.8199997,43.8199997,4857600.0,4857600.0,1.72,4.086,43.22667,"September 08, 22",0.04086
2022-09-07,40.9599991,42.5600014,40.9099998,42.4300003,42.4300003,4515600.0,4515600.0,1.47,3.589,41.96667,"September 07, 22",0.03589
2022-09-06,41.3899994,41.4700012,40.5600014,41.1399994,41.1399994,3505900.0,3505900.0,-0.25,-0.604,41.05667,"September 06, 22",-0.00604
2022-09-02,41.9399986,42.3699989,40.8199997,41.1199989,41.1199989,3137700.0,3137700.0,-0.82,-1.955,41.43667,"September 02, 22",-0.01955
2022-09-01,41.4500008,41.4500008,40.4900017,41.3600006,41.3600006,3032100.0,3032100.0,-0.09,-0.217,41.1,"September 01, 22",-0.00217
2022-08-31,41.9799995,42.0699997,41.5200005,41.5299988,41.5299988,3295400.0,3295400.0,-0.45,-1.072,41.70667,"August 31, 22",-0.01072
2022-08-30,42.0,42.1300011,41.3499985,41.6800003,41.6800003,2278700.0,2278700.0,-0.32,-0.762,41.72,"August 30, 22",-0.00762
2022-08-29,41.7700005,42.1699982,41.4700012,41.7599983,41.7599983,2540200.0,2540200.0,-0.01,-0.024,41.8,"August 29, 22",-2.4E-4
2022-08-26,43.7799988,43.8499985,41.9900017,42.0,42.0,3185500.0,3185500.0,-1.78,-4.066,42.61333,"August 26, 22",-0.04066
2022-08-25,43.1500015,43.75,42.9900017,43.5,43.5,2500700.0,2500700.0,0.35,0.811,43.41333,"August 25, 22",0.00811
2022-08-24,42.8499985,43.2999992,42.6800003,42.9799995,42.9799995,2258800.0,2258800.0,0.13,0.303,42.98667,"August 24, 22",0.00303
2022-08-23,43.3699989,43.6100006,42.9500008,42.9700012,42.9700012,1983200.0,1983200.0,-0.4,-0.922,43.17667,"August 23, 22",-0.00922
2022-08-22,43.2000008,43.6300011,42.9799995,43.2400017,43.2400017,3406700.0,3406700.0,0.04,0.093,43.28333,"August 22, 22",9.3E-4
