date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,72.64,73.21,72.25,72.77,72.77,6697626.0,6697626.0,0.13,0.179,72.74333,"October 25, 22",0.00179
2022-10-24,72.66,73.56,72.55,72.99,72.99,7382912.0,7382912.0,0.33,0.454,73.03333,"October 24, 22",0.00454
2022-10-21,70.35,72.52,69.94,72.21,72.21,8202314.0,8202314.0,1.86,2.644,71.55667,"October 21, 22",0.02644
2022-10-20,71.05,71.2,70.03,70.35,70.35,9192515.0,9192515.0,-0.7,-0.985,70.52667,"October 20, 22",-0.00985
2022-10-19,71.53,71.73,70.71,71.14,71.14,6479662.0,6479662.0,-0.39,-0.545,71.19333,"October 19, 22",-0.00545
2022-10-18,72.09,72.47,71.51,71.74,71.74,7938799.0,7938799.0,-0.35,-0.486,71.90667,"October 18, 22",-0.00486
2022-10-17,70.75,71.61,70.65,71.38,71.38,6618285.0,6618285.0,0.63,0.89,71.21333,"October 17, 22",0.0089
2022-10-14,70.92,71.74,70.48,70.62,70.62,9792563.0,9792563.0,-0.3,-0.423,70.94667,"October 14, 22",-0.00423
2022-10-13,68.56,71.03,68.51,70.77,70.77,9592846.0,9592846.0,2.21,3.223,70.10333,"October 13, 22",0.03223
2022-10-12,69.69,70.49,69.25,69.28,69.28,6684333.0,6684333.0,-0.41,-0.588,69.67333,"October 12, 22",-0.00588
2022-10-11,68.56,70.36,68.35,69.65,69.65,8941408.0,8941408.0,1.09,1.59,69.45333,"October 11, 22",0.0159
2022-10-10,69.18,69.41,68.33,68.48,68.48,8879863.0,8879863.0,-0.7,-1.012,68.74,"October 10, 22",-0.01012
2022-10-07,70.3399963,70.4599991,69.2600021,69.6999969,69.6999969,7934600.0,7934600.0,-0.64,-0.91,69.80667,"October 07, 22",-0.0091
2022-10-06,70.7900009,70.8300018,69.9000015,70.2399979,70.2399979,7545500.0,7545500.0,-0.55,-0.777,70.32333,"October 06, 22",-0.00777
2022-10-05,70.9400024,71.8000031,70.6699982,71.4499969,70.909996,6787400.0,6787400.0,-0.03001,-0.042,71.12667,"October 05, 22",-4.2E-4
2022-10-04,70.6299973,71.9100037,70.0999985,71.2099991,70.671814,1.05107E7,1.05107E7,0.04182,0.059,70.89394,"October 04, 22",5.9E-4
2022-10-03,71.3600006,71.5100021,69.3899994,70.5299988,69.9969482,1.20682E7,1.20682E7,-1.36305,-1.91,70.29898,"October 03, 22",-0.0191
2022-09-30,71.7799988,72.1100006,70.9800034,71.0899963,70.5527191,1.13464E7,1.13464E7,-1.22728,-1.71,71.21424,"September 30, 22",-0.0171
2022-09-29,72.1399994,72.6100006,71.1600037,71.7099991,71.1680298,9587800.0,9587800.0,-0.97197,-1.347,71.64601,"September 29, 22",-0.01347
2022-09-28,71.0699997,72.0800018,71.0199966,72.0599976,71.5153885,1.24127E7,1.24127E7,0.44539,0.627,71.53846,"September 28, 22",0.00627
2022-09-27,70.7399979,71.5,70.1900024,70.3600006,69.8282394,1.20132E7,1.20132E7,-0.91176,-1.289,70.50608,"September 27, 22",-0.01289
2022-09-26,70.1399994,70.8499985,69.6900024,70.1500015,69.6198273,1.0244E7,1.0244E7,-0.52017,-0.742,70.05328,"September 26, 22",-0.00742
2022-09-23,71.0299988,71.3700027,70.1299973,70.7099991,70.1755905,8190100.0,8190100.0,-0.85441,-1.203,70.55853,"September 23, 22",-0.01203
2022-09-22,69.1999969,71.8799973,69.1999969,71.2900009,70.7512054,1.00098E7,1.00098E7,1.55121,2.242,70.6104,"September 22, 22",0.02242
2022-09-21,69.7399979,70.3700027,69.4400024,69.4599991,68.9350357,1.1857E7,1.1857E7,-0.80496,-1.154,69.58168,"September 21, 22",-0.01154
2022-09-20,69.8000031,70.0599976,69.2399979,69.7300034,69.2030029,7454700.0,7454700.0,-0.597,-0.855,69.501,"September 20, 22",-0.00855
2022-09-19,71.0500031,71.5400009,69.5299988,70.1900024,69.659523,9922000.0,9922000.0,-1.39048,-1.957,70.24317,"September 19, 22",-0.01957
2022-09-16,71.75,72.25,70.9000015,71.5199966,70.9794693,1.63648E7,1.63648E7,-0.77053,-1.074,71.37649,"September 16, 22",-0.01074
2022-09-15,70.6399994,72.1399994,70.5599976,71.7799988,71.2375031,9499400.0,9499400.0,0.5975,0.846,71.3125,"September 15, 22",0.00846
2022-09-14,70.5400009,71.2300034,70.0299988,70.4700012,69.9374084,1.55289E7,1.55289E7,-0.60259,-0.854,70.39914,"September 14, 22",-0.00854
2022-09-13,71.5599976,72.0999985,70.7699966,71.0400009,70.5030975,9884700.0,9884700.0,-1.0569,-1.477,71.12436,"September 13, 22",-0.01477
2022-09-12,75.6100006,75.9899979,72.25,72.3600006,71.8131256,2.38301E7,2.38301E7,-3.79688,-5.022,73.35104,"September 12, 22",-0.05022
2022-09-09,69.2799988,70.5500031,69.2200012,70.1600037,69.6297531,6557400.0,6557400.0,0.34975,0.505,69.79992,"September 09, 22",0.00505
2022-09-08,68.9499969,69.5800018,68.1800003,69.3799973,68.8556442,9147900.0,9147900.0,-0.09435,-0.137,68.87188,"September 08, 22",-0.00137
2022-09-07,68.6699982,69.4800034,68.1399994,68.7600021,68.2403336,7183000.0,7183000.0,-0.42966,-0.626,68.62011,"September 07, 22",-0.00626
2022-09-06,68.9400024,69.0699997,68.1200027,68.6500015,68.1311646,8428900.0,8428900.0,-0.80884,-1.173,68.44039,"September 06, 22",-0.01173
