date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,28.31,28.8688,28.24,28.71,28.71,593958.0,593958.0,0.4,1.413,28.60627,"October 25, 22",0.01413
2022-10-24,28.16,28.41,27.96,28.16,28.16,742494.0,742494.0,0.0,0.0,28.17667,"October 24, 22",0.0
2022-10-21,27.53,28.095,27.18,28.05,28.05,763976.0,763976.0,0.52,1.889,27.775,"October 21, 22",0.01889
2022-10-20,27.47,28.08,27.205,27.46,27.46,738260.0,738260.0,-0.01,-0.036,27.58167,"October 20, 22",-3.6E-4
2022-10-19,27.27,27.51,27.055,27.32,27.32,577104.0,577104.0,0.05,0.183,27.295,"October 19, 22",0.00183
2022-10-18,27.72,27.88,27.035,27.48,27.48,1163267.0,1163267.0,-0.24,-0.866,27.465,"October 18, 22",-0.00866
2022-10-17,26.5,27.24,26.46,27.09,27.09,986289.0,986289.0,0.59,2.226,26.93,"October 17, 22",0.02226
2022-10-14,26.33,26.42,25.7,25.94,25.94,772057.0,772057.0,-0.39,-1.481,26.02,"October 14, 22",-0.01481
2022-10-13,25.16,26.17,25.0,26.05,26.05,1816428.0,1816428.0,0.89,3.537,25.74,"October 13, 22",0.03537
2022-10-12,25.74,26.07,25.58,25.71,25.71,585987.0,585987.0,-0.03,-0.117,25.78667,"October 12, 22",-0.00117
2022-10-11,26.05,26.23,25.595,25.71,25.71,946046.0,946046.0,-0.34,-1.305,25.845,"October 11, 22",-0.01305
2022-10-10,27.05,27.05,25.86,26.14,26.14,1013031.0,1013031.0,-0.91,-3.364,26.35,"October 10, 22",-0.03364
2022-10-07,27.69,27.72,26.8,27.12,27.12,1351701.0,1351701.0,-0.57,-2.059,27.21333,"October 07, 22",-0.02059
2022-10-06,27.97,28.5,27.8,28.14,28.14,1077239.0,1077239.0,0.17,0.608,28.14667,"October 06, 22",0.00608
2022-10-05,27.07,28.135,26.93,28.02,28.02,1329435.0,1329435.0,0.95,3.509,27.695,"October 05, 22",0.03509
2022-10-04,27.1,27.4983,26.9415,27.41,27.41,1515603.0,1515603.0,0.31,1.144,27.28327,"October 04, 22",0.01144
2022-10-03,25.75,26.83,25.451,26.63,26.63,3204976.0,3204976.0,0.88,3.417,26.30367,"October 03, 22",0.03417
2022-09-30,24.57,24.96,24.36,24.39,24.39,872704.0,872704.0,-0.18,-0.733,24.57,"September 30, 22",-0.00733
2022-09-29,24.95,24.95,24.38,24.62,24.62,742104.0,742104.0,-0.33,-1.323,24.65,"September 29, 22",-0.01323
2022-09-28,24.74,25.32,24.56,25.21,25.21,916230.0,916230.0,0.47,1.9,25.03,"September 28, 22",0.019
2022-09-27,24.5,24.94,24.39,24.74,24.74,882361.0,882361.0,0.24,0.98,24.69,"September 27, 22",0.0098
2022-09-26,24.29,24.63,24.0,24.25,24.25,749285.0,749285.0,-0.04,-0.165,24.29333,"September 26, 22",-0.00165
2022-09-23,24.64,24.86,24.135,24.43,24.43,893430.0,893430.0,-0.21,-0.852,24.475,"September 23, 22",-0.00852
2022-09-22,25.38,25.43,24.77,24.99,24.99,732417.0,732417.0,-0.39,-1.537,25.06333,"September 22, 22",-0.01537
2022-09-21,25.79,26.07,25.38,25.38,25.38,795945.0,795945.0,-0.41,-1.59,25.61,"September 21, 22",-0.0159
2022-09-20,25.96,26.07,25.35,25.63,25.63,786844.0,786844.0,-0.33,-1.271,25.68333,"September 20, 22",-0.01271
2022-09-19,25.95,26.25,25.81,26.18,26.18,811507.0,811507.0,0.23,0.886,26.08,"September 19, 22",0.00886
2022-09-16,26.51,26.51,25.615,26.3,26.3,3086767.0,3086767.0,-0.21,-0.792,26.14167,"September 16, 22",-0.00792
2022-09-15,26.69,26.988,26.42,26.78,26.78,982671.0,982671.0,0.09,0.337,26.72933,"September 15, 22",0.00337
2022-09-14,27.04,27.23,26.62,26.93,26.93,1009802.0,1009802.0,-0.11,-0.407,26.92667,"September 14, 22",-0.00407
2022-09-13,27.36,27.58,26.91,27.0,27.0,1016385.0,1016385.0,-0.36,-1.316,27.16333,"September 13, 22",-0.01316
2022-09-12,27.38,28.0,27.28,28.0,28.0,1105544.0,1105544.0,0.62,2.264,27.76,"September 12, 22",0.02264
2022-09-09,26.85,27.289,26.66,27.14,27.14,1202884.0,1202884.0,0.29,1.08,27.02967,"September 09, 22",0.0108
2022-09-08,26.06,26.7,25.98,26.59,26.59,1132641.0,1132641.0,0.53,2.034,26.42333,"September 08, 22",0.02034
2022-09-07,25.77,26.22,25.55,26.19,26.19,1557953.0,1557953.0,0.42,1.63,25.98667,"September 07, 22",0.0163
2022-09-06,25.6,25.95,25.52,25.71,25.71,1547352.0,1547352.0,0.11,0.43,25.72667,"September 06, 22",0.0043
2022-09-02,25.9,26.1,25.5,25.64,25.64,1408248.0,1408248.0,-0.26,-1.004,25.74667,"September 02, 22",-0.01004
2022-09-01,25.59,25.885,25.42,25.71,25.71,1615770.0,1615770.0,0.12,0.469,25.67167,"September 01, 22",0.00469
2022-08-31,26.1,26.33,25.57,25.75,25.75,2593928.0,2593928.0,-0.35,-1.341,25.88333,"August 31, 22",-0.01341
2022-08-30,26.59,26.645,25.965,26.12,26.12,1491712.0,1491712.0,-0.47,-1.768,26.24333,"August 30, 22",-0.01768
2022-08-29,26.9,27.2,26.53,26.56,26.56,1428010.0,1428010.0,-0.34,-1.264,26.76333,"August 29, 22",-0.01264
2022-08-26,28.17,28.26,27.21,27.21,27.21,2253338.0,2253338.0,-0.96,-3.408,27.56,"August 26, 22",-0.03408
2022-08-25,29.67,29.67,27.85,28.26,28.26,2764198.0,2764198.0,-1.41,-4.752,28.59333,"August 25, 22",-0.04752
2022-08-24,29.56,29.6,29.14,29.26,29.26,1786062.0,1786062.0,-0.3,-1.015,29.33333,"August 24, 22",-0.01015
2022-08-23,29.57,29.92,29.37,29.38,29.38,1338173.0,1338173.0,-0.19,-0.643,29.55667,"August 23, 22",-0.00643
2022-08-22,30.03,30.105,29.425,29.62,29.62,1277583.0,1277583.0,-0.41,-1.365,29.71667,"August 22, 22",-0.01365
2022-08-19,30.77,30.77,29.91,30.34,30.34,1518203.0,1518203.0,-0.43,-1.397,30.34,"August 19, 22",-0.01397
2022-08-18,30.54,31.28,30.49,30.99,30.99,2109703.0,2109703.0,0.45,1.473,30.92,"August 18, 22",0.01473
2022-08-17,30.71,31.02,30.43,30.62,30.62,1348230.0,1348230.0,-0.09,-0.293,30.69,"August 17, 22",-0.00293
2022-08-16,30.9,31.04,30.22,31.02,31.02,1843413.0,1843413.0,0.12,0.388,30.76,"August 16, 22",0.00388
2022-08-15,30.68,31.09,30.49,31.03,31.03,1400794.0,1400794.0,0.35,1.141,30.87,"August 15, 22",0.01141
2022-08-12,30.6,30.795,30.37,30.77,30.77,690654.0,690654.0,0.17,0.556,30.645,"August 12, 22",0.00556
2022-08-11,30.9,30.99,30.43,30.45,30.45,1105760.0,1105760.0,-0.45,-1.456,30.62333,"August 11, 22",-0.01456
2022-08-10,30.55,30.72,30.3,30.48,30.48,951188.0,951188.0,-0.07,-0.229,30.5,"August 10, 22",-0.00229
2022-08-09,30.0,30.18,29.64,29.99,29.99,935221.0,935221.0,-0.01,-0.033,29.93667,"August 09, 22",-3.3E-4
2022-08-08,30.05,30.5,29.97,30.21,30.21,906539.0,906539.0,0.16,0.532,30.22667,"August 08, 22",0.00532
2022-08-05,29.8,30.155,29.44,29.96,29.96,869816.0,869816.0,0.16,0.537,29.85167,"August 05, 22",0.00537
2022-08-04,29.8,30.0689,29.56,30.0,30.0,956644.0,956644.0,0.2,0.671,29.8763,"August 04, 22",0.00671
2022-08-03,28.86,29.84,28.78,29.82,29.82,1112554.0,1112554.0,0.96,3.326,29.48,"August 03, 22",0.03326
2022-08-02,28.78,28.98,28.64,28.76,28.76,680444.0,680444.0,-0.02,-0.069,28.79333,"August 02, 22",-6.9E-4
2022-08-01,28.31,29.37,28.23,28.92,28.92,1885622.0,1885622.0,0.61,2.155,28.84,"August 01, 22",0.02155
2022-07-29,28.5,28.69,28.21,28.44,28.44,635500.0,635500.0,-0.06,-0.211,28.44667,"July 29, 22",-0.00211
2022-07-28,28.0,28.49,27.68,28.43,28.43,806189.0,806189.0,0.43,1.536,28.2,"July 28, 22",0.01536
2022-07-27,27.77,28.18,27.61,28.01,28.01,877248.0,877248.0,0.24,0.864,27.93333,"July 27, 22",0.00864
2022-07-26,28.08,28.08,27.11,27.37,27.37,1073086.0,1073086.0,-0.71,-2.528,27.52,"July 26, 22",-0.02528
2022-07-25,28.24,28.24,27.73,28.0,28.0,645528.0,645528.0,-0.24,-0.85,27.99,"July 25, 22",-0.0085
2022-07-22,28.49,28.955,27.87,28.11,28.11,1627414.0,1627414.0,-0.38,-1.334,28.31167,"July 22, 22",-0.01334
2022-07-21,27.66,28.43,27.65,28.43,28.43,1102195.0,1102195.0,0.77,2.784,28.17,"July 21, 22",0.02784
2022-07-20,27.4500008,28.1599998,27.3700008,27.75,27.75,1091800.0,1091800.0,0.3,1.093,27.76,"July 20, 22",0.01093
2022-07-19,27.1000004,27.3600006,26.7099991,27.3299999,27.3299999,854200.0,854200.0,0.23,0.849,27.13333,"July 19, 22",0.00849
2022-07-18,26.7900009,27.4200001,26.7299995,26.7999992,26.7999992,1133000.0,1133000.0,0.01,0.037,26.98333,"July 18, 22",3.7E-4
2022-07-15,26.7299995,27.2999992,26.4249992,26.6499996,26.6499996,1692700.0,1692700.0,-0.08,-0.299,26.79167,"July 15, 22",-0.00299
2022-07-14,26.3099995,26.5499992,25.5249996,26.3099995,26.3099995,1351000.0,1351000.0,0.0,0.0,26.12833,"July 14, 22",0.0
2022-07-13,25.6700001,26.6599998,25.4500008,26.5400009,26.5400009,1664500.0,1664500.0,0.87,3.389,26.21667,"July 13, 22",0.03389
2022-07-12,27.3500004,27.5,25.8299999,26.0300007,26.0300007,1220500.0,1220500.0,-1.32,-4.826,26.45333,"July 12, 22",-0.04826
2022-07-11,26.7700005,27.8700008,26.2800007,27.3500004,27.3500004,2007400.0,2007400.0,0.58,2.167,27.16667,"July 11, 22",0.02167
2022-07-08,26.5300007,27.0900002,26.3700008,26.7999992,26.7999992,1076600.0,1076600.0,0.27,1.018,26.75333,"July 08, 22",0.01018
2022-07-07,26.2000008,26.9400005,26.2000008,26.8199997,26.8199997,1141300.0,1141300.0,0.62,2.366,26.65333,"July 07, 22",0.02366
2022-07-06,26.2299995,26.4699993,25.8150005,26.1700001,26.1700001,1250100.0,1250100.0,-0.06,-0.229,26.15167,"July 06, 22",-0.00229
2022-07-05,25.5,26.2600002,25.25,26.2399998,26.2399998,1030200.0,1030200.0,0.74,2.902,25.91667,"July 05, 22",0.02902
2022-07-01,25.1399994,25.8950005,25.1000004,25.7900009,25.7900009,1009400.0,1009400.0,0.65,2.586,25.595,"July 01, 22",0.02586
2022-06-30,26.0200005,26.0900002,25.0599995,25.1399994,25.1399994,1434600.0,1434600.0,-0.88,-3.382,25.43,"June 30, 22",-0.03382
2022-06-29,25.9799995,26.3649998,25.6399994,26.2000008,26.2000008,1813500.0,1813500.0,0.22,0.847,26.06833,"June 29, 22",0.00847
2022-06-28,26.5200005,26.8700008,25.6000004,25.8500004,25.8500004,1075700.0,1075700.0,-0.67,-2.526,26.10667,"June 28, 22",-0.02526
2022-06-27,26.7000008,26.7199993,26.0400009,26.4099998,26.4099998,1307400.0,1307400.0,-0.29,-1.086,26.39,"June 27, 22",-0.01086
2022-06-24,24.9300003,26.7600002,24.8299999,26.7099991,26.7099991,3915000.0,3915000.0,1.78,7.14,26.1,"June 24, 22",0.0714
2022-06-23,24.3500004,24.7299995,24.0599995,24.7199993,24.7199993,1591800.0,1591800.0,0.37,1.52,24.50333,"June 23, 22",0.0152
2022-06-22,23.8299999,24.4650002,23.7800007,24.1599998,24.1599998,1283900.0,1283900.0,0.33,1.385,24.135,"June 22, 22",0.01385
2022-06-21,24.1200008,24.4449997,23.6800003,23.9899998,23.9899998,1898300.0,1898300.0,-0.13,-0.539,24.03833,"June 21, 22",-0.00539
2022-06-17,23.0599995,24.1599998,22.6350002,23.8500004,23.8500004,6675300.0,6675300.0,0.79,3.426,23.54833,"June 17, 22",0.03426
2022-06-16,23.4699993,23.8799992,22.3099995,22.6499996,22.6499996,1933000.0,1933000.0,-0.82,-3.494,22.94667,"June 16, 22",-0.03494
2022-06-15,24.2600002,24.2700005,23.4309998,23.8999996,23.8999996,1731300.0,1731300.0,-0.36,-1.484,23.867,"June 15, 22",-0.01484
2022-06-14,24.1000004,24.3999996,23.6550007,23.9500008,23.9500008,1548400.0,1548400.0,-0.15,-0.622,24.00167,"June 14, 22",-0.00622
2022-06-13,24.9400005,25.3700008,24.1000004,24.1200008,24.1200008,1571500.0,1571500.0,-0.82,-3.288,24.53,"June 13, 22",-0.03288
2022-06-10,25.6000004,25.8700008,25.4899998,25.6599998,25.6599998,972800.0,972800.0,0.06,0.234,25.67333,"June 10, 22",0.00234
2022-06-09,26.6299992,26.691,25.9599991,25.9799995,25.9799995,1128400.0,1128400.0,-0.65,-2.441,26.21033,"June 09, 22",-0.02441
2022-06-08,26.7000008,26.9449997,26.5599995,26.7800007,26.7800007,1069500.0,1069500.0,0.08,0.3,26.76167,"June 08, 22",0.003
2022-06-07,26.4699993,27.0900002,26.3999996,26.8700008,26.8700008,1272600.0,1272600.0,0.4,1.511,26.78667,"June 07, 22",0.01511
2022-06-06,27.0300007,27.1749992,26.4099998,26.6100006,26.6100006,1191100.0,1191100.0,-0.42,-1.554,26.73167,"June 06, 22",-0.01554
2022-06-03,26.5,28.0400009,26.3299999,27.2399998,27.2399998,2145200.0,2145200.0,0.74,2.792,27.20333,"June 03, 22",0.02792
2022-06-02,26.4400005,26.9099998,26.4400005,26.75,26.75,1203600.0,1203600.0,0.31,1.172,26.7,"June 02, 22",0.01172
2022-06-01,26.4200001,27.1959991,26.2000008,26.5799999,26.5799999,2514900.0,2514900.0,0.16,0.606,26.65867,"June 01, 22",0.00606
2022-05-31,26.9099998,27.0,25.9200001,26.1100006,26.1100006,1711200.0,1711200.0,-0.8,-2.973,26.34333,"May 31, 22",-0.02973
2022-05-27,27.8700008,27.8799992,26.6000004,26.8099995,26.8099995,1743100.0,1743100.0,-1.06,-3.803,27.09667,"May 27, 22",-0.03803
2022-05-26,26.1900005,27.6900005,25.1700001,27.4899998,27.4899998,2972400.0,2972400.0,1.3,4.964,26.78333,"May 26, 22",0.04964
2022-05-25,25.3799992,26.5699997,25.1100006,26.0599995,26.0599995,2346300.0,2346300.0,0.68,2.679,25.91333,"May 25, 22",0.02679
2022-05-24,26.2099991,26.2900009,24.6100006,25.4400005,25.4400005,2798900.0,2798900.0,-0.77,-2.938,25.44667,"May 24, 22",-0.02938
