date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,40.99,41.55,40.89,41.3,41.3,1.2567968E7,1.2567968E7,0.31,0.756,41.24667,"October 25, 22",0.00756
2022-10-24,40.96,41.12,40.575,40.98,40.98,9227694.0,9227694.0,0.02,0.049,40.89167,"October 24, 22",4.9E-4
2022-10-21,40.23,40.66,39.52,40.57,40.57,8690905.0,8690905.0,0.34,0.845,40.25,"October 21, 22",0.00845
2022-10-20,41.03,41.12,40.15,40.23,40.23,4852254.0,4852254.0,-0.8,-1.95,40.5,"October 20, 22",-0.0195
2022-10-19,40.73,41.0,40.35,40.96,40.96,7064625.0,7064625.0,0.23,0.565,40.77,"October 19, 22",0.00565
2022-10-18,42.21,42.37,40.81,41.08,41.08,7189868.0,7189868.0,-1.13,-2.677,41.42,"October 18, 22",-0.02677
2022-10-17,40.37,41.01,40.31,40.86,40.86,6901038.0,6901038.0,0.49,1.214,40.72667,"October 17, 22",0.01214
2022-10-14,40.65,40.93,39.69,39.98,39.98,7765853.0,7765853.0,-0.67,-1.648,40.2,"October 14, 22",-0.01648
2022-10-13,38.97,40.79,38.79,40.35,40.35,9272002.0,9272002.0,1.38,3.541,39.97667,"October 13, 22",0.03541
2022-10-12,39.71,39.85,39.29,39.6,39.6,5625691.0,5625691.0,-0.11,-0.277,39.58,"October 12, 22",-0.00277
2022-10-11,39.68,40.09,38.96,39.56,39.56,6475904.0,6475904.0,-0.12,-0.302,39.53667,"October 11, 22",-0.00302
2022-10-10,40.03,40.24,39.52,39.64,39.64,5683388.0,5683388.0,-0.39,-0.974,39.8,"October 10, 22",-0.00974
2022-10-07,40.27,40.43,39.6,39.76,39.76,9641134.0,9641134.0,-0.51,-1.266,39.93,"October 07, 22",-0.01266
2022-10-06,41.18,41.3,40.59,40.65,40.65,4656599.0,4656599.0,-0.53,-1.287,40.84667,"October 06, 22",-0.01287
2022-10-05,40.6,41.57,40.57,41.3,41.3,4868616.0,4868616.0,0.7,1.724,41.14667,"October 05, 22",0.01724
2022-10-04,40.37,41.04,40.03,41.03,41.03,5954178.0,5954178.0,0.66,1.635,40.7,"October 04, 22",0.01635
2022-10-03,39.21,39.98,38.94,39.88,39.88,6291098.0,6291098.0,0.67,1.709,39.6,"October 03, 22",0.01709
