date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,86.3,91.6,86.26,91.55,91.55,5252498.0,5252498.0,5.25,6.083,89.80333,"October 25, 22",0.06083
2022-10-24,85.52,86.6556,82.79,86.27,86.27,4144958.0,4144958.0,0.75,0.877,85.23853,"October 24, 22",0.00877
2022-10-21,84.2,85.7,82.6,85.43,85.43,5150947.0,5150947.0,1.23,1.461,84.57667,"October 21, 22",0.01461
2022-10-20,88.04,88.335,82.95,84.04,84.04,7806241.0,7806241.0,-4.0,-4.543,85.10833,"October 20, 22",-0.04543
2022-10-19,89.87,90.05,86.85,87.74,87.74,3986867.0,3986867.0,-2.13,-2.37,88.21333,"October 19, 22",-0.0237
2022-10-18,91.06,93.13,88.71,90.12,90.12,4702003.0,4702003.0,-0.94,-1.032,90.65333,"October 18, 22",-0.01032
2022-10-17,86.16,88.41,86.16,88.23,88.23,3717411.0,3717411.0,2.07,2.403,87.6,"October 17, 22",0.02403
2022-10-14,86.86,88.4,83.89,84.12,84.12,2900404.0,2900404.0,-2.74,-3.155,85.47,"October 14, 22",-0.03155
2022-10-13,81.18,86.82,79.545,86.31,86.31,5360168.0,5360168.0,5.13,6.319,84.225,"October 13, 22",0.06319
2022-10-12,83.53,86.23,83.03,85.54,85.54,3775004.0,3775004.0,2.01,2.406,84.93333,"October 12, 22",0.02406
2022-10-11,84.92,85.585,82.06,83.44,83.44,5138449.0,5138449.0,-1.48,-1.743,83.695,"October 11, 22",-0.01743
2022-10-10,87.16,87.91,85.12,85.5,85.5,2798636.0,2798636.0,-1.66,-1.905,86.17667,"October 10, 22",-0.01905
2022-10-07,89.48,89.97,85.81,86.38,86.38,4453379.0,4453379.0,-3.1,-3.464,87.38667,"October 07, 22",-0.03464
2022-10-06,91.6299973,93.4000015,91.2099991,91.6100006,91.6100006,2753000.0,2753000.0,-0.02,-0.022,92.07333,"October 06, 22",-2.2E-4
