date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,44.045,45.59,43.91,45.32,45.32,2.0057757E7,2.0057757E7,1.275,2.895,44.94,"October 25, 22",0.02895
2022-10-24,44.32,44.67,43.97,44.41,44.41,1.3917639E7,1.3917639E7,0.09,0.203,44.35,"October 24, 22",0.00203
2022-10-21,42.9399986,44.3199997,42.6800003,44.2599983,44.2599983,1.87792E7,1.87792E7,1.32,3.074,43.75333,"October 21, 22",0.03074
2022-10-20,43.3899994,43.9399986,42.7200012,42.9199982,42.9199982,1.54216E7,1.54216E7,-0.47,-1.083,43.19333,"October 20, 22",-0.01083
2022-10-19,43.8300018,44.0999985,42.8899994,43.3400002,43.3400002,1.51428E7,1.51428E7,-0.49,-1.118,43.44333,"October 19, 22",-0.01118
2022-10-18,44.6599998,44.9500008,43.6500015,44.1500015,44.1500015,2.13021E7,2.13021E7,-0.51,-1.142,44.25,"October 18, 22",-0.01142
2022-10-17,44.3100014,44.4300003,43.1899986,43.5900002,43.5900002,2.08354E7,2.08354E7,-0.72,-1.625,43.73667,"October 17, 22",-0.01625
2022-10-14,43.0900002,44.4199982,42.7999992,43.2299995,43.2299995,2.88851E7,2.88851E7,0.14,0.325,43.48333,"October 14, 22",0.00325
2022-10-13,40.2000008,43.1800003,40.0099983,42.9500008,42.9500008,2.79649E7,2.79649E7,2.75,6.841,42.04667,"October 13, 22",0.06841
2022-10-12,40.3899994,41.3600006,40.0499992,40.8400002,40.8400002,2.08622E7,2.08622E7,0.45,1.114,40.75,"October 12, 22",0.01114
2022-10-11,41.2700005,41.5600014,40.4199982,40.4500008,40.4500008,2.01761E7,2.01761E7,-0.82,-1.987,40.81,"October 11, 22",-0.01987
2022-10-10,42.4900017,42.6100006,41.5299988,41.5999985,41.5999985,1.37688E7,1.37688E7,-0.89,-2.095,41.91333,"October 10, 22",-0.02095
2022-10-07,42.7000008,42.7900009,41.9399986,42.1899986,42.1899986,1.80982E7,1.80982E7,-0.51,-1.194,42.30667,"October 07, 22",-0.01194
2022-10-06,43.4199982,43.7999992,42.7900009,43.0600014,43.0600014,1.77384E7,1.77384E7,-0.36,-0.829,43.21667,"October 06, 22",-0.00829
2022-10-05,43.7599983,44.0,43.1100006,43.8400002,43.8400002,1.54585E7,1.54585E7,0.08,0.183,43.65,"October 05, 22",0.00183
2022-10-04,43.5699997,44.75,43.4700012,44.4099998,44.4099998,2.066E7,2.066E7,0.84,1.928,44.21,"October 04, 22",0.01928
2022-10-03,41.5499992,42.9199982,41.0600014,42.5600014,42.5600014,2.2001E7,2.2001E7,1.01,2.431,42.18,"October 03, 22",0.02431
2022-09-30,42.3899994,42.9700012,41.6100006,41.6699982,41.6699982,2.22515E7,2.22515E7,-0.72,-1.699,42.08333,"September 30, 22",-0.01699
2022-09-29,42.9000015,43.0800018,42.0099983,42.3899994,42.3899994,2.09822E7,2.09822E7,-0.51,-1.189,42.49333,"September 29, 22",-0.01189
2022-09-28,42.5900002,43.6199989,42.4500008,43.4000015,43.4000015,1.98181E7,1.98181E7,0.81,1.902,43.15667,"September 28, 22",0.01902
2022-09-27,43.2299995,43.3899994,42.0800018,42.5900002,42.5900002,2.12555E7,2.12555E7,-0.64,-1.48,42.68667,"September 27, 22",-0.0148
2022-09-26,43.6899986,44.1800003,42.5800018,42.9900017,42.9900017,2.36844E7,2.36844E7,-0.7,-1.602,43.25,"September 26, 22",-0.01602
2022-09-23,44.9799995,45.1100006,43.2999992,44.2599983,44.2599983,3.09003E7,3.09003E7,-0.72,-1.601,44.22333,"September 23, 22",-0.01601
2022-09-22,46.6100006,46.8699989,45.4900017,45.5800018,45.5800018,1.84431E7,1.84431E7,-1.03,-2.21,45.98,"September 22, 22",-0.0221
2022-09-21,47.25,47.7299995,46.3100014,46.3300018,46.3300018,1.86418E7,1.86418E7,-0.92,-1.947,46.79,"September 21, 22",-0.01947
2022-09-20,47.8199997,47.9700012,46.8600006,47.25,47.25,1.66502E7,1.66502E7,-0.57,-1.192,47.36,"September 20, 22",-0.01192
2022-09-19,47.4900017,48.4799995,47.4399986,48.2400017,48.2400017,1.47161E7,1.47161E7,0.75,1.579,48.05333,"September 19, 22",0.01579
2022-09-16,47.9900017,48.2400017,47.4700012,48.1100006,48.1100006,1.99885E7,1.99885E7,0.12,0.25,47.94,"September 16, 22",0.0025
2022-09-15,48.3600006,49.25,48.2799988,48.4399986,48.4399986,1.65569E7,1.65569E7,0.08,0.165,48.65667,"September 15, 22",0.00165
2022-09-14,49.1300011,49.5099983,47.7000008,48.4300003,48.4300003,2.57017E7,2.57017E7,-0.7,-1.425,48.54667,"September 14, 22",-0.01425
2022-09-13,49.9000015,50.2000008,48.5699997,49.0,49.0,2.21482E7,2.21482E7,-0.9,-1.804,49.25667,"September 13, 22",-0.01804
2022-09-12,51.2599983,51.6399994,50.7000008,50.8699989,50.8699989,1.35065E7,1.35065E7,-0.39,-0.761,51.07,"September 12, 22",-0.00761
2022-09-09,50.3100014,51.0099983,50.25,50.6699982,50.6699982,1.87118E7,1.87118E7,0.36,0.716,50.64333,"September 09, 22",0.00716
2022-09-08,48.4000015,49.9500008,48.1199989,49.9000015,49.9000015,1.80888E7,1.80888E7,1.5,3.099,49.32333,"September 08, 22",0.03099
2022-09-07,47.7400017,48.7400017,47.5999985,48.6300011,48.6300011,1.54139E7,1.54139E7,0.89,1.864,48.32333,"September 07, 22",0.01864
2022-09-06,48.9700012,49.0999985,47.6199989,48.2200012,48.2200012,1.55445E7,1.55445E7,-0.75,-1.532,48.31333,"September 06, 22",-0.01532
2022-09-02,49.3100014,50.1500015,48.6199989,48.8400002,48.8400002,1.55659E7,1.55659E7,-0.47,-0.953,49.20333,"September 02, 22",-0.00953
2022-09-01,48.7700005,48.7700005,47.8100014,48.75,48.75,1.44709E7,1.44709E7,-0.02,-0.041,48.44333,"September 01, 22",-4.1E-4
2022-08-31,49.2799988,49.5499992,48.6699982,48.8100014,48.8100014,1.65821E7,1.65821E7,-0.47,-0.954,49.01,"August 31, 22",-0.00954
2022-08-30,49.8400002,49.8400002,48.7000008,49.0800018,49.0800018,1.67355E7,1.67355E7,-0.76,-1.525,49.20667,"August 30, 22",-0.01525
2022-08-29,49.6699982,49.7200012,49.0299988,49.3699989,49.3699989,1.51031E7,1.51031E7,-0.3,-0.604,49.37333,"August 29, 22",-0.00604
2022-08-26,52.2799988,52.3400002,49.75,49.7799988,49.7799988,2.00497E7,2.00497E7,-2.5,-4.782,50.62333,"August 26, 22",-0.04782
2022-08-25,51.2099991,52.25,51.0699997,52.0600014,52.0600014,1.2569E7,1.2569E7,0.85,1.66,51.79333,"August 25, 22",0.0166
2022-08-24,50.9300003,51.2900009,50.6300011,51.0099983,51.0099983,1.11593E7,1.11593E7,0.08,0.157,50.97667,"August 24, 22",0.00157
2022-08-23,51.2599983,51.6800003,50.8600006,50.9500008,50.9500008,1.11261E7,1.11261E7,-0.31,-0.605,51.16333,"August 23, 22",-0.00605
2022-08-22,51.5600014,51.7700005,50.9900017,51.25,51.25,1.67496E7,1.67496E7,-0.31,-0.601,51.33667,"August 22, 22",-0.00601
2022-08-19,53.1500015,53.4099998,52.3699989,52.6100006,52.6100006,1.47988E7,1.47988E7,-0.54,-1.016,52.79667,"August 19, 22",-0.01016
2022-08-18,53.5999985,53.7200012,53.0400009,53.5499992,53.5499992,1.05733E7,1.05733E7,-0.05,-0.093,53.43667,"August 18, 22",-9.3E-4
2022-08-17,53.4199982,54.0200005,53.2999992,53.7599983,53.7599983,1.33708E7,1.33708E7,0.34,0.636,53.69333,"August 17, 22",0.00636
2022-08-16,53.8100014,54.5600014,53.7400017,54.1800003,54.1800003,1.4708E7,1.4708E7,0.37,0.688,54.16,"August 16, 22",0.00688
2022-08-15,53.75,54.1899986,53.4700012,54.0699997,54.0699997,1.15952E7,1.15952E7,0.32,0.595,53.91,"August 15, 22",0.00595
2022-08-12,54.1800003,54.4000015,53.6300011,54.3800011,54.3800011,1.54936E7,1.54936E7,0.2,0.369,54.13667,"August 12, 22",0.00369
2022-08-11,53.9000015,54.4700012,53.75,54.0,54.0,1.34503E7,1.34503E7,0.1,0.186,54.07333,"August 11, 22",0.00186
2022-08-10,52.8100014,54.4000015,52.7400017,53.1899986,53.1899986,3.24162E7,3.24162E7,0.38,0.72,53.44333,"August 10, 22",0.0072
2022-08-09,51.6399994,52.1100006,51.4199982,52.0900002,52.0900002,9739300.0,9739300.0,0.45,0.871,51.87333,"August 09, 22",0.00871
2022-08-08,51.9700012,52.1599998,51.4099998,51.4700012,51.4700012,1.15944E7,1.15944E7,-0.5,-0.962,51.68,"August 08, 22",-0.00962
2022-08-05,51.1199989,52.3400002,50.9099998,51.6599998,51.6599998,1.38688E7,1.38688E7,0.54,1.056,51.63667,"August 05, 22",0.01056
2022-08-04,51.5600014,51.75,51.0699997,51.2599983,51.2599983,1.01522E7,1.01522E7,-0.3,-0.582,51.36,"August 04, 22",-0.00582
2022-08-03,51.2400017,51.7799988,50.8300018,51.6100006,51.6100006,1.35706E7,1.35706E7,0.37,0.722,51.40667,"August 03, 22",0.00722
2022-08-02,51.7599983,52.0999985,50.7299995,50.75,50.75,1.73785E7,1.73785E7,-1.01,-1.951,51.19333,"August 02, 22",-0.01951
2022-08-01,51.4900017,52.2099991,51.1399994,51.9199982,51.9199982,1.30518E7,1.30518E7,0.43,0.835,51.75667,"August 01, 22",0.00835
2022-07-29,51.7200012,52.25,51.5,51.9000015,51.9000015,1.67835E7,1.67835E7,0.18,0.348,51.88333,"July 29, 22",0.00348
2022-07-28,52.0900002,52.7200012,51.3100014,52.2299995,51.7200012,1.27292E7,1.27292E7,-0.37,-0.71,51.91667,"July 28, 22",-0.0071
2022-07-27,51.7000008,52.7099991,51.3199997,52.3499985,51.838829,1.70873E7,1.70873E7,0.13883,0.269,51.95628,"July 27, 22",0.00269
2022-07-26,51.7700005,52.7999992,51.2400017,51.4000015,50.8981056,1.89608E7,1.89608E7,-0.87189,-1.684,51.64604,"July 26, 22",-0.01684
2022-07-25,52.4300003,53.1500015,52.0699997,52.1599998,51.6506844,1.67947E7,1.67947E7,-0.77932,-1.486,52.29023,"July 25, 22",-0.01486
2022-07-22,52.5200005,53.0200005,51.4900017,51.9099998,51.4031258,1.49034E7,1.49034E7,-1.11687,-2.127,51.97104,"July 22, 22",-0.02127
