date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,8.27,8.68,8.215,8.62,8.62,5.1618977E7,5.1618977E7,0.35,4.232,8.505,"October 25, 22",0.04232
2022-10-24,8.11,8.28,7.915,8.22,8.22,4.9699218E7,4.9699218E7,0.11,1.356,8.13833,"October 24, 22",0.01356
2022-10-21,7.93,8.22,7.79,8.2,8.2,5.7167366E7,5.7167366E7,0.27,3.405,8.07,"October 21, 22",0.03405
2022-10-20,7.72,8.29,7.71,8.0,8.0,5.9457026E7,5.9457026E7,0.28,3.627,8.0,"October 20, 22",0.03627
2022-10-19,8.02,8.14,7.62,7.68,7.68,7.0768348E7,7.0768348E7,-0.34,-4.239,7.81333,"October 19, 22",-0.04239
2022-10-18,7.7,8.24,7.68,8.08,8.08,1.1627979E8,1.1627979E8,0.38,4.935,8.0,"October 18, 22",0.04935
2022-10-17,7.38,7.47,7.17,7.27,7.27,5.2176076E7,5.2176076E7,-0.11,-1.491,7.30333,"October 17, 22",-0.01491
2022-10-14,7.27,7.43,7.01,7.13,7.13,6.3619109E7,6.3619109E7,-0.14,-1.926,7.19,"October 14, 22",-0.01926
2022-10-13,6.99,7.32,6.85,7.1,7.1,7.8912968E7,7.8912968E7,0.11,1.574,7.09,"October 13, 22",0.01574
2022-10-12,6.64,7.39,6.55,7.31,7.31,9.7571825E7,9.7571825E7,0.67,10.09,7.08333,"October 12, 22",0.1009
2022-10-11,6.42,6.74,6.11,6.64,6.64,7.3282404E7,7.3282404E7,0.22,3.427,6.49667,"October 11, 22",0.03427
2022-10-10,6.73,6.82,6.15,6.38,6.38,8.21385E7,8.21385E7,-0.35,-5.201,6.45,"October 10, 22",-0.05201
2022-10-07,6.9,6.99,6.57,6.76,6.76,8.2051102E7,8.2051102E7,-0.14,-2.029,6.77333,"October 07, 22",-0.02029
2022-10-06,7.37,7.61,6.97,6.98,6.98,8.5537057E7,8.5537057E7,-0.39,-5.292,7.18667,"October 06, 22",-0.05292
2022-10-05,7.47,7.57,7.17,7.43,7.43,8.2584289E7,8.2584289E7,-0.04,-0.535,7.39,"October 05, 22",-0.00535
2022-10-04,7.1,7.82,7.08,7.76,7.76,1.17704794E8,1.17704794E8,0.66,9.296,7.55333,"October 04, 22",0.09296
2022-10-03,7.17,7.19,6.58,6.85,6.85,1.03876542E8,1.03876542E8,-0.32,-4.463,6.87333,"October 03, 22",-0.04463
2022-09-30,8.45,8.5,7.01,7.03,7.03,2.36603503E8,2.36603503E8,-1.42,-16.805,7.51333,"September 30, 22",-0.16805
2022-09-29,9.61,9.66,9.02,9.16,9.16,5.668793E7,5.668793E7,-0.45,-4.683,9.28,"September 29, 22",-0.04683
2022-09-28,9.2,9.85,9.13,9.83,9.83,6.5446173E7,6.5446173E7,0.63,6.848,9.60333,"September 28, 22",0.06848
2022-09-27,9.2,9.55,9.02,9.22,9.22,6.3837685E7,6.3837685E7,0.02,0.217,9.26333,"September 27, 22",0.00217
2022-09-26,8.99,9.36,8.88,8.9,8.9,5.595016E7,5.595016E7,-0.09,-1.001,9.04667,"September 26, 22",-0.01001
2022-09-23,9.23,9.34,8.74,8.95,8.95,7.9272165E7,7.9272165E7,-0.28,-3.034,9.01,"September 23, 22",-0.03034
2022-09-22,9.74,9.9299,9.4,9.64,9.64,6.1794194E7,6.1794194E7,-0.1,-1.027,9.65663,"September 22, 22",-0.01027
2022-09-21,10.32,10.36,9.7,9.71,9.71,6.676586E7,6.676586E7,-0.61,-5.911,9.92333,"September 21, 22",-0.05911
2022-09-20,10.88,10.99,10.4,10.42,10.42,4.6932311E7,4.6932311E7,-0.46,-4.228,10.60333,"September 20, 22",-0.04228
2022-09-19,10.66,11.14,10.62,10.78,10.78,3.7431376E7,3.7431376E7,0.12,1.126,10.84667,"September 19, 22",0.01126
2022-09-16,10.71,10.81,10.46,10.76,10.76,4.776836E7,4.776836E7,0.05,0.467,10.67667,"September 16, 22",0.00467
2022-09-15,10.46,11.1893,10.45,10.92,10.92,5.8884168E7,5.8884168E7,0.46,4.398,10.8531,"September 15, 22",0.04398
2022-09-14,10.14,10.59,9.93,10.57,10.57,3.8704832E7,3.8704832E7,0.43,4.241,10.36333,"September 14, 22",0.04241
2022-09-13,10.07,10.46,9.96,10.24,10.24,4.1906927E7,4.1906927E7,0.17,1.688,10.22,"September 13, 22",0.01688
2022-09-12,10.54,10.79,10.4,10.6,10.6,3.4127719E7,3.4127719E7,0.06,0.569,10.59667,"September 12, 22",0.00569
2022-09-09,10.23,10.52,10.21,10.4,10.4,4.6920902E7,4.6920902E7,0.17,1.662,10.37667,"September 09, 22",0.01662
2022-09-08,9.57,10.1,9.54,10.08,10.08,4.1659453E7,4.1659453E7,0.51,5.329,9.90667,"September 08, 22",0.05329
2022-09-07,9.39,9.87,9.39,9.82,9.82,3.801078E7,3.801078E7,0.43,4.579,9.69333,"September 07, 22",0.04579
2022-09-06,9.55,9.72,9.15,9.44,9.44,3.4691565E7,3.4691565E7,-0.11,-1.152,9.43667,"September 06, 22",-0.01152
2022-09-02,9.59,9.71,9.27,9.37,9.37,3.9252164E7,3.9252164E7,-0.22,-2.294,9.45,"September 02, 22",-0.02294
2022-09-01,9.29,9.36,8.94,9.35,9.35,4.3293474E7,4.3293474E7,0.06,0.646,9.21667,"September 01, 22",0.00646
2022-08-31,9.91,9.96,9.45,9.46,9.46,4.183019E7,4.183019E7,-0.45,-4.541,9.62333,"August 31, 22",-0.04541
2022-08-30,10.07,10.33,9.575,9.77,9.77,4.1187387E7,4.1187387E7,-0.3,-2.979,9.89167,"August 30, 22",-0.02979
2022-08-29,9.76,10.04,9.64,9.83,9.83,3.0979179E7,3.0979179E7,0.07,0.717,9.83667,"August 29, 22",0.00717
2022-08-26,10.62,10.86,9.97,9.97,9.97,4.6047591E7,4.6047591E7,-0.65,-6.121,10.26667,"August 26, 22",-0.06121
2022-08-25,10.24,10.69,10.21,10.54,10.54,4.7742832E7,4.7742832E7,0.3,2.93,10.48,"August 25, 22",0.0293
2022-08-24,9.51,10.95,9.49,10.05,10.05,3.7834422E7,3.7834422E7,0.54,5.678,10.16333,"August 24, 22",0.05678
2022-08-23,9.48,9.74,9.45,9.54,9.54,3.7241855E7,3.7241855E7,0.06,0.633,9.57667,"August 23, 22",0.00633
2022-08-22,9.54,9.63,9.35,9.39,9.39,3.546808E7,3.546808E7,-0.15,-1.572,9.45667,"August 22, 22",-0.01572
2022-08-19,10.14,10.24,9.7,9.87,9.87,5.0246672E7,5.0246672E7,-0.27,-2.663,9.93667,"August 19, 22",-0.02663
2022-08-18,10.56,10.57,10.2,10.45,10.45,4.7161116E7,4.7161116E7,-0.11,-1.042,10.40667,"August 18, 22",-0.01042
2022-08-17,10.97,10.97,10.4,10.56,10.56,5.3017617E7,5.3017617E7,-0.41,-3.737,10.64333,"August 17, 22",-0.03737
2022-08-16,10.63,11.38,10.41,11.19,11.19,5.9359207E7,5.9359207E7,0.56,5.268,10.99333,"August 16, 22",0.05268
2022-08-15,10.56,10.7855,10.42,10.71,10.71,3.3964169E7,3.3964169E7,0.15,1.42,10.6385,"August 15, 22",0.0142
2022-08-12,10.71,10.785,10.45,10.72,10.72,3.8663119E7,3.8663119E7,0.01,0.093,10.65167,"August 12, 22",9.3E-4
2022-08-11,10.84,10.9499,10.44,10.54,10.54,4.9932062E7,4.9932062E7,-0.3,-2.768,10.6433,"August 11, 22",-0.02768
2022-08-10,9.89,10.61,9.82,10.34,10.34,7.1371679E7,7.1371679E7,0.45,4.55,10.25667,"August 10, 22",0.0455
2022-08-09,9.71,9.76,9.26,9.47,9.47,5.142708E7,5.142708E7,-0.24,-2.472,9.49667,"August 09, 22",-0.02472
2022-08-08,10.04,10.49,9.78,10.01,10.01,6.7348487E7,6.7348487E7,-0.03,-0.299,10.09333,"August 08, 22",-0.00299
2022-08-05,9.53,10.05,9.48,9.82,9.82,4.2337957E7,4.2337957E7,0.29,3.043,9.78333,"August 05, 22",0.03043
2022-08-04,9.77,9.94,9.6,9.75,9.75,3.9514387E7,3.9514387E7,-0.02,-0.205,9.76333,"August 04, 22",-0.00205
2022-08-03,9.5,9.81,9.465,9.79,9.79,4.5422532E7,4.5422532E7,0.29,3.053,9.68833,"August 03, 22",0.03053
2022-08-02,8.77,9.64,8.67,9.35,9.35,5.6442382E7,5.6442382E7,0.58,6.613,9.22,"August 02, 22",0.06613
2022-08-01,8.9,8.9798,8.57,8.92,8.92,5.2450192E7,5.2450192E7,0.02,0.225,8.82327,"August 01, 22",0.00225
2022-07-29,9.01,9.18,8.77,9.06,9.06,4.08113E7,4.08113E7,0.05,0.555,9.00333,"July 29, 22",0.00555
2022-07-28,8.97,9.38,8.57,9.1,9.1,5.7474041E7,5.7474041E7,0.13,1.449,9.01667,"July 28, 22",0.01449
2022-07-27,8.79,8.89,8.47,8.85,8.85,6.5921706E7,6.5921706E7,0.06,0.683,8.73667,"July 27, 22",0.00683
2022-07-26,9.07,9.09,8.48,8.5,8.5,6.8311638E7,6.8311638E7,-0.57,-6.284,8.69,"July 26, 22",-0.06284
2022-07-25,9.26,9.29,8.84,9.18,9.18,5.4645323E7,5.4645323E7,-0.08,-0.864,9.10333,"July 25, 22",-0.00864
2022-07-22,9.9,9.99,9.15,9.26,9.26,9.5590431E7,9.5590431E7,-0.64,-6.465,9.46667,"July 22, 22",-0.06465
2022-07-21,9.67,9.905,9.42,9.85,9.85,1.43912051E8,1.43912051E8,0.18,1.861,9.725,"July 21, 22",0.01861
2022-07-20,10.34,11.1,10.28,11.09,11.09,6.7185208E7,6.7185208E7,0.75,7.253,10.82333,"July 20, 22",0.07253
2022-07-19,10.02,10.41,9.99,10.36,10.36,6.015832E7,6.015832E7,0.34,3.393,10.25333,"July 19, 22",0.03393
2022-07-18,9.43,10.12,9.43,9.65,9.65,6.628641E7,6.628641E7,0.22,2.333,9.73333,"July 18, 22",0.02333
2022-07-15,8.88,9.19,8.71,9.18,9.18,4.4290533E7,4.4290533E7,0.3,3.378,9.02667,"July 15, 22",0.03378
2022-07-14,8.82,9.0,8.65,8.71,8.71,4.0535718E7,4.0535718E7,-0.11,-1.247,8.78667,"July 14, 22",-0.01247
2022-07-13,8.73,9.13,8.65,9.0,9.0,4.1292679E7,4.1292679E7,0.27,3.093,8.92667,"July 13, 22",0.03093
2022-07-12,8.48,9.27,8.43,9.13,9.13,6.5539361E7,6.5539361E7,0.65,7.665,8.94333,"July 12, 22",0.07665
2022-07-11,8.96,8.97,8.46,8.49,8.49,4.0158741E7,4.0158741E7,-0.47,-5.246,8.64,"July 11, 22",-0.05246
2022-07-08,9.21,9.43,8.94,9.01,9.01,4.5612282E7,4.5612282E7,-0.2,-2.172,9.12667,"July 08, 22",-0.02172
2022-07-07,8.95,9.45,8.93,9.33,9.33,4.6028646E7,4.6028646E7,0.38,4.246,9.23667,"July 07, 22",0.04246
2022-07-06,9.25,9.53,8.7,8.74,8.74,5.2278794E7,5.2278794E7,-0.51,-5.514,8.99,"July 06, 22",-0.05514
2022-07-05,8.54,9.41,8.15,9.38,9.38,6.9312328E7,6.9312328E7,0.84,9.836,8.98,"July 05, 22",0.09836
2022-07-01,8.61,8.97,8.53,8.82,8.82,5.1902996E7,5.1902996E7,0.21,2.439,8.77333,"July 01, 22",0.02439
2022-06-30,8.66,8.81,8.1,8.65,8.65,7.4560386E7,7.4560386E7,-0.01,-0.115,8.52,"June 30, 22",-0.00115
2022-06-29,9.49,9.6,8.66,8.87,8.87,1.09507544E8,1.09507544E8,-0.62,-6.533,9.04333,"June 29, 22",-0.06533
2022-06-28,10.49,11.05,10.31,10.33,10.33,4.6295306E7,4.6295306E7,-0.16,-1.525,10.56333,"June 28, 22",-0.01525
2022-06-27,10.73,10.81,10.18,10.55,10.55,5.2774026E7,5.2774026E7,-0.18,-1.678,10.51333,"June 27, 22",-0.01678
2022-06-24,9.72,10.88,9.48,10.85,10.85,8.5126561E7,8.5126561E7,1.13,11.626,10.40333,"June 24, 22",0.11626
2022-06-23,9.62,9.74,9.22,9.65,9.65,4.8065245E7,4.8065245E7,0.03,0.312,9.53667,"June 23, 22",0.00312
2022-06-22,9.36,9.83,9.28,9.62,9.62,3.8602532E7,3.8602532E7,0.26,2.778,9.57667,"June 22, 22",0.02778
2022-06-21,9.69,9.79,9.43,9.57,9.57,4.8967952E7,4.8967952E7,-0.12,-1.238,9.59667,"June 21, 22",-0.01238
2022-06-17,8.91,9.64,8.75,9.6,9.6,6.9505412E7,6.9505412E7,0.69,7.744,9.33,"June 17, 22",0.07744
2022-06-16,9.43,9.49,8.7,8.75,8.75,7.5403921E7,7.5403921E7,-0.68,-7.211,8.98,"June 16, 22",-0.07211
