date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-24,9.56,9.8,9.44,9.69,9.69,6733684.0,6733684.0,0.13,1.36,9.64333,"October 24, 22",0.0136
2022-10-21,9.2,9.64,9.04,9.62,9.62,7417708.0,7417708.0,0.42,4.565,9.43333,"October 21, 22",0.04565
2022-10-20,9.31,9.48,9.0892,9.18,9.18,4097787.0,4097787.0,-0.13,-1.396,9.24973,"October 20, 22",-0.01396
2022-10-19,8.96,9.41,8.85,9.22,9.22,7424410.0,7424410.0,0.26,2.902,9.16,"October 19, 22",0.02902
2022-10-18,9.04,9.165,8.69,8.92,8.92,4009748.0,4009748.0,-0.12,-1.327,8.925,"October 18, 22",-0.01327
2022-10-17,8.99,9.09,8.73,8.94,8.94,3693784.0,3693784.0,-0.05,-0.556,8.92,"October 17, 22",-0.00556
2022-10-14,9.22,9.23,8.7208,8.8,8.8,4276380.0,4276380.0,-0.42,-4.555,8.91693,"October 14, 22",-0.04555
2022-10-13,8.74,9.38,8.71,9.31,9.31,7080256.0,7080256.0,0.57,6.522,9.13333,"October 13, 22",0.06522
2022-10-12,8.56,8.97,8.48,8.91,8.91,4971558.0,4971558.0,0.35,4.089,8.78667,"October 12, 22",0.04089
2022-10-11,8.53,8.95,8.45,8.7,8.7,7028122.0,7028122.0,0.17,1.993,8.7,"October 11, 22",0.01993
2022-10-10,8.92,9.09,8.56,8.76,8.76,5523105.0,5523105.0,-0.16,-1.794,8.80333,"October 10, 22",-0.01794
2022-10-07,9.0,9.4,8.86,8.96,8.96,8009252.0,8009252.0,-0.04,-0.444,9.07333,"October 07, 22",-0.00444
2022-10-06,8.5,9.07,8.47,9.04,9.04,7892589.0,7892589.0,0.54,6.353,8.86,"October 06, 22",0.06353
2022-10-05,8.0,8.695,8.0,8.6,8.6,9582100.0,9582100.0,0.6,7.5,8.43167,"October 05, 22",0.075
2022-10-04,7.74,8.17,7.66,8.11,8.11,7791095.0,7791095.0,0.37,4.78,7.98,"October 04, 22",0.0478
2022-10-03,7.16,7.57,7.09,7.48,7.48,7038148.0,7038148.0,0.32,4.469,7.38,"October 03, 22",0.04469
2022-09-30,6.61,6.85,6.51,6.8,6.8,7091652.0,7091652.0,0.19,2.874,6.72,"September 30, 22",0.02874
2022-09-29,6.74,6.75,6.39,6.71,6.71,7655093.0,7655093.0,-0.03,-0.445,6.61667,"September 29, 22",-0.00445
2022-09-28,6.46,6.79,6.4,6.75,6.75,6684346.0,6684346.0,0.29,4.489,6.64667,"September 28, 22",0.04489
2022-09-27,6.36,6.57,6.24,6.34,6.34,5484121.0,5484121.0,-0.02,-0.314,6.38333,"September 27, 22",-0.00314
2022-09-26,6.36,6.44,6.12,6.17,6.17,8327592.0,8327592.0,-0.19,-2.987,6.24333,"September 26, 22",-0.02987
2022-09-23,6.49,6.5578,6.26,6.36,6.36,8289050.0,8289050.0,-0.13,-2.003,6.3926,"September 23, 22",-0.02003
2022-09-22,7.14,7.23,6.83,6.89,6.89,7099294.0,7099294.0,-0.25,-3.501,6.98333,"September 22, 22",-0.03501
2022-09-21,7.39,7.5,6.97,7.02,7.02,5730659.0,5730659.0,-0.37,-5.007,7.16333,"September 21, 22",-0.05007
2022-09-20,7.5,7.54,7.07,7.31,7.31,8080653.0,8080653.0,-0.19,-2.533,7.30667,"September 20, 22",-0.02533
2022-09-19,7.52,7.74,7.5,7.52,7.52,5499699.0,5499699.0,0.0,0.0,7.58667,"September 19, 22",0.0
2022-09-16,8.0,8.0,7.57,7.79,7.79,9907880.0,9907880.0,-0.21,-2.625,7.78667,"September 16, 22",-0.02625
2022-09-15,8.2,8.235,7.96,7.99,7.99,8294570.0,8294570.0,-0.21,-2.561,8.06167,"September 15, 22",-0.02561
2022-09-14,7.96,8.23,7.89,8.15,8.15,7318777.0,7318777.0,0.19,2.387,8.09,"September 14, 22",0.02387
2022-09-13,8.1,8.37,7.75,7.81,7.81,5051026.0,5051026.0,-0.29,-3.58,7.97667,"September 13, 22",-0.0358
2022-09-12,8.05,8.361,8.02,8.22,8.22,6312561.0,6312561.0,0.17,2.112,8.20033,"September 12, 22",0.02112
2022-09-09,7.84,8.09,7.84,7.94,7.94,4732020.0,4732020.0,0.1,1.276,7.95667,"September 09, 22",0.01276
2022-09-08,7.62,7.81,7.45,7.77,7.77,4992286.0,4992286.0,0.15,1.969,7.67667,"September 08, 22",0.01969
2022-09-07,7.59,7.76,7.32,7.56,7.56,8251700.0,8251700.0,-0.03,-0.395,7.54667,"September 07, 22",-0.00395
2022-09-06,8.0,8.23,7.77,7.96,7.96,6011772.0,6011772.0,-0.04,-0.5,7.98667,"September 06, 22",-0.005
2022-09-02,8.59,8.6799,7.73,7.95,7.95,3344835.0,3344835.0,-0.64,-7.451,8.11997,"September 02, 22",-0.07451
2022-09-01,8.08,8.13,7.45,7.62,7.62,1.7582163E7,1.7582163E7,-0.46,-5.693,7.73333,"September 01, 22",-0.05693
2022-08-31,8.15,8.695,8.035,8.23,8.23,9319104.0,9319104.0,0.08,0.982,8.32,"August 31, 22",0.00982
2022-08-30,8.47,8.545,8.215,8.36,8.36,8654592.0,8654592.0,-0.11,-1.299,8.37333,"August 30, 22",-0.01299
2022-08-29,8.31,8.87,8.26,8.67,8.67,8016059.0,8016059.0,0.36,4.332,8.6,"August 29, 22",0.04332
2022-08-26,8.29,8.475,8.22,8.38,8.38,6907973.0,6907973.0,0.09,1.086,8.35833,"August 26, 22",0.01086
2022-08-25,8.18,8.4,8.035,8.32,8.32,6615708.0,6615708.0,0.14,1.711,8.25167,"August 25, 22",0.01711
2022-08-24,8.0,8.11,7.87,8.1,8.1,9660524.0,9660524.0,0.1,1.25,8.02667,"August 24, 22",0.0125
2022-08-23,7.57,7.915,7.57,7.74,7.74,8482312.0,8482312.0,0.17,2.246,7.74167,"August 23, 22",0.02246
2022-08-22,7.28,7.52,7.015,7.42,7.42,7728767.0,7728767.0,0.14,1.923,7.31833,"August 22, 22",0.01923
2022-08-19,7.42,7.555,7.36,7.39,7.39,6562715.0,6562715.0,-0.03,-0.404,7.435,"August 19, 22",-0.00404
2022-08-18,7.3,7.58,7.205,7.56,7.56,7754503.0,7754503.0,0.26,3.562,7.44833,"August 18, 22",0.03562
2022-08-17,6.85,7.18,6.85,7.14,7.14,5945442.0,5945442.0,0.29,4.234,7.05667,"August 17, 22",0.04234
