date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,17.54,18.64,17.42,18.45,18.45,732814.0,732814.0,0.91,5.188,18.17,"October 25, 22",0.05188
2022-10-24,17.13,17.315,16.43,17.29,17.29,956440.0,956440.0,0.16,0.934,17.01167,"October 24, 22",0.00934
2022-10-21,16.67,17.16,16.17,16.89,16.89,898784.0,898784.0,0.22,1.32,16.74,"October 21, 22",0.0132
2022-10-20,15.0,17.0,14.9301,16.55,16.55,948669.0,948669.0,1.55,10.333,16.16003,"October 20, 22",0.10333
2022-10-19,17.09,17.17,15.345,15.44,15.44,866006.0,866006.0,-1.65,-9.655,15.985,"October 19, 22",-0.09655
2022-10-18,17.62,18.22,17.3,17.49,17.49,615791.0,615791.0,-0.13,-0.738,17.67,"October 18, 22",-0.00738
2022-10-17,16.7,17.6238,16.62,17.31,17.31,864305.0,864305.0,0.61,3.653,17.1846,"October 17, 22",0.03653
2022-10-14,17.12,17.3,16.39,16.45,16.45,673983.0,673983.0,-0.67,-3.914,16.71333,"October 14, 22",-0.03914
2022-10-13,16.47,17.15,15.96,16.9,16.9,555355.0,555355.0,0.43,2.611,16.67,"October 13, 22",0.02611
2022-10-12,16.91,17.32,16.49,17.16,17.16,622689.0,622689.0,0.25,1.478,16.99,"October 12, 22",0.01478
2022-10-11,16.71,17.27,16.23,16.93,16.93,941926.0,941926.0,0.22,1.317,16.81,"October 11, 22",0.01317
2022-10-10,17.11,17.11,16.38,16.82,16.82,771060.0,771060.0,-0.29,-1.695,16.77,"October 10, 22",-0.01695
2022-10-07,17.51,17.92,16.94,17.1,17.1,968453.0,968453.0,-0.41,-2.342,17.32,"October 07, 22",-0.02342
2022-10-06,18.08,18.69,17.97,18.0,18.0,726509.0,726509.0,-0.08,-0.442,18.22,"October 06, 22",-0.00442
2022-10-05,18.06,18.42,17.945,18.21,18.21,989338.0,989338.0,0.15,0.831,18.19167,"October 05, 22",0.00831
2022-10-04,17.83,18.93,17.83,18.45,18.45,856623.0,856623.0,0.62,3.477,18.40333,"October 04, 22",0.03477
2022-10-03,17.17,17.68,16.73,17.45,17.45,753414.0,753414.0,0.28,1.631,17.28667,"October 03, 22",0.01631
2022-09-30,17.14,17.77,16.98,17.02,17.02,745831.0,745831.0,-0.12,-0.7,17.25667,"September 30, 22",-0.007
2022-09-29,17.21,17.37,16.63,17.1,17.1,874136.0,874136.0,-0.11,-0.639,17.03333,"September 29, 22",-0.00639
2022-09-28,16.78,17.79,16.78,17.65,17.65,849970.0,849970.0,0.87,5.185,17.40667,"September 28, 22",0.05185
2022-09-27,16.64,16.96,16.335,16.69,16.69,1050330.0,1050330.0,0.05,0.3,16.66167,"September 27, 22",0.003
2022-09-26,16.09,16.505,15.97,16.22,16.22,899448.0,899448.0,0.13,0.808,16.23167,"September 26, 22",0.00808
2022-09-23,15.805,16.2,15.66,16.13,16.13,874116.0,874116.0,0.325,2.056,15.99667,"September 23, 22",0.02056
2022-09-22,16.24,16.405,15.7875,16.06,16.06,653058.0,653058.0,-0.18,-1.108,16.08417,"September 22, 22",-0.01108
2022-09-21,16.87,17.3624,16.26,16.36,16.36,955516.0,955516.0,-0.51,-3.023,16.6608,"September 21, 22",-0.03023
2022-09-20,17.2,17.5899,16.83,16.92,16.92,1045555.0,1045555.0,-0.28,-1.628,17.1133,"September 20, 22",-0.01628
2022-09-19,16.84,17.67,16.45,17.44,17.44,910353.0,910353.0,0.6,3.563,17.18667,"September 19, 22",0.03563
2022-09-16,18.25,18.53,16.77,17.06,17.06,1577680.0,1577680.0,-1.19,-6.521,17.45333,"September 16, 22",-0.06521
2022-09-15,18.66,19.56,18.54,18.66,18.66,841738.0,841738.0,0.0,0.0,18.92,"September 15, 22",0.0
2022-09-14,18.64,18.77,18.185,18.57,18.57,897127.0,897127.0,-0.07,-0.376,18.50833,"September 14, 22",-0.00376
2022-09-13,18.65,18.8,17.9666,18.49,18.49,906959.0,906959.0,-0.16,-0.858,18.41887,"September 13, 22",-0.00858
2022-09-12,19.38,19.7869,19.05,19.58,19.58,512537.0,512537.0,0.2,1.032,19.4723,"September 12, 22",0.01032
