date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,96.58,99.25,95.14,98.89,98.89,1809852.0,1809852.0,2.31,2.392,97.76,"October 25, 22",0.02392
2022-10-24,96.81,98.78,95.51,96.71,96.71,1645186.0,1645186.0,-0.1,-0.103,97.0,"October 24, 22",-0.00103
2022-10-21,98.97,99.27,95.325,97.02,97.02,1825609.0,1825609.0,-1.95,-1.97,97.205,"October 21, 22",-0.0197
2022-10-20,100.8,101.65,97.93,98.84,98.84,1126846.0,1126846.0,-1.96,-1.944,99.47333,"October 20, 22",-0.01944
2022-10-19,99.02,100.12,98.0164,99.53,99.53,1274435.0,1274435.0,0.51,0.515,99.22213,"October 19, 22",0.00515
2022-10-18,97.37,99.95,96.77,98.49,98.49,1912945.0,1912945.0,1.12,1.15,98.40333,"October 18, 22",0.0115
2022-10-17,95.11,97.67,94.96,97.2,97.2,1658856.0,1658856.0,2.09,2.197,96.61,"October 17, 22",0.02197
2022-10-14,99.95,100.42,95.07,95.32,95.32,1806746.0,1806746.0,-4.63,-4.632,96.93667,"October 14, 22",-0.04632
2022-10-13,98.8,102.48,98.06,101.96,101.96,1557306.0,1557306.0,3.16,3.198,100.83333,"October 13, 22",0.03198
2022-10-12,95.73,101.2,94.905,99.51,99.51,1992895.0,1992895.0,3.78,3.949,98.53833,"October 12, 22",0.03949
2022-10-11,95.52,98.51,94.81,96.6,96.6,1612229.0,1612229.0,1.08,1.131,96.64,"October 11, 22",0.01131
2022-10-10,102.7,105.45,97.34,97.63,97.63,1719817.0,1719817.0,-5.07,-4.937,100.14,"October 10, 22",-0.04937
2022-10-07,101.5,103.56,100.39,100.46,100.46,2167733.0,2167733.0,-1.04,-1.025,101.47,"October 07, 22",-0.01025
2022-10-06,101.83,103.87,101.05,101.65,101.65,2413110.0,2413110.0,-0.18,-0.177,102.19,"October 06, 22",-0.00177
2022-10-05,102.45,103.505,100.56,102.44,102.44,2111803.0,2111803.0,-0.01,-0.01,102.16833,"October 05, 22",-1.0E-4
2022-10-04,101.84,103.37,100.569,102.24,102.24,2946944.0,2946944.0,0.4,0.393,102.05967,"October 04, 22",0.00393
2022-10-03,95.98,99.47,95.98,98.93,98.93,2433950.0,2433950.0,2.95,3.074,98.12667,"October 03, 22",0.03074
2022-09-30,91.97,95.37,91.76,94.21,94.21,1801625.0,1801625.0,2.24,2.436,93.78,"September 30, 22",0.02436
2022-09-29,94.9,95.33,91.13,93.84,93.84,2096892.0,2096892.0,-1.06,-1.117,93.43333,"September 29, 22",-0.01117
2022-09-28,91.96,95.84,91.95,95.49,95.49,1685515.0,1685515.0,3.53,3.839,94.42667,"September 28, 22",0.03839
2022-09-27,92.3,93.875,91.165,91.89,91.89,2007048.0,2007048.0,-0.41,-0.444,92.31,"September 27, 22",-0.00444
2022-09-26,92.02,94.22,90.905,91.09,91.09,2418579.0,2418579.0,-0.93,-1.011,92.07167,"September 26, 22",-0.01011
2022-09-23,93.93,94.0,90.585,92.93,92.93,3189351.0,3189351.0,-1.0,-1.065,92.505,"September 23, 22",-0.01065
2022-09-22,104.36,105.03,98.35,98.53,98.53,1780298.0,1780298.0,-5.83,-5.586,100.63667,"September 22, 22",-0.05586
2022-09-21,104.8,105.36,101.46,102.08,102.08,1450261.0,1450261.0,-2.72,-2.595,102.96667,"September 21, 22",-0.02595
2022-09-20,101.75,103.645,99.885,102.61,102.61,1771116.0,1771116.0,0.86,0.845,102.04667,"September 20, 22",0.00845
2022-09-19,98.02,102.6,97.54,102.26,102.26,1643264.0,1643264.0,4.24,4.326,100.8,"September 19, 22",0.04326
2022-09-16,103.59,103.84,99.18,100.58,100.58,4653018.0,4653018.0,-3.01,-2.906,101.2,"September 16, 22",-0.02906
2022-09-15,101.64,104.2,100.996,103.59,103.59,1817375.0,1817375.0,1.95,1.919,102.92867,"September 15, 22",0.01919
2022-09-14,104.25,105.88,103.07,104.56,104.56,2238518.0,2238518.0,0.31,0.297,104.50333,"September 14, 22",0.00297
2022-09-13,102.91,104.99,100.63,101.43,101.43,1661363.0,1661363.0,-1.48,-1.438,102.35,"September 13, 22",-0.01438
2022-09-12,104.59,104.83,102.22,103.83,103.83,1403579.0,1403579.0,-0.76,-0.727,103.62667,"September 12, 22",-0.00727
2022-09-09,102.46,104.27,102.15,102.78,102.78,1713309.0,1713309.0,0.32,0.312,103.06667,"September 09, 22",0.00312
2022-09-08,98.68,101.02,97.1339,100.4,100.4,1415470.0,1415470.0,1.72,1.743,99.51797,"September 08, 22",0.01743
2022-09-07,94.5,98.01,92.8775,97.74,97.74,1719665.0,1719665.0,3.24,3.429,96.20917,"September 07, 22",0.03429
2022-09-06,99.17,99.75,96.18,96.53,96.53,2050783.0,2050783.0,-2.64,-2.662,97.48667,"September 06, 22",-0.02662
2022-09-02,101.44,101.44,99.09,99.74,99.74,1400242.0,1400242.0,-1.7,-1.676,100.09,"September 02, 22",-0.01676
2022-09-01,98.78,100.37,97.1,98.02,98.02,1505262.0,1505262.0,-0.76,-0.769,98.49667,"September 01, 22",-0.00769
2022-08-31,95.17,101.655,94.85,100.49,100.49,2415756.0,2415756.0,5.32,5.59,98.99833,"August 31, 22",0.0559
2022-08-30,100.28,100.84,95.71,97.89,97.89,2429207.0,2429207.0,-2.39,-2.383,98.14667,"August 30, 22",-0.02383
2022-08-29,102.39,105.5,101.5,103.77,103.77,1275907.0,1275907.0,1.38,1.348,103.59,"August 29, 22",0.01348
2022-08-26,103.85,105.55,103.0,103.66,103.66,1394223.0,1394223.0,-0.19,-0.183,104.07,"August 26, 22",-0.00183
2022-08-25,104.16,104.415,102.9301,103.8,103.8,1534931.0,1534931.0,-0.36,-0.346,103.71503,"August 25, 22",-0.00346
2022-08-24,100.95,104.04,99.7276,103.75,103.75,2179182.0,2179182.0,2.8,2.774,102.50587,"August 24, 22",0.02774
2022-08-23,102.0,103.64,98.945,100.37,100.37,2999446.0,2999446.0,-1.63,-1.598,100.985,"August 23, 22",-0.01598
2022-08-22,97.95,100.33,94.97,100.16,100.16,2638352.0,2638352.0,2.21,2.256,98.48667,"August 22, 22",0.02256
2022-08-19,100.095,100.27,96.33,96.33,96.33,3702587.0,3702587.0,-3.765,-3.761,97.64333,"August 19, 22",-0.03761
2022-08-18,99.0,102.29,99.0,102.25,102.25,2559813.0,2559813.0,3.25,3.283,101.18,"August 18, 22",0.03283
2022-08-17,97.37,98.915,96.23,98.33,98.33,2159632.0,2159632.0,0.96,0.986,97.825,"August 17, 22",0.00986
2022-08-16,95.05,97.6,93.89,97.0,97.0,3395753.0,3395753.0,1.95,2.052,96.16333,"August 16, 22",0.02052
2022-08-15,95.0599976,96.7200012,92.5,95.9000015,95.9000015,1990500.0,1990500.0,0.84,0.884,95.04,"August 15, 22",0.00884
2022-08-12,97.2200012,98.4100037,96.0699997,98.2099991,98.2099991,2534100.0,2534100.0,0.99,1.018,97.56333,"August 12, 22",0.01018
2022-08-11,96.5,97.3499985,94.3199997,97.3099976,97.3099976,5400900.0,5400900.0,0.81,0.839,96.32667,"August 11, 22",0.00839
