date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,13.91,14.53,13.2701,14.3,14.3,3.8570673E7,3.8570673E7,0.39,2.804,14.03337,"October 25, 22",0.02804
2022-10-24,15.98,16.05,15.42,15.53,15.53,1.7214073E7,1.7214073E7,-0.45,-2.816,15.66667,"October 24, 22",-0.02816
2022-10-21,15.26,16.4571,15.17,16.34,16.34,1.5636658E7,1.5636658E7,1.08,7.077,15.98903,"October 21, 22",0.07077
2022-10-20,14.73,15.75,14.56,15.16,15.16,1.6609865E7,1.6609865E7,0.43,2.919,15.15667,"October 20, 22",0.02919
2022-10-19,15.13,15.3783,14.715,14.82,14.82,8631488.0,8631488.0,-0.31,-2.049,14.9711,"October 19, 22",-0.02049
2022-10-18,15.04,15.295,14.845,15.16,15.16,1.199255E7,1.199255E7,0.12,0.798,15.1,"October 18, 22",0.00798
2022-10-17,14.87,15.16,14.71,14.89,14.89,9900994.0,9900994.0,0.02,0.134,14.92,"October 17, 22",0.00134
2022-10-14,15.41,15.44,14.41,14.45,14.45,9885136.0,9885136.0,-0.96,-6.23,14.76667,"October 14, 22",-0.0623
2022-10-13,14.73,15.6,14.49,15.33,15.33,1.2253434E7,1.2253434E7,0.6,4.073,15.14,"October 13, 22",0.04073
2022-10-12,15.25,15.34,14.81,15.2,15.2,9176356.0,9176356.0,-0.05,-0.328,15.11667,"October 12, 22",-0.00328
2022-10-11,15.35,15.71,15.1,15.35,15.35,1.0111715E7,1.0111715E7,0.0,0.0,15.38667,"October 11, 22",0.0
2022-10-10,15.08,15.71,15.08,15.59,15.59,1.0888142E7,1.0888142E7,0.51,3.382,15.46,"October 10, 22",0.03382
2022-10-07,14.79,15.04,14.65,14.83,14.83,9118754.0,9118754.0,0.04,0.27,14.84,"October 07, 22",0.0027
2022-10-06,15.0,15.56,14.94,14.97,14.97,1.0235563E7,1.0235563E7,-0.03,-0.2,15.15667,"October 06, 22",-0.002
2022-10-05,15.01,15.52,14.86,15.41,15.41,9293195.0,9293195.0,0.4,2.665,15.26333,"October 05, 22",0.02665
2022-10-04,14.97,15.49,14.94,15.47,15.47,1.2442627E7,1.2442627E7,0.5,3.34,15.3,"October 04, 22",0.0334
2022-10-03,13.87,14.76,13.86,14.62,14.62,1.5316849E7,1.5316849E7,0.75,5.407,14.41333,"October 03, 22",0.05407
2022-09-30,13.63,14.015,13.43,13.47,13.47,9708192.0,9708192.0,-0.16,-1.174,13.63833,"September 30, 22",-0.01174
2022-09-29,13.86,13.97,13.39,13.77,13.77,9743831.0,9743831.0,-0.09,-0.649,13.71,"September 29, 22",-0.00649
2022-09-28,13.47,14.05,13.135,13.98,13.98,1.2209649E7,1.2209649E7,0.51,3.786,13.72167,"September 28, 22",0.03786
2022-09-27,13.36,13.71,13.28,13.6,13.6,1.3020309E7,1.3020309E7,0.24,1.796,13.53,"September 27, 22",0.01796
2022-09-26,13.08,13.65,13.02,13.08,13.08,1.491838E7,1.491838E7,0.0,0.0,13.25,"September 26, 22",0.0
2022-09-23,13.56,13.62,12.9,13.27,13.27,2.0109079E7,2.0109079E7,-0.29,-2.139,13.26333,"September 23, 22",-0.02139
2022-09-22,14.49,14.62,13.965,14.1,14.1,1.4980583E7,1.4980583E7,-0.39,-2.692,14.22833,"September 22, 22",-0.02692
2022-09-21,14.73,14.9,14.26,14.28,14.28,1.2647235E7,1.2647235E7,-0.45,-3.055,14.48,"September 21, 22",-0.03055
2022-09-20,14.6,14.77,14.41,14.56,14.56,1.3487615E7,1.3487615E7,-0.04,-0.274,14.58,"September 20, 22",-0.00274
2022-09-19,14.68,15.295,14.68,15.02,15.02,1.1868584E7,1.1868584E7,0.34,2.316,14.99833,"September 19, 22",0.02316
2022-09-16,14.96,15.145,14.83,15.0,15.0,1.422799E7,1.422799E7,0.04,0.267,14.99167,"September 16, 22",0.00267
2022-09-15,15.46,16.03,15.15,15.23,15.23,1.7963974E7,1.7963974E7,-0.23,-1.488,15.47,"September 15, 22",-0.01488
2022-09-14,16.33,16.3881,15.18,15.35,15.35,2.6754014E7,2.6754014E7,-0.98,-6.001,15.63937,"September 14, 22",-0.06001
2022-09-13,17.46,17.8,16.68,16.78,16.78,1.514366E7,1.514366E7,-0.68,-3.895,17.08667,"September 13, 22",-0.03895
2022-09-12,18.87,19.05,18.01,18.03,18.03,1.2824788E7,1.2824788E7,-0.84,-4.452,18.36333,"September 12, 22",-0.04452
2022-09-09,17.86,18.85,17.86,18.73,18.73,1.5845544E7,1.5845544E7,0.87,4.871,18.48,"September 09, 22",0.04871
2022-09-08,17.05,17.9,16.99,17.63,17.63,1.3393559E7,1.3393559E7,0.58,3.402,17.50667,"September 08, 22",0.03402
2022-09-07,16.94,17.4,16.54,17.29,17.29,1.2553594E7,1.2553594E7,0.35,2.066,17.07667,"September 07, 22",0.02066
2022-09-06,17.06,17.47,16.89,17.3,17.3,1.1661653E7,1.1661653E7,0.24,1.407,17.22,"September 06, 22",0.01407
2022-09-02,17.06,17.39,16.7,16.81,16.81,1.0782068E7,1.0782068E7,-0.25,-1.465,16.96667,"September 02, 22",-0.01465
2022-09-01,16.69,16.82,16.16,16.61,16.61,1.3750828E7,1.3750828E7,-0.08,-0.479,16.53,"September 01, 22",-0.00479
2022-08-31,17.57,17.7682,17.2,17.27,17.27,1.2619535E7,1.2619535E7,-0.3,-1.707,17.41273,"August 31, 22",-0.01707
2022-08-30,18.63,18.735,17.4401,17.6,17.6,1.1012593E7,1.1012593E7,-1.03,-5.529,17.92503,"August 30, 22",-0.05529
2022-08-29,18.42,19.14,18.16,18.55,18.55,9688480.0,9688480.0,0.13,0.706,18.61667,"August 29, 22",0.00706
2022-08-26,19.47,19.895,18.625,18.73,18.73,1.2320372E7,1.2320372E7,-0.74,-3.801,19.08333,"August 26, 22",-0.03801
2022-08-25,18.53,19.425,18.4,19.39,19.39,9186140.0,9186140.0,0.86,4.641,19.07167,"August 25, 22",0.04641
2022-08-24,17.6,18.41,17.46,18.24,18.24,1.1336812E7,1.1336812E7,0.64,3.636,18.03667,"August 24, 22",0.03636
2022-08-23,17.4,18.38,17.4,17.88,17.88,1.2370106E7,1.2370106E7,0.48,2.759,17.88667,"August 23, 22",0.02759
2022-08-22,17.35,17.46,16.99,17.27,17.27,1.0451748E7,1.0451748E7,-0.08,-0.461,17.24,"August 22, 22",-0.00461
2022-08-19,18.02,18.13,17.68,17.79,17.79,8523303.0,8523303.0,-0.23,-1.276,17.86667,"August 19, 22",-0.01276
2022-08-18,18.66,18.79,18.29,18.45,18.45,8759318.0,8759318.0,-0.21,-1.125,18.51,"August 18, 22",-0.01125
2022-08-17,19.19,19.19,18.35,18.47,18.47,1.3385134E7,1.3385134E7,-0.72,-3.752,18.67,"August 17, 22",-0.03752
2022-08-16,19.53,19.8199,19.28,19.66,19.66,8185221.0,8185221.0,0.13,0.666,19.58663,"August 16, 22",0.00666
2022-08-15,19.245,19.295,18.85,19.23,19.23,8922528.0,8922528.0,-0.015,-0.078,19.125,"August 15, 22",-7.8E-4
2022-08-12,19.45,19.75,19.25,19.67,19.67,9297717.0,9297717.0,0.22,1.131,19.55667,"August 12, 22",0.01131
2022-08-11,20.09,20.3699,19.33,19.45,19.45,1.2230903E7,1.2230903E7,-0.64,-3.186,19.71663,"August 11, 22",-0.03186
2022-08-10,19.55,19.8977,19.25,19.75,19.75,1.0035491E7,1.0035491E7,0.2,1.023,19.63257,"August 10, 22",0.01023
2022-08-09,18.67,19.07,18.5317,19.03,19.03,1.0686013E7,1.0686013E7,0.36,1.928,18.87723,"August 09, 22",0.01928
2022-08-08,18.57,19.108,18.345,18.57,18.57,1.3472134E7,1.3472134E7,0.0,0.0,18.67433,"August 08, 22",0.0
2022-08-05,17.73,18.7899,17.66,18.31,18.31,1.2327145E7,1.2327145E7,0.58,3.271,18.2533,"August 05, 22",0.03271
2022-08-04,17.18,18.33,17.05,17.94,17.94,1.6531958E7,1.6531958E7,0.76,4.424,17.77333,"August 04, 22",0.04424
2022-08-03,17.09,17.25,16.9,17.12,17.12,9913799.0,9913799.0,0.03,0.176,17.09,"August 03, 22",0.00176
2022-08-02,17.28,17.3687,16.64,17.05,17.05,1.3166515E7,1.3166515E7,-0.23,-1.331,17.01957,"August 02, 22",-0.01331
2022-08-01,17.42,17.62,17.11,17.51,17.51,1.2976031E7,1.2976031E7,0.09,0.517,17.41333,"August 01, 22",0.00517
2022-07-29,17.19,17.75,16.93,17.71,17.71,1.32415E7,1.32415E7,0.52,3.025,17.46333,"July 29, 22",0.03025
2022-07-28,16.84,17.227,16.52,16.95,16.95,1.4565475E7,1.4565475E7,0.11,0.653,16.899,"July 28, 22",0.00653
2022-07-27,16.38,16.84,15.805,16.65,16.65,2.0493806E7,2.0493806E7,0.27,1.648,16.43167,"July 27, 22",0.01648
2022-07-26,16.45,16.78,16.19,16.34,16.34,1.3359779E7,1.3359779E7,-0.11,-0.669,16.43667,"July 26, 22",-0.00669
2022-07-25,15.74,16.64,15.74,16.56,16.56,1.9673877E7,1.9673877E7,0.82,5.21,16.31333,"July 25, 22",0.0521
2022-07-22,17.1,17.2,15.49,15.62,15.62,3.239984E7,3.239984E7,-1.48,-8.655,16.10333,"July 22, 22",-0.08655
2022-07-21,16.8,17.2,16.445,17.14,17.14,2.4600687E7,2.4600687E7,0.34,2.024,16.92833,"July 21, 22",0.02024
2022-07-20,16.5,16.7983,16.28,16.6,16.6,1.2804337E7,1.2804337E7,0.1,0.606,16.55943,"July 20, 22",0.00606
2022-07-19,15.61,16.48,15.551,16.45,16.45,1.546767E7,1.546767E7,0.84,5.381,16.16033,"July 19, 22",0.05381
2022-07-18,15.43,15.87,15.43,15.53,15.53,1.3436449E7,1.3436449E7,0.1,0.648,15.61,"July 18, 22",0.00648
2022-07-15,14.62,15.0,14.38,14.99,14.99,1.4715629E7,1.4715629E7,0.37,2.531,14.79,"July 15, 22",0.02531
2022-07-14,15.0,15.09,14.315,14.52,14.52,2.11905E7,2.11905E7,-0.48,-3.2,14.64167,"July 14, 22",-0.032
2022-07-13,14.9,15.59,14.77,15.56,15.56,1.6326635E7,1.6326635E7,0.66,4.43,15.30667,"July 13, 22",0.0443
2022-07-12,14.99,15.595,14.9,15.09,15.09,1.490019E7,1.490019E7,0.1,0.667,15.195,"July 12, 22",0.00667
2022-07-11,15.19,15.83,15.09,15.1,15.1,1.4374812E7,1.4374812E7,-0.09,-0.592,15.34,"July 11, 22",-0.00592
2022-07-08,15.92,15.97,15.1,15.47,15.47,1.7489185E7,1.7489185E7,-0.45,-2.827,15.51333,"July 08, 22",-0.02827
2022-07-07,15.81,16.17,15.68,15.72,15.72,1.7480916E7,1.7480916E7,-0.09,-0.569,15.85667,"July 07, 22",-0.00569
2022-07-06,15.0,15.43,14.75,15.19,15.19,2.23236E7,2.23236E7,0.19,1.267,15.12333,"July 06, 22",0.01267
2022-07-05,15.19,15.36,14.685,15.18,15.18,2.2500914E7,2.2500914E7,-0.01,-0.066,15.075,"July 05, 22",-6.6E-4
2022-07-01,15.13,15.84,14.95,15.76,15.76,2.7345498E7,2.7345498E7,0.63,4.164,15.51667,"July 01, 22",0.04164
