date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,31.2,31.61,31.08,31.56,31.56,2.5305996E7,2.5305996E7,0.36,1.154,31.41667,"October 25, 22",0.01154
2022-10-24,30.84,31.37,30.73,31.08,31.08,2.8652211E7,2.8652211E7,0.24,0.778,31.06,"October 24, 22",0.00778
2022-10-21,30.31,30.745,30.05,30.48,30.48,3.0818349E7,3.0818349E7,0.17,0.561,30.425,"October 21, 22",0.00561
2022-10-20,30.5,30.81,30.26,30.46,30.46,2.2997327E7,2.2997327E7,-0.04,-0.131,30.51,"October 20, 22",-0.00131
2022-10-19,30.73,30.95,30.26,30.39,30.39,2.9089505E7,2.9089505E7,-0.34,-1.106,30.53333,"October 19, 22",-0.01106
2022-10-18,31.34,31.59,30.47,30.75,30.75,2.9235394E7,2.9235394E7,-0.59,-1.883,30.93667,"October 18, 22",-0.01883
2022-10-17,30.47,30.96,30.4,30.82,30.82,2.9108547E7,2.9108547E7,0.35,1.149,30.72667,"October 17, 22",0.01149
2022-10-14,30.52,30.84,30.01,30.05,30.05,2.7584911E7,2.7584911E7,-0.47,-1.54,30.3,"October 14, 22",-0.0154
2022-10-13,28.672,30.5065,28.39,30.23,30.23,3.5169534E7,3.5169534E7,1.558,5.434,29.70883,"October 13, 22",0.05434
2022-10-12,28.73,29.33,28.52,28.69,28.69,2.9784818E7,2.9784818E7,-0.04,-0.139,28.84667,"October 12, 22",-0.00139
2022-10-11,28.93,29.15,28.625,28.68,28.68,3.4742788E7,3.4742788E7,-0.25,-0.864,28.81833,"October 11, 22",-0.00864
2022-10-10,29.54,29.75,29.03,29.13,29.13,2.3583873E7,2.3583873E7,-0.41,-1.388,29.30333,"October 10, 22",-0.01388
2022-10-07,29.88,29.98,29.2,29.27,29.27,2.885049E7,2.885049E7,-0.61,-2.041,29.48333,"October 07, 22",-0.02041
2022-10-06,30.63,30.72,29.985,30.05,30.05,3.2509897E7,3.2509897E7,-0.58,-1.894,30.25167,"October 06, 22",-0.01894
2022-10-05,30.53,30.905,30.14,30.74,30.74,2.2334789E7,2.2334789E7,0.21,0.688,30.595,"October 05, 22",0.00688
2022-10-04,30.4899998,31.1000004,30.3999996,30.9899998,30.9899998,2.81834E7,2.81834E7,0.5,1.64,30.83,"October 04, 22",0.0164
2022-10-03,29.8400002,30.7700005,29.5900002,30.6299992,30.3600006,3.43456E7,3.43456E7,0.52,1.743,30.24,"October 03, 22",0.01743
2022-09-30,30.6499996,30.6499996,29.2800007,29.3299999,29.0714588,3.14186E7,3.14186E7,-1.57854,-5.15,29.66715,"September 30, 22",-0.0515
2022-09-29,30.8600006,30.8600006,30.0,30.4300003,30.1617641,2.84665E7,2.84665E7,-0.69824,-2.263,30.34059,"September 29, 22",-0.02263
2022-09-28,30.6700001,31.3899994,30.3999996,31.1599998,30.8853283,2.64067E7,2.64067E7,0.21533,0.702,30.89178,"September 28, 22",0.00702
2022-09-27,31.2800007,31.4099998,30.0,30.2600002,29.9932613,3.43633E7,3.43633E7,-1.28674,-4.114,30.46775,"September 27, 22",-0.04114
2022-09-26,31.6599998,31.8500004,30.5300007,30.8899994,30.6177082,3.4149E7,3.4149E7,-1.04229,-3.292,30.99924,"September 26, 22",-0.03292
2022-09-23,32.3699989,32.4099998,31.4500008,31.8400002,31.5593338,2.74477E7,2.74477E7,-0.81067,-2.504,31.80644,"September 23, 22",-0.02504
2022-09-22,32.5999985,32.9199982,32.2999992,32.4700012,32.1837807,2.51829E7,2.51829E7,-0.41622,-1.277,32.46793,"September 22, 22",-0.01277
2022-09-21,34.0200005,34.0900002,32.6800003,32.7000008,32.4117546,3.67337E7,3.67337E7,-1.60825,-4.727,33.06059,"September 21, 22",-0.04727
2022-09-20,33.9900017,34.2299995,33.5999985,33.8400002,33.5417061,2.6624E7,2.6624E7,-0.4483,-1.319,33.79057,"September 20, 22",-0.01319
2022-09-19,34.3600006,34.7700005,34.0,34.4599991,34.1562386,2.34079E7,2.34079E7,-0.20376,-0.593,34.30875,"September 19, 22",-0.00593
2022-09-16,34.0900002,34.7099991,33.9300003,34.5200005,34.2157097,5.22939E7,5.22939E7,0.12571,0.369,34.28524,"September 16, 22",0.00369
2022-09-15,34.4500008,34.5999985,33.7200012,34.0,33.7002945,3.69995E7,3.69995E7,-0.74971,-2.176,34.00676,"September 15, 22",-0.02176
