date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,124.33,125.49,122.88,123.94,123.94,6814414.0,6814414.0,-0.39,-0.314,124.10333,"October 25, 22",-0.00314
2022-10-24,124.53,126.4,124.2,125.14,125.14,5734565.0,5734565.0,0.61,0.49,125.24667,"October 24, 22",0.0049
2022-10-21,122.67,124.76,121.57,124.49,124.49,5884084.0,5884084.0,1.82,1.484,123.60667,"October 21, 22",0.01484
2022-10-20,122.5,124.91,121.78,121.81,121.81,6455967.0,6455967.0,-0.69,-0.563,122.83333,"October 20, 22",-0.00563
2022-10-19,118.42,121.6,118.09,121.11,121.11,5498479.0,5498479.0,2.69,2.272,120.26667,"October 19, 22",0.02272
2022-10-18,119.58,120.04,115.7,117.89,117.89,6825810.0,6825810.0,-1.69,-1.413,117.87667,"October 18, 22",-0.01413
2022-10-17,119.78,121.44,118.02,118.36,118.36,6665502.0,6665502.0,-1.42,-1.186,119.27333,"October 17, 22",-0.01186
2022-10-14,121.09,122.98,117.04,117.96,117.96,7646152.0,7646152.0,-3.13,-2.585,119.32667,"October 14, 22",-0.02585
2022-10-13,114.5,123.41,114.43,122.74,122.74,7995006.0,7995006.0,8.24,7.197,120.19333,"October 13, 22",0.07197
2022-10-12,114.76,117.34,113.99,116.3,116.3,6216678.0,6216678.0,1.54,1.342,115.87667,"October 12, 22",0.01342
2022-10-11,114.11,118.11,113.21,115.58,115.58,7603089.0,7603089.0,1.47,1.288,115.63333,"October 11, 22",0.01288
2022-10-10,118.61,120.44,115.45,116.8,116.8,5882094.0,5882094.0,-1.81,-1.526,117.56333,"October 10, 22",-0.01526
2022-10-07,118.1399994,121.3600006,117.3199997,118.5100021,118.5100021,9371200.0,9371200.0,0.37,0.313,119.06333,"October 07, 22",0.00313
2022-10-06,114.7900009,118.3600006,114.6800003,117.6500015,117.6500015,6388900.0,6388900.0,2.86,2.492,116.89667,"October 06, 22",0.02492
2022-10-05,116.25,117.2600021,113.7600021,115.9300003,115.9300003,1.0073E7,1.0073E7,-0.32,-0.275,115.65,"October 05, 22",-0.00275
