date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,43.34,44.4,43.225,44.36,44.36,1.9135312E7,1.9135312E7,1.02,2.353,43.995,"October 25, 22",0.02353
2022-10-24,43.115,43.725,42.9,43.54,43.54,1.8786788E7,1.8786788E7,0.425,0.986,43.38833,"October 24, 22",0.00986
2022-10-21,41.85,42.97,41.81,42.8,42.8,2.5034586E7,2.5034586E7,0.95,2.27,42.52667,"October 21, 22",0.0227
2022-10-20,41.56,42.62,41.46,41.71,41.71,1.6826763E7,1.6826763E7,0.15,0.361,41.93,"October 20, 22",0.00361
2022-10-19,41.63,42.24,41.47,41.88,41.88,1.9073514E7,1.9073514E7,0.25,0.601,41.86333,"October 19, 22",0.00601
2022-10-18,41.92,42.22,41.26,41.79,41.79,1.8217663E7,1.8217663E7,-0.13,-0.31,41.75667,"October 18, 22",-0.0031
2022-10-17,41.04,41.53,40.95,41.3,41.3,2.7840603E7,2.7840603E7,0.26,0.634,41.26,"October 17, 22",0.00634
2022-10-14,40.84,40.96,39.92,40.2,40.2,1.9572598E7,1.9572598E7,-0.64,-1.567,40.36,"October 14, 22",-0.01567
2022-10-13,39.03,40.8,38.61,40.61,40.61,2.5044946E7,2.5044946E7,1.58,4.048,40.00667,"October 13, 22",0.04048
2022-10-12,39.7,39.86,39.25,39.27,39.27,1.7279666E7,1.7279666E7,-0.43,-1.083,39.46,"October 12, 22",-0.01083
2022-10-11,39.81,40.11,39.27,39.58,39.58,1.9384566E7,1.9384566E7,-0.23,-0.578,39.65333,"October 11, 22",-0.00578
2022-10-10,40.63,40.81,39.6,39.89,39.89,1.6626875E7,1.6626875E7,-0.74,-1.821,40.1,"October 10, 22",-0.01821
2022-10-07,41.25,41.25,40.08,40.27,40.27,1.9049501E7,1.9049501E7,-0.98,-2.376,40.53333,"October 07, 22",-0.02376
2022-10-06,41.65,42.09,41.37,41.52,41.52,1.8199081E7,1.8199081E7,-0.13,-0.312,41.66,"October 06, 22",-0.00312
2022-10-05,41.585,42.25,41.4,41.99,41.99,1.4290213E7,1.4290213E7,0.405,0.974,41.88,"October 05, 22",0.00974
2022-10-04,41.5600014,42.0400009,41.3899994,41.8199997,41.8199997,2.28894E7,2.28894E7,0.26,0.626,41.75,"October 04, 22",0.00626
2022-10-03,40.6699982,41.5299988,40.4700012,41.2900009,40.9099998,2.22036E7,2.22036E7,0.24,0.59,40.97,"October 03, 22",0.0059
2022-09-30,40.6599998,41.0400009,39.9599991,40.0,39.6318741,2.79879E7,2.79879E7,-1.02813,-2.529,40.21062,"September 30, 22",-0.02529
2022-09-29,41.0499992,41.0999985,40.1500015,40.5699997,40.1966248,1.94964E7,1.94964E7,-0.85337,-2.079,40.48221,"September 29, 22",-0.02079
2022-09-28,40.8499985,41.5699997,40.5900002,41.3400002,40.9595413,2.32177E7,2.32177E7,0.10954,0.268,41.03985,"September 28, 22",0.00268
2022-09-27,41.1399994,41.4599991,40.2299995,40.5200005,40.1470871,1.50279E7,1.50279E7,-0.99291,-2.413,40.61236,"September 27, 22",-0.02413
2022-09-26,40.6599998,41.1899986,40.3699989,40.5800018,40.2065353,2.26948E7,2.26948E7,-0.45346,-1.115,40.58884,"September 26, 22",-0.01115
2022-09-23,41.25,41.25,40.1199989,40.6599998,40.2857971,1.90671E7,1.90671E7,-0.9642,-2.337,40.55193,"September 23, 22",-0.02337
2022-09-22,41.3400002,41.5499992,41.1399994,41.1500015,40.7712898,1.6691E7,1.6691E7,-0.56871,-1.376,41.15376,"September 22, 22",-0.01376
2022-09-21,42.3199997,42.8699989,41.5699997,41.5900002,41.2072411,2.14159E7,2.14159E7,-1.11276,-2.629,41.88241,"September 21, 22",-0.02629
2022-09-20,43.0099983,43.0200005,42.2599983,42.5800018,42.1881294,1.68139E7,1.68139E7,-0.82187,-1.911,42.48938,"September 20, 22",-0.01911
2022-09-19,42.9000015,43.4399986,42.7599983,43.2999992,42.9015007,1.36675E7,1.36675E7,0.0015,0.003,43.03383,"September 19, 22",3.0E-5
2022-09-16,43.1100006,43.5800018,42.7900009,43.2999992,42.9015007,3.26957E7,3.26957E7,-0.2085,-0.484,43.0905,"September 16, 22",-0.00484
2022-09-15,43.8100014,43.8699989,43.0900002,43.2900009,42.8915939,1.81486E7,1.81486E7,-0.91841,-2.096,43.28386,"September 15, 22",-0.02096
2022-09-14,44.0400009,44.2700005,43.5600014,43.9599991,43.5554276,2.75515E7,2.75515E7,-0.48457,-1.1,43.79514,"September 14, 22",-0.011
2022-09-13,45.7200012,45.9099998,44.0200005,44.1100006,43.7040482,2.30286E7,2.30286E7,-2.01595,-4.409,44.54468,"September 13, 22",-0.04409
2022-09-12,46.1100006,46.7299995,45.9700012,46.4000015,45.9729729,1.7923E7,1.7923E7,-0.13703,-0.297,46.22432,"September 12, 22",-0.00297
2022-09-09,45.6599998,45.8899994,45.4000015,45.7700005,45.3487701,1.54993E7,1.54993E7,-0.31123,-0.682,45.54626,"September 09, 22",-0.00682
2022-09-08,44.7599983,45.4700012,44.6199989,45.3699989,44.9524498,1.42315E7,1.42315E7,0.19245,0.43,45.01415,"September 08, 22",0.0043
2022-09-07,44.75,45.1699982,44.3499985,45.0200005,44.6056709,1.82974E7,1.82974E7,-0.14433,-0.323,44.70856,"September 07, 22",-0.00323
2022-09-06,44.6599998,44.7900009,43.9799995,44.4700012,44.0607338,1.43661E7,1.43661E7,-0.59927,-1.342,44.27691,"September 06, 22",-0.01342
2022-09-02,45.7099991,45.9199982,44.2799988,44.5900002,44.1796303,1.47204E7,1.47204E7,-1.53037,-3.348,44.79321,"September 02, 22",-0.03348
2022-09-01,44.5699997,45.3400002,44.4000015,45.2900009,44.873188,1.62364E7,1.62364E7,0.30319,0.68,44.87106,"September 01, 22",0.0068
2022-08-31,45.7799988,45.8300018,44.5900002,44.7200012,44.3084335,2.30061E7,2.30061E7,-1.47157,-3.214,44.90948,"August 31, 22",-0.03214
