date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,19.11,19.67,19.015,19.51,19.51,7966602.0,7966602.0,0.4,2.093,19.39833,"October 25, 22",0.02093
2022-10-24,18.72,19.345,18.54,19.09,19.09,7817441.0,7817441.0,0.37,1.976,18.99167,"October 24, 22",0.01976
2022-10-21,18.35,18.95,18.15,18.89,18.89,7741142.0,7741142.0,0.54,2.943,18.66333,"October 21, 22",0.02943
2022-10-20,18.05,18.63,18.0,18.3,18.3,8845661.0,8845661.0,0.25,1.385,18.31,"October 20, 22",0.01385
2022-10-19,17.09,17.79,16.87,17.74,17.74,8063181.0,8063181.0,0.65,3.803,17.46667,"October 19, 22",0.03803
2022-10-18,17.13,17.302,16.34,17.08,17.08,1.0121398E7,1.0121398E7,-0.05,-0.292,16.90733,"October 18, 22",-0.00292
2022-10-17,17.0,17.485,16.935,16.95,16.95,4615033.0,4615033.0,-0.05,-0.294,17.12333,"October 17, 22",-0.00294
2022-10-14,17.53,17.95,16.54,16.58,16.58,1.0366042E7,1.0366042E7,-0.95,-5.419,17.02333,"October 14, 22",-0.05419
2022-10-13,16.75,18.04,16.66,17.77,17.77,6770193.0,6770193.0,1.02,6.09,17.49,"October 13, 22",0.0609
2022-10-12,16.97,17.45,16.32,17.16,17.16,8501983.0,8501983.0,0.19,1.12,16.97667,"October 12, 22",0.0112
2022-10-11,17.24,17.81,17.1,17.12,17.12,8663669.0,8663669.0,-0.12,-0.696,17.34333,"October 11, 22",-0.00696
2022-10-10,18.51,18.64,17.5,17.67,17.67,7589884.0,7589884.0,-0.84,-4.538,17.93667,"October 10, 22",-0.04538
2022-10-07,18.7,19.31,18.39,18.6,18.6,1.2627954E7,1.2627954E7,-0.1,-0.535,18.76667,"October 07, 22",-0.00535
2022-10-06,17.71,18.67,17.7,18.62,18.62,9712840.0,9712840.0,0.91,5.138,18.33,"October 06, 22",0.05138
2022-10-05,17.27,18.18,16.77,18.01,18.01,8507739.0,8507739.0,0.74,4.285,17.65333,"October 05, 22",0.04285
2022-10-04,16.84,17.34,16.67,17.32,17.32,1.1897609E7,1.1897609E7,0.48,2.85,17.11,"October 04, 22",0.0285
