date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,59.4,60.855,59.4,60.61,60.61,425172.0,425172.0,1.21,2.037,60.28833,"October 25, 22",0.02037
2022-10-24,59.41,59.815,58.54,59.38,59.38,154939.0,154939.0,-0.03,-0.05,59.245,"October 24, 22",-5.0E-4
2022-10-21,58.12,59.57,57.495,59.05,59.05,370737.0,370737.0,0.93,1.6,58.705,"October 21, 22",0.016
2022-10-20,57.59,58.95,57.34,57.95,57.95,254815.0,254815.0,0.36,0.625,58.08,"October 20, 22",0.00625
2022-10-19,56.95,57.82,56.95,57.67,57.67,223532.0,223532.0,0.72,1.264,57.48,"October 19, 22",0.01264
2022-10-18,57.04,57.87,56.68,57.46,57.46,220509.0,220509.0,0.42,0.736,57.33667,"October 18, 22",0.00736
2022-10-17,55.16,56.36,55.16,56.21,56.21,201000.0,201000.0,1.05,1.904,55.91,"October 17, 22",0.01904
2022-10-14,55.31,55.68,54.08,54.34,54.34,208007.0,208007.0,-0.97,-1.754,54.7,"October 14, 22",-0.01754
2022-10-13,52.91,55.09,52.392,54.82,54.82,282614.0,282614.0,1.91,3.61,54.10067,"October 13, 22",0.0361
2022-10-12,53.55,54.63,53.21,54.16,54.16,220721.0,220721.0,0.61,1.139,54.0,"October 12, 22",0.01139
2022-10-11,54.52,55.03,53.05,53.36,53.36,338392.0,338392.0,-1.16,-2.128,53.81333,"October 11, 22",-0.02128
2022-10-10,55.28,55.63,53.94,54.67,54.67,304510.0,304510.0,-0.61,-1.103,54.74667,"October 10, 22",-0.01103
2022-10-07,55.76,55.89,54.69,55.16,55.16,294319.0,294319.0,-0.6,-1.076,55.24667,"October 07, 22",-0.01076
2022-10-06,55.97,57.04,55.97,56.27,56.27,278408.0,278408.0,0.3,0.536,56.42667,"October 06, 22",0.00536
2022-10-05,55.47,56.42,55.26,56.02,56.02,367921.0,367921.0,0.55,0.992,55.9,"October 05, 22",0.00992
2022-10-04,54.57,55.98,54.57,55.98,55.98,372720.0,372720.0,1.41,2.584,55.51,"October 04, 22",0.02584
2022-10-03,53.43,54.5,53.23,54.14,54.14,272423.0,272423.0,0.71,1.329,53.95667,"October 03, 22",0.01329
2022-09-30,53.02,54.19,52.92,53.04,53.04,364248.0,364248.0,0.02,0.038,53.38333,"September 30, 22",3.8E-4
2022-09-29,52.59,53.46,51.86,53.09,53.09,351230.0,351230.0,0.5,0.951,52.80333,"September 29, 22",0.00951
2022-09-28,51.68,53.29,51.65,53.25,53.25,287913.0,287913.0,1.57,3.038,52.73,"September 28, 22",0.03038
2022-09-27,51.4,52.27,51.16,51.8,51.8,303843.0,303843.0,0.4,0.778,51.74333,"September 27, 22",0.00778
2022-09-26,51.44,52.16,50.98,51.09,51.09,300311.0,300311.0,-0.35,-0.68,51.41,"September 26, 22",-0.0068
2022-09-23,50.61,51.62,50.61,51.54,51.54,269804.0,269804.0,0.93,1.838,51.25667,"September 23, 22",0.01838
2022-09-22,51.63,52.7383,50.57,51.13,51.13,224983.0,224983.0,-0.5,-0.968,51.47943,"September 22, 22",-0.00968
2022-09-21,52.84,53.65,51.71,52.0,52.0,316614.0,316614.0,-0.84,-1.59,52.45333,"September 21, 22",-0.0159
2022-09-20,51.77,52.52,51.61,52.4,52.4,311101.0,311101.0,0.63,1.217,52.17667,"September 20, 22",0.01217
2022-09-19,51.26,52.21,51.18,52.15,52.15,295214.0,295214.0,0.89,1.736,51.84667,"September 19, 22",0.01736
2022-09-16,50.74,51.97,50.26,51.84,51.84,630149.0,630149.0,1.1,2.168,51.35667,"September 16, 22",0.02168
2022-09-15,51.12,51.87,50.88,51.08,51.08,196801.0,196801.0,-0.04,-0.078,51.27667,"September 15, 22",-7.8E-4
2022-09-14,51.67,51.9293,50.59,51.34,51.34,208540.0,208540.0,-0.33,-0.639,51.28643,"September 14, 22",-0.00639
2022-09-13,52.28,52.69,51.33,51.57,51.57,176914.0,176914.0,-0.71,-1.358,51.86333,"September 13, 22",-0.01358
2022-09-12,53.4,54.28,53.1,53.79,53.79,208752.0,208752.0,0.39,0.73,53.72333,"September 12, 22",0.0073
2022-09-09,52.68,53.17,52.43,53.03,53.03,200333.0,200333.0,0.35,0.664,52.87667,"September 09, 22",0.00664
2022-09-08,51.48,52.12,50.67,51.94,51.94,243964.0,243964.0,0.46,0.894,51.57667,"September 08, 22",0.00894
2022-09-07,51.3,51.94,50.88,51.76,51.76,244294.0,244294.0,0.46,0.897,51.52667,"September 07, 22",0.00897
2022-09-06,52.86,52.86,51.16,51.29,51.29,335631.0,335631.0,-1.57,-2.97,51.77,"September 06, 22",-0.0297
2022-09-02,53.43,53.65,52.01,52.54,52.54,234909.0,234909.0,-0.89,-1.666,52.73333,"September 02, 22",-0.01666
2022-09-01,54.26,54.26,52.68,52.9,52.9,294922.0,294922.0,-1.36,-2.506,53.28,"September 01, 22",-0.02506
2022-08-31,54.97,55.24,54.02,54.29,54.29,269303.0,269303.0,-0.68,-1.237,54.51667,"August 31, 22",-0.01237
2022-08-30,54.93,54.95,54.03,54.52,54.52,192659.0,192659.0,-0.41,-0.746,54.5,"August 30, 22",-0.00746
2022-08-29,54.87,55.24,54.6,54.64,54.64,130510.0,130510.0,-0.23,-0.419,54.82667,"August 29, 22",-0.00419
2022-08-26,57.43,58.11,55.46,55.52,55.52,142512.0,142512.0,-1.91,-3.326,56.36333,"August 26, 22",-0.03326
2022-08-25,56.99,57.73,56.18,57.63,57.63,147505.0,147505.0,0.64,1.123,57.18,"August 25, 22",0.01123
2022-08-24,56.52,57.15,56.08,56.8,56.8,141306.0,141306.0,0.28,0.495,56.67667,"August 24, 22",0.00495
