date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,91.13,92.635,90.76,92.22,92.22,1.3449563E7,1.3449563E7,1.09,1.196,91.87167,"October 25, 22",0.01196
2022-10-24,93.91,95.395,93.73,94.8,94.8,7183638.0,7183638.0,0.89,0.948,94.64167,"October 24, 22",0.00948
2022-10-21,90.84,93.16,90.04,92.72,92.72,4919484.0,4919484.0,1.88,2.07,91.97333,"October 21, 22",0.0207
2022-10-20,91.4599991,92.0599976,90.6500015,90.9899979,90.9899979,4798500.0,4798500.0,-0.47,-0.514,91.23333,"October 20, 22",-0.00514
2022-10-19,91.9000015,92.7200012,91.1100006,91.6600037,91.1100006,4004600.0,4004600.0,-0.79,-0.86,91.64667,"October 19, 22",-0.0086
2022-10-18,92.25,92.8099976,90.8700027,91.9400024,91.3883209,5659000.0,5659000.0,-0.86168,-0.934,91.68944,"October 18, 22",-0.00934
2022-10-17,89.9899979,91.0899963,89.6600037,90.8899994,90.3446198,5493900.0,5493900.0,0.35462,0.394,90.36487,"October 17, 22",0.00394
2022-10-14,90.8499985,90.9499969,89.1299973,89.3000031,88.7641602,5475500.0,5475500.0,-2.08584,-2.296,89.61472,"October 14, 22",-0.02296
2022-10-13,86.4800034,90.5299988,86.2799988,90.0999985,89.5593567,6056300.0,6056300.0,3.07935,3.561,88.78978,"October 13, 22",0.03561
2022-10-12,88.7399979,89.5699997,87.8000031,87.8399963,87.3129196,4926500.0,4926500.0,-1.42708,-1.608,88.22764,"October 12, 22",-0.01608
2022-10-11,87.7399979,89.6999969,86.7399979,88.5,87.968956,6898100.0,6898100.0,0.22896,0.261,88.13632,"October 11, 22",0.00261
2022-10-10,87.7099991,89.9599991,87.2099991,88.25,87.720459,7429800.0,7429800.0,0.01046,0.012,88.29682,"October 10, 22",1.2E-4
2022-10-07,93.1800003,94.0,87.1299973,88.25,87.720459,1.97119E7,1.97119E7,-5.45954,-5.859,89.61682,"October 07, 22",-0.05859
2022-10-06,99.9899979,100.1600037,98.3899994,98.5800018,97.9884796,4171000.0,4171000.0,-2.00152,-2.002,98.84616,"October 06, 22",-0.02002
