date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,173.06,175.0,172.1668,174.93,174.93,6942804.0,6942804.0,1.87,1.081,174.03227,"October 25, 22",0.01081
2022-10-24,172.08,174.67,171.6806,173.13,173.13,5918306.0,5918306.0,1.05,0.61,173.1602,"October 24, 22",0.0061
2022-10-21,169.15,173.84,168.85,173.19,173.19,7961708.0,7961708.0,4.04,2.388,171.96,"October 21, 22",0.02388
2022-10-20,169.3,171.82,167.94,168.96,168.96,8869564.0,8869564.0,-0.34,-0.201,169.57333,"October 20, 22",-0.00201
2022-10-19,163.59,169.21,163.59,168.0,168.0,9574884.0,9574884.0,4.41,2.696,166.93333,"October 19, 22",0.02696
2022-10-18,162.36,163.2414,158.99,162.72,162.72,4778455.0,4778455.0,0.36,0.222,161.65047,"October 18, 22",0.00222
2022-10-17,163.29,164.91,161.1,161.31,161.31,5889611.0,5889611.0,-1.98,-1.213,162.44,"October 17, 22",-0.01213
2022-10-14,164.04,165.46,159.93,160.14,160.14,7105061.0,7105061.0,-3.9,-2.377,161.84333,"October 14, 22",-0.02377
2022-10-13,156.35,165.986,156.35,165.28,165.28,9053478.0,9053478.0,8.93,5.712,162.53867,"October 13, 22",0.05712
2022-10-12,156.14,158.8058,155.525,157.64,157.64,4930618.0,4930618.0,1.5,0.961,157.3236,"October 12, 22",0.00961
2022-10-11,154.75,159.93,154.1399,157.17,157.17,6157231.0,6157231.0,2.42,1.564,157.07997,"October 11, 22",0.01564
2022-10-10,161.0,161.47,156.44,157.14,157.14,5862530.0,5862530.0,-3.86,-2.398,158.35,"October 10, 22",-0.02398
2022-10-07,162.51,163.93,159.06,160.03,160.03,9970775.0,9970775.0,-2.48,-1.526,161.00667,"October 07, 22",-0.01526
2022-10-06,157.34,161.94,157.2,161.42,161.42,9324144.0,9324144.0,4.08,2.593,160.18667,"October 06, 22",0.02593
2022-10-05,155.84,159.73,154.8,158.53,158.53,1.0623298E7,1.0623298E7,2.69,1.726,157.68667,"October 05, 22",0.01726
2022-10-04,154.43,157.875,153.63,157.63,157.63,9511802.0,9511802.0,3.2,2.072,156.37833,"October 04, 22",0.02072
2022-10-03,148.97,152.34,148.3,151.73,151.73,9592249.0,9592249.0,2.76,1.853,150.79,"October 03, 22",0.01853
