date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,3.48,3.65,3.4738,3.61,3.61,4630947.0,4630947.0,0.13,3.736,3.57793,"October 25, 22",0.03736
2022-10-24,3.5,3.53,3.44,3.52,3.52,3122935.0,3122935.0,0.02,0.571,3.49667,"October 24, 22",0.00571
2022-10-21,3.36,3.51,3.34,3.5,3.5,3039390.0,3039390.0,0.14,4.167,3.45,"October 21, 22",0.04167
2022-10-20,3.36,3.47,3.35,3.38,3.38,2675528.0,2675528.0,0.02,0.595,3.4,"October 20, 22",0.00595
2022-10-19,3.42,3.47,3.325,3.35,3.35,3694519.0,3694519.0,-0.07,-2.047,3.38167,"October 19, 22",-0.02047
2022-10-18,3.55,3.57,3.43,3.46,3.46,4198675.0,4198675.0,-0.09,-2.535,3.48667,"October 18, 22",-0.02535
2022-10-17,3.27,3.49,3.27,3.44,3.44,5954736.0,5954736.0,0.17,5.199,3.4,"October 17, 22",0.05199
2022-10-14,3.35,3.39,3.2,3.2,3.2,5106701.0,5106701.0,-0.15,-4.478,3.26333,"October 14, 22",-0.04478
2022-10-13,3.31,3.45,3.255,3.35,3.35,8542175.0,8542175.0,0.04,1.208,3.35167,"October 13, 22",0.01208
2022-10-12,3.37,3.44,3.31,3.39,3.39,3469794.0,3469794.0,0.02,0.593,3.38,"October 12, 22",0.00593
2022-10-11,3.4,3.44,3.34,3.38,3.38,5392715.0,5392715.0,-0.02,-0.588,3.38667,"October 11, 22",-0.00588
2022-10-10,3.55,3.56,3.43,3.43,3.43,2350670.0,2350670.0,-0.12,-3.38,3.47333,"October 10, 22",-0.0338
2022-10-07,3.55,3.61,3.51,3.54,3.54,2608425.0,2608425.0,-0.01,-0.282,3.55333,"October 07, 22",-0.00282
2022-10-06,3.58,3.66,3.56,3.59,3.59,1951492.0,1951492.0,0.01,0.279,3.60333,"October 06, 22",0.00279
2022-10-05,3.65,3.68,3.57,3.61,3.61,3086001.0,3086001.0,-0.04,-1.096,3.62,"October 05, 22",-0.01096
2022-10-04,3.56,3.73,3.52,3.73,3.73,5029074.0,5029074.0,0.17,4.775,3.66,"October 04, 22",0.04775
2022-10-03,3.44,3.54,3.38,3.48,3.48,3888928.0,3888928.0,0.04,1.163,3.46667,"October 03, 22",0.01163
2022-09-30,3.42,3.455,3.37,3.43,3.43,3455320.0,3455320.0,0.01,0.292,3.41833,"September 30, 22",0.00292
2022-09-29,3.34,3.41,3.27,3.4,3.4,4150204.0,4150204.0,0.06,1.796,3.36,"September 29, 22",0.01796
2022-09-28,3.28,3.41,3.27,3.4,3.4,5061178.0,5061178.0,0.12,3.659,3.36,"September 28, 22",0.03659
2022-09-27,3.34,3.41,3.24,3.28,3.28,5119826.0,5119826.0,-0.06,-1.796,3.31,"September 27, 22",-0.01796
2022-09-26,3.4,3.46,3.28,3.3,3.3,4545250.0,4545250.0,-0.1,-2.941,3.34667,"September 26, 22",-0.02941
2022-09-23,3.44,3.47,3.35,3.44,3.44,3222496.0,3222496.0,0.0,0.0,3.42,"September 23, 22",0.0
2022-09-22,3.57,3.61,3.46,3.5,3.5,4348804.0,4348804.0,-0.07,-1.961,3.52333,"September 22, 22",-0.01961
2022-09-21,3.64,3.71,3.565,3.6,3.6,4170375.0,4170375.0,-0.04,-1.099,3.625,"September 21, 22",-0.01099
2022-09-20,3.64,3.66,3.52,3.56,3.56,4401873.0,4401873.0,-0.08,-2.198,3.58,"September 20, 22",-0.02198
2022-09-19,3.6,3.73,3.6,3.71,3.71,3554297.0,3554297.0,0.11,3.056,3.68,"September 19, 22",0.03056
2022-09-16,3.63,3.64,3.55,3.64,3.64,3722709.0,3722709.0,0.01,0.275,3.61,"September 16, 22",0.00275
2022-09-15,3.8,3.89,3.62,3.65,3.65,6060223.0,6060223.0,-0.15,-3.947,3.72,"September 15, 22",-0.03947
2022-09-14,3.9,3.9,3.79,3.82,3.82,5482391.0,5482391.0,-0.08,-2.051,3.83667,"September 14, 22",-0.02051
2022-09-13,3.92,3.965,3.84,3.88,3.88,3253274.0,3253274.0,-0.04,-1.02,3.895,"September 13, 22",-0.0102
2022-09-12,4.01,4.07,3.98,4.04,4.04,1769654.0,1769654.0,0.03,0.748,4.03,"September 12, 22",0.00748
2022-09-09,3.88,3.97,3.87,3.96,3.96,1892818.0,1892818.0,0.08,2.062,3.93333,"September 09, 22",0.02062
2022-09-08,3.8,3.8375,3.72,3.82,3.82,2190420.0,2190420.0,0.02,0.526,3.7925,"September 08, 22",0.00526
