date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,41.41,43.3,41.36,42.49,42.49,5726665.0,5726665.0,1.08,2.608,42.38333,"October 25, 22",0.02608
2022-10-24,39.53,41.65,39.28,41.42,41.42,5420808.0,5420808.0,1.89,4.781,40.78333,"October 24, 22",0.04781
2022-10-21,37.08,39.8,36.52,39.61,39.61,5368449.0,5368449.0,2.53,6.823,38.64333,"October 21, 22",0.06823
2022-10-20,37.31,39.52,37.31,37.41,37.41,3305099.0,3305099.0,0.1,0.268,38.08,"October 20, 22",0.00268
2022-10-19,38.01,38.88,36.78,37.31,37.31,3299184.0,3299184.0,-0.7,-1.842,37.65667,"October 19, 22",-0.01842
2022-10-18,39.54,40.0,38.2585,38.86,38.86,5278319.0,5278319.0,-0.68,-1.72,39.0395,"October 18, 22",-0.0172
2022-10-17,36.81,37.98,36.5,37.65,37.65,4214960.0,4214960.0,0.84,2.282,37.37667,"October 17, 22",0.02282
2022-10-14,36.86,37.55,35.105,35.33,35.33,3309006.0,3309006.0,-1.53,-4.151,35.995,"October 14, 22",-0.04151
2022-10-13,34.35,36.595,32.7,36.35,36.35,5180682.0,5180682.0,2.0,5.822,35.215,"October 13, 22",0.05822
2022-10-12,35.09,36.32,34.31,36.11,36.11,3886920.0,3886920.0,1.02,2.907,35.58,"October 12, 22",0.02907
2022-10-11,35.34,36.05,33.84,35.19,35.19,4528981.0,4528981.0,-0.15,-0.424,35.02667,"October 11, 22",-0.00424
2022-10-10,37.33,37.52,35.135,35.38,35.38,6467966.0,6467966.0,-1.95,-5.224,36.01167,"October 10, 22",-0.05224
2022-10-07,37.44,38.14,36.7,37.28,37.28,3479668.0,3479668.0,-0.16,-0.427,37.37333,"October 07, 22",-0.00427
2022-10-06,38.54,39.85,37.91,38.62,38.62,3586027.0,3586027.0,0.08,0.208,38.79333,"October 06, 22",0.00208
2022-10-05,36.9,38.925,35.64,38.52,38.52,4870558.0,4870558.0,1.62,4.39,37.695,"October 05, 22",0.0439
2022-10-04,35.725,38.86,35.69,38.05,38.05,7437668.0,7437668.0,2.325,6.508,37.53333,"October 04, 22",0.06508
2022-10-03,32.28,34.74,31.31,34.15,34.15,5521082.0,5521082.0,1.87,5.793,33.4,"October 03, 22",0.05793
2022-09-30,31.79,33.35,31.38,32.26,32.26,6051969.0,6051969.0,0.47,1.478,32.33,"September 30, 22",0.01478
2022-09-29,33.77,33.77,31.45,32.42,32.42,5687393.0,5687393.0,-1.35,-3.998,32.54667,"September 29, 22",-0.03998
