date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,33.08,33.99,32.92,33.9,33.9,7551302.0,7551302.0,0.82,2.479,33.60333,"October 25, 22",0.02479
2022-10-24,32.85,33.415,32.58,33.27,33.27,9238079.0,9238079.0,0.42,1.279,33.08833,"October 24, 22",0.01279
2022-10-21,32.06,32.81,31.77,32.58,32.58,1.1173371E7,1.1173371E7,0.52,1.622,32.38667,"October 21, 22",0.01622
2022-10-20,32.4,33.1,32.11,32.15,32.15,1.4776289E7,1.4776289E7,-0.25,-0.772,32.45333,"October 20, 22",-0.00772
2022-10-19,32.58,32.9213,32.085,32.52,32.52,1.4209304E7,1.4209304E7,-0.06,-0.184,32.50877,"October 19, 22",-0.00184
2022-10-18,31.96,32.19,31.3409,32.17,32.17,1.347337E7,1.347337E7,0.21,0.657,31.9003,"October 18, 22",0.00657
2022-10-17,31.975,32.12,30.725,31.13,31.13,1.5306721E7,1.5306721E7,-0.845,-2.643,31.325,"October 17, 22",-0.02643
2022-10-14,31.59,31.92,30.86,31.08,31.08,2.233978E7,2.233978E7,-0.51,-1.614,31.28667,"October 14, 22",-0.01614
2022-10-13,29.33,31.02,28.52,30.38,30.38,2.7101148E7,2.7101148E7,1.05,3.58,29.97333,"October 13, 22",0.0358
2022-10-12,28.52,29.44,28.21,29.21,29.21,1.1742171E7,1.1742171E7,0.69,2.419,28.95333,"October 12, 22",0.02419
2022-10-11,30.59,30.76,28.375,28.84,28.84,1.7038469E7,1.7038469E7,-1.75,-5.721,29.325,"October 11, 22",-0.05721
2022-10-10,29.41,29.72,28.98,29.42,29.42,1.0384266E7,1.0384266E7,0.01,0.034,29.37333,"October 10, 22",3.4E-4
2022-10-07,30.2,30.22,29.06,29.39,29.39,1.1047976E7,1.1047976E7,-0.81,-2.682,29.55667,"October 07, 22",-0.02682
2022-10-06,30.29,30.92,30.15,30.62,30.62,1.0686412E7,1.0686412E7,0.33,1.089,30.56333,"October 06, 22",0.01089
