date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,9.07,9.365,9.07,9.29,9.29,6394095.0,6394095.0,0.22,2.426,9.24167,"October 25, 22",0.02426
2022-10-24,9.01,9.16,8.98,9.06,9.06,7061069.0,7061069.0,0.05,0.555,9.06667,"October 24, 22",0.00555
2022-10-21,8.61,8.93,8.575,8.92,8.92,7463182.0,7463182.0,0.31,3.6,8.80833,"October 21, 22",0.036
2022-10-20,8.7,8.82,8.63,8.68,8.68,4819033.0,4819033.0,-0.02,-0.23,8.71,"October 20, 22",-0.0023
2022-10-19,8.67,8.745,8.57,8.67,8.67,5415566.0,5415566.0,0.0,0.0,8.66167,"October 19, 22",0.0
2022-10-18,8.85,8.86,8.65,8.68,8.68,1.308191E7,1.308191E7,-0.17,-1.921,8.73,"October 18, 22",-0.01921
2022-10-17,8.48,8.55,8.39,8.41,8.41,5693480.0,5693480.0,-0.07,-0.825,8.45,"October 17, 22",-0.00825
2022-10-14,8.51,8.59,8.31,8.32,8.32,6659279.0,6659279.0,-0.19,-2.233,8.40667,"October 14, 22",-0.02233
2022-10-13,7.69,8.32,7.64,8.24,8.24,1.1299423E7,1.1299423E7,0.55,7.152,8.06667,"October 13, 22",0.07152
2022-10-12,7.48,7.67,7.44,7.61,7.61,6132180.0,6132180.0,0.13,1.738,7.57333,"October 12, 22",0.01738
2022-10-11,7.6,7.62,7.39,7.44,7.44,7672050.0,7672050.0,-0.16,-2.105,7.48333,"October 11, 22",-0.02105
2022-10-10,7.86,7.89,7.65,7.75,7.75,6692135.0,6692135.0,-0.11,-1.399,7.76333,"October 10, 22",-0.01399
2022-10-07,7.7,7.76,7.57,7.67,7.67,6352101.0,6352101.0,-0.03,-0.39,7.66667,"October 07, 22",-0.0039
2022-10-06,7.76,7.82,7.65,7.7,7.7,5475119.0,5475119.0,-0.06,-0.773,7.72333,"October 06, 22",-0.00773
2022-10-05,7.89,7.95,7.78,7.83,7.83,6285442.0,6285442.0,-0.06,-0.76,7.85333,"October 05, 22",-0.0076
2022-10-04,7.77,8.16,7.76,8.14,8.14,9633234.0,9633234.0,0.37,4.762,8.02,"October 04, 22",0.04762
2022-10-03,7.36,7.57,7.25,7.53,7.53,7333540.0,7333540.0,0.17,2.31,7.45,"October 03, 22",0.0231
2022-09-30,7.38,7.53,7.3437,7.4,7.4,6113430.0,6113430.0,0.02,0.271,7.42457,"September 30, 22",0.00271
2022-09-29,7.34,7.48,7.26,7.46,7.46,8241988.0,8241988.0,0.12,1.635,7.4,"September 29, 22",0.01635
2022-09-28,7.39,7.675,7.3601,7.66,7.66,9357736.0,9357736.0,0.27,3.654,7.56503,"September 28, 22",0.03654
2022-09-27,7.96,8.04,7.62,7.73,7.73,1.036525E7,1.036525E7,-0.23,-2.889,7.79667,"September 27, 22",-0.02889
2022-09-26,8.28,8.34,8.07,8.12,8.12,6712641.0,6712641.0,-0.16,-1.932,8.17667,"September 26, 22",-0.01932
2022-09-23,8.57,8.575,8.24,8.34,8.34,7853267.0,7853267.0,-0.23,-2.684,8.385,"September 23, 22",-0.02684
2022-09-22,9.07,9.08,8.78,8.87,8.87,8307707.0,8307707.0,-0.2,-2.205,8.91,"September 22, 22",-0.02205
2022-09-21,8.75,8.8732,8.59,8.6,8.6,6782367.0,6782367.0,-0.15,-1.714,8.68773,"September 21, 22",-0.01714
2022-09-20,9.05,9.06,8.8,8.88,8.88,4200596.0,4200596.0,-0.17,-1.878,8.91333,"September 20, 22",-0.01878
2022-09-19,8.99,9.17,8.99,9.15,9.15,3277637.0,3277637.0,0.16,1.78,9.10333,"September 19, 22",0.0178
2022-09-16,9.05,9.1394,8.97,9.09,9.09,4392290.0,4392290.0,0.04,0.442,9.06647,"September 16, 22",0.00442
2022-09-15,9.07,9.305,9.07,9.18,9.18,5683932.0,5683932.0,0.11,1.213,9.185,"September 15, 22",0.01213
2022-09-14,8.95,9.04,8.8808,8.97,8.97,4070961.0,4070961.0,0.02,0.223,8.9636,"September 14, 22",0.00223
2022-09-13,8.98,9.15,8.93,8.98,8.98,8026314.0,8026314.0,0.0,0.0,9.02,"September 13, 22",0.0
2022-09-12,9.31,9.4,9.27,9.31,9.31,6664510.0,6664510.0,0.0,0.0,9.32667,"September 12, 22",0.0
2022-09-09,8.96,9.0396,8.935,8.96,8.96,5763608.0,5763608.0,0.0,0.0,8.9782,"September 09, 22",0.0
2022-09-08,8.27,8.72,8.23,8.71,8.71,1.0419244E7,1.0419244E7,0.44,5.32,8.55333,"September 08, 22",0.0532
2022-09-07,8.0,8.295,7.975,8.28,8.28,4936315.0,4936315.0,0.28,3.5,8.18333,"September 07, 22",0.035
2022-09-06,8.31,8.3406,8.13,8.23,8.23,6957700.0,6957700.0,-0.08,-0.963,8.23353,"September 06, 22",-0.00963
2022-09-02,8.42,8.645,8.19,8.27,8.27,7037127.0,7037127.0,-0.15,-1.781,8.36833,"September 02, 22",-0.01781
2022-09-01,8.18,8.21,8.0,8.2,8.2,5027900.0,5027900.0,0.02,0.244,8.13667,"September 01, 22",0.00244
2022-08-31,8.39,8.435,8.3,8.31,8.31,3334440.0,3334440.0,-0.08,-0.954,8.34833,"August 31, 22",-0.00954
2022-08-30,8.46,8.4901,8.31,8.41,8.41,4429821.0,4429821.0,-0.05,-0.591,8.40337,"August 30, 22",-0.00591
2022-08-29,8.19,8.28,8.135,8.24,8.24,2720705.0,2720705.0,0.05,0.611,8.21833,"August 29, 22",0.00611
2022-08-26,8.47,8.48,8.09,8.11,8.11,5255623.0,5255623.0,-0.36,-4.25,8.22667,"August 26, 22",-0.0425
2022-08-25,8.29,8.43,8.29,8.41,8.41,2958813.0,2958813.0,0.12,1.448,8.37667,"August 25, 22",0.01448
2022-08-24,8.2,8.37,8.17,8.31,8.31,3313695.0,3313695.0,0.11,1.341,8.28333,"August 24, 22",0.01341
2022-08-23,8.35,8.44,8.2825,8.32,8.32,5017144.0,5017144.0,-0.03,-0.359,8.3475,"August 23, 22",-0.00359
2022-08-22,8.37,8.4,8.24,8.39,8.39,4311461.0,4311461.0,0.02,0.239,8.34333,"August 22, 22",0.00239
2022-08-19,8.68,8.68,8.49,8.53,8.53,5158905.0,5158905.0,-0.15,-1.728,8.56667,"August 19, 22",-0.01728
2022-08-18,9.01,9.02,8.9,8.96,8.96,2227853.0,2227853.0,-0.05,-0.555,8.96,"August 18, 22",-0.00555
2022-08-17,8.99,9.075,8.95,8.99,8.99,2922995.0,2922995.0,0.0,0.0,9.005,"August 17, 22",0.0
2022-08-16,9.14,9.2357,9.1137,9.21,9.21,4011598.0,4011598.0,0.07,0.766,9.18647,"August 16, 22",0.00766
2022-08-15,9.14,9.17,9.065,9.15,9.15,1819381.0,1819381.0,0.01,0.109,9.12833,"August 15, 22",0.00109
2022-08-12,9.32,9.37,9.255,9.37,9.37,2519509.0,2519509.0,0.05,0.536,9.33167,"August 12, 22",0.00536
2022-08-11,9.21,9.28,9.13,9.14,9.14,3161616.0,3161616.0,-0.07,-0.76,9.18333,"August 11, 22",-0.0076
2022-08-10,9.04,9.18,9.04,9.11,9.11,3558125.0,3558125.0,0.07,0.774,9.11,"August 10, 22",0.00774
2022-08-09,8.96,9.005,8.885,8.91,8.91,1914084.0,1914084.0,-0.05,-0.558,8.93333,"August 09, 22",-0.00558
2022-08-08,8.93,9.03,8.91,8.93,8.93,2476283.0,2476283.0,0.0,0.0,8.95667,"August 08, 22",0.0
2022-08-05,8.82,8.96,8.82,8.91,8.91,3062530.0,3062530.0,0.09,1.02,8.89667,"August 05, 22",0.0102
2022-08-04,8.77,8.83,8.71,8.82,8.82,4317091.0,4317091.0,0.05,0.57,8.78667,"August 04, 22",0.0057
2022-08-03,8.65,8.77,8.6,8.73,8.73,3723014.0,3723014.0,0.08,0.925,8.7,"August 03, 22",0.00925
2022-08-02,8.61,8.645,8.5,8.51,8.51,2317649.0,2317649.0,-0.1,-1.161,8.55167,"August 02, 22",-0.01161
2022-08-01,8.69,8.7599,8.56,8.63,8.63,3044586.0,3044586.0,-0.06,-0.69,8.64997,"August 01, 22",-0.0069
2022-07-29,8.59,8.74,8.55,8.71,8.71,3757000.0,3757000.0,0.12,1.397,8.66667,"July 29, 22",0.01397
2022-07-28,8.49,8.63,8.4393,8.62,8.62,5157035.0,5157035.0,0.13,1.531,8.5631,"July 28, 22",0.01531
2022-07-27,8.09,8.37,8.04,8.34,8.34,6616216.0,6616216.0,0.25,3.09,8.25,"July 27, 22",0.0309
2022-07-26,8.23,8.305,8.19,8.26,8.26,6107464.0,6107464.0,0.03,0.365,8.25167,"July 26, 22",0.00365
2022-07-25,8.56,8.675,8.4801,8.57,8.57,4922584.0,4922584.0,0.01,0.117,8.57503,"July 25, 22",0.00117
2022-07-22,8.47,8.515,8.34,8.4,8.4,4584407.0,4584407.0,-0.07,-0.826,8.41833,"July 22, 22",-0.00826
2022-07-21,8.51,8.7,8.49,8.7,8.7,5027051.0,5027051.0,0.19,2.233,8.63,"July 21, 22",0.02233
2022-07-20,8.5799999,8.6000004,8.3500004,8.4200001,8.4200001,6562500.0,6562500.0,-0.16,-1.865,8.45667,"July 20, 22",-0.01865
2022-07-19,8.4399996,8.7200003,8.4099998,8.6300001,8.6300001,9483500.0,9483500.0,0.19,2.251,8.58667,"July 19, 22",0.02251
2022-07-18,8.1999998,8.29,8.1199999,8.1499996,8.1499996,5355800.0,5355800.0,-0.05,-0.61,8.18667,"July 18, 22",-0.0061
2022-07-15,7.7399998,7.9400001,7.6700001,7.9099998,7.9099998,6200100.0,6200100.0,0.17,2.196,7.84,"July 15, 22",0.02196
2022-07-14,7.6799998,7.7399998,7.54,7.6700001,7.6700001,7861700.0,7861700.0,-0.01,-0.13,7.65,"July 14, 22",-0.0013
2022-07-13,7.8000002,7.9000001,7.6599998,7.8099999,7.8099999,6917900.0,6917900.0,0.01,0.128,7.79,"July 13, 22",0.00128
2022-07-12,7.6799998,8.0299997,7.6700001,7.8699999,7.8699999,5350800.0,5350800.0,0.19,2.474,7.85667,"July 12, 22",0.02474
2022-07-11,8.04,8.0600004,7.8899999,7.9400001,7.9400001,5475400.0,5475400.0,-0.1,-1.244,7.96333,"July 11, 22",-0.01244
2022-07-08,8.3100004,8.3500004,8.1700001,8.3100004,8.3100004,4093700.0,4093700.0,0.0,0.0,8.27667,"July 08, 22",0.0
2022-07-07,8.04,8.1800003,8.0200005,8.0699997,8.0699997,5274800.0,5274800.0,0.03,0.373,8.09,"July 07, 22",0.00373
2022-07-06,7.9200001,7.9699998,7.8200002,7.9499998,7.9499998,7356900.0,7356900.0,0.03,0.379,7.91333,"July 06, 22",0.00379
2022-07-05,7.9400001,8.1899996,7.8400002,8.1800003,8.1800003,9357800.0,9357800.0,0.24,3.023,8.07,"July 05, 22",0.03023
2022-07-01,8.3199997,8.4899998,8.2299995,8.46,8.46,6398100.0,6398100.0,0.14,1.683,8.39333,"July 01, 22",0.01683
2022-06-30,8.6000004,8.8199997,8.46,8.7399998,8.7399998,5274800.0,5274800.0,0.14,1.628,8.67333,"June 30, 22",0.01628
2022-06-29,9.1199999,9.1199999,8.8900003,8.9700003,8.9700003,4879400.0,4879400.0,-0.15,-1.645,8.99333,"June 29, 22",-0.01645
2022-06-28,9.3800001,9.5500002,9.1899996,9.21,9.21,5004800.0,5004800.0,-0.17,-1.812,9.31667,"June 28, 22",-0.01812
2022-06-27,9.4700003,9.4899998,9.25,9.3900003,9.3900003,3768300.0,3768300.0,-0.08,-0.845,9.37667,"June 27, 22",-0.00845
2022-06-24,9.21,9.46,9.1700001,9.46,9.46,5243700.0,5243700.0,0.25,2.714,9.36333,"June 24, 22",0.02714
2022-06-23,9.4300003,9.5699997,8.96,9.0799999,9.0799999,1.33436E7,1.33436E7,-0.35,-3.712,9.20333,"June 23, 22",-0.03712
2022-06-22,10.1599998,10.3299999,10.1400003,10.2200003,10.2200003,2537600.0,2537600.0,0.06,0.591,10.23,"June 22, 22",0.00591
2022-06-21,10.25,10.3500004,10.1800003,10.2200003,10.2200003,2968200.0,2968200.0,-0.03,-0.293,10.25,"June 21, 22",-0.00293
2022-06-17,9.8999996,9.9899998,9.8100004,9.9099998,9.9099998,2896700.0,2896700.0,0.01,0.101,9.90333,"June 17, 22",0.00101
2022-06-16,9.79,9.9300003,9.6899996,9.8299999,9.8299999,4448600.0,4448600.0,0.04,0.409,9.81667,"June 16, 22",0.00409
2022-06-15,9.8500004,10.0799999,9.7799997,9.9899998,9.9899998,3995900.0,3995900.0,0.14,1.421,9.95,"June 15, 22",0.01421
2022-06-14,9.7299995,9.7799997,9.5,9.5900002,9.5900002,3498100.0,3498100.0,-0.14,-1.439,9.62333,"June 14, 22",-0.01439
2022-06-13,9.6099997,9.7700005,9.5699997,9.6300001,9.6300001,5535900.0,5535900.0,0.02,0.208,9.65667,"June 13, 22",0.00208
2022-06-10,10.1400003,10.1499996,9.8800001,9.9799995,9.9799995,6599600.0,6599600.0,-0.16,-1.578,10.00333,"June 10, 22",-0.01578
2022-06-09,10.7299995,10.75,10.5200005,10.54,10.54,3663200.0,3663200.0,-0.19,-1.771,10.60333,"June 09, 22",-0.01771
2022-06-08,10.8699999,10.96,10.7399998,10.79,10.79,2638100.0,2638100.0,-0.08,-0.736,10.83,"June 08, 22",-0.00736
2022-06-07,10.9099998,11.1400003,10.9099998,11.1300001,11.1300001,2731200.0,2731200.0,0.22,2.016,11.06,"June 07, 22",0.02016
2022-06-06,11.1700001,11.2600002,11.0799999,11.1400003,11.1400003,2089700.0,2089700.0,-0.03,-0.269,11.16,"June 06, 22",-0.00269
2022-06-03,10.9499998,10.9899998,10.8699999,10.9300003,10.9300003,1666700.0,1666700.0,-0.02,-0.183,10.93,"June 03, 22",-0.00183
2022-06-02,10.9899998,11.0600004,10.8999996,11.0500002,11.0500002,2328500.0,2328500.0,0.06,0.546,11.00333,"June 02, 22",0.00546
2022-06-01,11.1300001,11.1700001,10.8800001,10.9700003,10.9700003,4070900.0,4070900.0,-0.16,-1.438,11.00667,"June 01, 22",-0.01438
2022-05-31,11.1700001,11.2399998,11.1199999,11.1800003,11.1800003,2634700.0,2634700.0,0.01,0.09,11.18,"May 31, 22",9.0E-4
2022-05-27,11.1899996,11.25,11.1000004,11.25,11.25,2470000.0,2470000.0,0.06,0.536,11.2,"May 27, 22",0.00536
2022-05-26,11.0500002,11.2600002,11.0299997,11.1899996,11.1899996,4582600.0,4582600.0,0.14,1.267,11.16,"May 26, 22",0.01267
2022-05-25,10.7600002,11.1300001,10.7600002,11.0200005,11.0200005,4556000.0,4556000.0,0.26,2.416,10.97,"May 25, 22",0.02416
2022-05-24,10.9099998,11.0,10.7600002,10.8900003,10.8900003,9832300.0,9832300.0,-0.02,-0.183,10.88333,"May 24, 22",-0.00183
2022-05-23,10.5200005,10.75,10.4200001,10.6499996,10.6499996,6447000.0,6447000.0,0.13,1.236,10.60667,"May 23, 22",0.01236
2022-05-20,9.9399996,9.9700003,9.6899996,9.9099998,9.9099998,3941200.0,3941200.0,-0.03,-0.302,9.85667,"May 20, 22",-0.00302
2022-05-19,9.8599997,10.1700001,9.8599997,10.1000004,9.8880005,5664300.0,5664300.0,0.028,0.284,9.97267,"May 19, 22",0.00284
2022-05-18,10.0500002,10.0900002,9.79,9.8299999,9.6236677,3783900.0,3783900.0,-0.42633,-4.242,9.83456,"May 18, 22",-0.04242
2022-05-17,10.04,10.1499996,10.0100002,10.1199999,9.9075804,3355200.0,3355200.0,-0.13242,-1.319,10.02253,"May 17, 22",-0.01319
2022-05-16,9.6700001,9.7399998,9.5500002,9.6800003,9.4768162,3005500.0,3005500.0,-0.19318,-1.998,9.58894,"May 16, 22",-0.01998
2022-05-13,9.6199999,9.8199997,9.6199999,9.71,9.5061865,4665900.0,4665900.0,-0.11381,-1.183,9.64873,"May 13, 22",-0.01183
2022-05-12,9.2700005,9.5500002,9.1599998,9.4399996,9.2418537,5600500.0,5600500.0,-0.02815,-0.304,9.31728,"May 12, 22",-0.00304
2022-05-11,9.7200003,9.9399996,9.5,9.5100002,9.3103848,4923300.0,4923300.0,-0.40962,-4.214,9.58346,"May 11, 22",-0.04214
2022-05-10,9.79,9.8199997,9.5100002,9.7299995,9.5257664,6605100.0,6605100.0,-0.26423,-2.699,9.61859,"May 10, 22",-0.02699
2022-05-09,9.6499996,9.6800003,9.4300003,9.5,9.3005943,6421100.0,6421100.0,-0.34941,-3.621,9.4702,"May 09, 22",-0.03621
2022-05-06,9.8800001,9.9499998,9.7299995,9.8400002,9.6334581,6045400.0,6045400.0,-0.24654,-2.495,9.77115,"May 06, 22",-0.02495
2022-05-05,10.25,10.2600002,9.8100004,9.8900003,9.6824083,8218700.0,8218700.0,-0.56759,-5.537,9.91747,"May 05, 22",-0.05537
2022-05-04,10.3199997,10.6999998,10.3000002,10.6400003,10.416666,6445100.0,6445100.0,0.09667,0.937,10.47222,"May 04, 22",0.00937
2022-05-03,10.3400002,10.4799995,10.3000002,10.4300003,10.2110739,5456100.0,5456100.0,-0.12893,-1.247,10.33036,"May 03, 22",-0.01247
2022-05-02,10.0299997,10.1099997,9.8699999,10.0799999,9.8684196,6098500.0,6098500.0,-0.16158,-1.611,9.94947,"May 02, 22",-0.01611
2022-04-29,10.0900002,10.1999998,9.8500004,9.8800001,9.6726179,7422000.0,7422000.0,-0.41738,-4.137,9.90754,"April 29, 22",-0.04137
2022-04-28,10.21,10.29,9.9799995,10.2399998,10.0250616,8005800.0,8005800.0,-0.18494,-1.811,10.09835,"April 28, 22",-0.01811
2022-04-27,10.1099997,10.2399998,9.9700003,10.1300001,9.9173708,1.14627E7,1.14627E7,-0.19263,-1.905,10.04246,"April 27, 22",-0.01905
2022-04-26,11.0200005,11.1499996,10.7600002,10.8800001,10.6516285,1.04024E7,1.04024E7,-0.36837,-3.343,10.85388,"April 26, 22",-0.03343
2022-04-25,11.4200001,11.4799995,11.0799999,11.4300003,11.1900835,6878700.0,6878700.0,-0.22992,-2.013,11.25003,"April 25, 22",-0.02013
2022-04-22,12.04,12.0900002,11.6999998,11.7799997,11.5327368,8505100.0,8505100.0,-0.50726,-4.213,11.77425,"April 22, 22",-0.04213
2022-04-21,12.4899998,12.54,12.1000004,12.1700001,11.9145508,8674900.0,8674900.0,-0.57545,-4.607,12.18485,"April 21, 22",-0.04607
2022-04-20,12.1899996,12.2299995,12.04,12.0900002,11.8362303,5786700.0,5786700.0,-0.35377,-2.902,12.03541,"April 20, 22",-0.02902
2022-04-19,11.79,11.9700003,11.7799997,11.9300003,11.6795883,4069900.0,4069900.0,-0.11041,-0.936,11.80986,"April 19, 22",-0.00936
2022-04-18,11.71,11.9300003,11.6899996,11.8199997,11.5718975,2473000.0,2473000.0,-0.1381,-1.179,11.73063,"April 18, 22",-0.01179
2022-04-14,11.8800001,11.9200001,11.6899996,11.75,11.5033665,5115800.0,5115800.0,-0.37663,-3.17,11.70446,"April 14, 22",-0.0317
2022-04-13,11.5799999,11.9300003,11.5500002,11.9200001,11.6697989,4733800.0,4733800.0,0.0898,0.775,11.7166,"April 13, 22",0.00775
2022-04-12,11.8599997,11.96,11.6000004,11.6899996,11.4446259,1.13475E7,1.13475E7,-0.41537,-3.502,11.66821,"April 12, 22",-0.03502
2022-04-11,12.9499998,13.1199999,11.9399996,11.9899998,11.7383289,2.08602E7,2.08602E7,-1.21167,-9.357,12.26611,"April 11, 22",-0.09357
2022-04-08,12.6899996,12.9099998,12.6899996,12.8100004,12.5411177,3372900.0,3372900.0,-0.14888,-1.173,12.71371,"April 08, 22",-0.01173
2022-04-07,12.71,12.79,12.3999996,12.6300001,12.3648958,5354900.0,5354900.0,-0.3451,-2.715,12.5183,"April 07, 22",-0.02715
2022-04-06,12.3999996,12.5200005,12.2600002,12.4399996,12.1788826,4642500.0,4642500.0,-0.22112,-1.783,12.31963,"April 06, 22",-0.01783
2022-04-05,12.9700003,13.0,12.75,12.79,12.5215368,3427600.0,3427600.0,-0.44846,-3.458,12.75718,"April 05, 22",-0.03458
2022-04-04,12.9899998,13.1400003,12.8999996,13.04,12.7662897,3770900.0,3770900.0,-0.22371,-1.722,12.93543,"April 04, 22",-0.01722
2022-04-01,13.1700001,13.1999998,12.8999996,13.1000004,12.8250303,6761500.0,6761500.0,-0.34497,-2.619,12.97501,"April 01, 22",-0.02619
2022-03-31,12.9499998,13.0,12.6400003,12.6499996,12.3844748,4490300.0,4490300.0,-0.56553,-4.367,12.67483,"March 31, 22",-0.04367
2022-03-30,13.1099997,13.1499996,12.8699999,12.9300003,12.6585989,4205900.0,4205900.0,-0.4514,-3.443,12.89287,"March 30, 22",-0.03443
2022-03-29,13.3000002,13.3599997,13.1499996,13.2299995,12.952301,4992300.0,4992300.0,-0.3477,-2.614,13.1541,"March 29, 22",-0.02614
2022-03-28,12.9700003,13.0,12.6800003,12.9099998,12.6390181,5660200.0,5660200.0,-0.33098,-2.552,12.77301,"March 28, 22",-0.02552
2022-03-25,12.8299999,13.0,12.7799997,12.8900003,12.6194382,3491100.0,3491100.0,-0.21056,-1.641,12.79981,"March 25, 22",-0.01641
2022-03-24,12.6400003,12.8199997,12.6000004,12.75,12.4823761,4556300.0,4556300.0,-0.15762,-1.247,12.63413,"March 24, 22",-0.01247
2022-03-23,12.6599998,12.8299999,12.5799999,12.6800003,12.413846,6070300.0,6070300.0,-0.24615,-1.944,12.60795,"March 23, 22",-0.01944
2022-03-22,12.7399998,12.9799995,12.7399998,12.9799995,12.7075481,5311000.0,5311000.0,-0.03245,-0.255,12.80918,"March 22, 22",-0.00255
2022-03-21,12.3500004,12.4300003,12.1499996,12.25,11.9928713,4155900.0,4155900.0,-0.35713,-2.892,12.19096,"March 21, 22",-0.02892
2022-03-18,12.0,12.29,11.96,12.2799997,12.0222416,5129700.0,5129700.0,0.02224,0.185,12.09075,"March 18, 22",0.00185
2022-03-17,11.96,12.2700005,11.8900003,12.2700005,12.0124521,6480500.0,6480500.0,0.05245,0.439,12.05748,"March 17, 22",0.00439
2022-03-16,11.9099998,12.29,11.8500004,12.21,11.9537115,1.12526E7,1.12526E7,0.04371,0.367,12.03124,"March 16, 22",0.00367
2022-03-15,11.3299999,11.5200005,11.1700001,11.3699999,11.1313429,9220500.0,9220500.0,-0.19866,-1.753,11.27378,"March 15, 22",-0.01753
2022-03-14,11.1899996,11.4099998,11.0,11.1300001,10.8963804,1.21426E7,1.21426E7,-0.29362,-2.624,11.10213,"March 14, 22",-0.02624
2022-03-11,10.7200003,10.8100004,10.2399998,10.25,10.034852,9061300.0,9061300.0,-0.68515,-6.391,10.36162,"March 11, 22",-0.06391
2022-03-10,10.8100004,10.9300003,10.54,10.7399998,10.5145664,9925800.0,9925800.0,-0.29543,-2.733,10.66152,"March 10, 22",-0.02733
2022-03-09,10.7200003,11.0600004,10.5900002,10.8699999,10.6418381,1.44263E7,1.44263E7,-0.07816,-0.729,10.76395,"March 09, 22",-0.00729
2022-03-08,10.3699999,10.6400003,9.8800001,10.2299995,10.0152712,1.75098E7,1.75098E7,-0.35473,-3.421,10.17842,"March 08, 22",-0.03421
2022-03-07,9.9399996,10.0799999,9.46,9.5299997,9.3299646,1.21961E7,1.21961E7,-0.61003,-6.137,9.62332,"March 07, 22",-0.06137
2022-03-04,10.2700005,10.3000002,9.8500004,9.9799995,9.7705183,1.44365E7,1.44365E7,-0.49948,-4.863,9.97351,"March 04, 22",-0.04863
2022-03-03,11.6000004,11.6199999,11.0900002,11.1700001,10.9355412,8341300.0,8341300.0,-0.66446,-5.728,11.21518,"March 03, 22",-0.05728
2022-03-02,11.5100002,11.7799997,11.3500004,11.6000004,11.3565159,9863400.0,9863400.0,-0.15348,-1.333,11.49551,"March 02, 22",-0.01333
2022-03-01,11.9200001,11.9899998,11.2700005,11.3599997,11.1215525,1.3201E7,1.3201E7,-0.79845,-6.698,11.46052,"March 01, 22",-0.06698
2022-02-28,12.3199997,12.7299995,12.3199997,12.4300003,12.1690941,1.05727E7,1.05727E7,-0.15091,-1.225,12.40636,"February 28, 22",-0.01225
2022-02-25,13.4300003,13.4700003,13.2600002,13.4399996,13.1578932,9151000.0,9151000.0,-0.27211,-2.026,13.29596,"February 25, 22",-0.02026
2022-02-24,12.6999998,12.9700003,12.2700005,12.7700005,12.5019569,2.29271E7,2.29271E7,-0.19804,-1.559,12.58065,"February 24, 22",-0.01559
2022-02-23,14.6300001,14.7700005,14.29,14.3599997,14.0585823,6281000.0,6281000.0,-0.57142,-3.906,14.37286,"February 23, 22",-0.03906
2022-02-22,14.8699999,15.1599998,14.6599998,14.8599997,14.5480871,8492900.0,8492900.0,-0.32191,-2.165,14.78936,"February 22, 22",-0.02165
2022-02-18,15.4399996,15.54,15.2600002,15.3100004,14.9886427,4607100.0,4607100.0,-0.45136,-2.923,15.26288,"February 18, 22",-0.02923
2022-02-17,15.6000004,15.6499996,15.3500004,15.4499998,15.1257029,3349300.0,3349300.0,-0.4743,-3.04,15.37523,"February 17, 22",-0.0304
2022-02-16,15.6800003,15.8900003,15.6700001,15.7700005,15.4389868,3350000.0,3350000.0,-0.24101,-1.537,15.66633,"February 16, 22",-0.01537
2022-02-15,15.7700005,16.0,15.75,15.9499998,15.6152077,4136300.0,4136300.0,-0.15479,-0.982,15.7884,"February 15, 22",-0.00982
2022-02-14,15.7600002,15.8299999,15.4499998,15.6300001,15.3019257,7438700.0,7438700.0,-0.45807,-2.907,15.52731,"February 14, 22",-0.02907
2022-02-11,16.1399994,16.4099998,15.54,15.6999998,15.3704557,9589100.0,9589100.0,-0.76954,-4.768,15.77349,"February 11, 22",-0.04768
2022-02-10,16.4500008,16.7000008,16.3700008,16.5,16.1536636,5966800.0,5966800.0,-0.29634,-1.801,16.40789,"February 10, 22",-0.01801
