date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-09-16,24.43,24.43,24.43,24.43,24.43,1.0,1.0,0.0,0.0,24.43,"September 16, 22",0.0
2022-09-15,24.43,24.43,24.43,24.43,24.43,1726.0,1726.0,0.0,0.0,24.43,"September 15, 22",0.0
2022-09-13,24.43,24.43,24.43,24.43,24.43,2100.0,2100.0,0.0,0.0,24.43,"September 13, 22",0.0
2022-09-12,24.43,24.43,24.43,24.43,24.43,48744.0,48744.0,0.0,0.0,24.43,"September 12, 22",0.0
2022-09-09,24.43,24.43,24.43,24.43,24.43,14128.0,14128.0,0.0,0.0,24.43,"September 09, 22",0.0
2022-09-08,24.43,24.43,24.43,24.43,24.43,2726.0,2726.0,0.0,0.0,24.43,"September 08, 22",0.0
2022-09-07,24.43,24.43,24.43,24.43,24.43,1882.0,1882.0,0.0,0.0,24.43,"September 07, 22",0.0
2022-08-25,24.43,24.43,24.43,24.43,24.43,698.0,698.0,0.0,0.0,24.43,"August 25, 22",0.0
2022-08-09,24.43,24.43,24.43,24.43,24.43,2006.0,2006.0,0.0,0.0,24.43,"August 09, 22",0.0
2022-08-05,24.43,24.43,24.43,24.43,24.43,11970.0,11970.0,0.0,0.0,24.43,"August 05, 22",0.0
2022-08-04,24.43,24.43,24.43,24.43,24.43,35304.0,35304.0,0.0,0.0,24.43,"August 04, 22",0.0
2022-08-03,24.43,24.43,24.43,24.43,24.43,6998.0,6998.0,0.0,0.0,24.43,"August 03, 22",0.0
2022-07-29,24.43,24.43,24.43,24.43,24.43,8524.0,8524.0,0.0,0.0,24.43,"July 29, 22",0.0
2022-07-19,24.43,24.43,24.43,24.43,24.43,41163.0,41163.0,0.0,0.0,24.43,"July 19, 22",0.0
2022-07-18,24.43,24.43,24.43,24.43,24.43,15006.0,15006.0,0.0,0.0,24.43,"July 18, 22",0.0
2022-07-15,24.43,24.43,24.43,24.43,24.43,16740.0,16740.0,0.0,0.0,24.43,"July 15, 22",0.0
2022-07-11,24.43,24.43,24.43,24.43,24.43,1850.0,1850.0,0.0,0.0,24.43,"July 11, 22",0.0
2022-07-07,24.43,24.43,24.43,24.43,24.43,6300.0,6300.0,0.0,0.0,24.43,"July 07, 22",0.0
2022-07-06,24.43,24.43,24.43,24.43,24.43,1.0,1.0,0.0,0.0,24.43,"July 06, 22",0.0
2022-07-01,24.43,24.43,24.43,24.43,24.43,3573.0,3573.0,0.0,0.0,24.43,"July 01, 22",0.0
2022-06-29,24.43,24.43,24.43,24.43,24.43,487.0,487.0,0.0,0.0,24.43,"June 29, 22",0.0
2022-06-10,24.43,24.43,24.43,24.43,24.43,475.0,475.0,0.0,0.0,24.43,"June 10, 22",0.0
2022-06-09,24.43,24.43,24.43,24.43,24.43,475.0,475.0,0.0,0.0,24.43,"June 09, 22",0.0
2022-06-07,24.43,24.43,24.43,24.43,24.43,100.0,100.0,0.0,0.0,24.43,"June 07, 22",0.0
2022-06-06,24.43,24.43,24.43,24.43,24.43,24.0,24.0,0.0,0.0,24.43,"June 06, 22",0.0
2022-05-25,24.43,24.43,24.43,24.43,24.43,763.0,763.0,0.0,0.0,24.43,"May 25, 22",0.0
2022-04-14,23.07,24.515,22.78,24.43,24.43,2.2358922E7,2.2358922E7,1.36,5.895,23.90833,"April 14, 22",0.05895
2022-04-13,23.07,24.515,22.78,24.43,24.43,2.2358922E7,2.2358922E7,1.36,5.895,23.90833,"April 13, 22",0.05895
2022-04-12,23.07,24.515,22.78,24.43,24.43,2.2358922E7,2.2358922E7,1.36,5.895,23.90833,"April 12, 22",0.05895
2022-04-11,23.07,24.515,22.78,24.43,24.43,2.2358922E7,2.2358922E7,1.36,5.895,23.90833,"April 11, 22",0.05895
2022-04-08,23.07,24.515,22.78,24.43,24.43,2.2358922E7,2.2358922E7,1.36,5.895,23.90833,"April 08, 22",0.05895
2022-04-07,23.97,24.04,22.5,23.07,23.07,1.6798759E7,1.6798759E7,-0.9,-3.755,23.20333,"April 07, 22",-0.03755
2022-04-06,24.39,24.39,23.335,23.92,23.92,1.0972064E7,1.0972064E7,-0.47,-1.927,23.88167,"April 06, 22",-0.01927
