date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-09-16,24.42,24.42,24.42,24.42,24.42,946.0,946.0,0.0,0.0,24.42,"September 16, 22",0.0
2022-09-12,24.42,24.42,24.42,24.42,24.42,1004.0,1004.0,0.0,0.0,24.42,"September 12, 22",0.0
2022-09-08,24.42,24.42,24.42,24.42,24.42,156.0,156.0,0.0,0.0,24.42,"September 08, 22",0.0
2022-09-07,24.42,24.42,24.42,24.42,24.42,1166.0,1166.0,0.0,0.0,24.42,"September 07, 22",0.0
2022-08-26,24.42,24.42,24.42,24.42,24.42,3834.0,3834.0,0.0,0.0,24.42,"August 26, 22",0.0
2022-08-25,24.42,24.42,24.42,24.42,24.42,258.0,258.0,0.0,0.0,24.42,"August 25, 22",0.0
2022-08-09,24.42,24.42,24.42,24.42,24.42,1594.0,1594.0,0.0,0.0,24.42,"August 09, 22",0.0
2022-08-05,24.42,24.42,24.42,24.42,24.42,2565.0,2565.0,0.0,0.0,24.42,"August 05, 22",0.0
2022-08-04,24.42,24.42,24.42,24.42,24.42,7743.0,7743.0,0.0,0.0,24.42,"August 04, 22",0.0
2022-08-03,24.42,24.42,24.42,24.42,24.42,2042.0,2042.0,0.0,0.0,24.42,"August 03, 22",0.0
2022-07-29,24.42,24.42,24.42,24.42,24.42,1202.0,1202.0,0.0,0.0,24.42,"July 29, 22",0.0
2022-07-19,24.42,24.42,24.42,24.42,24.42,8030.0,8030.0,0.0,0.0,24.42,"July 19, 22",0.0
2022-07-18,24.42,24.42,24.42,24.42,24.42,10051.0,10051.0,0.0,0.0,24.42,"July 18, 22",0.0
2022-07-15,24.42,24.42,24.42,24.42,24.42,6994.0,6994.0,0.0,0.0,24.42,"July 15, 22",0.0
2022-07-11,24.42,24.42,24.42,24.42,24.42,2510.0,2510.0,0.0,0.0,24.42,"July 11, 22",0.0
2022-07-07,24.42,24.42,24.42,24.42,24.42,7521.0,7521.0,0.0,0.0,24.42,"July 07, 22",0.0
2022-07-06,24.42,24.42,24.42,24.42,24.42,47.0,47.0,0.0,0.0,24.42,"July 06, 22",0.0
2022-07-01,24.42,24.42,24.42,24.42,24.42,4010.0,4010.0,0.0,0.0,24.42,"July 01, 22",0.0
2022-06-29,24.42,24.42,24.42,24.42,24.42,610.0,610.0,0.0,0.0,24.42,"June 29, 22",0.0
2022-06-07,24.42,24.42,24.42,24.42,24.42,710.0,710.0,0.0,0.0,24.42,"June 07, 22",0.0
2022-06-06,24.42,24.42,24.42,24.42,24.42,2820.0,2820.0,0.0,0.0,24.42,"June 06, 22",0.0
2022-05-25,24.42,24.42,24.42,24.42,24.42,135.0,135.0,0.0,0.0,24.42,"May 25, 22",0.0
2022-05-24,24.42,24.42,24.42,24.42,24.42,291.0,291.0,0.0,0.0,24.42,"May 24, 22",0.0
2022-05-19,24.42,24.42,24.42,24.42,24.42,4.0,4.0,0.0,0.0,24.42,"May 19, 22",0.0
2022-04-14,24.42,24.42,24.42,24.42,24.42,2.0,2.0,0.0,0.0,24.42,"April 14, 22",0.0
2022-04-13,23.15,24.5,22.79,24.42,24.42,9215459.0,9215459.0,1.27,5.486,23.90333,"April 13, 22",0.05486
2022-04-12,23.15,24.5,22.79,24.42,24.42,9215459.0,9215459.0,1.27,5.486,23.90333,"April 12, 22",0.05486
2022-04-11,23.15,24.5,22.79,24.42,24.42,9215459.0,9215459.0,1.27,5.486,23.90333,"April 11, 22",0.05486
2022-04-08,23.15,24.5,22.78,24.42,24.42,9215459.0,9215459.0,1.27,5.486,23.9,"April 08, 22",0.05486
2022-04-07,23.92,24.03,22.51,23.08,23.08,7058403.0,7058403.0,-0.84,-3.512,23.20667,"April 07, 22",-0.03512
2022-04-06,24.34,24.38,23.35,23.92,23.92,5032086.0,5032086.0,-0.42,-1.726,23.88333,"April 06, 22",-0.01726
2022-04-05,25.63,26.01,24.245,24.45,24.45,4978540.0,4978540.0,-1.18,-4.604,24.90167,"April 05, 22",-0.04604
2022-04-04,25.11,25.98,24.4,25.81,25.81,5290546.0,5290546.0,0.7,2.788,25.39667,"April 04, 22",0.02788
