date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,74.84,75.78,73.97,75.51,75.51,6357233.0,6357233.0,0.67,0.895,75.08667,"October 25, 22",0.00895
2022-10-24,74.55,75.87,73.95,75.24,75.24,8333367.0,8333367.0,0.69,0.926,75.02,"October 24, 22",0.00926
2022-10-21,72.48,74.38,71.93,74.29,74.29,1.1215572E7,1.1215572E7,1.81,2.497,73.53333,"October 21, 22",0.02497
2022-10-20,72.93,73.35,71.18,71.68,71.68,7699860.0,7699860.0,-1.25,-1.714,72.07,"October 20, 22",-0.01714
2022-10-19,70.11,72.42,69.69,71.94,71.94,8836814.0,8836814.0,1.83,2.61,71.35,"October 19, 22",0.0261
2022-10-18,70.75,71.175,68.42,69.77,69.77,7943860.0,7943860.0,-0.98,-1.385,69.78833,"October 18, 22",-0.01385
2022-10-17,69.41,70.29,68.62,69.8,69.8,7956534.0,7956534.0,0.39,0.562,69.57,"October 17, 22",0.00562
2022-10-14,71.21,72.72,67.96,68.02,68.02,9103321.0,9103321.0,-3.19,-4.48,69.56667,"October 14, 22",-0.0448
2022-10-13,68.08,73.07,68.02,72.25,72.25,1.0697221E7,1.0697221E7,4.17,6.125,71.11333,"October 13, 22",0.06125
2022-10-12,68.05,70.13,67.137,69.4,69.4,7419934.0,7419934.0,1.35,1.984,68.889,"October 12, 22",0.01984
2022-10-11,68.67,70.59,67.89,68.57,68.57,1.1719407E7,1.1719407E7,-0.1,-0.146,69.01667,"October 11, 22",-0.00146
2022-10-10,71.89,73.46,69.91,70.35,70.35,9823077.0,9823077.0,-1.54,-2.142,71.24,"October 10, 22",-0.02142
2022-10-07,72.5,73.87,71.18,72.04,72.04,1.2021645E7,1.2021645E7,-0.46,-0.634,72.36333,"October 07, 22",-0.00634
2022-10-06,70.13,72.57,70.112,72.24,72.24,1.1199894E7,1.1199894E7,2.11,3.009,71.64067,"October 06, 22",0.03009
2022-10-05,69.0,71.505,67.91,70.88,70.88,1.5689887E7,1.5689887E7,1.88,2.725,70.09833,"October 05, 22",0.02725
2022-10-04,67.0699997,69.0899963,66.6200027,69.0699997,69.0699997,1.45962E7,1.45962E7,2.0,2.982,68.26,"October 04, 22",0.02982
2022-10-03,63.2999992,65.8899994,62.9199982,65.3300018,65.3300018,1.30202E7,1.30202E7,2.03,3.207,64.71333,"October 03, 22",0.03207
2022-09-30,60.9599991,61.6500015,59.4099998,60.1300011,60.1300011,9652200.0,9652200.0,-0.83,-1.362,60.39667,"September 30, 22",-0.01362
2022-09-29,59.1500015,61.4500008,58.2200012,60.9700012,60.9700012,1.22869E7,1.22869E7,1.82,3.077,60.21333,"September 29, 22",0.03077
2022-09-28,56.75,60.1899986,56.2799988,60.0499992,60.0499992,1.17345E7,1.17345E7,3.3,5.815,58.84,"September 28, 22",0.05815
2022-09-27,56.3699989,57.2299995,55.3300018,56.1699982,56.1699982,1.06955E7,1.06955E7,-0.2,-0.355,56.24333,"September 27, 22",-0.00355
2022-09-26,57.3499985,58.1599998,55.1599998,55.1800003,55.1800003,1.33638E7,1.33638E7,-2.17,-3.784,56.16667,"September 26, 22",-0.03784
2022-09-23,60.2400017,60.25,56.7999992,57.6899986,57.6899986,1.75462E7,1.75462E7,-2.55,-4.233,58.24667,"September 23, 22",-0.04233
2022-09-22,65.8600006,66.0999985,63.0499992,63.1199989,63.1199989,8909800.0,8909800.0,-2.74,-4.16,64.09,"September 22, 22",-0.0416
2022-09-21,66.8499985,66.9400024,64.4400024,64.4800034,64.4800034,9389300.0,9389300.0,-2.37,-3.545,65.28667,"September 21, 22",-0.03545
2022-09-20,65.3499985,65.6100006,63.8400002,65.1200027,65.1200027,7976800.0,7976800.0,-0.23,-0.352,64.85667,"September 20, 22",-0.00352
2022-09-19,64.3199997,66.7699966,64.2200012,65.9000015,65.9000015,1.05302E7,1.05302E7,1.58,2.456,65.63,"September 19, 22",0.02456
2022-09-16,68.75,68.9700012,65.4199982,66.8199997,66.8199997,3.09656E7,3.09656E7,-1.93,-2.807,67.07,"September 16, 22",-0.02807
2022-09-15,70.1900024,70.9199982,69.25,69.4800034,69.4800034,1.12303E7,1.12303E7,-0.71,-1.012,69.88333,"September 15, 22",-0.01012
2022-09-14,70.4100037,73.2900009,70.3399963,72.1699982,72.1699982,1.22156E7,1.22156E7,1.75999,2.5,71.93333,"September 14, 22",0.025
2022-09-13,70.4000015,71.4400024,68.5699997,69.0699997,69.0699997,1.14804E7,1.14804E7,-1.33,-1.889,69.69333,"September 13, 22",-0.01889
2022-09-12,69.6600037,71.5699997,69.25,71.1900024,71.1900024,1.10446E7,1.10446E7,1.53,2.196,70.67,"September 12, 22",0.02196
2022-09-09,68.5299988,68.9499969,67.5500031,68.5100021,68.5100021,9021200.0,9021200.0,-0.02,-0.029,68.33667,"September 09, 22",-2.9E-4
2022-09-08,68.8799973,69.6299973,67.9700012,68.9100037,67.3600006,1.12891E7,1.12891E7,-1.52,-2.207,68.32,"September 08, 22",-0.02207
2022-09-07,67.4100037,69.1699982,66.1900024,68.3600006,66.8223724,1.07852E7,1.07852E7,-0.58763,-0.872,67.39412,"September 07, 22",-0.00872
2022-09-06,71.2200012,71.5800018,68.9400024,69.5400009,67.9758301,1.2545E7,1.2545E7,-3.24417,-4.555,69.49861,"September 06, 22",-0.04555
2022-09-02,70.6200027,71.2399979,69.2600021,70.3399963,68.7578278,1.00922E7,1.00922E7,-1.86217,-2.637,69.75261,"September 02, 22",-0.02637
2022-09-01,68.5199966,68.9300003,66.5199966,68.1600037,66.6268692,1.34939E7,1.34939E7,-1.89313,-2.763,67.35896,"September 01, 22",-0.02763
2022-08-31,69.3399963,72.4800034,68.5299988,70.6200027,69.0315399,1.14305E7,1.14305E7,-0.30846,-0.445,70.01385,"August 31, 22",-0.00445
2022-08-30,72.5699997,72.8199997,70.2600021,71.0800018,69.4811935,1.16064E7,1.16064E7,-3.08881,-4.256,70.85373,"August 30, 22",-0.04256
2022-08-29,72.4100037,75.2699966,72.0400009,74.1399994,72.4723587,1.1902E7,1.1902E7,0.06236,0.086,73.26079,"August 29, 22",8.6E-4
2022-08-26,74.0,74.8700027,72.5800018,72.7699966,71.1331711,1.05893E7,1.05893E7,-2.86683,-3.874,72.86106,"August 26, 22",-0.03874
2022-08-25,73.5100021,73.8399963,72.2900009,73.7200012,72.0618057,1.11497E7,1.11497E7,-1.4482,-1.97,72.7306,"August 25, 22",-0.0197
2022-08-24,71.4199982,72.7600021,70.9499969,72.4499969,70.8203735,1.28517E7,1.28517E7,-0.59962,-0.84,71.51012,"August 24, 22",-0.0084
2022-08-23,70.0,72.4599991,69.8700027,70.8799973,69.2856827,1.59973E7,1.59973E7,-0.71432,-1.02,70.53856,"August 23, 22",-0.0102
2022-08-22,67.3799973,68.6900024,65.5100021,68.4199982,66.8810196,1.26622E7,1.26622E7,-0.49898,-0.741,67.02701,"August 22, 22",-0.00741
2022-08-19,67.7799988,69.9000015,67.3600006,68.5100021,66.9690018,1.39728E7,1.39728E7,-0.811,-1.197,68.07633,"August 19, 22",-0.01197
2022-08-18,65.0400009,67.9800034,65.0,67.9199982,66.3922653,1.25163E7,1.25163E7,1.35226,2.079,66.45742,"August 18, 22",0.02079
2022-08-17,63.7099991,65.2300034,63.1599998,64.1399994,62.6972923,8144500.0,8144500.0,-1.01271,-1.59,63.69577,"August 17, 22",-0.0159
2022-08-16,64.4700012,65.4599991,62.5200005,63.5800018,62.1498871,9355800.0,9355800.0,-2.32011,-3.599,63.37663,"August 16, 22",-0.03599
2022-08-15,62.9900017,64.4000015,61.4000015,63.5699997,62.14011,1.11342E7,1.11342E7,-0.84989,-1.349,62.6467,"August 15, 22",-0.01349
2022-08-12,64.1200027,65.8000031,63.6800003,65.5500031,64.0755768,8712000.0,8712000.0,-0.04443,-0.069,64.51853,"August 12, 22",-6.9E-4
2022-08-11,61.7999992,64.8799973,61.7599983,64.4599991,63.0100937,1.41349E7,1.41349E7,1.21009,1.958,63.2167,"August 11, 22",0.01958
2022-08-10,59.5,60.5299988,57.9300003,60.0499992,58.6992874,8669200.0,8669200.0,-0.80071,-1.346,59.0531,"August 10, 22",-0.01346
2022-08-09,58.7999992,60.5400009,58.4399986,59.0400009,57.7120056,1.04168E7,1.04168E7,-1.08799,-1.85,58.89734,"August 09, 22",-0.0185
2022-08-08,56.5400009,57.9000015,56.2400017,57.5200005,56.2261963,8478100.0,8478100.0,-0.3138,-0.555,56.78873,"August 08, 22",-0.00555
2022-08-05,53.5,57.1100006,53.1300011,56.6500015,55.3757668,1.15075E7,1.15075E7,1.87577,3.506,55.20526,"August 05, 22",0.03506
2022-08-04,56.5,56.5999985,54.3400002,54.4900017,53.2643509,1.53714E7,1.53714E7,-3.23565,-5.727,54.73478,"August 04, 22",-0.05727
2022-08-03,61.0400009,61.1599998,56.6500015,56.7000008,55.4246407,1.99432E7,1.99432E7,-5.61536,-9.199,57.74488,"August 03, 22",-0.09199
2022-08-02,61.3199997,62.2000008,58.9199982,60.6300011,59.266243,1.50737E7,1.50737E7,-2.05376,-3.349,60.12875,"August 02, 22",-0.03349
2022-08-01,61.7799988,62.8199997,60.1500015,61.5699997,60.1850967,1.63192E7,1.63192E7,-1.5949,-2.582,61.0517,"August 01, 22",-0.02582
2022-07-29,61.6899986,63.1300011,61.0800018,62.8499985,61.436306,1.12094E7,1.12094E7,-0.25369,-0.411,61.8821,"July 29, 22",-0.00411
2022-07-28,60.2799988,61.0999985,59.0200005,60.3699989,59.0120888,7631300.0,7631300.0,-1.26791,-2.103,59.7107,"July 28, 22",-0.02103
