date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,38.61,39.12,38.14,38.97,38.97,6538873.0,6538873.0,0.36,0.932,38.74333,"October 25, 22",0.00932
2022-10-24,38.41,38.815,37.6,38.68,38.68,5899390.0,5899390.0,0.27,0.703,38.365,"October 24, 22",0.00703
2022-10-21,37.41,38.45,37.08,38.41,38.41,4449504.0,4449504.0,1.0,2.673,37.98,"October 21, 22",0.02673
2022-10-20,37.7,38.66,37.48,37.62,37.62,5105565.0,5105565.0,-0.08,-0.212,37.92,"October 20, 22",-0.00212
2022-10-19,38.28,38.64,37.275,37.81,37.81,5098202.0,5098202.0,-0.47,-1.228,37.90833,"October 19, 22",-0.01228
2022-10-18,38.99,39.32,38.16,38.5,38.5,5326726.0,5326726.0,-0.49,-1.257,38.66,"October 18, 22",-0.01257
2022-10-17,38.01,38.45,37.79,37.85,37.85,5976118.0,5976118.0,-0.16,-0.421,38.03,"October 17, 22",-0.00421
2022-10-14,38.3,38.46,37.01,37.08,37.08,5716958.0,5716958.0,-1.22,-3.185,37.51667,"October 14, 22",-0.03185
2022-10-13,36.21,38.34,35.92,37.96,37.96,7866755.0,7866755.0,1.75,4.833,37.40667,"October 13, 22",0.04833
2022-10-12,36.99,37.245,36.61,37.13,37.13,6324627.0,6324627.0,0.14,0.378,36.995,"October 12, 22",0.00378
2022-10-11,37.212,37.8,36.62,36.95,36.95,6222519.0,6222519.0,-0.262,-0.704,37.12333,"October 11, 22",-0.00704
2022-10-10,37.91,38.09,37.29,37.56,37.56,5192382.0,5192382.0,-0.35,-0.923,37.64667,"October 10, 22",-0.00923
2022-10-07,38.51,38.58,37.42,37.55,37.55,6732159.0,6732159.0,-0.96,-2.493,37.85,"October 07, 22",-0.02493
2022-10-06,38.95,39.63,38.835,38.89,38.89,6472350.0,6472350.0,-0.06,-0.154,39.11833,"October 06, 22",-0.00154
2022-10-05,38.25,39.4900017,38.1800003,39.1199989,39.1199989,7290500.0,7290500.0,0.87,2.275,38.93,"October 05, 22",0.02275
2022-10-04,38.1100006,39.1800003,38.0900002,38.6699982,38.6699982,8189800.0,8189800.0,0.56,1.469,38.64667,"October 04, 22",0.01469
2022-10-03,36.9399986,37.6199989,36.1800003,37.2200012,37.2200012,8930300.0,8930300.0,0.28,0.758,37.00667,"October 03, 22",0.00758
2022-09-30,37.4099998,37.9599991,36.7599983,36.8100014,36.8100014,5950400.0,5950400.0,-0.6,-1.604,37.17667,"September 30, 22",-0.01604
2022-09-29,37.9599991,38.0600014,37.2799988,37.6899986,37.6899986,4211800.0,4211800.0,-0.27,-0.711,37.67667,"September 29, 22",-0.00711
2022-09-28,37.5999985,38.8199997,37.5499992,38.6100006,38.6100006,4452700.0,4452700.0,1.01,2.686,38.32667,"September 28, 22",0.02686
2022-09-27,38.5200005,38.5900002,37.2700005,37.5699997,37.5699997,5298000.0,5298000.0,-0.95,-2.466,37.81,"September 27, 22",-0.02466
2022-09-26,38.1599998,39.0999985,38.0999985,38.1300011,38.1300011,5571700.0,5571700.0,-0.03,-0.079,38.44333,"September 26, 22",-7.9E-4
2022-09-23,38.0299988,38.2200012,37.5,38.1899986,38.1899986,5161200.0,5161200.0,0.16,0.421,37.97,"September 23, 22",0.00421
2022-09-22,38.8499985,38.9300003,38.0099983,38.2999992,38.2999992,5490500.0,5490500.0,-0.55,-1.416,38.41333,"September 22, 22",-0.01416
2022-09-21,40.0400009,40.3100014,38.7999992,38.9300003,38.9300003,6350400.0,6350400.0,-1.11,-2.772,39.34667,"September 21, 22",-0.02772
2022-09-20,41.0400009,41.0400009,39.7099991,39.9000015,39.9000015,7587800.0,7587800.0,-1.14,-2.778,40.21667,"September 20, 22",-0.02778
2022-09-19,41.7700005,41.8699989,41.0800018,41.3499985,41.3499985,6713000.0,6713000.0,-0.42,-1.006,41.43333,"September 19, 22",-0.01006
2022-09-16,41.8499985,42.1399994,41.1399994,42.0,42.0,9313600.0,9313600.0,0.15,0.358,41.76,"September 16, 22",0.00358
