date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,133.86,134.27,131.835,132.0,132.0,4171855.0,4171855.0,-1.86,-1.39,132.70167,"October 25, 22",-0.0139
2022-10-24,134.82,136.45,134.41,134.66,134.66,4001131.0,4001131.0,-0.16,-0.119,135.17333,"October 24, 22",-0.00119
2022-10-21,132.5,135.87,131.62,135.0,135.0,4237352.0,4237352.0,2.5,1.887,134.16333,"October 21, 22",0.01887
2022-10-20,131.06,134.31,130.74,131.59,131.59,3902530.0,3902530.0,0.53,0.404,132.21333,"October 20, 22",0.00404
2022-10-19,125.0,130.93,124.305,130.07,130.07,4718820.0,4718820.0,5.07,4.056,128.435,"October 19, 22",0.04056
2022-10-18,124.02,125.415,121.38,123.99,123.99,4017829.0,4017829.0,-0.03,-0.024,123.595,"October 18, 22",-2.4E-4
2022-10-17,122.66,123.93,120.65,120.9,120.9,3558373.0,3558373.0,-1.76,-1.435,121.82667,"October 17, 22",-0.01435
2022-10-14,124.9300003,127.2900009,120.5,120.5699997,120.5699997,3230200.0,3230200.0,-4.36,-3.49,122.78667,"October 14, 22",-0.0349
2022-10-13,121.5199966,128.3200073,121.5199966,127.3399963,126.5899963,2803800.0,2803800.0,5.07,4.172,125.47667,"October 13, 22",0.04172
2022-10-12,121.6999969,124.7600021,120.1999969,123.4599991,122.7328491,2540600.0,2540600.0,1.03285,0.849,122.56428,"October 12, 22",0.00849
2022-10-11,121.2799988,125.3300018,120.5699997,122.6999969,121.9773254,3017700.0,3017700.0,0.69733,0.575,122.62578,"October 11, 22",0.00575
2022-10-10,127.4499969,129.2400055,123.3499985,123.6999969,122.9714355,2674300.0,2674300.0,-4.47856,-3.514,125.18715,"October 10, 22",-0.03514
2022-10-07,128.0700073,130.3200073,126.2799988,127.4499969,126.6993484,3654900.0,3654900.0,-1.37066,-1.07,127.76645,"October 07, 22",-0.0107
2022-10-06,124.8000031,128.5,124.6600037,127.5299988,126.7788773,5045700.0,5045700.0,1.97887,1.586,126.64629,"October 06, 22",0.01586
2022-10-05,125.0699997,127.3700027,123.1399994,126.0800018,125.3374176,3967700.0,3967700.0,0.26742,0.214,125.28247,"October 05, 22",0.00214
2022-10-04,123.0400009,125.3799973,121.4700012,125.1699982,124.4327774,3360400.0,3360400.0,1.39278,1.132,123.76093,"October 04, 22",0.01132
2022-10-03,116.9199982,120.6900024,116.5599976,119.9300003,119.2236404,4243300.0,4243300.0,2.30364,1.97,118.82455,"October 03, 22",0.0197
2022-09-30,111.3700027,113.6299973,109.9100037,111.7300034,111.0719376,3328700.0,3328700.0,-0.29807,-0.268,111.53731,"September 30, 22",-0.00268
2022-09-29,110.6500015,113.2799988,108.5,112.9700012,112.3046341,2966500.0,2966500.0,1.65463,1.495,111.36154,"September 29, 22",0.01495
2022-09-28,106.0,112.3700027,105.7799988,111.7300034,111.0719376,4199100.0,4199100.0,5.07194,4.785,109.74065,"September 28, 22",0.04785
2022-09-27,107.0,107.5100021,104.8899994,105.4499969,104.8289185,4404200.0,4404200.0,-2.17108,-2.029,105.74297,"September 27, 22",-0.02029
2022-09-26,108.1600037,109.8799973,105.0899963,105.1800003,104.5605164,4465400.0,4465400.0,-3.59949,-3.328,106.51017,"September 26, 22",-0.03328
2022-09-23,113.5100021,113.7300034,107.8799973,109.1200027,108.4773102,5136800.0,5136800.0,-5.03269,-4.434,110.0291,"September 23, 22",-0.04434
2022-09-22,120.4499969,121.2300034,118.1800003,118.3499985,117.6529465,3313400.0,3313400.0,-2.79705,-2.322,119.02098,"September 22, 22",-0.02322
2022-09-21,121.8899994,122.8799973,118.1999969,118.2399979,117.5435944,2540900.0,2540900.0,-4.34641,-3.566,119.5412,"September 21, 22",-0.03566
2022-09-20,120.0299988,120.4899979,117.4100037,119.6299973,118.9254074,2361600.0,2361600.0,-1.10459,-0.92,118.9418,"September 20, 22",-0.0092
2022-09-19,117.2300034,121.25,117.0100021,120.4300003,119.7206955,2339200.0,2339200.0,2.49069,2.125,119.3269,"September 19, 22",0.02125
2022-09-16,122.8199997,122.9800034,118.6500015,121.4499969,120.7346878,5704200.0,5704200.0,-2.08531,-1.698,120.78823,"September 16, 22",-0.01698
2022-09-15,124.3700027,125.8199997,122.4000015,122.5599976,121.83815,3534000.0,3534000.0,-2.53185,-2.036,123.35272,"September 15, 22",-0.02036
2022-09-14,123.1100006,128.1699982,122.9000015,126.7300034,125.9835892,3271800.0,3271800.0,2.87359,2.334,125.68453,"September 14, 22",0.02334
2022-09-13,124.4100037,127.0699997,122.5199966,122.9100037,120.6949234,3020800.0,3020800.0,-3.71508,-2.986,123.42831,"September 13, 22",-0.02986
2022-09-12,125.3600006,127.6699982,124.8700027,126.4100037,124.1318436,3460200.0,3460200.0,-1.22816,-0.98,125.55728,"September 12, 22",-0.0098
2022-09-09,120.8799973,124.0999985,120.8000031,123.3600006,121.1368103,2839400.0,2839400.0,0.25681,0.212,122.01227,"September 09, 22",0.00212
2022-09-08,118.5899963,118.9000015,116.5100021,118.3099976,116.1778259,3505400.0,3505400.0,-2.41217,-2.034,117.19594,"September 08, 22",-0.02034
2022-09-07,117.0,118.8600006,115.5599976,117.1800003,115.0681915,3785500.0,3785500.0,-1.93181,-1.651,116.49606,"September 07, 22",-0.01651
2022-09-06,122.9300003,123.4599991,119.8300018,120.3099976,118.141777,2395900.0,2395900.0,-4.78822,-3.895,120.47726,"September 06, 22",-0.03895
2022-09-02,122.3399963,123.25,120.6299973,121.5199966,119.3299637,2355800.0,2355800.0,-3.01003,-2.46,121.06999,"September 02, 22",-0.0246
2022-09-01,119.5500031,119.7799988,117.1299973,118.7099991,116.5706177,2685500.0,2685500.0,-2.97939,-2.492,117.82687,"September 01, 22",-0.02492
2022-08-31,118.3300018,123.6900024,117.5699997,121.3000031,119.1139374,3538100.0,3538100.0,0.78394,0.663,120.12465,"August 31, 22",0.00663
