date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,12.58,13.03,12.46,12.83,12.83,6.5238794E7,6.5238794E7,0.25,1.987,12.77333,"October 25, 22",0.01987
2022-10-24,12.3,12.65,12.18,12.48,12.48,6.4681085E7,6.4681085E7,0.18,1.463,12.43667,"October 24, 22",0.01463
2022-10-21,11.74,12.25,11.68,12.19,12.19,5.5084852E7,5.5084852E7,0.45,3.833,12.04,"October 21, 22",0.03833
2022-10-20,12.13,12.2,11.73,11.77,11.77,5.5506422E7,5.5506422E7,-0.36,-2.968,11.9,"October 20, 22",-0.02968
2022-10-19,11.91,12.14,11.86,12.13,12.13,5.4077664E7,5.4077664E7,0.22,1.847,12.04333,"October 19, 22",0.01847
2022-10-18,12.22,12.25,11.91,12.03,12.03,5.3468992E7,5.3468992E7,-0.19,-1.555,12.06333,"October 18, 22",-0.01555
2022-10-17,11.98,11.99,11.66,11.83,11.83,5.9563969E7,5.9563969E7,-0.15,-1.252,11.82667,"October 17, 22",-0.01252
2022-10-14,11.8000002,11.8500004,11.5600004,11.6700001,11.6700001,5.51277E7,5.51277E7,-0.13,-1.102,11.69333,"October 14, 22",-0.01102
2022-10-13,11.2399998,11.8900003,11.1999998,11.7700005,11.7700005,7.04874E7,7.04874E7,0.53,4.715,11.62,"October 13, 22",0.04715
2022-10-12,11.4799995,11.6999998,11.3500004,11.54,11.54,5.96285E7,5.96285E7,0.06,0.523,11.53,"October 12, 22",0.00523
2022-10-11,11.3000002,11.8699999,11.1800003,11.5600004,11.5600004,7.51732E7,7.51732E7,0.26,2.301,11.53667,"October 11, 22",0.02301
2022-10-10,11.4700003,11.5500002,11.1999998,11.3599997,11.3599997,1.155489E8,1.155489E8,-0.11,-0.959,11.37,"October 10, 22",-0.00959
2022-10-07,12.1800003,12.3000002,12.0,12.1999998,12.1999998,5.64377E7,5.64377E7,0.02,0.164,12.16667,"October 07, 22",0.00164
2022-10-06,12.3599997,12.6300001,12.1899996,12.3599997,12.3599997,6.45319E7,6.45319E7,0.0,0.0,12.39333,"October 06, 22",0.0
2022-10-05,12.3800001,12.5600004,12.1300001,12.5100002,12.5100002,8.79191E7,8.79191E7,0.13,1.05,12.4,"October 05, 22",0.0105
2022-10-04,11.96,12.3699999,11.9399996,12.3599997,12.3599997,8.76292E7,8.76292E7,0.4,3.344,12.22333,"October 04, 22",0.03344
2022-10-03,11.3800001,11.5900002,11.1300001,11.4700003,11.4700003,6.61983E7,6.61983E7,0.09,0.791,11.39667,"October 03, 22",0.00791
2022-09-30,11.3900003,11.5299997,11.1899996,11.1999998,11.1999998,7.14879E7,7.14879E7,-0.19,-1.668,11.30667,"September 30, 22",-0.01668
2022-09-29,11.8500004,11.8800001,11.3599997,11.4700003,11.4700003,8.45349E7,8.45349E7,-0.38,-3.207,11.57,"September 29, 22",-0.03207
2022-09-28,11.9099998,12.2399998,11.7600002,12.1800003,12.1800003,7.27016E7,7.27016E7,0.27,2.267,12.06,"September 28, 22",0.02267
2022-09-27,12.21,12.2200003,11.6599998,11.9099998,11.9099998,8.70444E7,8.70444E7,-0.3,-2.457,11.93,"September 27, 22",-0.02457
2022-09-26,12.21,12.3800001,11.9300003,11.9899998,11.9899998,8.93004E7,8.93004E7,-0.22,-1.802,12.1,"September 26, 22",-0.01802
2022-09-23,12.3299999,12.4399996,11.9499998,12.3100004,12.3100004,1.03919E8,1.03919E8,-0.02,-0.162,12.23333,"September 23, 22",-0.00162
2022-09-22,13.1199999,13.2399998,12.75,12.7700005,12.7700005,8.20044E7,8.20044E7,-0.35,-2.668,12.92,"September 22, 22",-0.02668
2022-09-21,13.2399998,13.5900002,13.0500002,13.0500002,13.0500002,9.42716E7,9.42716E7,-0.19,-1.435,13.23,"September 21, 22",-0.01435
2022-09-20,14.0900002,14.2299995,13.0100002,13.0900002,13.0900002,1.9634E8,1.9634E8,-1.0,-7.097,13.44333,"September 20, 22",-0.07097
2022-09-19,14.5,14.96,14.4899998,14.9300003,14.9300003,4.86962E7,4.86962E7,0.43,2.966,14.79333,"September 19, 22",0.02966
2022-09-16,14.6199999,14.7399998,14.4700003,14.7200003,14.7200003,6.83641E7,6.83641E7,0.1,0.684,14.64333,"September 16, 22",0.00684
2022-09-15,14.6899996,15.21,14.6800003,14.8900003,14.8900003,6.1377E7,6.1377E7,0.2,1.361,14.92667,"September 15, 22",0.01361
2022-09-14,14.7600002,14.8500004,14.4499998,14.6599998,14.6599998,5.95718E7,5.95718E7,-0.1,-0.678,14.65333,"September 14, 22",-0.00678
2022-09-13,15.0,15.1300001,14.6999998,14.7399998,14.7399998,8.08425E7,8.08425E7,-0.26,-1.733,14.85667,"September 13, 22",-0.01733
2022-09-12,15.5500002,15.7399998,15.4499998,15.54,15.54,5.26565E7,5.26565E7,-0.01,-0.064,15.57667,"September 12, 22",-6.4E-4
2022-09-09,15.6000004,15.6999998,15.3199997,15.4200001,15.4200001,6.33286E7,6.33286E7,-0.18,-1.154,15.48,"September 09, 22",-0.01154
2022-09-08,15.1599998,15.4799995,15.0200005,15.4700003,15.4700003,6.00759E7,6.00759E7,0.31,2.045,15.32333,"September 08, 22",0.02045
2022-09-07,14.9099998,15.4899998,14.79,15.4300003,15.4300003,5.50872E7,5.50872E7,0.52,3.488,15.23667,"September 07, 22",0.03488
2022-09-06,15.2200003,15.2399998,14.8400002,15.0299997,15.0299997,5.86767E7,5.86767E7,-0.19,-1.248,15.03667,"September 06, 22",-0.01248
2022-09-02,15.5299997,15.5699997,15.0600004,15.1599998,15.1599998,6.45221E7,6.45221E7,-0.37,-2.382,15.26333,"September 02, 22",-0.02382
2022-09-01,15.1000004,15.2200003,14.7799997,15.1899996,15.1899996,6.52998E7,6.52998E7,0.09,0.596,15.06333,"September 01, 22",0.00596
2022-08-31,15.5200005,15.5200005,15.2399998,15.2399998,15.2399998,5.20582E7,5.20582E7,-0.28,-1.804,15.33333,"August 31, 22",-0.01804
2022-08-30,15.6999998,15.8000002,15.1700001,15.4499998,15.4499998,6.60344E7,6.60344E7,-0.25,-1.592,15.47333,"August 30, 22",-0.01592
2022-08-29,15.1999998,15.71,15.1899996,15.5699997,15.5699997,5.04165E7,5.04165E7,0.37,2.434,15.49,"August 29, 22",0.02434
2022-08-26,16.0100002,16.0900002,15.4099998,15.4099998,15.4099998,5.45173E7,5.45173E7,-0.6,-3.748,15.63667,"August 26, 22",-0.03748
2022-08-25,15.6000004,16.0400009,15.5799999,15.9300003,15.9300003,5.64013E7,5.64013E7,0.33,2.115,15.85,"August 25, 22",0.02115
2022-08-24,15.3199997,15.6599998,15.2399998,15.5200005,15.5200005,3.95087E7,3.95087E7,0.2,1.305,15.47333,"August 24, 22",0.01305
