date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-06-27,171.32,171.75,168.01,169.49,169.49,2.8992501E7,2.8992501E7,-1.83,-1.068,169.75,"June 27, 22",-0.01068
2022-06-24,161.725,170.25,161.3,170.16,170.16,6.1316215E7,6.1316215E7,8.435,5.216,167.23667,"June 24, 22",0.05216
2022-06-23,156.27,159.75,154.25,158.75,158.75,4.0525284E7,4.0525284E7,2.48,1.587,157.58333,"June 23, 22",0.01587
2022-06-22,158.38,160.79,155.44,155.85,155.85,4.6805774E7,4.6805774E7,-2.53,-1.597,157.36,"June 22, 22",-0.01597
2022-06-21,165.93,167.76,155.97,157.05,157.05,5.0305739E7,5.0305739E7,-8.88,-5.352,160.26,"June 21, 22",-0.05352
2022-06-17,161.68,165.9,159.9,163.74,163.74,3.0391033E7,3.0391033E7,2.06,1.274,163.18,"June 17, 22",0.01274
2022-06-16,163.72,165.08,159.61,160.87,160.87,2.6672135E7,2.6672135E7,-2.85,-1.741,161.85333,"June 16, 22",-0.01741
2022-06-15,167.2,172.16,163.975,169.35,169.35,2.9796869E7,2.9796869E7,2.15,1.286,168.495,"June 15, 22",0.01286
2022-06-14,166.03,166.75,161.3601,163.73,163.73,2.656588E7,2.656588E7,-2.3,-1.385,163.9467,"June 14, 22",-0.01385
2022-06-13,170.59,172.575,164.03,164.26,164.26,3.1348599E7,3.1348599E7,-6.33,-3.711,166.955,"June 13, 22",-0.03711
2022-06-10,183.04,183.1,175.02,175.57,175.57,2.5478531E7,2.5478531E7,-7.47,-4.081,177.89667,"June 10, 22",-0.04081
2022-06-09,194.28,199.45,183.68,184.0,184.0,2.3101704E7,2.3101704E7,-10.28,-5.291,189.04333,"June 09, 22",-0.05291
2022-06-08,194.67,202.03,194.49,196.64,196.64,2.2268226E7,2.2268226E7,1.97,1.012,197.72,"June 08, 22",0.01012
2022-06-07,191.93,196.51,191.49,195.65,195.65,1.8829832E7,1.8829832E7,3.72,1.938,194.55,"June 07, 22",0.01938
2022-06-06,193.99,196.92,188.4,194.25,194.25,3.0466367E7,3.0466367E7,0.26,0.134,193.19,"June 06, 22",0.00134
2022-06-03,195.98,196.61,189.78,190.78,190.78,1.9448338E7,1.9448338E7,-5.2,-2.653,192.39,"June 03, 22",-0.02653
2022-06-02,188.45,200.94,187.73,198.86,198.86,3.192675E7,3.192675E7,10.41,5.524,195.84333,"June 02, 22",0.05524
2022-06-01,196.51,199.52,185.0,188.64,188.64,3.5700127E7,3.5700127E7,-7.87,-4.005,191.05333,"June 01, 22",-0.04005
2022-05-31,194.89,197.6,192.01,193.64,193.64,2.6104905E7,2.6104905E7,-1.25,-0.641,194.41667,"May 31, 22",-0.00641
2022-05-27,191.36,195.3329,189.8,195.13,195.13,2.2563828E7,2.2563828E7,3.77,1.97,193.42097,"May 27, 22",0.0197
2022-05-26,182.88,192.83,182.26,191.63,191.63,2.3041668E7,2.3041668E7,8.75,4.785,188.90667,"May 26, 22",0.04785
2022-05-25,180.4,185.45,179.32,183.83,183.83,2.800833E7,2.800833E7,3.43,1.901,182.86667,"May 25, 22",0.01901
2022-05-24,180.55,183.6759,176.11,181.28,181.28,5.0407046E7,5.0407046E7,0.73,0.404,180.3553,"May 24, 22",0.00404
2022-05-23,195.19,196.9924,191.26,196.23,196.23,2.2455743E7,2.2455743E7,1.04,0.533,194.82747,"May 23, 22",0.00533
2022-05-20,194.97,197.91,187.87,193.54,193.54,3.1307335E7,3.1307335E7,-1.43,-0.733,193.10667,"May 20, 22",-0.00733
2022-05-19,191.2,195.29,189.6,191.29,191.29,2.4412519E7,2.4412519E7,0.09,0.047,192.06,"May 19, 22",4.7E-4
2022-05-18,200.0,201.0,191.64,192.24,192.24,2.3960487E7,2.3960487E7,-7.76,-3.88,194.96,"May 18, 22",-0.0388
2022-05-17,202.12,205.46,198.36,202.62,202.62,2.485223E7,2.485223E7,0.5,0.247,202.14667,"May 17, 22",0.00247
2022-05-16,197.05,205.34,195.93,200.04,200.04,2.7068935E7,2.7068935E7,2.99,1.517,200.43667,"May 16, 22",0.01517
2022-05-13,192.58,199.89,191.31,198.62,198.62,2.3849875E7,2.3849875E7,6.04,3.136,196.60667,"May 13, 22",0.03136
2022-05-12,187.055,198.05,184.79,191.24,191.24,3.7696645E7,3.7696645E7,4.185,2.237,191.36,"May 12, 22",0.02237
2022-05-11,196.325,200.6742,188.28,188.74,188.74,3.1156241E7,3.1156241E7,-7.585,-3.863,192.56473,"May 11, 22",-0.03863
2022-05-10,199.51,202.96,194.19,197.65,197.65,3.4394111E7,3.4394111E7,-1.86,-0.932,198.26667,"May 10, 22",-0.00932
2022-05-09,199.84,202.57,195.58,196.21,196.21,3.6304297E7,3.6304297E7,-3.63,-1.816,198.12,"May 09, 22",-0.01816
2022-05-06,207.34,209.38,201.02,203.77,203.77,3.4750193E7,3.4750193E7,-3.57,-1.722,204.72333,"May 06, 22",-0.01722
2022-05-05,218.74,220.13,206.175,208.28,208.28,4.1078507E7,4.1078507E7,-10.46,-4.782,211.52833,"May 05, 22",-0.04782
2022-05-04,210.65,224.3,206.96,223.41,223.41,4.1377555E7,4.1377555E7,12.76,6.057,218.22333,"May 04, 22",0.06057
2022-05-03,210.45,214.8999,208.09,212.03,212.03,4.1558408E7,4.1558408E7,1.58,0.751,211.6733,"May 03, 22",0.00751
2022-05-02,201.165,211.88,201.0,211.13,211.13,4.9916321E7,4.9916321E7,9.965,4.954,208.00333,"May 02, 22",0.04954
2022-04-29,204.46,212.48,199.92,200.47,200.47,4.9047468E7,4.9047468E7,-3.99,-1.951,204.29,"April 29, 22",-0.01951
2022-04-28,202.92,208.53,192.9,205.73,205.73,1.008948E8,1.008948E8,2.81,1.385,202.38667,"April 28, 22",0.01385
2022-04-27,174.43,181.2099,169.0,174.95,174.95,7.1066403E7,7.1066403E7,0.52,0.298,175.0533,"April 27, 22",0.00298
2022-04-26,186.63,187.19,179.5,180.95,180.95,3.1538176E7,3.1538176E7,-5.68,-3.043,182.54667,"April 26, 22",-0.03043
