date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,30.56,32.01,30.555,31.67,31.67,1.513174E7,1.513174E7,1.11,3.632,31.41167,"October 25, 22",0.03632
2022-10-24,31.12,31.79,30.63,31.05,31.05,1.8999079E7,1.8999079E7,-0.07,-0.225,31.15667,"October 24, 22",-0.00225
2022-10-21,29.14,32.13,28.79,32.03,32.03,2.7241971E7,2.7241971E7,2.89,9.918,30.98333,"October 21, 22",0.09918
2022-10-20,28.36,30.6,28.16,29.12,29.12,2.6950835E7,2.6950835E7,0.76,2.68,29.29333,"October 20, 22",0.0268
2022-10-19,28.1,28.73,27.87,28.36,28.36,1.2684948E7,1.2684948E7,0.26,0.925,28.32,"October 19, 22",0.00925
2022-10-18,29.46,29.57,27.825,28.49,28.49,1.4339149E7,1.4339149E7,-0.97,-3.293,28.62833,"October 18, 22",-0.03293
2022-10-17,28.54,29.37,28.48,28.82,28.82,1.3208093E7,1.3208093E7,0.28,0.981,28.89,"October 17, 22",0.00981
2022-10-14,29.43,29.47,27.57,27.64,27.64,1.3975998E7,1.3975998E7,-1.79,-6.082,28.22667,"October 14, 22",-0.06082
2022-10-13,27.69,29.805,27.5,29.36,29.36,1.6277227E7,1.6277227E7,1.67,6.031,28.88833,"October 13, 22",0.06031
2022-10-12,28.8999996,28.9699993,28.1100006,28.8400002,28.6900005,1.58184E7,1.58184E7,-0.21,-0.727,28.59,"October 12, 22",-0.00727
2022-10-11,28.6700001,29.8600006,28.2299995,29.1800003,29.0282326,1.38339E7,1.38339E7,0.35823,1.249,29.03941,"October 11, 22",0.01249
2022-10-10,29.3199997,30.1100006,29.1200008,29.2600002,29.1078167,1.16177E7,1.16177E7,-0.21218,-0.724,29.44594,"October 10, 22",-0.00724
2022-10-07,29.3999996,29.8500004,28.7600002,28.9500008,28.7994289,1.26644E7,1.26644E7,-0.60057,-2.043,29.13648,"October 07, 22",-0.02043
2022-10-06,29.7000008,30.0799999,29.2299995,29.8199997,29.6649036,1.82587E7,1.82587E7,-0.0351,-0.118,29.6583,"October 06, 22",-0.00118
2022-10-05,30.0,30.7700005,29.5900002,30.5100002,30.3513145,1.31181E7,1.31181E7,0.35131,1.171,30.23711,"October 05, 22",0.01171
2022-10-04,30.0499992,30.9899998,29.9500008,30.7800007,30.6199112,1.73259E7,1.73259E7,0.56991,1.897,30.51997,"October 04, 22",0.01897
2022-10-03,28.0499992,29.4699993,27.8899994,29.3400002,29.1873989,1.65152E7,1.65152E7,1.1374,4.055,28.84913,"October 03, 22",0.04055
2022-09-30,27.8500004,28.4200001,27.2900009,27.3299999,27.1878548,1.61078E7,1.61078E7,-0.66215,-2.378,27.63262,"September 30, 22",-0.02378
2022-09-29,27.9799995,28.2000008,26.8500004,28.1700001,28.0234852,1.75804E7,1.75804E7,0.04349,0.155,27.69116,"September 29, 22",0.00155
2022-09-28,26.9699993,27.9899998,26.8099995,27.8600006,27.7150974,1.48993E7,1.48993E7,0.7451,2.763,27.50503,"September 28, 22",0.02763
2022-09-27,27.1000004,27.3299999,26.4099998,26.8700008,26.7302475,1.53223E7,1.53223E7,-0.36975,-1.364,26.82342,"September 27, 22",-0.01364
2022-09-26,26.1800003,27.2600002,26.1200008,26.5,26.3621712,1.71055E7,1.71055E7,0.18217,0.696,26.58072,"September 26, 22",0.00696
2022-09-23,27.1000004,27.25,26.0300007,26.6800003,26.541235,2.60539E7,2.60539E7,-0.55877,-2.062,26.60708,"September 23, 22",-0.02062
2022-09-22,28.7600002,29.0499992,28.1499996,28.3500004,28.202549,1.61034E7,1.61034E7,-0.55745,-1.938,28.46752,"September 22, 22",-0.01938
2022-09-21,29.9300003,29.9799995,28.0799999,28.1000004,27.9538498,1.88781E7,1.88781E7,-1.97615,-6.603,28.67128,"September 21, 22",-0.06603
2022-09-20,29.9200001,29.9400005,29.3600006,29.7199993,29.5654221,1.41821E7,1.41821E7,-0.35458,-1.185,29.62181,"September 20, 22",-0.01185
2022-09-19,28.4799995,30.6200008,28.4799995,30.4899998,30.331419,1.80221E7,1.80221E7,1.85142,6.501,29.81047,"September 19, 22",0.06501
2022-09-16,29.2700005,29.6399994,28.6900005,29.3299999,29.1774521,2.7657E7,2.7657E7,-0.09255,-0.316,29.16915,"September 16, 22",-0.00316
2022-09-15,29.8500004,30.8600006,29.5,29.7800007,29.6251125,1.38374E7,1.38374E7,-0.22489,-0.753,29.99504,"September 15, 22",-0.00753
2022-09-14,30.5200005,30.7000008,29.5300007,30.0300007,29.8738117,2.05297E7,2.05297E7,-0.64619,-2.117,30.0346,"September 14, 22",-0.02117
2022-09-13,30.75,31.7099991,30.6499996,31.0499992,30.8885059,1.76937E7,1.76937E7,0.13851,0.45,31.08283,"September 13, 22",0.0045
2022-09-12,32.6500015,32.7799988,31.8999996,32.1699982,32.0026779,1.26359E7,1.26359E7,-0.64732,-1.983,32.22756,"September 12, 22",-0.01983
2022-09-09,31.2999992,32.2799988,31.1299992,32.1699982,32.0026779,1.7883E7,1.7883E7,0.70268,2.245,31.80423,"September 09, 22",0.02245
2022-09-08,28.5799999,30.6399994,28.4500008,30.6200008,30.460743,2.13939E7,2.13939E7,1.88074,6.581,29.85025,"September 08, 22",0.06581
2022-09-07,27.6399994,28.4799995,27.2999992,28.3799992,28.2323914,1.36274E7,1.36274E7,0.59239,2.143,28.00413,"September 07, 22",0.02143
2022-09-06,28.5699997,28.9200001,27.8500004,28.1200008,27.9737453,1.49292E7,1.49292E7,-0.59625,-2.087,28.24792,"September 06, 22",-0.02087
