date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,34.23,35.415,34.08,35.35,35.35,4403754.0,4403754.0,1.12,3.272,34.94833,"October 25, 22",0.03272
2022-10-24,33.23,34.53,33.04,34.37,34.37,4693479.0,4693479.0,1.14,3.431,33.98,"October 24, 22",0.03431
2022-10-21,31.13,33.03,30.92,33.02,33.02,8258774.0,8258774.0,1.89,6.071,32.32333,"October 21, 22",0.06071
2022-10-20,32.88,33.01,30.98,31.15,31.15,9696815.0,9696815.0,-1.73,-5.262,31.71333,"October 20, 22",-0.05262
2022-10-19,34.59,34.9,32.92,33.26,33.26,1.0514015E7,1.0514015E7,-1.33,-3.845,33.69333,"October 19, 22",-0.03845
2022-10-18,35.51,36.03,34.49,34.86,34.86,5393287.0,5393287.0,-0.65,-1.83,35.12667,"October 18, 22",-0.0183
2022-10-17,34.78,35.24,34.44,34.73,34.73,5595327.0,5595327.0,-0.05,-0.144,34.80333,"October 17, 22",-0.00144
2022-10-14,34.71,35.44,33.84,33.96,33.96,5504077.0,5504077.0,-0.75,-2.161,34.41333,"October 14, 22",-0.02161
2022-10-13,31.79,34.645,31.38,34.35,34.35,7884405.0,7884405.0,2.56,8.053,33.45833,"October 13, 22",0.08053
2022-10-12,32.33,32.72,32.04,32.22,32.22,3805103.0,3805103.0,-0.11,-0.34,32.32667,"October 12, 22",-0.0034
2022-10-11,32.79,32.88,32.18,32.42,32.42,3732558.0,3732558.0,-0.37,-1.128,32.49333,"October 11, 22",-0.01128
2022-10-10,33.37,33.72,32.75,32.98,32.98,3538032.0,3538032.0,-0.39,-1.169,33.15,"October 10, 22",-0.01169
2022-10-07,33.21,33.27,32.35,33.1,33.1,3891420.0,3891420.0,-0.11,-0.331,32.90667,"October 07, 22",-0.00331
2022-10-06,33.8,34.16,33.33,33.53,33.53,6098091.0,6098091.0,-0.27,-0.799,33.67333,"October 06, 22",-0.00799
2022-10-05,33.6,34.24,33.48,34.1,34.1,2853634.0,2853634.0,0.5,1.488,33.94,"October 05, 22",0.01488
2022-10-04,33.3,34.31,33.28,34.3,34.3,4368643.0,4368643.0,1.0,3.003,33.96333,"October 04, 22",0.03003
2022-10-03,32.5,33.13,31.79,32.83,32.83,4744997.0,4744997.0,0.33,1.015,32.58333,"October 03, 22",0.01015
2022-09-30,32.0,32.8199997,31.8400002,31.9599991,31.9599991,6165500.0,6165500.0,-0.04,-0.125,32.20667,"September 30, 22",-0.00125
2022-09-29,31.7399998,32.2900009,31.1800003,32.0499992,32.0499992,5304400.0,5304400.0,0.31,0.977,31.84,"September 29, 22",0.00977
2022-09-28,31.75,32.7200012,31.5499992,32.5400009,32.2099991,4095600.0,4095600.0,0.46,1.449,32.16,"September 28, 22",0.01449
2022-09-27,32.2999992,32.5900002,31.2600002,31.5699997,31.249836,5274000.0,5274000.0,-1.05016,-3.251,31.69995,"September 27, 22",-0.03251
2022-09-26,32.3699989,32.9500008,31.9599991,32.0900002,31.7645626,5717300.0,5717300.0,-0.60544,-1.87,32.22485,"September 26, 22",-0.0187
2022-09-23,32.7900009,32.9399986,32.1599998,32.7999992,32.4673615,4188500.0,4188500.0,-0.32264,-0.984,32.52245,"September 23, 22",-0.00984
2022-09-22,34.3499985,34.4900017,33.0099983,33.2099991,32.8732033,4041800.0,4041800.0,-1.4768,-4.299,33.45773,"September 22, 22",-0.04299
2022-09-21,35.3100014,35.7200012,34.25,34.2599983,33.9125557,4903800.0,4903800.0,-1.39745,-3.958,34.62752,"September 21, 22",-0.03958
2022-09-20,35.1199989,35.3100014,34.7599983,35.1399994,34.7836304,3833600.0,3833600.0,-0.33637,-0.958,34.95121,"September 20, 22",-0.00958
2022-09-19,34.5099983,35.5699997,34.5099983,35.4399986,35.0805893,3564400.0,3564400.0,0.57059,1.653,35.05353,"September 19, 22",0.01653
2022-09-16,35.5099983,35.5099983,34.6599998,35.0299988,34.6747475,8215000.0,8215000.0,-0.83525,-2.352,34.94825,"September 16, 22",-0.02352
2022-09-15,35.0400009,36.3400002,35.0299988,35.7799988,35.417141,3548700.0,3548700.0,0.37714,1.076,35.59571,"September 15, 22",0.01076
2022-09-14,34.9799995,35.3800011,34.3400002,34.9799995,34.6252556,5347900.0,5347900.0,-0.35474,-1.014,34.78175,"September 14, 22",-0.01014
2022-09-13,35.6100006,36.0600014,34.8100014,34.9799995,34.6252556,4095500.0,4095500.0,-0.98475,-2.765,35.16509,"September 13, 22",-0.02765
2022-09-12,36.0,36.5999985,35.8400002,36.5200005,36.1496391,3725400.0,3725400.0,0.14964,0.416,36.19655,"September 12, 22",0.00416
2022-09-09,35.5999985,35.9500008,35.4700012,35.7400017,35.3775482,4265100.0,4265100.0,-0.22245,-0.625,35.59918,"September 09, 22",-0.00625
2022-09-08,33.7700005,35.3300018,33.5900002,35.3199997,34.9618073,3540800.0,3540800.0,1.19181,3.529,34.62727,"September 08, 22",0.03529
2022-09-07,33.1699982,34.2000008,32.9599991,34.0400009,33.6947899,2663500.0,2663500.0,0.52479,1.582,33.61826,"September 07, 22",0.01582
2022-09-06,33.8800011,33.9399986,32.8499985,33.2700005,32.9325981,3162700.0,3162700.0,-0.9474,-2.796,33.24087,"September 06, 22",-0.02796
2022-09-02,34.2700005,34.6500015,33.4900017,33.6699982,33.328537,4021200.0,4021200.0,-0.94146,-2.747,33.82285,"September 02, 22",-0.02747
2022-09-01,34.0999985,34.1399994,33.3199997,33.8400002,33.4968147,3911200.0,3911200.0,-0.60318,-1.769,33.65227,"September 01, 22",-0.01769
2022-08-31,34.4300003,34.5900002,34.0200005,34.1500015,33.8036728,4954600.0,4954600.0,-0.62633,-1.819,34.13789,"August 31, 22",-0.01819
2022-08-30,34.5699997,34.7400017,33.9900017,34.3699989,34.0214386,3297300.0,3297300.0,-0.54856,-1.587,34.25048,"August 30, 22",-0.01587
2022-08-29,34.7099991,35.0200005,34.2400017,34.4300003,34.0808334,3234600.0,3234600.0,-0.62917,-1.813,34.44695,"August 29, 22",-0.01813
2022-08-26,36.4399986,36.5099983,34.9500008,34.9500008,34.5955582,2578900.0,2578900.0,-1.84444,-5.062,35.35185,"August 26, 22",-0.05062
2022-08-25,35.6599998,36.2799988,35.5400009,36.2400017,35.8724785,2081300.0,2081300.0,0.21248,0.596,35.89749,"August 25, 22",0.00596
