date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,18.16,18.99,18.14,18.58,18.58,5438856.0,5438856.0,0.42,2.313,18.57,"October 25, 22",0.02313
2022-10-24,18.08,18.38,17.86,18.32,18.32,3258111.0,3258111.0,0.24,1.327,18.18667,"October 24, 22",0.01327
2022-10-21,17.42,18.02,17.25,17.96,17.96,3252644.0,3252644.0,0.54,3.1,17.74333,"October 21, 22",0.031
2022-10-20,17.57,17.85,17.195,17.37,17.37,3146883.0,3146883.0,-0.2,-1.138,17.47167,"October 20, 22",-0.01138
2022-10-19,17.6,17.82,17.225,17.48,17.48,2821115.0,2821115.0,-0.12,-0.682,17.50833,"October 19, 22",-0.00682
2022-10-18,17.98,18.34,17.64,17.77,17.77,3714915.0,3714915.0,-0.21,-1.168,17.91667,"October 18, 22",-0.01168
2022-10-17,17.28,17.58,17.11,17.42,17.42,3837013.0,3837013.0,0.14,0.81,17.37,"October 17, 22",0.0081
2022-10-14,17.31,17.38,16.7,16.87,16.87,3788978.0,3788978.0,-0.44,-2.542,16.98333,"October 14, 22",-0.02542
2022-10-13,16.48,17.4,16.11,17.22,17.22,3971652.0,3971652.0,0.74,4.49,16.91,"October 13, 22",0.0449
2022-10-12,16.87,17.0,16.72,16.87,16.87,2443072.0,2443072.0,0.0,0.0,16.86333,"October 12, 22",0.0
2022-10-11,17.27,17.455,16.74,16.93,16.93,2796079.0,2796079.0,-0.34,-1.969,17.04167,"October 11, 22",-0.01969
2022-10-10,17.7,17.83,17.16,17.37,17.37,1828174.0,1828174.0,-0.33,-1.864,17.45333,"October 10, 22",-0.01864
2022-10-07,17.79,17.96,17.59,17.73,17.73,3279844.0,3279844.0,-0.06,-0.337,17.76,"October 07, 22",-0.00337
2022-10-06,18.18,18.59,17.975,18.11,18.11,4457255.0,4457255.0,-0.07,-0.385,18.225,"October 06, 22",-0.00385
2022-10-05,17.89,18.37,17.75,18.26,18.26,3662576.0,3662576.0,0.37,2.068,18.12667,"October 05, 22",0.02068
2022-10-04,17.77,18.18,17.66,18.17,18.17,3789003.0,3789003.0,0.4,2.251,18.00333,"October 04, 22",0.02251
2022-10-03,16.75,17.38,16.63,17.27,17.27,4618930.0,4618930.0,0.52,3.104,17.09333,"October 03, 22",0.03104
2022-09-30,16.69,17.13,16.63,16.66,16.66,4444645.0,4444645.0,-0.03,-0.18,16.80667,"September 30, 22",-0.0018
2022-09-29,16.88,16.98,16.6,16.88,16.88,2589885.0,2589885.0,0.0,0.0,16.82,"September 29, 22",0.0
