date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,29.51,29.96,29.4,29.84,29.84,2309240.0,2309240.0,0.33,1.118,29.73333,"October 25, 22",0.01118
2022-10-24,29.64,29.84,29.09,29.62,29.62,3792339.0,3792339.0,-0.02,-0.067,29.51667,"October 24, 22",-6.7E-4
2022-10-21,29.02,29.74,28.98,29.43,29.43,2777850.0,2777850.0,0.41,1.413,29.38333,"October 21, 22",0.01413
2022-10-20,29.26,29.54,28.97,29.01,29.01,2137675.0,2137675.0,-0.25,-0.854,29.17333,"October 20, 22",-0.00854
2022-10-19,29.32,29.86,28.855,29.32,29.32,4065437.0,4065437.0,0.0,0.0,29.345,"October 19, 22",0.0
2022-10-18,29.74,29.915,28.705,29.2,29.2,6943285.0,6943285.0,-0.54,-1.816,29.27333,"October 18, 22",-0.01816
2022-10-17,29.74,30.09,28.27,28.58,28.58,1.2660238E7,1.2660238E7,-1.16,-3.9,28.98,"October 17, 22",-0.039
2022-10-14,31.86,32.19,31.39,31.55,31.55,2148127.0,2148127.0,-0.31,-0.973,31.71,"October 14, 22",-0.00973
2022-10-13,30.14,31.81,30.05,31.7,31.7,4036641.0,4036641.0,1.56,5.176,31.18667,"October 13, 22",0.05176
2022-10-12,30.69,30.875,30.31,30.49,30.49,2476027.0,2476027.0,-0.2,-0.652,30.55833,"October 12, 22",-0.00652
2022-10-11,30.97,31.13,30.415,30.67,30.67,2238893.0,2238893.0,-0.3,-0.969,30.73833,"October 11, 22",-0.00969
2022-10-10,31.55,31.8,31.07,31.14,31.14,1762063.0,1762063.0,-0.41,-1.3,31.33667,"October 10, 22",-0.013
2022-10-07,30.9,31.45,30.76,31.37,31.37,2588515.0,2588515.0,0.47,1.521,31.19333,"October 07, 22",0.01521
2022-10-06,32.07,32.07,31.035,31.17,31.17,3697458.0,3697458.0,-0.9,-2.806,31.425,"October 06, 22",-0.02806
2022-10-05,31.7099991,31.9950008,31.3299999,31.5400009,31.5400009,2731600.0,2731600.0,-0.17,-0.536,31.62167,"October 05, 22",-0.00536
2022-10-04,31.4099998,32.3899994,31.3799992,32.2299995,32.2299995,2379800.0,2379800.0,0.82,2.611,32.0,"October 04, 22",0.02611
2022-10-03,31.0699997,31.3050003,30.5750008,31.2600002,31.2600002,2627700.0,2627700.0,0.19,0.612,31.04667,"October 03, 22",0.00612
2022-09-30,30.7199993,31.3600006,30.5499992,30.6800003,30.6800003,3276000.0,3276000.0,-0.04,-0.13,30.86333,"September 30, 22",-0.0013
