date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,77.4,79.84,77.4,79.65,79.65,859291.0,859291.0,2.25,2.907,78.96333,"October 25, 22",0.02907
2022-10-24,77.11,77.76,76.18,77.18,77.18,487588.0,487588.0,0.07,0.091,77.04,"October 24, 22",9.1E-4
2022-10-21,75.3,76.8,74.09,76.76,76.76,568058.0,568058.0,1.46,1.939,75.88333,"October 21, 22",0.01939
2022-10-20,75.09,76.8,75.09,75.87,75.87,576464.0,576464.0,0.78,1.039,75.92,"October 20, 22",0.01039
2022-10-19,75.56,75.96,74.8125,75.18,75.18,574569.0,574569.0,-0.38,-0.503,75.3175,"October 19, 22",-0.00503
2022-10-18,76.07,76.585,74.99,75.99,75.99,819579.0,819579.0,-0.08,-0.105,75.855,"October 18, 22",-0.00105
2022-10-17,73.02,74.8,73.02,74.61,74.61,628703.0,628703.0,1.59,2.177,74.14333,"October 17, 22",0.02177
2022-10-14,74.35,74.51,71.69,71.77,71.77,611028.0,611028.0,-2.58,-3.47,72.65667,"October 14, 22",-0.0347
2022-10-13,71.96,74.29,70.91,73.49,73.49,763811.0,763811.0,1.53,2.126,72.89667,"October 13, 22",0.02126
2022-10-12,73.75,74.44,73.26,73.75,73.75,612968.0,612968.0,0.0,0.0,73.81667,"October 12, 22",0.0
2022-10-11,74.66,74.66,73.01,73.51,73.51,849775.0,849775.0,-1.15,-1.54,73.72667,"October 11, 22",-0.0154
2022-10-10,76.4,76.51,73.87,74.68,74.68,920631.0,920631.0,-1.72,-2.251,75.02,"October 10, 22",-0.02251
2022-10-07,76.08,76.42,75.34,75.91,75.91,601267.0,601267.0,-0.17,-0.223,75.89,"October 07, 22",-0.00223
2022-10-06,77.23,78.21,76.99,77.27,77.27,706657.0,706657.0,0.04,0.052,77.49,"October 06, 22",5.2E-4
2022-10-05,75.08,77.68,74.67,77.23,77.23,1002041.0,1002041.0,2.15,2.864,76.52667,"October 05, 22",0.02864
2022-10-04,73.74,75.87,73.43,75.86,75.86,773049.0,773049.0,2.12,2.875,75.05333,"October 04, 22",0.02875
2022-10-03,71.15,72.34,70.05,72.31,72.31,975073.0,975073.0,1.16,1.63,71.56667,"October 03, 22",0.0163
2022-09-30,71.84,72.865,70.81,70.88,70.88,945427.0,945427.0,-0.96,-1.336,71.51833,"September 30, 22",-0.01336
2022-09-29,71.29,72.33,70.38,72.09,72.09,1270974.0,1270974.0,0.8,1.122,71.6,"September 29, 22",0.01122
2022-09-28,70.65,72.245,70.01,72.01,72.01,1170537.0,1170537.0,1.36,1.925,71.42167,"September 28, 22",0.01925
2022-09-27,70.51,71.16,69.7,70.7,70.7,776036.0,776036.0,0.19,0.269,70.52,"September 27, 22",0.00269
2022-09-26,69.95,71.35,69.61,69.63,69.63,665266.0,665266.0,-0.32,-0.457,70.19667,"September 26, 22",-0.00457
2022-09-23,70.49,71.24,69.705,70.5,70.5,829249.0,829249.0,0.01,0.014,70.48167,"September 23, 22",1.4E-4
2022-09-22,73.21,73.21,71.16,71.32,71.32,848731.0,848731.0,-1.89,-2.582,71.89667,"September 22, 22",-0.02582
2022-09-21,75.7,75.82,73.28,73.32,73.32,543060.0,543060.0,-2.38,-3.144,74.14,"September 21, 22",-0.03144
2022-09-20,75.27,75.89,74.635,75.43,75.43,720744.0,720744.0,0.16,0.213,75.31833,"September 20, 22",0.00213
2022-09-19,74.26,76.135,74.1,75.94,75.94,939811.0,939811.0,1.68,2.262,75.39167,"September 19, 22",0.02262
2022-09-16,75.27,75.27,73.08,74.96,74.96,2396873.0,2396873.0,-0.31,-0.412,74.43667,"September 16, 22",-0.00412
2022-09-15,75.53,76.78,74.86,76.16,76.16,1044056.0,1044056.0,0.63,0.834,75.93333,"September 15, 22",0.00834
