date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,75.0,75.25,71.08,73.0,73.0,9569851.0,9569851.0,-2.0,-2.667,73.11,"October 25, 22",-0.02667
2022-10-24,73.0,74.32,72.77,73.36,73.36,6560325.0,6560325.0,0.36,0.493,73.48333,"October 24, 22",0.00493
2022-10-21,70.0,72.9,69.75,72.82,72.82,6434512.0,6434512.0,2.82,4.029,71.82333,"October 21, 22",0.04029
2022-10-20,70.76,71.61,69.83,69.97,69.97,5987113.0,5987113.0,-0.79,-1.116,70.47,"October 20, 22",-0.01116
2022-10-19,70.27,70.98,69.34,70.53,70.53,5237447.0,5237447.0,0.26,0.37,70.28333,"October 19, 22",0.0037
2022-10-18,70.19,71.14,69.93,70.7,70.7,6107957.0,6107957.0,0.51,0.727,70.59,"October 18, 22",0.00727
2022-10-17,68.95,70.19,68.43,68.63,68.63,5140365.0,5140365.0,-0.32,-0.464,69.08333,"October 17, 22",-0.00464
2022-10-14,68.3,68.78,67.19,67.57,67.57,5673335.0,5673335.0,-0.73,-1.069,67.84667,"October 14, 22",-0.01069
2022-10-13,63.69,68.36,63.19,67.94,67.94,7891576.0,7891576.0,4.25,6.673,66.49667,"October 13, 22",0.06673
2022-10-12,63.69,65.42,63.06,64.74,64.74,5357257.0,5357257.0,1.05,1.649,64.40667,"October 12, 22",0.01649
2022-10-11,64.49,65.26,63.08,64.0,64.0,5295750.0,5295750.0,-0.49,-0.76,64.11333,"October 11, 22",-0.0076
2022-10-10,65.05,65.62,64.06,64.98,64.98,3591437.0,3591437.0,-0.07,-0.108,64.88667,"October 10, 22",-0.00108
2022-10-07,65.61,65.78,64.1,64.56,64.56,4271929.0,4271929.0,-1.05,-1.6,64.81333,"October 07, 22",-0.016
2022-10-06,66.73,67.48,65.79,66.22,66.22,4954518.0,4954518.0,-0.51,-0.764,66.49667,"October 06, 22",-0.00764
2022-10-05,66.69,68.21,66.05,67.44,67.44,5811531.0,5811531.0,0.75,1.125,67.23333,"October 05, 22",0.01125
2022-10-04,64.88,67.64,64.87,67.54,67.54,7751178.0,7751178.0,2.66,4.1,66.68333,"October 04, 22",0.041
2022-10-03,62.76,64.38,62.15,63.6,63.6,5432502.0,5432502.0,0.84,1.338,63.37667,"October 03, 22",0.01338
2022-09-30,62.6399994,63.2900009,61.8800011,61.9099998,61.9099998,7916200.0,7916200.0,-0.73,-1.165,62.36,"September 30, 22",-0.01165
2022-09-29,63.7700005,64.1100006,61.9199982,62.7299995,62.7299995,8799700.0,8799700.0,-1.04,-1.631,62.92,"September 29, 22",-0.01631
2022-09-28,64.9899979,65.0599976,64.1900024,64.4599991,64.4599991,6657700.0,6657700.0,-0.53,-0.816,64.57,"September 28, 22",-0.00816
2022-09-27,64.8499985,65.3099976,63.5099983,64.4700012,64.4700012,7848000.0,7848000.0,-0.38,-0.586,64.43,"September 27, 22",-0.00586
2022-09-26,64.5299988,66.1600037,64.2099991,64.3499985,64.3499985,1.04546E7,1.04546E7,-0.18,-0.279,64.90667,"September 26, 22",-0.00279
2022-09-23,64.5500031,65.0800018,63.5499992,64.5500031,64.4700012,8175400.0,8175400.0,-0.08,-0.124,64.36667,"September 23, 22",-0.00124
2022-09-22,65.0,65.7099991,64.5199966,65.3600006,65.2789993,7068300.0,7068300.0,0.279,0.429,65.16967,"September 22, 22",0.00429
2022-09-21,67.0199966,67.0699997,65.1600037,65.2200012,65.1391678,6332800.0,6332800.0,-1.88083,-2.806,65.78972,"September 21, 22",-0.02806
2022-09-20,66.4499969,67.1999969,65.9400024,66.5899963,66.5074692,5220800.0,5220800.0,0.05747,0.086,66.54916,"September 20, 22",8.6E-4
2022-09-19,65.5899963,67.4899979,65.4599991,67.0500031,66.9669037,5012200.0,5012200.0,1.37691,2.099,66.63897,"September 19, 22",0.02099
