date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,2.31,2.41,2.295,2.39,2.39,2655639.0,2655639.0,0.08,3.463,2.365,"October 25, 22",0.03463
2022-10-24,2.33,2.34,2.225,2.28,2.28,2543476.0,2543476.0,-0.05,-2.146,2.28167,"October 24, 22",-0.02146
2022-10-21,2.3,2.34,2.2,2.32,2.32,3037037.0,3037037.0,0.02,0.87,2.28667,"October 21, 22",0.0087
2022-10-20,2.24,2.33,2.22,2.27,2.27,4059966.0,4059966.0,0.03,1.339,2.27333,"October 20, 22",0.01339
2022-10-19,2.35,2.39,2.235,2.25,2.25,2771805.0,2771805.0,-0.1,-4.255,2.29167,"October 19, 22",-0.04255
2022-10-18,2.31,2.39,2.29,2.38,2.38,2468383.0,2468383.0,0.07,3.03,2.35333,"October 18, 22",0.0303
2022-10-17,2.23,2.3,2.2,2.29,2.29,2588362.0,2588362.0,0.06,2.691,2.26333,"October 17, 22",0.02691
2022-10-14,2.36,2.39,2.2,2.2,2.2,4487695.0,4487695.0,-0.16,-6.78,2.26333,"October 14, 22",-0.0678
2022-10-13,2.29,2.38,2.19,2.34,2.34,3943279.0,3943279.0,0.05,2.183,2.30333,"October 13, 22",0.02183
2022-10-12,2.17,2.33,2.17,2.26,2.26,6991196.0,6991196.0,0.09,4.147,2.25333,"October 12, 22",0.04147
2022-10-11,2.07,2.19,2.04,2.17,2.17,3773469.0,3773469.0,0.1,4.831,2.13333,"October 11, 22",0.04831
2022-10-10,2.15,2.17,2.06,2.1,2.1,2781049.0,2781049.0,-0.05,-2.326,2.11,"October 10, 22",-0.02326
2022-10-07,2.22,2.25,2.16,2.17,2.17,2374921.0,2374921.0,-0.05,-2.252,2.19333,"October 07, 22",-0.02252
2022-10-06,2.3,2.31,2.2,2.26,2.26,2801678.0,2801678.0,-0.04,-1.739,2.25667,"October 06, 22",-0.01739
2022-10-05,2.33,2.36,2.25,2.3,2.3,3401598.0,3401598.0,-0.03,-1.288,2.30333,"October 05, 22",-0.01288
2022-10-04,2.42,2.5,2.31,2.38,2.38,2525782.0,2525782.0,-0.04,-1.653,2.39667,"October 04, 22",-0.01653
2022-10-03,2.38,2.42,2.31,2.37,2.37,2193904.0,2193904.0,-0.01,-0.42,2.36667,"October 03, 22",-0.0042
2022-09-30,2.31,2.445,2.31,2.34,2.34,2777419.0,2777419.0,0.03,1.299,2.365,"September 30, 22",0.01299
2022-09-29,2.41,2.44,2.28,2.31,2.31,2192740.0,2192740.0,-0.1,-4.149,2.34333,"September 29, 22",-0.04149
2022-09-28,2.29,2.49,2.29,2.47,2.47,3860272.0,3860272.0,0.18,7.86,2.41667,"September 28, 22",0.0786
2022-09-27,2.35,2.3906,2.25,2.29,2.29,2430008.0,2430008.0,-0.06,-2.553,2.3102,"September 27, 22",-0.02553
2022-09-26,2.28,2.36,2.19,2.26,2.26,3516521.0,3516521.0,-0.02,-0.877,2.27,"September 26, 22",-0.00877
2022-09-23,2.43,2.46,2.24,2.3,2.3,7408432.0,7408432.0,-0.13,-5.35,2.33333,"September 23, 22",-0.0535
2022-09-22,2.54,2.57,2.41,2.46,2.46,4015187.0,4015187.0,-0.08,-3.15,2.48,"September 22, 22",-0.0315
2022-09-21,2.68,2.695,2.51,2.54,2.54,3208220.0,3208220.0,-0.14,-5.224,2.58167,"September 21, 22",-0.05224
2022-09-20,2.6,2.7,2.59,2.67,2.67,2045604.0,2045604.0,0.07,2.692,2.65333,"September 20, 22",0.02692
2022-09-19,2.65,2.7,2.5,2.64,2.64,4993835.0,4993835.0,-0.01,-0.377,2.61333,"September 19, 22",-0.00377
2022-09-16,2.89,2.89,2.66,2.7,2.7,6980135.0,6980135.0,-0.19,-6.574,2.75,"September 16, 22",-0.06574
2022-09-15,2.86,2.93,2.82,2.9,2.9,3269058.0,3269058.0,0.04,1.399,2.88333,"September 15, 22",0.01399
2022-09-14,3.03,3.06,2.8,2.86,2.86,6365118.0,6365118.0,-0.17,-5.611,2.90667,"September 14, 22",-0.05611
2022-09-13,2.705,2.95,2.65,2.94,2.94,5438713.0,5438713.0,0.235,8.688,2.84667,"September 13, 22",0.08688
2022-09-12,2.68,2.83,2.6431,2.78,2.78,3334646.0,3334646.0,0.1,3.731,2.75103,"September 12, 22",0.03731
2022-09-09,2.73,2.7891,2.595,2.65,2.65,2746629.0,2746629.0,-0.08,-2.93,2.67803,"September 09, 22",-0.0293
2022-09-08,2.7,2.77,2.625,2.73,2.73,3443400.0,3443400.0,0.03,1.111,2.70833,"September 08, 22",0.01111
2022-09-07,2.55,2.72,2.52,2.72,2.72,4931219.0,4931219.0,0.17,6.667,2.65333,"September 07, 22",0.06667
2022-09-06,2.67,2.68,2.51,2.54,2.54,3791350.0,3791350.0,-0.13,-4.869,2.57667,"September 06, 22",-0.04869
2022-09-02,2.74,2.79,2.64,2.66,2.66,4552022.0,4552022.0,-0.08,-2.92,2.69667,"September 02, 22",-0.0292
2022-09-01,2.61,2.69,2.52,2.68,2.68,3398288.0,3398288.0,0.07,2.682,2.63,"September 01, 22",0.02682
2022-08-31,2.31,2.65,2.29,2.64,2.64,7404157.0,7404157.0,0.33,14.286,2.52667,"August 31, 22",0.14286
2022-08-30,2.33,2.34,2.27,2.3,2.3,2867510.0,2867510.0,-0.03,-1.288,2.30333,"August 30, 22",-0.01288
2022-08-29,2.35,2.42,2.31,2.32,2.32,3937725.0,3937725.0,-0.03,-1.277,2.35,"August 29, 22",-0.01277
2022-08-26,2.41,2.42,2.32,2.39,2.39,4536741.0,4536741.0,-0.02,-0.83,2.37667,"August 26, 22",-0.0083
2022-08-25,2.37,2.46,2.32,2.38,2.38,2927308.0,2927308.0,0.01,0.422,2.38667,"August 25, 22",0.00422
2022-08-24,2.4,2.41,2.28,2.35,2.35,4764494.0,4764494.0,-0.05,-2.083,2.34667,"August 24, 22",-0.02083
2022-08-23,2.22,2.43,2.21,2.4,2.4,4702419.0,4702419.0,0.18,8.108,2.34667,"August 23, 22",0.08108
2022-08-22,2.23,2.29,2.17,2.18,2.18,3328610.0,3328610.0,-0.05,-2.242,2.21333,"August 22, 22",-0.02242
2022-08-19,2.15,2.26,2.11,2.23,2.23,9778640.0,9778640.0,0.08,3.721,2.2,"August 19, 22",0.03721
2022-08-18,2.14,2.2,2.06,2.19,2.19,4024397.0,4024397.0,0.05,2.336,2.15,"August 18, 22",0.02336
2022-08-17,2.23,2.25,2.13,2.15,2.15,2393232.0,2393232.0,-0.08,-3.587,2.17667,"August 17, 22",-0.03587
2022-08-16,2.36,2.39,2.16,2.22,2.22,4091465.0,4091465.0,-0.14,-5.932,2.25667,"August 16, 22",-0.05932
2022-08-15,2.36,2.45,2.32,2.37,2.37,2957320.0,2957320.0,0.01,0.424,2.38,"August 15, 22",0.00424
2022-08-12,2.18,2.35,2.11,2.35,2.35,4985500.0,4985500.0,0.17,7.798,2.27,"August 12, 22",0.07798
2022-08-11,2.15,2.24,2.02,2.05,2.05,3463162.0,3463162.0,-0.1,-4.651,2.10333,"August 11, 22",-0.04651
2022-08-10,2.11,2.2,2.0,2.17,2.17,4178263.0,4178263.0,0.06,2.844,2.12333,"August 10, 22",0.02844
2022-08-09,2.19,2.22,2.02,2.07,2.07,4364502.0,4364502.0,-0.12,-5.479,2.10333,"August 09, 22",-0.05479
2022-08-08,2.46,2.54,2.17,2.24,2.24,6797393.0,6797393.0,-0.22,-8.943,2.31667,"August 08, 22",-0.08943
2022-08-05,2.38,2.51,2.31,2.42,2.42,6145185.0,6145185.0,0.04,1.681,2.41333,"August 05, 22",0.01681
2022-08-04,2.06,2.67,2.04,2.46,2.46,1.3634819E7,1.3634819E7,0.4,19.417,2.39,"August 04, 22",0.19417
2022-08-03,1.96,2.07,1.95,2.04,2.04,4230250.0,4230250.0,0.08,4.082,2.02,"August 03, 22",0.04082
2022-08-02,1.87,1.96,1.85,1.94,1.94,1493370.0,1493370.0,0.07,3.743,1.91667,"August 02, 22",0.03743
2022-08-01,1.88,1.93,1.84,1.86,1.86,1650034.0,1650034.0,-0.02,-1.064,1.87667,"August 01, 22",-0.01064
2022-07-29,1.99,1.99,1.88,1.9,1.9,1760400.0,1760400.0,-0.09,-4.523,1.92333,"July 29, 22",-0.04523
2022-07-28,1.98,1.99,1.91,1.97,1.97,1931301.0,1931301.0,-0.01,-0.505,1.95667,"July 28, 22",-0.00505
2022-07-27,1.94,1.98,1.87,1.97,1.97,1866025.0,1866025.0,0.03,1.546,1.94,"July 27, 22",0.01546
