date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,7.99,8.2,7.97,8.0,8.0,1.0349828E7,1.0349828E7,0.01,0.125,8.05667,"October 25, 22",0.00125
2022-10-24,7.88,7.95,7.74,7.83,7.83,6929599.0,6929599.0,-0.05,-0.635,7.84,"October 24, 22",-0.00635
2022-10-21,7.71,8.04,7.7,8.04,8.04,1.2266256E7,1.2266256E7,0.33,4.28,7.92667,"October 21, 22",0.0428
2022-10-20,7.52,7.79,7.5,7.66,7.66,7829053.0,7829053.0,0.14,1.862,7.65,"October 20, 22",0.01862
2022-10-19,7.66,7.725,7.455,7.51,7.51,9511105.0,9511105.0,-0.15,-1.958,7.56333,"October 19, 22",-0.01958
2022-10-18,7.94,7.96,7.77,7.86,7.86,3341824.0,3341824.0,-0.08,-1.008,7.86333,"October 18, 22",-0.01008
2022-10-17,7.9,7.9753,7.83,7.84,7.84,5477764.0,5477764.0,-0.06,-0.759,7.88177,"October 17, 22",-0.00759
2022-10-14,7.9,7.96,7.59,7.61,7.61,7784079.0,7784079.0,-0.29,-3.671,7.72,"October 14, 22",-0.03671
2022-10-13,7.9,8.185,7.765,8.07,8.07,6239675.0,6239675.0,0.17,2.152,8.00667,"October 13, 22",0.02152
2022-10-12,8.25,8.34,8.12,8.21,8.21,4842279.0,4842279.0,-0.04,-0.485,8.22333,"October 12, 22",-0.00485
2022-10-11,8.32,8.5399,8.255,8.31,8.31,7651074.0,7651074.0,-0.01,-0.12,8.3683,"October 11, 22",-0.0012
2022-10-10,8.43,8.52,8.3,8.31,8.31,6694079.0,6694079.0,-0.12,-1.423,8.37667,"October 10, 22",-0.01423
2022-10-07,8.58,8.83,8.55,8.57,8.57,1.0870035E7,1.0870035E7,-0.01,-0.117,8.65,"October 07, 22",-0.00117
2022-10-06,8.64,8.83,8.56,8.73,8.73,8469224.0,8469224.0,0.09,1.042,8.70667,"October 06, 22",0.01042
2022-10-05,8.56,8.73,8.46,8.72,8.72,1.4667167E7,1.4667167E7,0.16,1.869,8.63667,"October 05, 22",0.01869
2022-10-04,8.69,8.925,8.66,8.68,8.68,1.5920559E7,1.5920559E7,-0.01,-0.115,8.755,"October 04, 22",-0.00115
2022-10-03,8.23,8.38,8.14,8.37,8.37,1.0511739E7,1.0511739E7,0.14,1.701,8.29667,"October 03, 22",0.01701
2022-09-30,7.9499998,8.3100004,7.9499998,8.0900002,8.0900002,1.16618E7,1.16618E7,0.14,1.761,8.11667,"September 30, 22",0.01761
2022-09-29,8.0799999,8.1199999,7.8699999,8.1000004,8.1000004,1.50752E7,1.50752E7,0.02,0.248,8.03,"September 29, 22",0.00248
2022-09-28,7.71,7.9499998,7.6300001,7.9499998,7.9499998,1.22164E7,1.22164E7,0.24,3.113,7.84333,"September 28, 22",0.03113
2022-09-27,7.3699999,7.4699998,7.27,7.29,7.29,9429300.0,9429300.0,-0.08,-1.085,7.34333,"September 27, 22",-0.01085
2022-09-26,7.1500001,7.3000002,7.0300002,7.1500001,7.1500001,1.02028E7,1.02028E7,0.0,0.0,7.16,"September 26, 22",0.0
2022-09-23,7.3299999,7.4000001,7.0799999,7.1500001,7.1500001,1.01224E7,1.01224E7,-0.18,-2.456,7.21,"September 23, 22",-0.02456
2022-09-22,7.5599999,7.7600002,7.5599999,7.6700001,7.6700001,7734900.0,7734900.0,0.11,1.455,7.66333,"September 22, 22",0.01455
2022-09-21,7.5100002,7.73,7.3499999,7.52,7.52,8447300.0,8447300.0,0.01,0.133,7.53333,"September 21, 22",0.00133
2022-09-20,7.5500002,7.5700002,7.3099999,7.4299998,7.4299998,5980900.0,5980900.0,-0.12,-1.589,7.43667,"September 20, 22",-0.01589
2022-09-19,7.4000001,7.79,7.3800001,7.7800002,7.7800002,9592300.0,9592300.0,0.38,5.135,7.65,"September 19, 22",0.05135
2022-09-16,7.27,7.71,7.2399998,7.5100002,7.5100002,1.64627E7,1.64627E7,0.24,3.301,7.48667,"September 16, 22",0.03301
2022-09-15,7.71,7.8299999,7.46,7.52,7.52,1.088E7,1.088E7,-0.19,-2.464,7.60333,"September 15, 22",-0.02464
2022-09-14,8.0500002,8.1199999,7.8600001,7.8899999,7.7119999,1.05224E7,1.05224E7,-0.338,-4.199,7.89733,"September 14, 22",-0.04199
2022-09-13,8.1400003,8.3000002,7.9899998,8.0,7.8195186,5361600.0,5361600.0,-0.32048,-3.937,8.03651,"September 13, 22",-0.03937
2022-09-12,8.6099997,8.6400003,8.3400002,8.4399996,8.2495918,7658300.0,7658300.0,-0.36041,-4.186,8.40986,"September 12, 22",-0.04186
2022-09-09,8.3000002,8.4499998,8.1999998,8.4399996,8.2495918,9304900.0,9304900.0,-0.05041,-0.607,8.29986,"September 09, 22",-0.00607
2022-09-08,8.0,8.1800003,7.8600001,8.1499996,7.9661341,9916100.0,9916100.0,-0.03387,-0.423,8.00204,"September 08, 22",-0.00423
2022-09-07,7.8600001,8.1400003,7.73,8.1300001,7.9465857,7206200.0,7206200.0,0.08659,1.102,7.93886,"September 07, 22",0.01102
2022-09-06,8.1800003,8.2399998,7.8800001,7.9000001,7.7217746,6534700.0,6534700.0,-0.45823,-5.602,7.94726,"September 06, 22",-0.05602
2022-09-02,8.0100002,8.2799997,7.8600001,8.1700001,7.9856834,7793000.0,7793000.0,-0.02432,-0.304,8.04189,"September 02, 22",-0.00304
2022-09-01,7.8600001,7.9899998,7.75,7.7800002,7.6044822,1.29847E7,1.29847E7,-0.25552,-3.251,7.78149,"September 01, 22",-0.03251
2022-08-31,8.1400003,8.2399998,8.04,8.0900002,7.9074883,5700700.0,5700700.0,-0.23251,-2.856,8.0625,"August 31, 22",-0.02856
2022-08-30,8.46,8.46,8.1599998,8.2299995,8.0443296,8397100.0,8397100.0,-0.41567,-4.913,8.22144,"August 30, 22",-0.04913
2022-08-29,8.4499998,8.6199999,8.29,8.46,8.2691412,1.0537E7,1.0537E7,-0.18086,-2.14,8.39305,"August 29, 22",-0.0214
2022-08-26,8.96,9.0900002,8.46,8.6000004,8.405983,9713100.0,9713100.0,-0.55402,-6.183,8.65199,"August 26, 22",-0.06183
2022-08-25,8.9200001,9.04,8.7600002,9.0,8.796958,9847600.0,9847600.0,-0.12304,-1.379,8.86565,"August 25, 22",-0.01379
2022-08-24,8.7200003,8.8599997,8.6499996,8.8299999,8.6307936,4643200.0,4643200.0,-0.08921,-1.023,8.7136,"August 24, 22",-0.01023
2022-08-23,8.6700001,8.8900003,8.6599998,8.75,8.552598,4651400.0,4651400.0,-0.1174,-1.354,8.70087,"August 23, 22",-0.01354
2022-08-22,8.5500002,8.7399998,8.5299997,8.6599998,8.4646292,2973000.0,2973000.0,-0.08537,-0.998,8.57821,"August 22, 22",-0.00998
2022-08-19,8.7799997,8.8000002,8.6300001,8.6599998,8.4646292,4699900.0,4699900.0,-0.31537,-3.592,8.63154,"August 19, 22",-0.03592
2022-08-18,8.96,9.0100002,8.8199997,8.8900003,8.6894407,4819600.0,4819600.0,-0.27056,-3.02,8.83981,"August 18, 22",-0.0302
2022-08-17,9.1899996,9.25,8.8500004,8.9300003,8.7285376,6546200.0,6546200.0,-0.46146,-5.021,8.94285,"August 17, 22",-0.05021
2022-08-16,9.3100004,9.3800001,9.21,9.29,9.0804157,4343600.0,4343600.0,-0.22958,-2.466,9.22347,"August 16, 22",-0.02466
