date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,5.01,5.105,4.98,5.01,5.01,9112560.0,9112560.0,0.0,0.0,5.03167,"October 25, 22",0.0
2022-10-24,5.07,5.12,5.0101,5.08,5.08,1.0378961E7,1.0378961E7,0.01,0.197,5.07003,"October 24, 22",0.00197
2022-10-21,5.03,5.275,4.995,5.2,5.2,1.3944232E7,1.3944232E7,0.17,3.38,5.15667,"October 21, 22",0.0338
2022-10-20,4.87,5.11,4.86,5.04,5.04,1.2398988E7,1.2398988E7,0.17,3.491,5.00333,"October 20, 22",0.03491
2022-10-19,4.94,4.9898,4.86,4.87,4.87,9010424.0,9010424.0,-0.07,-1.417,4.9066,"October 19, 22",-0.01417
2022-10-18,4.98,5.01,4.86,4.95,4.95,9190088.0,9190088.0,-0.03,-0.602,4.94,"October 18, 22",-0.00602
2022-10-17,4.82,4.9,4.81,4.85,4.85,7853646.0,7853646.0,0.03,0.622,4.85333,"October 17, 22",0.00622
2022-10-14,4.91,4.93,4.72,4.75,4.75,8962493.0,8962493.0,-0.16,-3.259,4.8,"October 14, 22",-0.03259
2022-10-13,4.79,4.98,4.7406,4.93,4.93,1.0258715E7,1.0258715E7,0.14,2.923,4.88353,"October 13, 22",0.02923
2022-10-12,4.93,4.93,4.8,4.83,4.83,4590153.0,4590153.0,-0.1,-2.028,4.85333,"October 12, 22",-0.02028
2022-10-11,4.91,5.0,4.86,4.93,4.93,7341877.0,7341877.0,0.02,0.407,4.93,"October 11, 22",0.00407
2022-10-10,4.97,5.0,4.92,4.92,4.92,9443002.0,9443002.0,-0.05,-1.006,4.94667,"October 10, 22",-0.01006
2022-10-07,4.9,5.03,4.86,4.88,4.88,1.6036967E7,1.6036967E7,-0.02,-0.408,4.92333,"October 07, 22",-0.00408
2022-10-06,4.89,4.97,4.87,4.92,4.92,9714651.0,9714651.0,0.03,0.613,4.92,"October 06, 22",0.00613
2022-10-05,4.89,4.94,4.79,4.88,4.88,1.0117546E7,1.0117546E7,-0.01,-0.204,4.87,"October 05, 22",-0.00204
2022-10-04,4.96,5.04,4.89,4.95,4.95,1.2615792E7,1.2615792E7,-0.01,-0.202,4.96,"October 04, 22",-0.00202
2022-10-03,4.78,4.93,4.75,4.86,4.86,1.1970512E7,1.1970512E7,0.08,1.674,4.84667,"October 03, 22",0.01674
2022-09-30,4.36,4.61,4.34,4.52,4.52,1.0200189E7,1.0200189E7,0.16,3.67,4.49,"September 30, 22",0.0367
2022-09-29,4.37,4.42,4.29,4.39,4.39,1.2867326E7,1.2867326E7,0.02,0.458,4.36667,"September 29, 22",0.00458
2022-09-28,4.42,4.5,4.41,4.46,4.46,1.0671771E7,1.0671771E7,0.04,0.905,4.45667,"September 28, 22",0.00905
2022-09-27,4.39,4.51,4.375,4.45,4.45,1.1448828E7,1.1448828E7,0.06,1.367,4.445,"September 27, 22",0.01367
2022-09-26,4.52,4.57,4.29,4.3,4.3,1.6535152E7,1.6535152E7,-0.22,-4.867,4.38667,"September 26, 22",-0.04867
