date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,68.84,69.71,68.48,69.6,69.6,5965185.0,5965185.0,0.76,1.104,69.26333,"October 25, 22",0.01104
2022-10-24,68.11,69.365,68.09,69.0,69.0,6580433.0,6580433.0,0.89,1.307,68.81833,"October 24, 22",0.01307
2022-10-21,66.18,67.94,66.11,67.79,67.79,7815516.0,7815516.0,1.61,2.433,67.28,"October 21, 22",0.02433
2022-10-20,66.16,66.54,65.7,66.16,66.16,6384460.0,6384460.0,0.0,0.0,66.13333,"October 20, 22",0.0
2022-10-19,66.85,66.97,65.85,66.19,66.19,7058608.0,7058608.0,-0.66,-0.987,66.33667,"October 19, 22",-0.00987
2022-10-18,66.54,67.075,66.44,66.87,66.87,6802488.0,6802488.0,0.33,0.496,66.795,"October 18, 22",0.00496
2022-10-17,66.84,66.93,65.94,66.38,66.38,5798387.0,5798387.0,-0.46,-0.688,66.41667,"October 17, 22",-0.00688
2022-10-14,66.63,67.0,66.02,66.17,66.17,7892960.0,7892960.0,-0.46,-0.69,66.39667,"October 14, 22",-0.0069
2022-10-13,64.46,66.95,64.1,66.46,66.46,7690708.0,7690708.0,2.0,3.103,65.83667,"October 13, 22",0.03103
2022-10-12,65.85,66.37,65.31,65.39,65.39,6406587.0,6406587.0,-0.46,-0.699,65.69,"October 12, 22",-0.00699
2022-10-11,64.495,66.04,64.48,65.67,65.67,7154833.0,7154833.0,1.175,1.822,65.39667,"October 11, 22",0.01822
2022-10-10,64.57,64.85,64.11,64.46,64.46,4327613.0,4327613.0,-0.11,-0.17,64.47333,"October 10, 22",-0.0017
2022-10-07,64.64,65.095,63.96,64.29,64.29,6723448.0,6723448.0,-0.35,-0.541,64.44833,"October 07, 22",-0.00541
2022-10-06,64.89,65.36,64.61,64.95,64.95,5622598.0,5622598.0,0.06,0.092,64.97333,"October 06, 22",9.2E-4
2022-10-05,64.72,65.9675,64.38,65.45,65.45,5802596.0,5802596.0,0.73,1.128,65.26583,"October 05, 22",0.01128
2022-10-04,64.09,65.36,63.6,65.31,65.31,1.1966461E7,1.1966461E7,1.22,1.904,64.75667,"October 04, 22",0.01904
2022-10-03,62.4000015,62.5699997,61.4500008,62.3199997,62.3199997,8094100.0,8094100.0,-0.08,-0.128,62.11333,"October 03, 22",-0.00128
2022-09-30,63.1599998,63.5800018,61.6100006,61.6899986,61.6899986,8794700.0,8794700.0,-1.47,-2.327,62.29333,"September 30, 22",-0.02327
2022-09-29,63.8300018,64.2200012,62.5099983,63.0699997,63.0699997,8431200.0,8431200.0,-0.76,-1.191,63.26667,"September 29, 22",-0.01191
2022-09-28,63.0,64.3700027,62.7099991,63.9300003,63.9300003,7567500.0,7567500.0,0.93,1.476,63.67,"September 28, 22",0.01476
2022-09-27,62.4300003,63.5200005,62.2799988,62.6300011,62.6300011,7125900.0,7125900.0,0.2,0.32,62.81,"September 27, 22",0.0032
2022-09-26,62.5099983,62.9399986,62.1699982,62.3400002,62.3400002,6141300.0,6141300.0,-0.17,-0.272,62.48333,"September 26, 22",-0.00272
2022-09-23,63.4900017,63.7900009,62.2999992,62.8600006,62.8600006,7603800.0,7603800.0,-0.63,-0.992,62.98333,"September 23, 22",-0.00992
2022-09-22,63.3499985,64.3199997,62.9300003,63.7700005,63.7700005,6111800.0,6111800.0,0.42,0.663,63.67333,"September 22, 22",0.00663
2022-09-21,64.5800018,65.5299988,63.4599991,63.5,63.5,8776600.0,8776600.0,-1.08,-1.672,64.16333,"September 21, 22",-0.01672
2022-09-20,65.4100037,65.4800034,63.8899994,64.5800018,64.5800018,6958900.0,6958900.0,-0.83,-1.269,64.65,"September 20, 22",-0.01269
2022-09-19,65.3499985,65.8600006,64.5999985,65.8199997,65.8199997,6162700.0,6162700.0,0.47,0.719,65.42667,"September 19, 22",0.00719
2022-09-16,65.0800018,65.9300003,64.8099976,65.5999985,65.5999985,1.17656E7,1.17656E7,0.52,0.799,65.44667,"September 16, 22",0.00799
2022-09-15,65.5,65.6999969,64.7099991,65.0,65.0,7088500.0,7088500.0,-0.5,-0.763,65.13667,"September 15, 22",-0.00763
2022-09-14,64.4100037,65.4599991,64.4100037,65.1800003,65.1800003,9113200.0,9113200.0,0.77,1.195,65.01667,"September 14, 22",0.01195
2022-09-13,67.4000015,67.4000015,64.9300003,65.0999985,64.3699951,1.17994E7,1.17994E7,-3.03001,-4.496,65.56667,"September 13, 22",-0.04496
2022-09-12,68.4300003,68.8799973,67.4800034,68.0100021,67.2473679,1.87779E7,1.87779E7,-1.18263,-1.728,67.86912,"September 12, 22",-0.01728
2022-09-09,64.9800034,65.7699966,64.8899994,65.2799988,64.5479813,6497000.0,6497000.0,-0.43202,-0.665,65.06933,"September 09, 22",-0.00665
2022-09-08,65.4100037,65.6500015,64.6900024,65.0999985,64.3699951,8278400.0,8278400.0,-1.04001,-1.59,64.90333,"September 08, 22",-0.0159
2022-09-07,63.6699982,64.9599991,63.5600014,64.7900009,64.0634766,9626600.0,9626600.0,0.39348,0.618,64.19449,"September 07, 22",0.00618
2022-09-06,63.7799988,63.8400002,62.7999992,63.3899994,62.6791725,7377500.0,7377500.0,-1.10083,-1.726,63.10639,"September 06, 22",-0.01726
2022-09-02,65.0400009,65.2900009,63.3699989,63.8199997,63.104351,6736800.0,6736800.0,-1.93565,-2.976,63.92145,"September 02, 22",-0.02976
2022-09-01,63.4099998,65.0,63.3199997,64.9499969,64.2216797,6269600.0,6269600.0,0.81168,1.28,64.18056,"September 01, 22",0.0128
2022-08-31,62.7000008,63.9700012,62.7000008,63.4700012,62.7582779,8341600.0,8341600.0,0.05828,0.093,63.14276,"August 31, 22",9.3E-4
2022-08-30,62.5099983,62.6899986,61.7900009,62.5,61.7991524,5584600.0,5584600.0,-0.71085,-1.137,62.09305,"August 30, 22",-0.01137
2022-08-29,62.1300011,62.8600006,61.4799995,62.4500008,61.7497139,5220000.0,5220000.0,-0.38029,-0.612,62.0299,"August 29, 22",-0.00612
2022-08-26,63.5900002,63.6199989,62.3499985,62.3699989,61.6706085,5501300.0,5501300.0,-1.91939,-3.018,62.54687,"August 26, 22",-0.03018
2022-08-25,63.8499985,63.9300003,63.1800003,63.5900002,62.8769302,3784700.0,3784700.0,-0.97307,-1.524,63.32898,"August 25, 22",-0.01524
2022-08-24,63.7000008,63.8100014,63.2000008,63.6199989,62.9065933,3808000.0,3808000.0,-0.79341,-1.246,63.30553,"August 24, 22",-0.01246
2022-08-23,64.3600006,64.3700027,63.4700012,63.6800003,62.9659233,4723700.0,4723700.0,-1.39408,-2.166,63.60198,"August 23, 22",-0.02166
2022-08-22,65.2099991,65.25,64.2300034,64.3600006,63.638298,5224800.0,5224800.0,-1.5717,-2.41,64.37277,"August 22, 22",-0.0241
2022-08-19,65.0199966,65.8000031,64.9199982,65.3399963,64.6072998,5258900.0,5258900.0,-0.4127,-0.635,65.1091,"August 19, 22",-0.00635
2022-08-18,65.9599991,66.0,64.7099991,65.1800003,64.4491043,5178100.0,5178100.0,-1.51089,-2.291,65.05303,"August 18, 22",-0.02291
2022-08-17,65.9700012,66.9000015,65.8199997,66.0199966,65.2796783,6515300.0,6515300.0,-0.69032,-1.046,65.99989,"August 17, 22",-0.01046
2022-08-16,66.1600037,66.4199982,65.6500015,66.3300018,65.5862045,7067800.0,7067800.0,-0.5738,-0.867,65.8854,"August 16, 22",-0.00867
2022-08-15,63.8499985,66.3000031,63.6599998,66.2099991,65.4675522,1.2381E7,1.2381E7,1.61755,2.533,65.14252,"August 15, 22",0.02533
2022-08-12,62.7099991,62.9900017,62.1599998,62.9599991,62.253994,3997800.0,3997800.0,-0.45601,-0.727,62.468,"August 12, 22",-0.00727
2022-08-11,62.7799988,63.4099998,62.3699989,62.4500008,61.7497139,5216500.0,5216500.0,-1.03028,-1.641,62.5099,"August 11, 22",-0.01641
2022-08-10,62.4900017,63.1899986,62.1100006,63.1399994,62.4319763,8275000.0,8275000.0,-0.05803,-0.093,62.57733,"August 10, 22",-9.3E-4
2022-08-09,61.5800018,62.0499992,61.3800011,62.0,61.30476,5153400.0,5153400.0,-0.27524,-0.447,61.57825,"August 09, 22",-0.00447
2022-08-08,61.0,61.7099991,60.8100014,61.5999985,60.9092445,5857600.0,5857600.0,-0.09076,-0.149,61.14308,"August 08, 22",-0.00149
2022-08-05,61.7900009,61.8400002,60.6199989,61.0900002,60.4049644,6039600.0,6039600.0,-1.38504,-2.242,60.95499,"August 05, 22",-0.02242
2022-08-04,62.1399994,62.9900017,61.8300018,61.9099998,61.2157707,5520500.0,5520500.0,-0.92423,-1.487,62.01192,"August 04, 22",-0.01487
2022-08-03,60.8699989,63.6500015,60.6399994,62.2700005,61.5717316,1.00667E7,1.00667E7,0.70173,1.153,61.95391,"August 03, 22",0.01153
2022-08-02,59.7400017,60.3199997,59.2900009,59.5400009,58.872345,5981600.0,5981600.0,-0.86766,-1.452,59.49412,"August 02, 22",-0.01452
2022-08-01,59.7700005,60.1800003,59.2700005,59.5999985,58.9316711,6742400.0,6742400.0,-0.83833,-1.403,59.46056,"August 01, 22",-0.01403
2022-07-29,60.3300018,60.5299988,59.5099983,59.75,59.0799904,1.00637E7,1.00637E7,-1.25001,-2.072,59.70666,"July 29, 22",-0.02072
2022-07-28,61.0,61.1100006,59.6199989,60.4000015,59.722702,6815000.0,6815000.0,-1.2773,-2.094,60.1509,"July 28, 22",-0.02094
2022-07-27,60.3800011,61.3699989,59.6899986,60.9000015,60.2170982,7935600.0,7935600.0,-0.1629,-0.27,60.4257,"July 27, 22",-0.0027
2022-07-26,60.7000008,61.25,60.3199997,60.6199989,59.9402351,5597200.0,5597200.0,-0.75977,-1.252,60.50341,"July 26, 22",-0.01252
2022-07-25,61.2299995,61.25,60.3499985,60.75,60.068779,4990000.0,4990000.0,-1.16122,-1.896,60.55626,"July 25, 22",-0.01896
2022-07-22,61.2700005,61.7999992,60.5800018,60.7999992,60.1182175,4588800.0,4588800.0,-1.15178,-1.88,60.83274,"July 22, 22",-0.0188
2022-07-21,61.4000015,61.7000008,60.75,61.0099983,60.3258591,6007700.0,6007700.0,-1.07414,-1.749,60.92529,"July 21, 22",-0.01749
2022-07-20,62.1800003,62.1800003,60.8300018,61.5499992,60.8598061,5378500.0,5378500.0,-1.32019,-2.123,61.28994,"July 20, 22",-0.02123
2022-07-19,61.6599998,62.2700005,61.2799988,62.1199989,61.4234123,6080600.0,6080600.0,-0.23659,-0.384,61.6578,"July 19, 22",-0.00384
2022-07-18,62.6800003,62.6800003,60.6399994,60.9000015,60.2170982,5608300.0,5608300.0,-2.4629,-3.929,61.17903,"July 18, 22",-0.03929
2022-07-15,62.1300011,62.6199989,61.6800003,62.5999985,61.8980293,5908900.0,5908900.0,-0.23197,-0.373,62.06601,"July 15, 22",-0.00373
2022-07-14,61.8300018,61.9099998,61.2700005,61.8100014,61.1168938,4969500.0,4969500.0,-0.71311,-1.153,61.4323,"July 14, 22",-0.01153
2022-07-13,61.9199982,62.7299995,61.5999985,62.4599991,61.7596016,6162900.0,6162900.0,-0.1604,-0.259,62.02987,"July 13, 22",-0.00259
