date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,77.42,78.55,76.97,78.3,78.3,3389819.0,3389819.0,0.88,1.137,77.94,"October 25, 22",0.01137
2022-10-24,77.67,78.4144,77.14,77.62,77.62,3079132.0,3079132.0,-0.05,-0.064,77.7248,"October 24, 22",-6.4E-4
2022-10-21,76.6,77.64,76.34,77.04,77.04,2797943.0,2797943.0,0.44,0.574,77.00667,"October 21, 22",0.00574
2022-10-20,77.86,78.16,76.56,76.67,76.67,3002954.0,3002954.0,-1.19,-1.528,77.13,"October 20, 22",-0.01528
2022-10-19,78.39,78.9,77.65,78.13,78.13,2283020.0,2283020.0,-0.26,-0.332,78.22667,"October 19, 22",-0.00332
2022-10-18,77.77,78.46,77.58,78.27,78.27,2655269.0,2655269.0,0.5,0.643,78.10333,"October 18, 22",0.00643
2022-10-17,78.15,78.52,76.85,77.41,77.41,3490479.0,3490479.0,-0.74,-0.947,77.59333,"October 17, 22",-0.00947
2022-10-14,79.08,79.28,77.5,77.71,77.71,2928762.0,2928762.0,-1.37,-1.732,78.16333,"October 14, 22",-0.01732
2022-10-13,76.92,79.13,76.71,78.82,78.82,3290558.0,3290558.0,1.9,2.47,78.22,"October 13, 22",0.0247
2022-10-12,77.93,78.23,77.33,77.36,77.36,3045854.0,3045854.0,-0.57,-0.731,77.64,"October 12, 22",-0.00731
2022-10-11,76.44,77.94,76.44,77.39,77.39,3173235.0,3173235.0,0.95,1.243,77.25667,"October 11, 22",0.01243
2022-10-10,75.74,76.75,75.56,76.41,76.41,3246036.0,3246036.0,0.67,0.885,76.24,"October 10, 22",0.00885
2022-10-07,75.0599976,75.6900024,74.4199982,75.3499985,75.3499985,3755700.0,3755700.0,0.29,0.386,75.15333,"October 07, 22",0.00386
2022-10-06,76.9899979,77.1999969,74.6299973,74.9700012,74.9700012,5449200.0,5449200.0,-2.02,-2.624,75.6,"October 06, 22",-0.02624
2022-10-05,78.3899994,78.4899979,77.1500015,77.6900024,77.1500015,2795200.0,2795200.0,-1.24,-1.582,77.59667,"October 05, 22",-0.01582
2022-10-04,78.5999985,79.5800018,77.8199997,78.5,77.9543686,4093500.0,4093500.0,-0.64563,-0.821,78.45146,"October 04, 22",-0.00821
2022-10-03,77.0599976,78.7200012,76.5299988,78.4800034,77.9345169,4069100.0,4069100.0,0.87452,1.135,77.72817,"October 03, 22",0.01135
2022-09-30,77.5,77.9000015,76.4599991,76.6100006,76.077507,4100700.0,4100700.0,-1.42249,-1.835,76.8125,"September 30, 22",-0.01835
