date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,6.4,6.7299,6.35,6.58,6.58,1914278.0,1914278.0,0.18,2.812,6.5533,"October 25, 22",0.02812
2022-10-24,6.84,6.84,6.38,6.4,6.4,1229601.0,1229601.0,-0.44,-6.433,6.54,"October 24, 22",-0.06433
2022-10-21,6.81,6.93,6.66,6.86,6.86,731848.0,731848.0,0.05,0.734,6.81667,"October 21, 22",0.00734
2022-10-20,6.89,7.27,6.8,6.805,6.805,711143.0,711143.0,-0.085,-1.234,6.95833,"October 20, 22",-0.01234
2022-10-19,7.44,7.48,6.9,6.94,6.94,772042.0,772042.0,-0.5,-6.72,7.10667,"October 19, 22",-0.0672
2022-10-18,7.61,7.85,7.44,7.47,7.47,719451.0,719451.0,-0.14,-1.84,7.58667,"October 18, 22",-0.0184
2022-10-17,7.18,7.44,7.09,7.37,7.37,640272.0,640272.0,0.19,2.646,7.3,"October 17, 22",0.02646
2022-10-14,7.46,7.55,7.18,7.22,7.22,512763.0,512763.0,-0.24,-3.217,7.31667,"October 14, 22",-0.03217
2022-10-13,7.1,7.39,6.92,7.35,7.35,797442.0,797442.0,0.25,3.521,7.22,"October 13, 22",0.03521
2022-10-12,7.52,7.58,7.13,7.37,7.37,989171.0,989171.0,-0.15,-1.995,7.36,"October 12, 22",-0.01995
2022-10-11,8.06,8.1,7.49,7.55,7.55,1032550.0,1032550.0,-0.51,-6.328,7.71333,"October 11, 22",-0.06328
2022-10-10,8.16,8.39,7.99,8.09,8.09,500203.0,500203.0,-0.07,-0.858,8.15667,"October 10, 22",-0.00858
2022-10-07,8.98,9.01,7.84,8.24,8.24,1395731.0,1395731.0,-0.74,-8.241,8.36333,"October 07, 22",-0.08241
2022-10-06,8.71,9.37,8.67,9.16,9.16,1192010.0,1192010.0,0.45,5.166,9.06667,"October 06, 22",0.05166
2022-10-05,8.48,8.73,8.23,8.69,8.69,635248.0,635248.0,0.21,2.476,8.55,"October 05, 22",0.02476
2022-10-04,8.27,8.834,8.27,8.78,8.78,956291.0,956291.0,0.51,6.167,8.628,"October 04, 22",0.06167
2022-10-03,8.08,8.17,7.82,8.07,8.07,807728.0,807728.0,-0.01,-0.124,8.02,"October 03, 22",-0.00124
2022-09-30,8.61,8.64,7.93,7.96,7.96,920540.0,920540.0,-0.65,-7.549,8.17667,"September 30, 22",-0.07549
2022-09-29,8.865,8.92,8.46,8.74,8.74,830541.0,830541.0,-0.125,-1.41,8.70667,"September 29, 22",-0.0141
2022-09-28,9.17,9.29,9.04,9.11,9.11,563205.0,563205.0,-0.06,-0.654,9.14667,"September 28, 22",-0.00654
2022-09-27,9.24,9.702,9.16,9.19,9.19,558704.0,558704.0,-0.05,-0.541,9.35067,"September 27, 22",-0.00541
2022-09-26,9.17,9.56,8.97,8.99,8.99,688034.0,688034.0,-0.18,-1.963,9.17333,"September 26, 22",-0.01963
2022-09-23,9.31,9.42,9.1,9.26,9.26,643911.0,643911.0,-0.05,-0.537,9.26,"September 23, 22",-0.00537
2022-09-22,10.1,10.17,9.495,9.54,9.54,735317.0,735317.0,-0.56,-5.545,9.735,"September 22, 22",-0.05545
2022-09-21,10.19,10.58,10.11,10.17,10.17,524598.0,524598.0,-0.02,-0.196,10.28667,"September 21, 22",-0.00196
2022-09-20,10.07,10.4,10.05,10.18,10.18,645738.0,645738.0,0.11,1.092,10.21,"September 20, 22",0.01092
2022-09-19,10.44,10.52,10.06,10.32,10.32,743641.0,743641.0,-0.12,-1.149,10.3,"September 19, 22",-0.01149
2022-09-16,10.84,10.9,10.55,10.73,10.73,2129302.0,2129302.0,-0.11,-1.015,10.72667,"September 16, 22",-0.01015
2022-09-15,12.42,12.66,11.045,11.13,11.13,1413004.0,1413004.0,-1.29,-10.386,11.61167,"September 15, 22",-0.10386
2022-09-14,12.2,12.5,11.5833,12.48,12.48,921324.0,921324.0,0.28,2.295,12.18777,"September 14, 22",0.02295
2022-09-13,11.57,12.195,11.17,12.16,12.16,1047806.0,1047806.0,0.59,5.099,11.84167,"September 13, 22",0.05099
2022-09-12,11.42,12.17,11.42,12.12,12.12,770733.0,770733.0,0.7,6.13,11.90333,"September 12, 22",0.0613
2022-09-09,10.86,11.36,10.86,11.31,11.31,579298.0,579298.0,0.45,4.144,11.17667,"September 09, 22",0.04144
2022-09-08,10.74,10.76,10.26,10.74,10.74,447444.0,447444.0,0.0,0.0,10.58667,"September 08, 22",0.0
2022-09-07,10.23,10.89,10.23,10.87,10.87,504613.0,504613.0,0.64,6.256,10.66333,"September 07, 22",0.06256
2022-09-06,11.01,11.06,10.38,10.38,10.38,634566.0,634566.0,-0.63,-5.722,10.60667,"September 06, 22",-0.05722
2022-09-02,10.68,11.33,10.58,11.05,11.05,1069761.0,1069761.0,0.37,3.464,10.98667,"September 02, 22",0.03464
2022-09-01,9.77,10.29,9.31,10.28,10.28,944306.0,944306.0,0.51,5.22,9.96,"September 01, 22",0.0522
2022-08-31,10.1,10.3945,9.9,9.91,9.91,543195.0,543195.0,-0.19,-1.881,10.06817,"August 31, 22",-0.01881
2022-08-30,10.29,10.56,9.87,10.01,10.01,586959.0,586959.0,-0.28,-2.721,10.14667,"August 30, 22",-0.02721
2022-08-29,9.96,10.23,9.915,10.15,10.15,620585.0,620585.0,0.19,1.908,10.09833,"August 29, 22",0.01908
2022-08-26,10.6,10.65,9.95,10.11,10.11,684339.0,684339.0,-0.49,-4.623,10.23667,"August 26, 22",-0.04623
2022-08-25,10.26,10.7,10.25,10.56,10.56,563633.0,563633.0,0.3,2.924,10.50333,"August 25, 22",0.02924
2022-08-24,10.29,10.52,10.17,10.23,10.23,504540.0,504540.0,-0.06,-0.583,10.30667,"August 24, 22",-0.00583
2022-08-23,10.65,10.78,10.25,10.35,10.35,511937.0,511937.0,-0.3,-2.817,10.46,"August 23, 22",-0.02817
2022-08-22,10.66,10.85,10.28,10.46,10.46,767750.0,767750.0,-0.2,-1.876,10.53,"August 22, 22",-0.01876
2022-08-19,11.19,11.26,10.96,10.98,10.98,696959.0,696959.0,-0.21,-1.877,11.06667,"August 19, 22",-0.01877
2022-08-18,12.03,12.11,11.25,11.55,11.55,792032.0,792032.0,-0.48,-3.99,11.63667,"August 18, 22",-0.0399
