date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,5.43,5.75,5.41,5.74,5.74,1748897.0,1748897.0,0.31,5.709,5.63333,"October 25, 22",0.05709
2022-10-24,5.41,5.48,5.34,5.45,5.45,991968.0,991968.0,0.04,0.739,5.42333,"October 24, 22",0.00739
2022-10-21,5.16,5.46,5.13,5.42,5.42,1116381.0,1116381.0,0.26,5.039,5.33667,"October 21, 22",0.05039
2022-10-20,5.18,5.37,5.13,5.14,5.14,1078834.0,1078834.0,-0.04,-0.772,5.21333,"October 20, 22",-0.00772
2022-10-19,5.29,5.38,5.075,5.17,5.17,870102.0,870102.0,-0.12,-2.268,5.20833,"October 19, 22",-0.02268
2022-10-18,5.45,5.51,5.285,5.38,5.38,991821.0,991821.0,-0.07,-1.284,5.39167,"October 18, 22",-0.01284
2022-10-17,5.38,5.52,5.28,5.31,5.31,1381668.0,1381668.0,-0.07,-1.301,5.37,"October 17, 22",-0.01301
2022-10-14,5.59,5.74,5.17,5.19,5.19,1196489.0,1196489.0,-0.4,-7.156,5.36667,"October 14, 22",-0.07156
2022-10-13,5.29,5.62,5.205,5.55,5.55,1479567.0,1479567.0,0.26,4.915,5.45833,"October 13, 22",0.04915
2022-10-12,5.52,5.52,5.35,5.45,5.45,1082390.0,1082390.0,-0.07,-1.268,5.44,"October 12, 22",-0.01268
2022-10-11,5.55,5.66,5.445,5.52,5.52,1135463.0,1135463.0,-0.03,-0.541,5.54167,"October 11, 22",-0.00541
2022-10-10,5.86,5.95,5.62,5.63,5.63,1020568.0,1020568.0,-0.23,-3.925,5.73333,"October 10, 22",-0.03925
2022-10-07,6.02,6.02,5.76,5.8,5.8,1364505.0,1364505.0,-0.22,-3.654,5.86,"October 07, 22",-0.03654
2022-10-06,6.2,6.26,6.1,6.13,6.13,1216720.0,1216720.0,-0.07,-1.129,6.16333,"October 06, 22",-0.01129
2022-10-05,6.19,6.32,6.11,6.25,6.25,1537844.0,1537844.0,0.06,0.969,6.22667,"October 05, 22",0.00969
2022-10-04,5.89,6.37,5.88,6.29,6.29,2834686.0,2834686.0,0.4,6.791,6.18,"October 04, 22",0.06791
2022-10-03,5.43,5.71,5.32,5.63,5.63,1110661.0,1110661.0,0.2,3.683,5.55333,"October 03, 22",0.03683
2022-09-30,5.26,5.44,5.14,5.28,5.28,1097020.0,1097020.0,0.02,0.38,5.28667,"September 30, 22",0.0038
2022-09-29,5.31,5.33,5.06,5.28,5.28,1385583.0,1385583.0,-0.03,-0.565,5.22333,"September 29, 22",-0.00565
2022-09-28,5.33,5.415,5.23,5.38,5.38,1485801.0,1485801.0,0.05,0.938,5.34167,"September 28, 22",0.00938
2022-09-27,5.26,5.325,5.065,5.28,5.28,1351912.0,1351912.0,0.02,0.38,5.22333,"September 27, 22",0.0038
