date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,34.85,36.11,34.0929,34.98,34.98,2.0453195E7,2.0453195E7,0.13,0.373,35.06097,"October 25, 22",0.00373
2022-10-24,34.08,34.75,33.77,34.58,34.58,1.7077765E7,1.7077765E7,0.5,1.467,34.36667,"October 24, 22",0.01467
2022-10-21,31.98,34.15,31.92,33.88,33.88,1.7533794E7,1.7533794E7,1.9,5.941,33.31667,"October 21, 22",0.05941
2022-10-20,32.51,32.53,31.28,31.66,31.66,1.1093971E7,1.1093971E7,-0.85,-2.615,31.82333,"October 20, 22",-0.02615
2022-10-19,30.96,32.07,30.76,31.96,31.96,1.233332E7,1.233332E7,1.0,3.23,31.59667,"October 19, 22",0.0323
2022-10-18,30.39,30.89,29.61,30.46,30.46,8792357.0,8792357.0,0.07,0.23,30.32,"October 18, 22",0.0023
2022-10-17,30.15,30.69,29.585,29.99,29.99,6460976.0,6460976.0,-0.16,-0.531,30.08833,"October 17, 22",-0.00531
2022-10-14,30.57,30.99,29.39,29.41,29.41,1.0958176E7,1.0958176E7,-1.16,-3.795,29.93,"October 14, 22",-0.03795
2022-10-13,29.51,31.46,29.41,31.11,31.11,1.4017465E7,1.4017465E7,1.6,5.422,30.66,"October 13, 22",0.05422
2022-10-12,29.34,30.04,28.9,29.8,29.8,8906503.0,8906503.0,0.46,1.568,29.58,"October 12, 22",0.01568
2022-10-11,28.92,30.48,28.71,29.56,29.56,1.0885576E7,1.0885576E7,0.64,2.213,29.58333,"October 11, 22",0.02213
2022-10-10,30.34,30.91,29.37,29.55,29.55,9532179.0,9532179.0,-0.79,-2.604,29.94333,"October 10, 22",-0.02604
2022-10-07,30.0,31.12,29.37,30.41,30.41,1.7469605E7,1.7469605E7,0.41,1.367,30.3,"October 07, 22",0.01367
2022-10-06,28.92,30.05,28.92,29.81,29.81,1.3542497E7,1.3542497E7,0.89,3.077,29.59333,"October 06, 22",0.03077
2022-10-05,28.0,29.47,27.86,29.24,29.24,1.4893441E7,1.4893441E7,1.24,4.429,28.85667,"October 05, 22",0.04429
