date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,136.25,137.99,133.92,135.75,135.75,2183683.0,2183683.0,-0.5,-0.367,135.88667,"October 25, 22",-0.00367
2022-10-24,135.8,138.0,134.58,136.26,136.26,1714285.0,1714285.0,0.46,0.339,136.28,"October 24, 22",0.00339
2022-10-21,130.42,135.72,130.06,135.58,135.58,2238584.0,2238584.0,5.16,3.956,133.78667,"October 21, 22",0.03956
2022-10-20,130.25,133.31,129.07,130.15,130.15,2180201.0,2180201.0,-0.1,-0.077,130.84333,"October 20, 22",-7.7E-4
2022-10-19,125.92,130.33,125.63,129.0,129.0,1987783.0,1987783.0,3.08,2.446,128.32,"October 19, 22",0.02446
2022-10-18,126.23,128.36,123.75,125.86,125.86,1164101.0,1164101.0,-0.37,-0.293,125.99,"October 18, 22",-0.00293
2022-10-17,124.81,127.34,124.52,124.91,124.91,1685235.0,1685235.0,0.1,0.08,125.59,"October 17, 22",8.0E-4
2022-10-14,127.61,129.67,122.45,122.59,122.59,1476515.0,1476515.0,-5.02,-3.934,124.90333,"October 14, 22",-0.03934
2022-10-13,123.67,130.41,122.92,129.1,129.1,2140256.0,2140256.0,5.43,4.391,127.47667,"October 13, 22",0.04391
2022-10-12,122.84,126.39,121.86,125.65,125.65,1312922.0,1312922.0,2.81,2.288,124.63333,"October 12, 22",0.02288
2022-10-11,124.21,126.78,123.085,124.16,124.16,1740873.0,1740873.0,-0.05,-0.04,124.675,"October 11, 22",-4.0E-4
2022-10-10,128.45,130.79,125.5,126.78,126.78,1848735.0,1848735.0,-1.67,-1.3,127.69,"October 10, 22",-0.013
2022-10-07,130.4,131.83,127.51,128.2,128.2,3075265.0,3075265.0,-2.2,-1.687,129.18,"October 07, 22",-0.01687
2022-10-06,125.53,130.77,125.53,130.38,130.38,3009899.0,3009899.0,4.85,3.864,128.89333,"October 06, 22",0.03864
2022-10-05,124.33,128.3,122.27,126.91,126.91,2285527.0,2285527.0,2.58,2.075,125.82667,"October 05, 22",0.02075
2022-10-04,119.24,124.205,118.85,124.09,124.09,2542107.0,2542107.0,4.85,4.067,122.38167,"October 04, 22",0.04067
2022-10-03,113.4,117.54,113.4,116.8,116.8,2408999.0,2408999.0,3.4,2.998,115.91333,"October 03, 22",0.02998
2022-09-30,107.9899979,110.2099991,106.6600037,108.9899979,108.9899979,2465500.0,2465500.0,1.0,0.926,108.62,"September 30, 22",0.00926
2022-09-29,107.4000015,109.9300003,105.3000031,109.1399994,109.1399994,2661600.0,2661600.0,1.74,1.62,108.12333,"September 29, 22",0.0162
2022-09-28,102.0,108.3199997,101.6200027,108.3000031,108.3000031,2301400.0,2301400.0,6.3,6.176,106.08,"September 28, 22",0.06176
2022-09-27,103.1299973,103.6200027,100.4899979,101.0899963,101.0899963,1983000.0,1983000.0,-2.04,-1.978,101.73333,"September 27, 22",-0.01978
2022-09-26,103.7399979,104.6999969,100.3399963,100.7399979,100.7399979,2317800.0,2317800.0,-3.0,-2.892,101.92666,"September 26, 22",-0.02892
2022-09-23,109.0599976,109.5199966,102.75,104.5999985,104.5999985,2945300.0,2945300.0,-4.46,-4.089,105.62333,"September 23, 22",-0.04089
2022-09-22,119.0400009,119.9199982,114.3199997,114.4000015,114.4000015,1956800.0,1956800.0,-4.64,-3.898,116.21333,"September 22, 22",-0.03898
2022-09-21,122.0100021,122.5999985,116.8499985,116.9199982,116.9199982,1333500.0,1333500.0,-5.09,-4.172,118.79,"September 21, 22",-0.04172
2022-09-20,119.4899979,120.0100021,117.4000015,119.3099976,119.3099976,1910000.0,1910000.0,-0.18,-0.151,118.90667,"September 20, 22",-0.00151
2022-09-19,117.7099991,121.2600021,117.0,120.2699966,120.2699966,2209100.0,2209100.0,2.56,2.175,119.51,"September 19, 22",0.02175
2022-09-16,123.2099991,123.7399979,119.3300018,121.6399994,121.6399994,4050800.0,4050800.0,-1.57,-1.274,121.57,"September 16, 22",-0.01274
2022-09-15,125.1999969,126.3000031,122.3799973,124.9499969,124.5749969,2471000.0,2471000.0,-0.625,-0.499,124.41833,"September 15, 22",-0.00499
2022-09-14,125.5299988,130.2700043,124.7399979,128.0899963,127.705574,2677800.0,2677800.0,2.17558,1.733,127.57186,"September 14, 22",0.01733
2022-09-13,125.4499969,128.25,123.1200027,123.6999969,123.3287506,1788800.0,1788800.0,-2.12125,-1.691,124.89958,"September 13, 22",-0.01691
2022-09-12,124.5899963,127.8399963,123.8700027,126.9199982,126.5390854,2046800.0,2046800.0,1.94909,1.564,126.08303,"September 12, 22",0.01564
2022-09-09,120.6500015,123.0800018,119.8700027,122.4700012,122.1024399,1468700.0,1468700.0,1.45244,1.204,121.68415,"September 09, 22",0.01204
2022-09-08,118.7399979,119.0299988,116.2600021,118.0999985,117.7455521,2191600.0,2191600.0,-0.99445,-0.838,117.67852,"September 08, 22",-0.00838
2022-09-07,116.4300003,118.8199997,115.5,117.9599991,117.6059723,2047200.0,2047200.0,1.17597,1.01,117.30866,"September 07, 22",0.0101
2022-09-06,121.8099976,122.5800018,118.5,119.4400024,119.0815353,1400400.0,1400400.0,-2.72846,-2.24,120.05385,"September 06, 22",-0.0224
2022-09-02,120.0,121.7799988,118.7099991,120.9100037,120.5471268,1860000.0,1860000.0,0.54713,0.456,120.34571,"September 02, 22",0.00456
2022-09-01,118.3099976,118.8300018,115.5899963,116.4499969,116.100502,1460000.0,1460000.0,-2.2095,-1.868,116.84017,"September 01, 22",-0.01868
2022-08-31,119.1100006,123.5599976,118.1699982,120.7799988,120.417511,2093400.0,2093400.0,1.30751,1.098,120.71584,"August 31, 22",0.01098
2022-08-30,124.1900024,124.6299973,120.7300034,122.1200027,121.7534943,1497300.0,1497300.0,-2.43651,-1.962,122.37116,"August 30, 22",-0.01962
2022-08-29,124.1999969,129.0800018,123.8799973,126.6100006,126.2300186,1748500.0,1748500.0,2.03002,1.634,126.39667,"August 29, 22",0.01634
2022-08-26,124.6299973,126.5500031,122.8000031,124.5999985,124.2260437,1137500.0,1137500.0,-0.40395,-0.324,124.52535,"August 26, 22",-0.00324
2022-08-25,124.2399979,124.6699982,123.0400009,124.6500015,124.2759018,997200.0,997200.0,0.0359,0.029,123.9953,"August 25, 22",2.9E-4
2022-08-24,120.2900009,123.4199982,119.8199997,123.1299973,122.7604599,1118400.0,1118400.0,2.47046,2.054,122.00015,"August 24, 22",0.02054
2022-08-23,118.8000031,121.8399963,118.3199997,120.1399994,119.7794342,1067600.0,1067600.0,0.97943,0.824,119.97981,"August 23, 22",0.00824
