date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,2.7,2.81,2.7,2.76,2.76,4371993.0,4371993.0,0.06,2.222,2.75667,"October 25, 22",0.02222
2022-10-24,2.7,2.73,2.64,2.72,2.72,4360179.0,4360179.0,0.02,0.741,2.69667,"October 24, 22",0.00741
2022-10-21,2.67,2.78,2.625,2.78,2.78,4805359.0,4805359.0,0.11,4.12,2.72833,"October 21, 22",0.0412
2022-10-20,2.55,2.71,2.55,2.61,2.61,4939294.0,4939294.0,0.06,2.353,2.62333,"October 20, 22",0.02353
2022-10-19,2.64,2.68,2.6,2.61,2.61,2960297.0,2960297.0,-0.03,-1.136,2.63,"October 19, 22",-0.01136
2022-10-18,2.78,2.79,2.68,2.71,2.71,4744533.0,4744533.0,-0.07,-2.518,2.72667,"October 18, 22",-0.02518
2022-10-17,2.65,2.84,2.63,2.75,2.75,8729852.0,8729852.0,0.1,3.774,2.74,"October 17, 22",0.03774
2022-10-14,2.64,2.66,2.47,2.51,2.51,7722737.0,7722737.0,-0.13,-4.924,2.54667,"October 14, 22",-0.04924
2022-10-13,2.55,2.66,2.495,2.61,2.61,6082325.0,6082325.0,0.06,2.353,2.58833,"October 13, 22",0.02353
2022-10-12,2.76,2.8,2.6700001,2.6900001,2.677,4719800.0,4719800.0,-0.083,-3.007,2.71567,"October 12, 22",-0.03007
2022-10-11,2.8099999,2.9000001,2.75,2.75,2.7367101,5874600.0,5874600.0,-0.07329,-2.608,2.79557,"October 11, 22",-0.02608
2022-10-10,2.78,2.8399999,2.74,2.76,2.7466617,4412900.0,4412900.0,-0.03334,-1.199,2.77555,"October 10, 22",-0.01199
2022-10-07,2.9100001,2.95,2.8199999,2.8399999,2.8262751,9047300.0,9047300.0,-0.08372,-2.877,2.86543,"October 07, 22",-0.02877
2022-10-06,2.8499999,2.9100001,2.8,2.8599999,2.8461785,5623300.0,5623300.0,-0.00382,-0.134,2.85206,"October 06, 22",-0.00134
2022-10-05,2.79,2.8299999,2.71,2.77,2.7566135,7167700.0,7167700.0,-0.03339,-1.197,2.76554,"October 05, 22",-0.01197
2022-10-04,2.72,2.9000001,2.7,2.8699999,2.8561301,1.27298E7,1.27298E7,0.13613,5.005,2.81871,"October 04, 22",0.05005
2022-10-03,2.48,2.5899999,2.4400001,2.5799999,2.5675316,9414300.0,9414300.0,0.08753,3.529,2.53251,"October 03, 22",0.03529
2022-09-30,2.3800001,2.46,2.3399999,2.4300001,2.4182568,7375000.0,7375000.0,0.03826,1.608,2.40609,"September 30, 22",0.01608
2022-09-29,2.3099999,2.3599999,2.27,2.3599999,2.3485947,6418200.0,6418200.0,0.03859,1.671,2.3262,"September 29, 22",0.01671
2022-09-28,2.25,2.3499999,2.25,2.3199999,2.3087881,8542200.0,8542200.0,0.05879,2.613,2.30293,"September 28, 22",0.02613
2022-09-27,2.1500001,2.24,2.1500001,2.2,2.1893682,8592500.0,8592500.0,0.03937,1.831,2.19312,"September 27, 22",0.01831
2022-09-26,1.98,2.0999999,1.97,2.01,2.0002863,1.08628E7,1.08628E7,0.02029,1.025,2.02343,"September 26, 22",0.01025
2022-09-23,1.95,2.03,1.9400001,2.0,1.9903346,1.96592E7,1.96592E7,0.04033,2.068,1.98678,"September 23, 22",0.02068
2022-09-22,2.0999999,2.1600001,2.0899999,2.1300001,2.1197064,6481700.0,6481700.0,0.01971,0.939,2.12324,"September 22, 22",0.00939
2022-09-21,2.1199999,2.23,2.0799999,2.1300001,2.1197064,7542800.0,7542800.0,-2.9E-4,-0.014,2.14324,"September 21, 22",-1.4E-4
2022-09-20,2.0999999,2.1199999,2.0799999,2.1199999,2.1097546,6614600.0,6614600.0,0.00975,0.464,2.10325,"September 20, 22",0.00464
2022-09-19,2.0999999,2.1900001,2.0799999,2.1700001,2.1595132,7245500.0,7245500.0,0.05951,2.834,2.14317,"September 19, 22",0.02834
2022-09-16,2.02,2.1700001,2.0,2.1700001,2.1595132,1.49879E7,1.49879E7,0.13951,6.906,2.10984,"September 16, 22",0.06906
2022-09-15,2.1400001,2.1700001,2.0699999,2.0999999,2.0898514,1.12522E7,1.12522E7,-0.05015,-2.343,2.10995,"September 15, 22",-0.02343
2022-09-14,2.1900001,2.24,2.1600001,2.1900001,2.1794164,6453900.0,6453900.0,-0.01058,-0.483,2.19314,"September 14, 22",-0.00483
2022-09-13,2.22,2.28,2.1900001,2.1900001,2.1794164,5830700.0,5830700.0,-0.04058,-1.828,2.21647,"September 13, 22",-0.01828
2022-09-12,2.3299999,2.4200001,2.3,2.3599999,2.3485947,9429200.0,9429200.0,0.01859,0.798,2.3562,"September 12, 22",0.00798
2022-09-09,2.27,2.4000001,2.26,2.3900001,2.3784499,9356800.0,9356800.0,0.10845,4.778,2.34615,"September 09, 22",0.04778
2022-09-08,2.27,2.29,2.1600001,2.23,2.219223,1.00252E7,1.00252E7,-0.05078,-2.237,2.22307,"September 08, 22",-0.02237
2022-09-07,2.3299999,2.4300001,2.3,2.4000001,2.3884017,5938400.0,5938400.0,0.0584,2.506,2.3728,"September 07, 22",0.02506
2022-09-06,2.46,2.51,2.3299999,2.3499999,2.3386431,6428100.0,6428100.0,-0.12136,-4.933,2.39288,"September 06, 22",-0.04933
2022-09-02,2.4400001,2.5599999,2.4000001,2.5,2.4879184,8641200.0,8641200.0,0.04792,1.964,2.48264,"September 02, 22",0.01964
2022-09-01,2.52,2.55,2.4100001,2.4100001,2.3983533,8549400.0,8549400.0,-0.12165,-4.827,2.45278,"September 01, 22",-0.04827
2022-08-31,2.6300001,2.7,2.5,2.6099999,2.5973866,1.37948E7,1.37948E7,-0.03261,-1.24,2.59913,"August 31, 22",-0.0124
2022-08-30,2.99,3.0,2.6900001,2.72,2.7068551,8910000.0,8910000.0,-0.28314,-9.47,2.79895,"August 30, 22",-0.0947
2022-08-29,3.0999999,3.1600001,3.04,3.04,3.0253086,3423200.0,3423200.0,-0.07469,-2.409,3.0751,"August 29, 22",-0.02409
2022-08-26,3.29,3.3499999,3.1199999,3.1600001,3.1447289,3480600.0,3480600.0,-0.14527,-4.416,3.20491,"August 26, 22",-0.04416
2022-08-25,3.3,3.3099999,3.24,3.29,3.2741005,2857200.0,2857200.0,-0.0259,-0.785,3.2747,"August 25, 22",-0.00785
