date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-02-09,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 09, 22",-5.4E-4
2022-02-08,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 08, 22",-5.4E-4
2022-02-07,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 07, 22",-5.4E-4
2022-02-04,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 04, 22",-5.4E-4
2022-02-03,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 03, 22",-5.4E-4
2022-02-02,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 02, 22",-5.4E-4
2022-02-01,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"February 01, 22",-5.4E-4
2022-01-31,37.01,37.02,36.98,36.99,36.99,40.0,40.0,-0.02,-0.054,36.99667,"January 31, 22",-5.4E-4
2021-07-27,36.99,36.99,36.99,36.99,36.99,,,0.0,0.0,,"July 27, 21",0.0
2021-07-26,36.99,36.99,36.99,36.99,36.99,,,0.0,0.0,,"July 26, 21",0.0
2021-07-23,36.99,36.99,36.99,36.99,36.99,40.0,40.0,0.0,0.0,36.99,"July 23, 21",0.0
2021-07-22,37.01,37.02,36.98,36.99,36.99,645257.0,645257.0,-0.02,-0.054,36.99667,"July 22, 21",-5.4E-4
2021-07-21,37.0,37.05,36.99,37.02,37.02,1228885.0,1228885.0,0.02,0.054,37.02,"July 21, 21",5.4E-4
2021-07-20,36.93,37.0,36.93,36.99,36.99,2283990.0,2283990.0,0.06,0.162,36.97333,"July 20, 21",0.00162
2021-07-19,36.91,36.97,36.9,36.96,36.96,1229654.0,1229654.0,0.05,0.135,36.94333,"July 19, 21",0.00135
2021-07-16,36.95,36.95,36.87,36.91,36.91,818816.0,818816.0,-0.04,-0.108,36.91,"July 16, 21",-0.00108
2021-07-15,36.75,36.89,36.75,36.87,36.87,978747.0,978747.0,0.12,0.327,36.83667,"July 15, 21",0.00327
