date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,13.6,13.93,13.52,13.85,13.85,1.6064891E7,1.6064891E7,0.25,1.838,13.76667,"October 25, 22",0.01838
2022-10-24,13.53,13.71,13.41,13.66,13.66,1.6386578E7,1.6386578E7,0.13,0.961,13.59333,"October 24, 22",0.00961
2022-10-21,12.86,13.4875,12.81,13.47,13.47,2.0457332E7,2.0457332E7,0.61,4.743,13.25583,"October 21, 22",0.04743
2022-10-20,12.77,13.2,12.74,12.81,12.81,1.6823547E7,1.6823547E7,0.04,0.313,12.91667,"October 20, 22",0.00313
2022-10-19,12.85,13.04,12.71,12.82,12.82,1.2360892E7,1.2360892E7,-0.03,-0.233,12.85667,"October 19, 22",-0.00233
2022-10-18,12.94,13.07,12.705,12.87,12.87,1.4722421E7,1.4722421E7,-0.07,-0.541,12.88167,"October 18, 22",-0.00541
2022-10-17,12.9,13.01,12.63,12.78,12.78,1.9642369E7,1.9642369E7,-0.12,-0.93,12.80667,"October 17, 22",-0.0093
2022-10-14,12.93,12.93,12.575,12.59,12.59,1.6118892E7,1.6118892E7,-0.34,-2.63,12.69833,"October 14, 22",-0.0263
2022-10-13,12.18,12.93,12.065,12.83,12.83,1.7947154E7,1.7947154E7,0.65,5.337,12.60833,"October 13, 22",0.05337
2022-10-12,12.24,12.52,12.14,12.35,12.35,1.4518704E7,1.4518704E7,0.11,0.899,12.33667,"October 12, 22",0.00899
2022-10-11,12.23,12.4,12.105,12.21,12.21,1.8397546E7,1.8397546E7,-0.02,-0.164,12.23833,"October 11, 22",-0.00164
2022-10-10,12.55,12.57,12.14,12.3,12.3,1.1474596E7,1.1474596E7,-0.25,-1.992,12.33667,"October 10, 22",-0.01992
2022-10-07,12.66,12.73,12.38,12.46,12.46,1.2885269E7,1.2885269E7,-0.2,-1.58,12.52333,"October 07, 22",-0.0158
2022-10-06,12.87,12.99,12.82,12.91,12.91,1.1759477E7,1.1759477E7,0.04,0.311,12.90667,"October 06, 22",0.00311
2022-10-05,12.66,13.015,12.58,12.95,12.95,1.1659643E7,1.1659643E7,0.29,2.291,12.84833,"October 05, 22",0.02291
2022-10-04,12.5799999,12.8500004,12.5600004,12.8500004,12.8500004,1.17907E7,1.17907E7,0.27,2.146,12.75333,"October 04, 22",0.02146
