date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,26.91,27.595,26.845,27.58,27.58,6969237.0,6969237.0,0.67,2.49,27.34,"October 25, 22",0.0249
2022-10-24,27.0,27.25,26.735,27.06,27.06,5510609.0,5510609.0,0.06,0.222,27.015,"October 24, 22",0.00222
2022-10-21,25.72,26.835,25.59,26.79,26.79,7025688.0,7025688.0,1.07,4.16,26.405,"October 21, 22",0.0416
2022-10-20,25.63,26.34,25.485,25.57,25.57,5747749.0,5747749.0,-0.06,-0.234,25.79833,"October 20, 22",-0.00234
2022-10-19,25.26,25.75,25.253,25.49,25.49,5934345.0,5934345.0,0.23,0.911,25.49767,"October 19, 22",0.00911
2022-10-18,26.33,26.5,25.205,25.55,25.55,7502008.0,7502008.0,-0.78,-2.962,25.75167,"October 18, 22",-0.02962
2022-10-17,25.87,26.3,25.4018,25.69,25.69,8303828.0,8303828.0,-0.18,-0.696,25.79727,"October 17, 22",-0.00696
2022-10-14,26.11,26.35,25.4,25.44,25.44,1.070085E7,1.070085E7,-0.67,-2.566,25.73,"October 14, 22",-0.02566
2022-10-13,24.19,26.325,24.075,26.02,26.02,1.1792664E7,1.1792664E7,1.83,7.565,25.47333,"October 13, 22",0.07565
2022-10-12,25.01,25.02,24.62,24.69,24.69,7752758.0,7752758.0,-0.32,-1.279,24.77667,"October 12, 22",-0.01279
2022-10-11,25.01,25.325,24.6034,24.78,24.78,7037763.0,7037763.0,-0.23,-0.92,24.9028,"October 11, 22",-0.0092
2022-10-10,25.28,25.46,24.6,24.99,24.99,6557834.0,6557834.0,-0.29,-1.147,25.01667,"October 10, 22",-0.01147
2022-10-07,25.77,25.85,24.9,25.04,25.04,1.0318723E7,1.0318723E7,-0.73,-2.833,25.26333,"October 07, 22",-0.02833
2022-10-06,26.58,27.04,26.45,26.48,26.48,8413063.0,8413063.0,-0.1,-0.376,26.65667,"October 06, 22",-0.00376
2022-10-05,26.17,26.95,26.12,26.78,26.78,7457438.0,7457438.0,0.61,2.331,26.61667,"October 05, 22",0.02331
2022-10-04,26.3799992,26.8600006,26.2999992,26.6399994,26.6399994,8844900.0,8844900.0,0.26,0.986,26.6,"October 04, 22",0.00986
2022-10-03,25.3400002,26.1100006,25.0900002,25.8899994,25.8899994,8922800.0,8922800.0,0.55,2.17,25.69667,"October 03, 22",0.0217
