date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,22.6,22.85,22.595,22.79,22.79,9542322.0,9542322.0,0.19,0.841,22.745,"October 25, 22",0.00841
2022-10-24,22.19,23.02,22.12,22.83,22.83,1.2678517E7,1.2678517E7,0.64,2.884,22.65667,"October 24, 22",0.02884
2022-10-21,21.75,22.03,21.7,22.01,22.01,8865821.0,8865821.0,0.26,1.195,21.91333,"October 21, 22",0.01195
2022-10-20,21.64,21.74,21.27,21.32,21.32,7355118.0,7355118.0,-0.32,-1.479,21.44333,"October 20, 22",-0.01479
2022-10-19,21.63,21.76,21.435,21.57,21.57,7169713.0,7169713.0,-0.06,-0.277,21.58833,"October 19, 22",-0.00277
2022-10-18,22.04,22.15,21.72,21.89,21.89,1.4871719E7,1.4871719E7,-0.15,-0.681,21.92,"October 18, 22",-0.00681
2022-10-17,21.485,21.9,21.485,21.81,21.81,8965017.0,8965017.0,0.325,1.513,21.73167,"October 17, 22",0.01513
2022-10-14,21.29,21.42,20.96,20.99,20.99,8111743.0,8111743.0,-0.3,-1.409,21.12333,"October 14, 22",-0.01409
2022-10-13,20.37,21.365,20.32,21.28,21.28,7079378.0,7079378.0,0.91,4.467,20.98833,"October 13, 22",0.04467
2022-10-12,21.0,21.04,20.87,20.87,20.87,1.2071883E7,1.2071883E7,-0.13,-0.619,20.92667,"October 12, 22",-0.00619
2022-10-11,21.02,21.335,20.93,21.0,21.0,9887834.0,9887834.0,-0.02,-0.095,21.08833,"October 11, 22",-9.5E-4
2022-10-10,21.44,21.45,21.19,21.24,21.24,5874384.0,5874384.0,-0.2,-0.933,21.29333,"October 10, 22",-0.00933
2022-10-07,21.35,21.35,21.03,21.07,21.07,5205171.0,5205171.0,-0.28,-1.311,21.15,"October 07, 22",-0.01311
2022-10-06,21.58,21.68,21.4,21.41,21.41,5332979.0,5332979.0,-0.17,-0.788,21.49667,"October 06, 22",-0.00788
2022-10-05,21.48,21.72,21.42,21.65,21.65,3899313.0,3899313.0,0.17,0.791,21.59667,"October 05, 22",0.00791
2022-10-04,21.46,21.7555,21.39,21.69,21.69,7007166.0,7007166.0,0.23,1.072,21.61183,"October 04, 22",0.01072
2022-10-03,20.8,21.18,20.66,21.06,21.06,6747771.0,6747771.0,0.26,1.25,20.96667,"October 03, 22",0.0125
2022-09-30,21.14,21.28,20.97,20.97,20.97,5085858.0,5085858.0,-0.17,-0.804,21.07333,"September 30, 22",-0.00804
