date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,18.5,18.68,18.48,18.62,18.62,5701318.0,5701318.0,0.12,0.649,18.59333,"October 25, 22",0.00649
2022-10-24,18.29,18.54,18.215,18.44,18.44,9556294.0,9556294.0,0.15,0.82,18.39833,"October 24, 22",0.0082
2022-10-21,17.93,18.36,17.86,18.3,18.3,7351822.0,7351822.0,0.37,2.064,18.17333,"October 21, 22",0.02064
2022-10-20,18.03,18.23,17.86,17.89,17.89,8675159.0,8675159.0,-0.14,-0.776,17.99333,"October 20, 22",-0.00776
2022-10-19,17.85,17.975,17.725,17.83,17.83,6201491.0,6201491.0,-0.02,-0.112,17.84333,"October 19, 22",-0.00112
2022-10-18,18.25,18.38,17.89,18.07,18.07,7630373.0,7630373.0,-0.18,-0.986,18.11333,"October 18, 22",-0.00986
2022-10-17,18.12,18.38,18.11,18.16,18.16,9329906.0,9329906.0,0.04,0.221,18.21667,"October 17, 22",0.00221
2022-10-14,17.93,18.2,17.79,17.81,17.81,1.3608079E7,1.3608079E7,-0.12,-0.669,17.93333,"October 14, 22",-0.00669
2022-10-13,17.0,18.23,16.91,18.05,18.05,1.6241901E7,1.6241901E7,1.05,6.176,17.73,"October 13, 22",0.06176
2022-10-12,17.14,17.31,17.03,17.1,17.1,1.1643101E7,1.1643101E7,-0.04,-0.233,17.14667,"October 12, 22",-0.00233
2022-10-11,17.03,17.27,16.99,17.13,17.13,1.2839979E7,1.2839979E7,0.1,0.587,17.13,"October 11, 22",0.00587
2022-10-10,17.56,17.69,17.33,17.56,17.56,2.3351711E7,2.3351711E7,0.0,0.0,17.52667,"October 10, 22",0.0
2022-10-07,17.33,17.38,17.0,17.06,17.06,1.4042741E7,1.4042741E7,-0.27,-1.558,17.14667,"October 07, 22",-0.01558
2022-10-06,17.66,17.73,17.47,17.48,17.48,1.0827361E7,1.0827361E7,-0.18,-1.019,17.56,"October 06, 22",-0.01019
2022-10-05,17.55,17.75,17.4,17.64,17.64,6091153.0,6091153.0,0.09,0.513,17.59667,"October 05, 22",0.00513
2022-10-04,17.38,17.71,17.31,17.7,17.7,8649322.0,8649322.0,0.32,1.841,17.57333,"October 04, 22",0.01841
2022-10-03,16.87,17.17,16.82,17.05,17.05,9699907.0,9699907.0,0.18,1.067,17.01333,"October 03, 22",0.01067
2022-09-30,17.1,17.225,16.97,16.97,16.97,6089363.0,6089363.0,-0.13,-0.76,17.055,"September 30, 22",-0.0076
2022-09-29,16.84,16.9,16.7,16.9,16.9,6038109.0,6038109.0,0.06,0.356,16.83333,"September 29, 22",0.00356
2022-09-28,16.86,17.2,16.79,17.11,17.11,8791990.0,8791990.0,0.25,1.483,17.03333,"September 28, 22",0.01483
2022-09-27,16.9,17.035,16.68,16.79,16.79,1.0255311E7,1.0255311E7,-0.11,-0.651,16.835,"September 27, 22",-0.00651
2022-09-26,16.73,16.93,16.64,16.69,16.69,1.0332174E7,1.0332174E7,-0.04,-0.239,16.75333,"September 26, 22",-0.00239
2022-09-23,16.58,16.71,16.39,16.61,16.61,1.8057974E7,1.8057974E7,0.03,0.181,16.57,"September 23, 22",0.00181
2022-09-22,16.9,16.975,16.595,16.68,16.68,1.6178782E7,1.6178782E7,-0.22,-1.302,16.75,"September 22, 22",-0.01302
2022-09-21,17.09,17.285,17.0,17.02,17.02,1.0601369E7,1.0601369E7,-0.07,-0.41,17.10167,"September 21, 22",-0.0041
2022-09-20,17.26,17.31,16.95,17.02,17.02,1.8635008E7,1.8635008E7,-0.24,-1.39,17.09333,"September 20, 22",-0.0139
2022-09-19,17.41,17.525,17.29,17.41,17.41,1.4966763E7,1.4966763E7,0.0,0.0,17.40833,"September 19, 22",0.0
2022-09-16,17.2,17.46,17.09,17.38,17.38,4.2688403E7,4.2688403E7,0.18,1.047,17.31,"September 16, 22",0.01047
2022-09-15,17.7,17.81,17.51,17.79,17.79,2.195024E7,2.195024E7,0.09,0.508,17.70333,"September 15, 22",0.00508
2022-09-14,18.37,18.44,17.97,18.08,18.08,1.6757777E7,1.6757777E7,-0.29,-1.579,18.16333,"September 14, 22",-0.01579
2022-09-13,18.76,18.895,18.49,18.56,18.56,1.5007943E7,1.5007943E7,-0.2,-1.066,18.64833,"September 13, 22",-0.01066
2022-09-12,19.23,19.41,19.19,19.24,19.24,3591720.0,3591720.0,0.01,0.052,19.28,"September 12, 22",5.2E-4
2022-09-09,18.77,19.1,18.75,19.06,19.06,5443469.0,5443469.0,0.29,1.545,18.97,"September 09, 22",0.01545
2022-09-08,18.35,18.53,18.28,18.53,18.53,3905089.0,3905089.0,0.18,0.981,18.44667,"September 08, 22",0.00981
2022-09-07,18.14,18.45,18.11,18.43,18.43,4190813.0,4190813.0,0.29,1.599,18.33,"September 07, 22",0.01599
2022-09-06,18.14,18.22,17.93,17.98,17.98,7158844.0,7158844.0,-0.16,-0.882,18.04333,"September 06, 22",-0.00882
2022-09-02,18.3,18.44,17.995,18.09,18.09,5205936.0,5205936.0,-0.21,-1.148,18.175,"September 02, 22",-0.01148
2022-09-01,18.33,18.42,18.19,18.42,18.42,4480645.0,4480645.0,0.09,0.491,18.34333,"September 01, 22",0.00491
2022-08-31,18.48,18.55,18.3,18.3,18.3,7418461.0,7418461.0,-0.18,-0.974,18.38333,"August 31, 22",-0.00974
2022-08-30,18.78,18.78,18.36,18.43,18.43,6267756.0,6267756.0,-0.35,-1.864,18.52333,"August 30, 22",-0.01864
2022-08-29,18.37,18.47,18.27,18.39,18.39,5543384.0,5543384.0,0.02,0.109,18.37667,"August 29, 22",0.00109
2022-08-26,19.16,19.21,18.62,18.64,18.64,5711026.0,5711026.0,-0.52,-2.714,18.82333,"August 26, 22",-0.02714
2022-08-25,19.13,19.2,19.02,19.18,19.18,3818729.0,3818729.0,0.05,0.261,19.13333,"August 25, 22",0.00261
2022-08-24,19.24,19.39,19.2,19.25,19.25,5528735.0,5528735.0,0.01,0.052,19.28,"August 24, 22",5.2E-4
2022-08-23,19.42,19.45,19.25,19.25,19.25,6669276.0,6669276.0,-0.17,-0.875,19.31667,"August 23, 22",-0.00875
