date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,27.18,27.555,27.0,27.41,27.41,3.1960619E7,3.1960619E7,0.23,0.846,27.32167,"October 25, 22",0.00846
2022-10-24,26.75,27.48,26.52,27.18,27.18,4.3341812E7,4.3341812E7,0.43,1.607,27.06,"October 24, 22",0.01607
2022-10-21,25.85,27.05,25.79,26.97,26.97,5.3061908E7,5.3061908E7,1.12,4.333,26.60333,"October 21, 22",0.04333
2022-10-20,26.15,26.95,25.95,26.08,26.08,3.3211276E7,3.3211276E7,-0.07,-0.268,26.32667,"October 20, 22",-0.00268
2022-10-19,25.74,26.25,25.69,26.0,26.0,3.3860936E7,3.3860936E7,0.26,1.01,25.98,"October 19, 22",0.0101
2022-10-18,26.74,26.96,25.54,25.87,25.87,5.1069986E7,5.1069986E7,-0.87,-3.254,26.12333,"October 18, 22",-0.03254
2022-10-17,26.31,26.75,26.17,26.42,26.42,3.9340185E7,3.9340185E7,0.11,0.418,26.44667,"October 17, 22",0.00418
2022-10-14,26.46,26.63,25.76,25.91,25.91,4.8130427E7,4.8130427E7,-0.55,-2.079,26.1,"October 14, 22",-0.02079
2022-10-13,24.73,26.84,24.59,26.42,26.42,6.2431689E7,6.2431689E7,1.69,6.834,25.95,"October 13, 22",0.06834
2022-10-12,25.05,25.52,24.66,25.33,25.33,3.9610381E7,3.9610381E7,0.28,1.118,25.17,"October 12, 22",0.01118
2022-10-11,25.01,25.48,24.69,25.04,25.04,4.8091409E7,4.8091409E7,0.03,0.12,25.07,"October 11, 22",0.0012
2022-10-10,25.94,25.99,25.09,25.2,25.2,4.3372901E7,4.3372901E7,-0.74,-2.853,25.42667,"October 10, 22",-0.02853
2022-10-07,26.17,26.28,25.65,25.72,25.72,5.7167549E7,5.7167549E7,-0.45,-1.72,25.88333,"October 07, 22",-0.0172
2022-10-06,27.44,27.76,27.0,27.18,27.18,3.3853787E7,3.3853787E7,-0.26,-0.948,27.31333,"October 06, 22",-0.00948
2022-10-05,27.37,27.84,26.89,27.64,27.64,3.0085558E7,3.0085558E7,0.27,0.986,27.45667,"October 05, 22",0.00986
2022-10-04,27.43,27.8,27.09,27.7,27.7,4.240389E7,4.240389E7,0.27,0.984,27.53,"October 04, 22",0.00984
2022-10-03,26.33,27.25,26.07,26.97,26.97,4.4072841E7,4.4072841E7,0.64,2.431,26.76333,"October 03, 22",0.02431
2022-09-30,26.3,26.57,25.74,25.77,25.77,4.3822693E7,4.3822693E7,-0.53,-2.015,26.02667,"September 30, 22",-0.02015
2022-09-29,26.78,26.78,26.19,26.38,26.38,4.1803267E7,4.1803267E7,-0.4,-1.494,26.45,"September 29, 22",-0.01494
2022-09-28,26.86,27.28,26.6,27.13,27.13,4.0416085E7,4.0416085E7,0.27,1.005,27.00333,"September 28, 22",0.01005
2022-09-27,27.4,27.6,26.62,26.89,26.89,4.4103714E7,4.4103714E7,-0.51,-1.861,27.03667,"September 27, 22",-0.01861
2022-09-26,27.56,27.7,26.86,26.97,26.97,4.4762297E7,4.4762297E7,-0.59,-2.141,27.17667,"September 26, 22",-0.02141
2022-09-23,27.9,27.9,27.19,27.52,27.52,4.3479087E7,4.3479087E7,-0.38,-1.362,27.53667,"September 23, 22",-0.01362
2022-09-22,28.4,28.5,28.04,28.07,28.07,3.6051766E7,3.6051766E7,-0.33,-1.162,28.20333,"September 22, 22",-0.01162
2022-09-21,29.15,29.59,28.46,28.47,28.47,3.9912101E7,3.9912101E7,-0.68,-2.333,28.84,"September 21, 22",-0.02333
2022-09-20,29.07,29.17,28.71,28.96,28.96,3.1098797E7,3.1098797E7,-0.11,-0.378,28.94667,"September 20, 22",-0.00378
2022-09-19,29.02,29.5,28.9,29.44,29.44,3.3121325E7,3.3121325E7,0.42,1.447,29.28,"September 19, 22",0.01447
2022-09-16,28.7,29.32,28.42,29.24,29.24,7.2688031E7,7.2688031E7,0.54,1.882,28.99333,"September 16, 22",0.01882
2022-09-15,29.15,29.41,28.71,28.84,28.84,3.983542E7,3.983542E7,-0.31,-1.063,28.98667,"September 15, 22",-0.01063
2022-09-14,29.55,29.77,29.01,29.18,29.18,4.0725314E7,4.0725314E7,-0.37,-1.252,29.32,"September 14, 22",-0.01252
2022-09-13,30.83,30.93,29.25,29.29,29.29,7.1337066E7,7.1337066E7,-1.54,-4.995,29.82333,"September 13, 22",-0.04995
2022-09-12,31.74,31.86,31.1,31.56,31.56,3.8287143E7,3.8287143E7,-0.18,-0.567,31.50667,"September 12, 22",-0.00567
2022-09-09,31.19,31.5,31.075,31.46,31.46,3.4082248E7,3.4082248E7,0.27,0.866,31.345,"September 09, 22",0.00866
2022-09-08,30.37,30.85,29.91,30.75,30.75,3.7344668E7,3.7344668E7,0.38,1.251,30.50333,"September 08, 22",0.01251
2022-09-07,30.42,30.79,30.05,30.65,30.65,3.7311522E7,3.7311522E7,0.23,0.756,30.49667,"September 07, 22",0.00756
