date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,5.51,5.61,5.49,5.5,5.5,3.6508854E7,3.6508854E7,-0.01,-0.181,5.53333,"October 25, 22",-0.00181
2022-10-24,5.74,5.76,5.515,5.56,5.56,6.9193397E7,6.9193397E7,-0.18,-3.136,5.61167,"October 24, 22",-0.03136
2022-10-21,5.69,6.04,5.69,5.99,5.99,6.3179683E7,6.3179683E7,0.3,5.272,5.90667,"October 21, 22",0.05272
2022-10-20,5.7,5.76,5.69,5.72,5.72,5.6007873E7,5.6007873E7,0.02,0.351,5.72333,"October 20, 22",0.00351
2022-10-19,5.54,5.61,5.525,5.58,5.58,2.8922742E7,2.8922742E7,0.04,0.722,5.57167,"October 19, 22",0.00722
2022-10-18,5.53,5.59,5.47,5.58,5.58,3.9815972E7,3.9815972E7,0.05,0.904,5.54667,"October 18, 22",0.00904
2022-10-17,5.43,5.4965,5.415,5.42,5.42,3.0855735E7,3.0855735E7,-0.01,-0.184,5.44383,"October 17, 22",-0.00184
2022-10-14,5.44,5.49,5.32,5.34,5.34,3.7709055E7,3.7709055E7,-0.1,-1.838,5.38333,"October 14, 22",-0.01838
2022-10-13,5.32,5.51,5.315,5.39,5.39,4.9179957E7,4.9179957E7,0.07,1.316,5.405,"October 13, 22",0.01316
2022-10-12,5.46,5.46,5.3,5.33,5.33,2.2802537E7,2.2802537E7,-0.13,-2.381,5.36333,"October 12, 22",-0.02381
2022-10-11,5.53,5.575,5.4201,5.44,5.44,4.0951151E7,4.0951151E7,-0.09,-1.627,5.47837,"October 11, 22",-0.01627
2022-10-10,5.57,5.64,5.52,5.53,5.53,3.3618838E7,3.3618838E7,-0.04,-0.718,5.56333,"October 10, 22",-0.00718
2022-10-07,5.57,5.58,5.47,5.56,5.56,4.0218799E7,4.0218799E7,-0.01,-0.18,5.53667,"October 07, 22",-0.0018
2022-10-06,5.7,5.74,5.56,5.58,5.58,4.0969522E7,4.0969522E7,-0.12,-2.105,5.62667,"October 06, 22",-0.02105
2022-10-05,5.65,5.76,5.6448,5.74,5.74,3.7641006E7,3.7641006E7,0.09,1.593,5.71493,"October 05, 22",0.01593
2022-10-04,5.75,5.78,5.6539,5.73,5.73,4.8892235E7,4.8892235E7,-0.02,-0.348,5.7213,"October 04, 22",-0.00348
2022-10-03,5.46,5.7399998,5.4000001,5.73,5.73,6.10684E7,6.10684E7,0.27,4.945,5.62333,"October 03, 22",0.04945
2022-09-30,5.1399999,5.2199998,5.0999999,5.1700001,5.1670003,4.06335E7,4.06335E7,0.027,0.525,5.16233,"September 30, 22",0.00525
2022-09-29,5.0999999,5.21,5.02,5.1999998,5.1969824,6.06384E7,6.06384E7,0.09698,1.902,5.14233,"September 29, 22",0.01902
2022-09-28,5.0900002,5.21,5.0599999,5.1100001,5.1070352,6.25145E7,6.25145E7,0.01704,0.335,5.12568,"September 28, 22",0.00335
2022-09-27,5.1399999,5.1999998,5.0599999,5.1199999,5.1170292,5.62795E7,5.62795E7,-0.02297,-0.447,5.12568,"September 27, 22",-0.00447
2022-09-26,5.1999998,5.25,5.0599999,5.1399999,5.1370173,5.49912E7,5.49912E7,-0.06298,-1.211,5.14901,"September 26, 22",-0.01211
2022-09-23,5.4299998,5.4499998,5.3000002,5.3699999,5.3668838,5.64574E7,5.64574E7,-0.06312,-1.162,5.37229,"September 23, 22",-0.01162
2022-09-22,5.4899998,5.6399999,5.4200001,5.5999999,5.5967507,4.63446E7,4.63446E7,0.10675,1.944,5.55225,"September 22, 22",0.01944
2022-09-21,5.4699998,5.5500002,5.4000001,5.4000001,5.3968668,4.91688E7,4.91688E7,-0.07313,-1.337,5.44896,"September 21, 22",-0.01337
2022-09-20,5.3400002,5.54,5.3200002,5.48,5.4768205,4.96395E7,4.96395E7,0.13682,2.562,5.44561,"September 20, 22",0.02562
2022-09-19,5.0100002,5.3400002,4.9899998,5.3099999,5.3069186,3.35383E7,3.35383E7,0.29692,5.927,5.21231,"September 19, 22",0.05927
2022-09-16,5.0,5.0700002,4.9699998,5.0500002,5.04707,3.69065E7,3.69065E7,0.04707,0.941,5.02902,"September 16, 22",0.00941
2022-09-15,5.1100001,5.1700001,5.0500002,5.0799999,5.0770521,2.36254E7,2.36254E7,-0.03295,-0.645,5.09902,"September 15, 22",-0.00645
2022-09-14,5.1100001,5.1500001,5.0700002,5.1300001,5.1270232,2.28653E7,2.28653E7,0.01702,0.333,5.11567,"September 14, 22",0.00333
2022-09-13,5.1500001,5.2399998,5.0999999,5.1199999,5.1170292,3.56114E7,3.56114E7,-0.03297,-0.64,5.15234,"September 13, 22",-0.0064
2022-09-12,5.23,5.3099999,5.2199998,5.27,5.266942,2.32282E7,2.32282E7,0.03694,0.706,5.26565,"September 12, 22",0.00706
2022-09-09,5.1300001,5.1999998,5.1100001,5.1700001,5.1670003,3.29778E7,3.29778E7,0.037,0.721,5.159,"September 09, 22",0.00721
2022-09-08,5.0799999,5.1599998,5.0500002,5.0500002,5.04707,3.628E7,3.628E7,-0.03293,-0.648,5.08569,"September 08, 22",-0.00648
2022-09-07,5.0100002,5.1500001,4.9499998,5.1300001,5.1270232,2.19643E7,2.19643E7,0.11702,2.336,5.07567,"September 07, 22",0.02336
2022-09-06,5.1100001,5.1300001,5.02,5.0599999,5.0570641,4.33532E7,4.33532E7,-0.05294,-1.036,5.06902,"September 06, 22",-0.01036
2022-09-02,5.0599999,5.1399999,5.02,5.0700002,5.0670581,3.85611E7,3.85611E7,0.00706,0.14,5.07569,"September 02, 22",0.0014
2022-09-01,4.9699998,4.98,4.8499999,4.9699998,4.9671159,4.52075E7,4.52075E7,-0.00288,-0.058,4.93237,"September 01, 22",-5.8E-4
2022-08-31,5.04,5.1199999,4.9099998,4.9400001,4.9341354,4.35391E7,4.35391E7,-0.10586,-2.1,4.98805,"August 31, 22",-0.021
2022-08-30,5.2600002,5.2800002,5.1300001,5.1300001,5.1239095,3.16541E7,3.16541E7,-0.13609,-2.587,5.17797,"August 30, 22",-0.02587
2022-08-29,5.1900001,5.29,5.1799998,5.25,5.2437668,2.46505E7,2.46505E7,0.05377,1.036,5.23792,"August 29, 22",0.01036
2022-08-26,5.23,5.3000002,5.1799998,5.1900001,5.1838384,2.68714E7,2.68714E7,-0.04616,-0.883,5.22128,"August 26, 22",-0.00883
2022-08-25,5.1500001,5.23,5.1199999,5.21,5.2038145,1.80185E7,1.80185E7,0.05381,1.045,5.1846,"August 25, 22",0.01045
2022-08-24,5.1399999,5.1900001,5.1199999,5.1399999,5.1338973,1.67378E7,1.67378E7,-0.0061,-0.119,5.14797,"August 24, 22",-0.00119
2022-08-23,5.0999999,5.1799998,5.0900002,5.1199999,5.1139216,2.01786E7,2.01786E7,0.01392,0.273,5.12797,"August 23, 22",0.00273
2022-08-22,5.02,5.0700002,4.9899998,5.0599999,5.0539927,2.11567E7,2.11567E7,0.03399,0.677,5.038,"August 22, 22",0.00677
2022-08-19,5.0999999,5.1100001,5.0300002,5.0999999,5.093945,2.83368E7,2.83368E7,-0.00605,-0.119,5.07798,"August 19, 22",-0.00119
2022-08-18,5.29,5.3000002,5.1700001,5.21,5.1438861,3.13732E7,3.13732E7,-0.14611,-2.762,5.20463,"August 18, 22",-0.02762
2022-08-17,5.1799998,5.2800002,5.1700001,5.25,5.1833777,3.78459E7,3.78459E7,0.00338,0.065,5.21113,"August 17, 22",6.5E-4
2022-08-16,5.21,5.2800002,5.1999998,5.25,5.1833777,3.35943E7,3.35943E7,-0.02662,-0.511,5.22113,"August 16, 22",-0.00511
2022-08-15,5.1399999,5.2800002,5.1199999,5.25,5.1833777,3.10522E7,3.10522E7,0.04338,0.844,5.19446,"August 15, 22",0.00844
2022-08-12,5.1399999,5.2399998,5.1100001,5.21,5.1438861,3.38852E7,3.38852E7,0.00389,0.076,5.16463,"August 12, 22",7.6E-4
2022-08-11,5.1399999,5.21,5.0500002,5.0700002,5.0056624,4.85433E7,4.85433E7,-0.13434,-2.614,5.08855,"August 11, 22",-0.02614
2022-08-10,5.0999999,5.1999998,5.0900002,5.1399999,5.0747738,6.23648E7,6.23648E7,-0.02523,-0.495,5.12159,"August 10, 22",-0.00495
2022-08-09,4.9299998,5.0100002,4.8699999,5.0,4.9365511,5.58531E7,5.58531E7,0.00655,0.133,4.93885,"August 09, 22",0.00133
2022-08-08,4.8299999,4.9000001,4.7800002,4.8899999,4.8279462,4.18594E7,4.18594E7,-0.00205,-0.042,4.83598,"August 08, 22",-4.2E-4
2022-08-05,4.5999999,4.8099999,4.5799999,4.79,4.7292151,4.49307E7,4.49307E7,0.12922,2.809,4.70641,"August 05, 22",0.02809
2022-08-04,4.5900002,4.6599998,4.5599999,4.6500001,4.5909925,3.2836E7,3.2836E7,9.9E-4,0.022,4.60366,"August 04, 22",2.2E-4
2022-08-03,4.46,4.5,4.4299998,4.48,4.4231491,2.7086E7,2.7086E7,-0.03685,-0.826,4.45105,"August 03, 22",-0.00826
2022-08-02,4.46,4.52,4.4299998,4.4400001,4.383657,3.28937E7,3.28937E7,-0.07634,-1.712,4.44455,"August 02, 22",-0.01712
2022-08-01,4.48,4.5500002,4.4299998,4.4899998,4.4330225,5.22394E7,5.22394E7,-0.04698,-1.049,4.47101,"August 01, 22",-0.01049
2022-07-29,4.4899998,4.5900002,4.48,4.5,4.4399338,4.40152E7,4.40152E7,-0.05007,-1.115,4.50331,"July 29, 22",-0.01115
2022-07-28,4.5100002,4.5599999,4.4200001,4.5599999,4.4991322,3.744E7,3.744E7,-0.01087,-0.241,4.49304,"July 28, 22",-0.00241
2022-07-27,4.4000001,4.46,4.3600001,4.4400001,4.3807344,6.10833E7,6.10833E7,-0.01927,-0.438,4.40024,"July 27, 22",-0.00438
2022-07-26,4.3299999,4.4299998,4.3000002,4.3400002,4.2820697,4.47993E7,4.47993E7,-0.04793,-1.107,4.33736,"July 26, 22",-0.01107
2022-07-25,4.27,4.3800001,4.21,4.3499999,4.2919359,5.54439E7,5.54439E7,0.02194,0.514,4.29398,"July 25, 22",0.00514
2022-07-22,4.27,4.3200002,4.1500001,4.1900001,4.1340714,4.92071E7,4.92071E7,-0.13593,-3.183,4.20136,"July 22, 22",-0.03183
2022-07-21,4.1799998,4.2600002,4.1300001,4.2600002,4.2031374,4.35149E7,4.35149E7,0.02314,0.554,4.19771,"July 21, 22",0.00554
2022-07-20,4.27,4.3099999,4.21,4.2600002,4.2031374,4.50063E7,4.50063E7,-0.06686,-1.566,4.24105,"July 20, 22",-0.01566
2022-07-19,4.21,4.3400002,4.21,4.3099999,4.25247,5.71061E7,5.71061E7,0.04247,1.009,4.26749,"July 19, 22",0.01009
2022-07-18,4.1700001,4.25,4.1599998,4.1900001,4.1340714,5.67119E7,5.67119E7,-0.03593,-0.862,4.18136,"July 18, 22",-0.00862
2022-07-15,4.04,4.1799998,4.02,4.1300001,4.0748725,4.32879E7,4.32879E7,0.03487,0.863,4.09162,"July 15, 22",0.00863
2022-07-14,3.96,4.04,3.9000001,4.0,3.9466076,6.69387E7,6.69387E7,-0.01339,-0.338,3.9622,"July 14, 22",-0.00338
2022-07-13,4.0999999,4.1900001,4.0599999,4.0999999,4.0452728,5.5175E7,5.5175E7,-0.05473,-1.335,4.09842,"July 13, 22",-0.01335
2022-07-12,4.0700002,4.1599998,4.0300002,4.0799999,4.0255399,3.44424E7,3.44424E7,-0.04446,-1.092,4.07185,"July 12, 22",-0.01092
2022-07-11,4.1700001,4.21,4.1199999,4.1399999,4.0847383,4.74155E7,4.74155E7,-0.08526,-2.045,4.13825,"July 11, 22",-0.02045
2022-07-08,4.29,4.3200002,4.2399998,4.29,4.2327371,3.62418E7,3.62418E7,-0.05726,-1.335,4.26425,"July 08, 22",-0.01335
2022-07-07,4.1999998,4.27,4.1999998,4.2399998,4.1834035,3.43087E7,3.43087E7,-0.0166,-0.395,4.2178,"July 07, 22",-0.00395
2022-07-06,4.1599998,4.1900001,4.0500002,4.1300001,4.0748725,5.29297E7,5.29297E7,-0.08513,-2.046,4.10496,"July 06, 22",-0.02046
2022-07-05,4.1300001,4.1999998,4.0700002,4.1900001,4.1340714,5.00661E7,5.00661E7,0.00407,0.099,4.13469,"July 05, 22",9.9E-4
2022-07-01,4.1900001,4.2800002,4.1399999,4.25,4.1932702,5.29911E7,5.29911E7,0.00327,0.078,4.20442,"July 01, 22",7.8E-4
2022-06-30,4.3000002,4.3600001,4.2600002,4.2800002,4.2189231,6.04781E7,6.04781E7,-0.08108,-1.886,4.27964,"June 30, 22",-0.01886
